_2012_estimated_resident_population, _2012_births, _2017_estimated_resident_population, _2015_total_fertility_rate, _2015_births, gcc_code16, _2013_estimated_resident_population, _2018_estimated_resident_population, gcc_name16, _2017_total_fertility_rate, _2014_estimated_resident_population, _2017_births, _2019_estimated_resident_population, _2016_estimated_resident_population, _2019_total_fertility_rate, _2013_births, _2018_total_fertility_rate, _2015_estimated_resident_population, _2012_total_fertility_rate, _2013_total_fertility_rate, _2019_births, _2014_total_fertility_rate, _2014_births, _2018_births, _2016_births, _2016_total_fertility_rate
4677196,66474,5136919,1.75,67268,"1GSYD",4757364,5225098,"Greater Sydney",1.67,4841349,65288,5312163,5024923,1.64,67869,1.67,4930189,1.88,1.85,66657,1.78,62084,72514,65390,1.69
2627048,31583,2731017,2.01,31210,"1RNSW",2646668,2755070,"Rest of NSW",1.94,2667004,30007,2777654,2707935,2.0,32018,1.97,2685979,2.17,2.15,31493,2.04,28152,33756,29346,1.92
4265843,59997,4843928,1.64,57518,"2GMEL",4370067,4964713,"Greater Melbourne",1.66,4476030,64543,5078193,4714387,1.55,57301,1.64,4586012,1.75,1.73,60764,1.71,57863,61358,65148,1.66
1385248,17282,1477678,2.01,15874,"2RVIC",1402602,1497306,"Rest of Vic.",2.02,1418887,17287,1517846,1458785,1.94,16556,2.03,1436310,2.1,2.12,16155,2.1,16197,16862,17547,2.01
2196288,31361,2412517,1.79,30493,"3GBRI",2241944,2461597,"Greater Brisbane",1.73,2281740,30792,2514184,2362672,1.67,31145,1.71,2318653,1.93,1.88,31646,1.84,30927,31578,31271,1.76
2372399,32355,2515112,2.02,31120,"3RQLD",2410880,2547827,"Rest of Qld",1.92,2437913,30278,2580326,2482480,1.86,32100,1.89,2459039,2.15,2.1,30005,2.07,32007,30244,30453,1.97
1277850,15975,1334438,1.76,15511,"4GADE",1289696,1345860,"Greater Adelaide",1.69,1302079,15174,1359760,1324057,1.63,15738,1.65,1313419,1.82,1.8,15585,1.8,16082,14982,15679,1.74
378875,4452,389485,2.1,4069,"4RSAU",381792,390667,"Rest of SA",1.98,384866,3892,392203,388786,1.96,4345,1.99,387249,2.23,2.22,3895,2.18,4297,4123,4086,2.04
1892862,25921,2037902,1.81,27143,"5GPER",1943855,2058568,"Greater Perth",1.79,1973923,27251,2085973,2019263,1.72,26696,1.76,1998937,1.85,1.84,26654,1.84,27411,26402,27828,1.81
532645,7614,536291,2.19,7605,"5RWAU",543089,535613,"Rest of WA",2.15,543685,6932,535536,536715,2.08,7524,2.09,541735,2.26,2.21,6621,2.2,7664,6557,7253,2.18
217670,2740,229260,1.91,2608,"6GHOB",219315,232691,"Greater Hobart",1.83,221365,2564,236136,225913,1.72,2753,1.78,223502,2.04,2.01,2717,1.94,2742,2535,2768,1.9
294054,3397,293150,1.98,3063,"6RTAS",292916,295607,"Rest of Tas.",1.93,292256,3041,298321,291601,1.85,3280,1.9,291615,2.12,2.09,3018,2.03,3164,3005,3181,1.96
133105,2206,148919,2.0,2383,"7GDAR",138471,148396,"Greater Darwin",1.9,141169,2323,147255,147102,1.78,2350,1.82,144914,1.97,2.01,2141,2.02,2329,2188,2325,1.94
102810,1893,98598,2.05,1621,"7RNTE",103251,98662,"Rest of NT",1.98,101725,1558,98674,98576,2.07,1698,2.1,99778,2.33,2.23,1511,2.15,1694,1858,1600,2.02
376539,5459,412025,1.74,5537,"8ACTE",383257,420379,"Australian Capital Territory",1.7,388799,6202,426704,403104,1.66,5544,1.65,395813,1.77,1.76,5505,1.77,5550,5368,5148,1.67
