yth_15_19_yrs_enggmnt_wrkstdy_cnss_wrkng_fll_tme_stdyng_prt_pc, yth_15_19_yrs_enggmnt_wrkstdy_cnss_ttl_prsns_agd_nm, occptn_emplyd_prsns_prcntge_of_ttl_cnss_tchncns_trds_wrkrs_pc, hghst_yr_schl_cmpltd_prsns_agd_15_yrs_cnss_10_eqvlnt_pc, yth_15_19_yrs_enggmnt_wrkstdy_cnss_wrkng_fll_tme_stdyng_pc, yth_15_19_yrs_engmt_wrkstdy_cns_wrkng_awy_wrk_stdyng_fl_tme_pc, nn_schl_qlfctn_fld_stdy_prsns_agd_15_yrs_cnss_hlth_pc, occptn_emplyd_prsns_prcntge_of_ttl_cnss_lbrrs_pc, lbr_frce_stts_prsns_agd_15_yrs_cnss_ttl_ppltn_and_ovr_nm, yth_15_19_yrs_enggmnt_wrkstdy_cnss_flly_enggd_pc, chldrn_enrld_prschl_prgm_4_5_yr_olds_1_jly_in_wthn_a_lng_dy_cre, jobs_australia_year_ended_30_june_number_employee_manufacturing, labour_force_status_persons_aged_15_years_census_num, labour_force_status_persons_aged_15_years_census_unemployed_num, jbs_astrla_yr_endd_30_jne_nmbr_emplye_trnsprt_pstl_wrhsng, n_schl_qlfctn_fld_stdy_prsn_agd_15_yrs_cns_archte_and_bldng_pc, jobs_in_australia_year_ended_30_june_number_of_jobs_persons, gccsa_name_2016, hghst_yr_schl_cmpltd_prsns_agd_15_yrs_cnss_go_pc, chldrn_enrld_prschl_prgm_4_5_yr_olds_1_jly_in_a_nm, jbs_astrla_yr_endd_30_jne_nmbr_emplye_rntl_hrng_rl_estte_srvcs, children_attending_preschool_program_1_july_15_hours_num, jobs_australia_year_ended_30_june_number_employee_construction, n_schl_qlfctn_fld_stdy_prsn_agd_15_yrs_cns_infrmt_tchnlgy_pc, nn_schl_qlfctn_fld_stdy_prsns_agd_15_yrs_cnss_scty_and_cltre_pc, chldrn_enrlld_prschl_prgrm_4_5_yr_olds_1_jly_ttl_in_nm, prsns_nn_schl_qlfctns_agd_15_yrs_cnss_crtfcte_pc, jbs_astrla_yr_endd_30_jne_nmbr_emplye_fnnce_insrnce_srvcs, youth_15_19_years_engagement_workstudy_census_fully_engaged_pc, n_schl_qlfctn_fld_stdy_prsn_agd_15_yrs_cns_of_indqtly_dscrb_std, hghr_edctn_ln_prgrm_hlp_rpymnts_yr_endd_30_jne_txpyrs_rpymnt_nm, chldrn_enrld_prschl_prgm_4_5_yr_olds_1_jly_acrs_one_prvd_type_n, ocptn_emplyd_prsn_prcntge_of_tl_cns_cmnty_prsnl_srvce_wrks_pc, prsns_nn_schl_qlfctns_agd_15_yrs_cnss_advncd_dplmdplma_pc, jbs_astrla_yr_endd_30_jne_nmbr_emplye_hlth_cre_scl_assstnce, jobs_australia_year_ended_30_june_number_employee_jobs_total, chldrn_enrlld_prschl_prgrm_4_5_yr_olds_1_jly_ttl_in_a_nm, jbs_astrla_yr_endd_30_jne_nmbr_emplye_pblc_admnstrtn_sfty, jobs_in_australia_year_ended_30_june_number_of_jobs_males, nn_schl_qlfctn_fld_stdy_prsns_agd_15_yrs_cnss_crtve_arts_pc, yth_15_19_yrs_enggmnt_wrkstdy_cnss_stdyng_fll_tme_wrkng_pc, persons_non_school_qualifications_aged_15_years_census_pc, labour_force_status_persons_aged_15_years_census_pc, jbs_astrla_yr_endd_30_jne_nmbr_emplye_accmmdtn_fd_srvcs, jbs_astrla_yr_endd_30_jne_nmbr_emplye_admnstrtve_spprt_srvcs, prsns_nn_schl_qlfctns_agd_15_yrs_cnss_pstgrdte_dgre_pc, n_schl_qlfctn_fld_stdy_prsn_agd_15_yrs_cns_ntrl_and_physcl_scn, yth_15_19_yrs_enggmnt_wrkstdy_cnss_wrkng_prt_tme_stdyng_fll_pc, prsn_n_schl_qlfctns_agd_15_yrs_cns_grdte_dplmgrte_crtfe_pc, jobs_australia_year_ended_30_june_number_employee_jobs_mining, jobs_in_australia_year_ended_30_june_number_of_jobs_females, occptn_emplyd_prsns_prcntge_of_ttl_cnss_mngrs_pc, hghst_yr_schl_cmpltd_prsns_agd_15_yrs_cnss_11_eqvlnt_pc, yth_15_19_yrs_engmt_wrkstdy_cns_wrkng_fl_tme_stdyng_pc, jbs_astrla_yr_endd_30_jne_nmbr_emplye_agrcltre_frstry_fshng, children_attending_preschool_program_1_july_less_15_hours_num, yth_15_19_yrs_enggmnt_wrkstdy_cnss_wrkng_prt_tme_stdyng_pc, jbs_astrla_yr_endd_30_jne_nmbr_emplye_edctn_trnng, occptn_emplyd_prsns_prcntge_of_ttl_cnss_prfssnls_pc, highest_year_school_completed_persons_aged_15_years_census_8_pc, occptn_emplyd_prsns_prcntge_of_ttl_cnss_indqtly_dscrbd_pc, chldrn_enrlld_prschl_prgrm_4_5_yr_olds_1_jly_in_a_nm, labour_force_status_persons_aged_15_years_census_stated_pc, nn_schl_qlfctn_fld_stdy_prsns_agd_15_yrs_cnss_mxd_prgrmms_pc, jbs_astrla_yr_endd_30_jne_nmbr_emplye_arts_rcrtn_srvcs, jobs_australia_year_ended_30_june_number_employee_retail_trade, n_schl_qlfctn_fld_stdy_prsn_agd_15_yrs_cns_fd_hsptly_and_prsnl, lbr_frce_stts_prsns_agd_15_yrs_cnss_prtcptn_rte_pc, occptn_emplyd_prsns_prcntge_of_ttl_cnss_mchnry_oprtrs_drvrs_pc, ocptn_emplyd_prsn_prcntge_of_tl_cns_clr_admnstrve_wrks_pc, lbr_frce_stts_prsns_agd_15_yrs_cnss_unmplymnt_rte_pc, jbs_astrla_yr_endd_30_jne_nmbr_emplye_whlsle_trde, nn_schl_qlfctn_fld_stdy_prsns_agd_15_yrs_cnss_edctn_pc, labour_force_status_persons_aged_15_years_census_employed_num, n_schl_qlfctn_fld_stdy_prsn_agd_15_yrs_cns_engr_and_rltd_tchnlg, occptn_emplyd_prsns_prcntge_of_ttl_cnss_sls_wrkrs_pc, hghst_yr_schl_cmpltd_prsns_agd_15_yrs_cnss_12_eqvlnt_pc, n_schl_qlfctn_fld_stdy_prsn_agd_15_yrs_cns_agrclte_envrmtl_and, yr, hghst_yr_schl_cmpltd_prsns_agd_15_yrs_cnss_9_eqvlnt_pc, jbs_astrla_yr_endd_30_jne_nmbr_emplye_infrmtn_mda_tlcmmnctns, prsns_nn_schl_qlfctns_agd_15_yrs_cnss_bchlr_dgre_pc, hghst_yr_schl_cmpltd_prsns_agd_15_yrs_cnss_of_sttd_pc, jbs_astrl_yr_end_30_jne_nmbr_emply_elctry_gs_wtr_wste_srvc, jbs_astrl_yr_end_30_jne_nmbr_emply_prfsnl_scntf_tchnl_srvc, gccsa_code_2016, n_schl_qlfctn_fld_stdy_prsn_agd_15_yrs_cns_mngt_and_cmre_pc, jobs_australia_year_ended_30_june_number_employee_jobs_services, prsns_nn_schl_qlfctns_agd_15_yrs_cnss_indqtly_dscrbd_pc
null,null,null,null,null,null,null,null,null,null,21829,null,null,null,null,null,null,"Rest of NSW",null,10957,null,33579,null,null,null,14702,null,null,null,null,null,3242,null,null,null,null,39747,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5787,null,null,null,null,null,28802,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2019,null,null,null,null,null,null,"1RNSW",null,null,null
null,null,null,null,null,null,null,null,null,null,47806,null,null,null,null,null,null,"Greater Sydney",null,13273,null,59769,null,null,null,14827,null,null,null,null,null,3497,null,null,null,null,66091,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5982,null,null,null,null,null,52847,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2019,null,null,null,null,null,null,"1GSYD",null,null,null
null,null,null,null,null,null,null,null,null,null,9434,null,null,null,null,null,null,"Rest of Vic.",null,7191,null,16830,null,null,null,10205,null,null,null,null,null,2075,null,null,null,null,21676,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,4052,null,null,null,null,null,14476,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2019,null,null,null,null,null,null,"2RVIC",null,null,null
null,null,null,null,null,null,null,null,null,null,32928,null,null,null,null,null,null,"Greater Melbourne",null,18690,null,57329,null,null,null,30847,null,null,null,null,null,6460,null,null,null,null,70254,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10288,null,null,null,null,null,51576,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2019,null,null,null,null,null,null,"2GMEL",null,null,null
null,null,null,null,null,null,null,null,null,null,21942,null,null,null,null,null,null,"Greater Brisbane",null,3852,null,26829,null,null,null,8123,null,null,null,null,null,1420,null,null,null,null,31526,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3994,null,null,null,null,null,27627,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2019,null,null,null,null,null,null,"3GBRI",null,null,null
null,null,null,null,null,null,null,null,null,null,20804,null,null,null,null,null,null,"Rest of Qld",null,4019,null,25841,null,null,null,9496,null,null,null,null,null,1085,null,null,null,null,31391,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,4756,null,null,null,null,null,27370,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2019,null,null,null,null,null,null,"3RQLD",null,null,null
null,null,null,null,null,null,null,null,null,null,1737,null,null,null,null,null,null,"Rest of SA",null,887,null,2861,null,null,null,2474,null,null,null,null,null,528,null,null,null,null,4760,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1784,null,null,null,null,null,3847,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2019,null,null,null,null,null,null,"4RSAU",null,null,null
null,null,null,null,null,null,null,null,null,null,5024,null,null,null,null,null,null,"Greater Adelaide",null,2672,null,12178,null,null,null,8327,null,null,null,null,null,3483,null,null,null,null,16871,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,4462,null,null,null,null,null,14213,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2019,null,null,null,null,null,null,"4GADE",null,null,null
null,null,null,null,null,null,null,null,null,null,1612,null,null,null,null,null,null,"Greater Perth",null,1017,null,18858,null,null,null,20128,null,null,null,null,null,5736,null,null,null,null,27456,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,7873,null,null,null,null,null,26457,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2019,null,null,null,null,null,null,"5GPER",null,null,null
null,null,null,null,null,null,null,null,null,null,380,null,null,null,null,null,null,"Rest of WA",null,324,null,4824,null,null,null,5798,null,null,null,null,null,1116,null,null,null,null,7357,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2114,null,null,null,null,null,7002,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2019,null,null,null,null,null,null,"5RWAU",null,null,null
null,null,null,null,null,null,null,null,null,null,892,null,null,null,null,null,null,"Greater Hobart",null,1480,null,2983,null,null,null,2223,null,null,null,null,null,562,null,null,null,null,3678,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,643,null,null,null,null,null,2183,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2019,null,null,null,null,null,null,"6GHOB",null,null,null
null,null,null,null,null,null,null,null,null,null,875,null,null,null,null,null,null,"Rest of Tas.",null,1769,null,3289,null,null,null,2862,null,null,null,null,null,426,null,null,null,null,4185,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,827,null,null,null,null,null,2447,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2019,null,null,null,null,null,null,"6RTAS",null,null,null
null,null,null,null,null,null,null,null,null,null,48,null,null,null,null,null,null,"Rest of NT",null,185,null,734,null,null,null,1284,null,null,null,null,null,197,null,null,null,null,1534,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,443,null,null,null,null,null,1341,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2019,null,null,null,null,null,null,"7RNTE",null,null,null
null,null,null,null,null,null,null,null,null,null,414,null,null,null,null,null,null,"Greater Darwin",null,111,null,1727,null,null,null,1039,null,null,null,null,null,583,null,null,null,null,2059,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,265,null,null,null,null,null,1932,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2019,null,null,null,null,null,null,"7GDAR",null,null,null
null,null,null,null,null,null,null,null,null,null,2426,null,null,null,null,null,null,"Australian Capital Territory",null,1617,null,5778,null,null,null,2807,null,null,null,null,null,1753,null,null,null,null,6999,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1152,null,null,null,null,null,5388,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2019,null,null,null,null,null,null,"8ACTE",null,null,null
null,null,null,null,null,null,null,null,null,null,10,null,null,null,null,null,null,"Other Territories",null,null,null,17,null,null,null,46,null,null,null,null,null,null,null,null,null,null,56,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27,null,null,null,null,null,55,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2019,null,null,null,null,null,null,"9OTER",null,null,null
