cmmtng_wrk_cnss_mdn_dstnce_plce_usl_rsdnce_pstgrdte_dgre_kms, cmmtng_wrk_cnss_avrge_dstnce_plce_usl_rsdnce_bchlr_dgre_kms, dwelling_structure_private_dwellings_census_separate_house_num, tenure_type_occupied_private_dwellings_census_owned_mortgage_pc, dwlng_strce_prvte_dwlngs_cns_smi_dtch_rw_trce_hse_twnhse_etc_nm, gccsa_name_2016, method_travel_work_employed_persons_census_worked_home_num, hsng_stblty_occpd_prvte_dwllngs_cnss_bdrms_spre_nm, scl_mrtl_stts_rgstrd_prsns_agd_15_yrs_cnss_mrrd_mrrge_nm, method_travel_work_employed_persons_census_used_one_truck_num, dwelling_structure_private_dwellings_census_stated_num, gftsdntns_rprtd_txpyrs_yr_endd_30_jne_prsns_nm, households_by_type_census_total_households_num, families_by_type_census_couple_families_without_children_num, method_travel_work_employed_persons_census_used_one_taxi_num, dwelling_structure_private_dwellings_census_flat_apartment_num, cmmtng_wrk_cnss_avrge_dstnce_plce_usl_rsdnce_lbrrs_kms, method_travel_work_employed_persons_census_used_one_bicycle_num, commuting_work_census_average_distance_to_place_kms, hshld_strss_cnss_hshlds_rnt_pymnts_grtr_eql_30pc_incme_pc, cmtng_wrk_cns_avrge_dstnce_plce_usl_rsdnce_grdte_dplma_crt_kms, hshld_strss_cnss_hshlds_mrtgge_rpymnts_grtr_eql_30pc_incme_pc, method_travel_work_employed_persons_census_used_one_tram_num, unpd_chld_cre_prprtn_prsns_agd_15_yrs_cnss_sttd_pc, cmtng_wrk_cns_avrge_dstnce_plce_usl_rsdnce_clr_admnstrve_wrks_k, accss_intrnt_hme_occpd_prvte_dwllngs_cnss_accssd_dwllng_pc, unpd_chld_cre_prprtn_prsns_agd_15_yrs_cnss_prvde_pc, tenure_type_occupied_private_dwellings_census_owned_outright_pc, cmmtng_wrk_cnss_mdn_dstnce_plce_usl_rsdnce_bchlr_dgre_kms, households_by_type_census_average_household_size_no_of_persons, method_travel_work_employed_persons_census_used_one_ferry_num, cmmtng_wrk_cnss_avrge_dstnce_plce_usl_rsdnce_kms, tenure_type_occupied_private_dwellings_census_stated_pc, hsng_stblty_occpd_prvte_dwllngs_cnss_extra_bdrms_ndd_nm, commuting_work_census_median_distance_place_usual_residence_kms, fmls_type_cnss_cple_chldrn_15_andr_dpndnt_stdnts_nm, mthd_trvl_wrk_emplyd_prsns_cnss_usd_one_mtr_bksctr_nm, hsng_stblty_occpd_prvte_dwllngs_cnss_bdrms_ndd_spre_nm, tenure_type_occupied_private_dwellings_census_tenure_type_pc, dwelling_structure_private_dwellings_census_other_dwelling_num, unpd_wrk_prsns_agd_15_yrs_cnss_prvdd_assstnce_prsn_a_dsblty_pc, cmmtng_wrk_cnss_mdn_dstnce_plce_usl_rsdnce_crtfcte_ii_kms, method_travel_work_employed_persons_census_used_one_walked_num, cmmtng_wrk_cnss_avrge_dstnce_plce_usl_rsdnce_crtfcte_ii_iv_kms, households_by_type_census_group_households_num, rnt_mrtgge_pymnts_cnss_avrge_mnthly_hshld_rntl_pymnt, families_type_census_one_parent_non_dependent_children_num, count_children_family_census_average_number_of_all_in_num, cmtng_wrk_cns_avrge_dstnce_plce_usl_rsdnce_mchnry_oprts_drvs_km, method_travel_work_employed_persons_census_of_stated_num, unpd_chld_cre_prtn_prsn_agd_15_yrs_cns_crd_chldrn_and_pc, households_by_type_census_family_households_num, method_travel_work_employed_persons_census_total_employed_num, cmmtng_wrk_cnss_mdn_dstnce_plce_usl_rsdnce_advncd_dplma_kms, commuting_work_census_median_distance_to_place_kms, families_by_type_census_other_families_num, cmtng_wrk_cns_avrge_dstnce_plce_usl_rsdnce_cmnty_prsnl_srvce_km, mthd_trvl_wrk_emplyd_prsns_cnss_usd_one_cr_drvr_nm, cmtng_wrk_cns_avrge_dstnce_plce_usl_rsdnce_tchns_trds_wrks_kms, gccsa_code_2016, exprmntl_indx_hsld_advntge_dsvntge_ihd_cns_hsld_asgnd_qrtle_2_p, cmmtng_wrk_cnss_avrge_dstnce_plce_usl_rsdnce_mngrs_kms, cmtng_wrk_cns_mdn_dstnce_plce_usl_rsdnce_mchnry_oprts_drvs_kms, cmmtng_wrk_cnss_mdn_dstnce_plce_usl_rsdnce_crtfcte_ii_iv_kms, cmmtng_wrk_cnss_mdn_dstnce_plce_usl_rsdnce_yr_10_kms, cmmtng_wrk_cnss_avrge_dstnce_plce_usl_rsdnce_prfssnls_kms, households_by_type_census_lone_person_households_num, cmmtng_wrk_cnss_mdn_dstnce_plce_usl_rsdnce_lbrrs_kms, exprmntl_indx_hsld_advntge_dsvntge_ihd_cns_hsld_asgnd_qrtle_4_a, families_type_census_couple_families_non_dependent_children_num, scl_mrtl_stts_rgstrd_prsns_agd_15_yrs_cnss_nvr_mrrd_pc, method_travel_work_employed_persons_census_used_one_total_num, exprmntl_indx_hsld_advntge_dsvntge_ihd_cns_hsld_asgnd_qrtle_3_p, scl_mrtl_stts_rgstrd_prsns_agd_15_yrs_cnss_mrrd_nm, cmmtng_wrk_cnss_mdn_dstnce_plce_usl_rsdnce_fmls_kms, acs_intr_hme_ocpd_prvte_dwlngs_cns_to_at_indqtly_dscrb_std_pc, unpd_chld_cre_prprtn_prsns_agd_15_yrs_cnss_crd_chldchldrn_pc, cmmtng_wrk_cnss_mdn_dstnce_plce_usl_rsdnce_mngrs_kms, rent_mortgage_payments_census_average_monthly_household_payment, exprmntl_indx_hsld_advntge_dsvntge_ihd_cns_hsld_asgnd_qrtle_1_d, method_travel_work_employed_persons_census_used_one_train_num, mthd_trvl_wrk_emplyd_prsns_cnss_usd_one_cr_pssngr_nm, method_travel_work_employed_persons_census_total_used_one, hshld_strss_cnss_hshlds_mrtgge_rpymnts_lss_30pc_incme_pc, mthd_trvl_wrk_emplyd_prsn_cns_ple_trvld_to_cr_drv_psngr_nm, scl_mrtl_st_rgstd_prsn_agd_15_yrs_cns_mrd_de_fcto_mrge_nm, cmmtng_wrk_cnss_mdn_dstnce_plce_usl_rsdnce_yr_9_kms, cmmtng_wrk_cnss_avrge_dstnce_plce_usl_rsdnce_pstgrdte_dgre_kms, fmls_type_cnss_one_prnt_chldrn_15_andr_dpndnt_stdnts_nm, exprmntl_indx_hsld_advntge_dsvntge_ihd_cns_hsld_asgnd_scre_nt_a, mthd_trvl_wrk_emplyd_prsns_cnss_pple_trvlld_to_pblc_trnsprt_nm, homelessness_census_homeless_rate_per_10000_persons_rate, cmmtng_wrk_cnss_avrge_dstnce_plce_usl_rsdnce_mls_kms, giftsdonations_reported_by_taxpayers_year_ended_30_june_median, cmmtng_wrk_cnss_avrge_dstnce_plce_usl_rsdnce_yr_9_kms, scl_mrtl_stts_rgstrd_prsns_agd_15_yrs_cnss_wdwd_pc, scl_mrtl_stts_rgstrd_prsns_agd_15_yrs_cnss_mrrd_pc, cmmtng_wrk_cnss_mdn_dstnce_plce_usl_rsdnce_mls_kms, cmmtng_wrk_cnss_mdn_dstnce_plce_usl_rsdnce_grdte_dplma_crt_kms, method_travel_work_employed_persons_census_used_one_bus_num, families_by_type_census_average_family_size_no_of_persons, unpd_wrk_prsns_agd_15_yrs_cnss_undrtkng_vlntry_orgnstn_grp_pc, method_travel_work_employed_persons_census_go_to_num, scl_mrtl_stts_rgstrd_prsns_agd_15_yrs_cnss_sprtd_pc, cmmtng_wrk_cnss_avrge_dstnce_plce_usl_rsdnce_yr_10_kms, cmtng_wrk_cns_mdn_dstnce_plce_usl_rsdnce_tchns_trds_wrks_kms, families_by_type_census_total_families_num, method_travel_work_employed_persons_census_used_one_method_num, cmtng_wrk_cns_mdn_dstnce_plce_usl_rsdnce_cmnty_prsnl_srvce_kms, tenure_type_occupied_private_dwellings_census_rented_pc, cmmtng_wrk_cnss_avrge_dstnce_plce_usl_rsdnce_fmls_kms, cmmtng_wrk_cnss_avrge_dstnce_plce_usl_rsdnce_sls_wrkrs_kms, dwelling_structure_private_dwellings_census_total_num, cmtng_wrk_cns_mdn_dstnce_plce_usl_rsdnce_clr_admnstrve_wrks_kms, scl_mrtl_stts_rgstrd_prsns_agd_15_yrs_cnss_dvrcd_pc, acs_intr_hme_ocpd_prvte_dwlngs_cns_acsd_dwlng_pc, hshld_strss_cnss_hshlds_rnt_pymnts_lss_30pc_incme_pc, unpd_chld_cre_prtn_prsn_agd_15_yrs_cns_crd_chldrn_pc, cmmtng_wrk_cnss_mdn_dstnce_plce_usl_rsdnce_prfssnls_kms, yr, cmmtng_wrk_cnss_mdn_dstnce_plce_usl_rsdnce_sls_wrkrs_kms, cmmtng_wrk_cnss_avrge_dstnce_plce_usl_rsdnce_crtfcte_ii_kms, cmmtng_wrk_cnss_avrge_dstnce_plce_usl_rsdnce_advncd_dplma_kms
null,null,null,null,null,"Rest of NSW",null,null,null,null,null,454924,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"1RNSW",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2018,null,null,null
null,null,null,null,null,"Greater Sydney",null,null,null,null,null,966867,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"1GSYD",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,164,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2018,null,null,null
null,null,null,null,null,"Rest of Vic.",null,null,null,null,null,287990,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"2RVIC",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,80,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2018,null,null,null
null,null,null,null,null,"Greater Melbourne",null,null,null,null,null,958790,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"2GMEL",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,108,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2018,null,null,null
null,null,null,null,null,"Greater Brisbane",null,null,null,null,null,422443,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"3GBRI",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,110,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2018,null,null,null
null,null,null,null,null,"Rest of Qld",null,null,null,null,null,382699,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"3RQLD",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,90,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2018,null,null,null
null,null,null,null,null,"Rest of SA",null,null,null,null,null,46746,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"4RSAU",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2018,null,null,null
null,null,null,null,null,"Greater Adelaide",null,null,null,null,null,227290,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"4GADE",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,104,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2018,null,null,null
null,null,null,null,null,"Greater Perth",null,null,null,null,null,360923,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"5GPER",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,120,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2018,null,null,null
null,null,null,null,null,"Rest of WA",null,null,null,null,null,69708,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"5RWAU",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,114,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2018,null,null,null
null,null,null,null,null,"Greater Hobart",null,null,null,null,null,45950,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"6GHOB",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2018,null,null,null
null,null,null,null,null,"Rest of Tas.",null,null,null,null,null,38751,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"6RTAS",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2018,null,null,null
null,null,null,null,null,"Rest of NT",null,null,null,null,null,9388,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"7RNTE",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,150,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2018,null,null,null
null,null,null,null,null,"Greater Darwin",null,null,null,null,null,31724,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"7GDAR",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2018,null,null,null
null,null,null,null,null,"Australian Capital Territory",null,null,null,null,null,103217,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"8ACTE",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,200,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2018,null,null,null
null,null,null,null,null,"Other Territories",null,null,null,null,null,273,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"9OTER",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,157,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2018,null,null,null
