estm_prsnl_incme_yr_end_30_jne_sprnt_anty_erns_mdn_age_yrs, estmts_prsnl_incme_yr_endd_30_jne_sprnntn_annty_mn_srce_of_pc, estm_prsnl_incme_yr_end_30_jne_mdn_tl_excl_gvrnmt_pns_alwncs, slctd_gvrnmnt_pnsns_allwncs_30_jne_dsblty_spprt_pnsn_nm, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_scnd_q, estm_prsnl_incme_yr_end_30_jne_uncrptd_bsn_erns_mdn_age_yrs, estimates_personal_income_year_ended_30_june_mean_investment, gccsa_name_2016, ttl_prsnl_incme_wkly_prsns_agd_15_yrs_cnss_ernng_1_499_pr_wk_pc, estimates_personal_income_year_ended_30_june_mean_employee, estm_prsnl_incme_yr_end_30_jne_tl_erns_excl_gvrnmt_pns_alwncs_n, estmts_prsnl_incme_yr_endd_30_jne_unncrprtd_bsnss_mn_srce_of_pc, estm_prsnl_incme_yr_end_30_jne_tl_erns_excl_gvrnmt_pns_alwncs_m, grss_cptl_gns_rprtd_txpyrs_yr_endd_30_jne_by_mdn, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_lwst_q, estmts_prsnl_incme_yr_endd_30_jne_emplye_ernrs_nm, estmts_prsnl_incme_yr_endd_30_jne_unncrprtd_bsnss_ernrs_nm, slctd_gvrnmnt_pnsns_allwncs_30_jne_crr_pymnt_nm, estimates_personal_income_year_ended_30_june_median_employee, ttl_prsnl_incme_wkly_prsns_agd_15_yrs_cnss_ernng_nl_pc, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_p105_r, ttl_prsnl_incme_wkly_prsns_agd_15_yrs_cnss_ngtve_pc, slctd_gvrnmnt_pnsns_allwncs_30_jne_prntng_pymnt_sngle_nm, estm_prsnl_incme_yr_end_30_jne_mn_tl_excl_gvrnmt_pns_alwncs, estimates_personal_income_year_ended_30_june_total_employee_m, estmts_prsnl_incme_yr_endd_30_jne_mdn_sprnntn_annty, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_shre_0, slctd_gvrnmnt_pnsns_allwncs_30_jne_fmly_tx_bnft_b_nm, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_shre_1, estmts_prsnl_incme_yr_endd_30_jne_ttl_sprnntn_annty_m, estimates_personal_income_year_ended_30_june_median_investment, estmts_prsnl_incme_yr_endd_30_jne_mn_sprnntn_annty, ttl_prsnl_incme_wkly_prsns_agd_15_yrs_cnss_ernng_3000_pr_wk_pc, estmts_prsnl_incme_yr_endd_30_jne_ttl_unncrprtd_bsnss_m, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_p805_r, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_p802_r, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_gni_cf, estmts_prsnl_incme_yr_endd_30_jne_invstmnt_ernrs_nm, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_p205_r, estmts_prsnl_incme_yr_endd_30_jne_mn_unncrprtd_bsnss, slctd_gvrnmt_pns_alwncs_30_jne_yth_alwnce_fl_tme_stdnprc_nm, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_m, tl_prsnl_incme_wkly_prsn_agd_15_yrs_cns_erng_500_999_pr_wk_pc, equivalised_total_household_income_census_median_weekly, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_thrd_q, grss_cptl_gns_rprtd_txpyrs_yr_endd_30_jne_by_mn, slctd_gvrnmnt_pnsns_allwncs_30_jne_nwstrt_allwnce_nm, grss_cptl_gns_rprtd_txpyrs_yr_endd_30_jne_by_prsns_nm, slctd_gvrnmnt_pnsns_allwncs_30_jne_cmmnwlth_rnt_assstnce_nm, estimates_personal_income_year_ended_30_june_total_investment_m, estmts_prsnl_incme_yr_endd_30_jne_emplye_mn_srce_of_pc, slctd_gvrnmnt_pnsns_allwncs_30_jne_age_pnsn_cntrlnk_nm, slctd_gvrnmnt_pnsns_allwncs_30_jne_yth_allwnce_nm, estmts_prsnl_incme_yr_endd_30_jne_invstmnt_mn_srce_of_pc, slctd_gvrnmnt_pnsns_allwncs_30_jne_fmly_tx_bnft_nm, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_shre_o, grss_cptl_gns_rprtd_txpyrs_yr_endd_30_jne_by_amnt_m, tl_prsnl_incme_wkly_prsn_agd_15_yrs_cns_erng_2000_2999_pr_wk_pc, slctd_gvrnmnt_pnsns_allwncs_30_jne_crr_allwnce_nm, tl_prsnl_incme_wkly_prsn_agd_15_yrs_cns_erng_1000_1999_pr_wk_pc, yr, tl_prsnl_incme_wkly_prsn_agd_15_yrs_cns_indqtly_dscrb_std_pc, gccsa_code_2016, slctd_gvrnmnt_pnsns_allwncs_30_jne_prntng_pymnt_prtnrd_nm, estmts_prsnl_incme_yr_endd_30_jne_sprnntn_annty_ernrs_nm, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_hgst_q, estmts_prsnl_incme_yr_endd_30_jne_mdn_unncrprtd_bsnss, estmts_prsnl_incme_yr_endd_30_jne_invstmnt_ernrs_mdn_age_yrs, estmts_prsnl_incme_yr_endd_30_jne_emplye_ernrs_mdn_age_yrs
null,null,null,123131,null,null,null,"Rest of NSW",null,null,null,null,null,null,null,null,null,41261,null,null,null,null,35657,null,null,null,null,136741,null,null,null,null,null,null,null,null,null,null,null,null,15530,null,null,null,null,null,91707,null,194526,null,null,381649,13620,null,170910,null,null,null,87473,null,2019,null,"1RNSW",7629,null,null,null,null,null
null,null,null,114740,null,null,null,"Greater Sydney",null,null,null,null,null,null,null,null,null,62652,null,null,null,null,32459,null,null,null,null,194372,null,null,null,null,null,null,null,null,null,null,null,null,36864,null,null,null,null,null,98328,null,213796,null,null,410028,7994,null,244061,null,null,null,121799,null,2019,null,"1GSYD",14576,null,null,null,null,null
null,null,null,64995,null,null,null,"Rest of Vic.",null,null,null,null,null,null,null,null,null,21303,null,null,null,null,17252,null,null,null,null,75181,null,null,null,null,null,null,null,null,null,null,null,null,9774,null,null,null,null,null,49921,null,89930,null,null,206199,6012,null,96686,null,null,null,47425,null,2019,null,"2RVIC",4151,null,null,null,null,null
null,null,null,116842,null,null,null,"Greater Melbourne",null,null,null,null,null,null,null,null,null,48415,null,null,null,null,30812,null,null,null,null,195357,null,null,null,null,null,null,null,null,null,null,null,null,47125,null,null,null,null,null,104676,null,193526,null,null,401393,8666,null,246883,null,null,null,118914,null,2019,null,"2GMEL",13276,null,null,null,null,null
null,null,null,68854,null,null,null,"Greater Brisbane",null,null,null,null,null,null,null,null,null,23345,null,null,null,null,25290,null,null,null,null,117405,null,null,null,null,null,null,null,null,null,null,null,null,19823,null,null,null,null,null,66197,null,151224,null,null,205157,10190,null,144348,null,null,null,54915,null,2019,null,"3GBRI",6967,null,null,null,null,null
null,null,null,85991,null,null,null,"Rest of Qld",null,null,null,null,null,null,null,null,null,32636,null,null,null,null,33339,null,null,null,null,134881,null,null,null,null,null,null,null,null,null,null,null,null,12831,null,null,null,null,null,91067,null,178916,null,null,287795,13109,null,166771,null,null,null,70061,null,2019,null,"3RQLD",8307,null,null,null,null,null
null,null,null,17704,null,null,null,"Rest of SA",null,null,null,null,null,null,null,null,null,5923,null,null,null,null,4596,null,null,null,null,19784,null,null,null,null,null,null,null,null,null,null,null,null,1205,null,null,null,null,null,17126,null,22514,null,null,60004,1943,null,25467,null,null,null,12365,null,2019,null,"4RSAU",1503,null,null,null,null,null
null,null,null,48069,null,null,null,"Greater Adelaide",null,null,null,null,null,null,null,null,null,15998,null,null,null,null,12306,null,null,null,null,62878,null,null,null,null,null,null,null,null,null,null,null,null,14562,null,null,null,null,null,44387,null,75252,null,null,155497,4878,null,79296,null,null,null,37173,null,2019,null,"4GADE",4326,null,null,null,null,null
null,null,null,40316,null,null,null,"Greater Perth",null,null,null,null,null,null,null,null,null,13055,null,null,null,null,18697,null,null,null,null,86216,null,null,null,null,null,null,null,null,null,null,null,null,14524,null,null,null,null,null,60737,null,91285,null,null,179368,7524,null,103265,null,null,null,33686,null,2019,null,"5GPER",4960,null,null,null,null,null
null,null,null,15190,null,null,null,"Rest of WA",null,null,null,null,null,null,null,null,null,4736,null,null,null,null,7325,null,null,null,null,26767,null,null,null,null,null,null,null,null,null,null,null,null,825,null,null,null,null,null,21745,null,22778,null,null,50786,2720,null,31885,null,null,null,9895,null,2019,null,"5RWAU",1984,null,null,null,null,null
null,null,null,10857,null,null,null,"Greater Hobart",null,null,null,null,null,null,null,null,null,3004,null,null,null,null,2657,null,null,null,null,11857,null,null,null,null,null,null,null,null,null,null,null,null,2023,null,null,null,null,null,7248,null,14351,null,null,26960,1238,null,14784,null,null,null,6297,null,2019,null,"6GHOB",700,null,null,null,null,null
null,null,null,16135,null,null,null,"Rest of Tas.",null,null,null,null,null,null,null,null,null,6010,null,null,null,null,3734,null,null,null,null,16647,null,null,null,null,null,null,null,null,null,null,null,null,1597,null,null,null,null,null,12886,null,20493,null,null,44667,1847,null,21263,null,null,null,10605,null,2019,null,"6RTAS",1320,null,null,null,null,null
null,null,null,4814,null,null,null,"Rest of NT",null,null,null,null,null,null,null,null,null,970,null,null,null,null,2068,null,null,null,null,8544,null,null,null,null,null,null,null,null,null,null,null,null,39,null,null,null,null,null,10880,null,1810,null,null,3393,1488,null,9908,null,null,null,1387,null,2019,null,"7RNTE",2079,null,null,null,null,null
null,null,null,3191,null,null,null,"Greater Darwin",null,null,null,null,null,null,null,null,null,759,null,null,null,null,1482,null,null,null,null,5939,null,null,null,null,null,null,null,null,null,null,null,null,260,null,null,null,null,null,4000,null,5162,null,null,6379,511,null,6932,null,null,null,1961,null,2019,null,"7GDAR",299,null,null,null,null,null
null,null,null,8273,null,null,null,"Australian Capital Territory",null,null,null,null,null,null,null,null,null,1583,null,null,null,null,2283,null,null,null,null,12164,null,null,null,null,null,null,null,null,null,null,null,null,3273,null,null,null,null,null,5457,null,9907,null,null,24674,553,null,14610,null,null,null,5880,null,2019,null,"8ACTE",453,null,null,null,null,null
null,null,null,49,null,null,null,"Other Territories",null,null,null,null,null,null,null,null,null,21,null,null,null,null,11,null,null,null,null,132,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,79,null,92,null,null,409,null,null,182,null,null,null,52,null,2019,null,"9OTER",9,null,null,null,null,null
