_2016_deaths, _2019_est_res_population, _2015_deaths, _2018_est_res_population, _2017_std_death_rate, _2013_deaths, _2012_std_death_rate, _2016_est_res_population, _2018_std_death_rate, gcc_code16, _2012_deaths, _2015_std_death_rate, gcc_name16, _2013_std_death_rate, _2016_std_death_rate, _2013_est_res_population, _2019_deaths, _2019_std_death_rate, _2012_est_res_population, _2014_deaths, _2015_est_res_population, _2014_std_death_rate, _2017_deaths, _2017_est_res_population, _2018_deaths, _2014_est_res_population
28564,5312163,28883,5225098,5.0,27314,5.4,5024923,4.9,"1GSYD",26603,5.2,"Greater Sydney",5.3,5.1,4757364,29961,4.8,4677196,28242,4930189,5.2,28210,5136919,28720,4841349
25015,2777654,24571,2755070,6.0,22924,6.2,2707935,5.9,"1RNSW",22600,6.1,"Rest of NSW",6.1,6.1,2646668,25935,5.9,2627048,23919,2685979,6.1,24432,2731017,24740,2667004
26430,5078193,26781,4964713,5.0,24162,5.3,4714387,4.8,"2GMEL",24148,5.1,"Greater Melbourne",5.1,5.1,4370067,29173,4.8,4265843,25561,4586012,5.0,26829,4843928,25484,4476030
12923,1517846,13043,1497306,5.9,11680,6.2,1458785,5.7,"2RVIC",11541,5.9,"Rest of Vic.",6.0,6.0,1402602,13968,5.7,1385248,12396,1436310,5.9,12865,1477678,12649,1418887
12957,2514184,12982,2461597,5.5,12412,5.8,2362672,5.3,"3GBRI",12442,5.6,"Greater Brisbane",5.8,5.5,2241944,14196,5.3,2196288,12603,2318653,5.7,13874,2412517,13222,2281740
16584,2580326,16671,2547827,5.6,15343,6.0,2482480,5.5,"3RQLD",15575,5.6,"Rest of Qld",5.8,5.6,2410880,18146,5.5,2372399,15985,2459039,5.7,17575,2515112,17519,2437913
9845,1359760,10090,1345860,5.5,9480,5.8,1324057,5.4,"4GADE",9789,5.5,"Greater Adelaide",5.6,5.5,1289696,10234,5.3,1277850,9934,1313419,5.6,10310,1334438,9984,1302079
3467,392203,3540,390667,5.9,3301,6.2,388786,5.8,"4RSAU",3363,5.9,"Rest of SA",6.1,5.8,381792,3647,5.8,378875,3296,387249,5.9,3716,389485,3558,384866
11296,2085973,11128,2058568,5.2,10440,5.4,2019263,5.0,"5GPER",10289,5.2,"Greater Perth",5.3,5.2,1943855,11628,4.9,1892862,10573,1998937,5.2,11172,2037902,11214,1973923
3461,535536,3238,535613,6.0,2877,5.9,536715,5.9,"5RWAU",2969,5.8,"Rest of WA",5.8,6.0,543089,3343,5.7,532645,3127,541735,5.8,3249,536291,3356,543685
1888,236136,1860,232691,6.2,1787,6.6,225913,5.9,"6GHOB",1911,6.3,"Greater Hobart",6.5,6.2,219315,2000,5.9,217670,1868,223502,6.5,1986,229260,1773,221365
2700,298321,2765,295607,6.6,2639,6.6,291601,6.2,"6RTAS",2522,6.7,"Rest of Tas.",6.6,6.6,292916,2651,6.0,294054,2595,291615,6.6,2777,293150,2501,292256
518,147255,573,148396,6.3,550,6.6,147102,5.9,"7GDAR",453,7.2,"Greater Darwin",6.9,6.6,138471,585,5.9,133105,535,144914,7.0,522,148919,504,141169
488,98674,560,98662,9.1,493,9.4,98576,9.1,"7RNTE",547,9.4,"Rest of NT",9.0,9.5,103251,505,8.8,102810,574,99778,9.2,556,98598,560,101725
1839,426709,1859,420902,5.1,1700,5.2,403104,5.2,"8ACTE",1706,4.9,"Australian Capital Territory",5.0,4.9,383257,2033,5.2,376539,1813,395813,4.9,2320,411667,2127,388799
