m_2013_14_median_employment_income_per_employed_person_aud, m_2017_18_median_employment_income_per_employed_person_aud, f_2012_13_median_employment_income_per_employed_person_aud, p_2012_13_median_employment_income_per_employed_person_aud, m_2017_18_employed_persons_000, f_2013_14_employed_persons_000, f_2011_12_employed_persons_000, m_2012_13_employed_persons_000, p_2015_16_employed_persons_000, p_2011_12_median_employment_income_per_employed_person_aud, m_2011_12_employed_persons_000, gcc_code16, p_2016_17_employed_persons_000, p_2012_13_employed_persons_000, f_2016_17_median_employment_income_per_employed_person_aud, m_2016_17_median_employment_income_per_employed_person_aud, m_2011_12_median_employment_income_per_employed_person_aud, p_2017_18_employed_persons_000, f_2016_17_employed_persons_000, f_2017_18_employed_persons_000, f_2012_13_employed_persons_000, gcc_name16, f_2015_16_employed_persons_000, f_2013_14_median_employment_income_per_employed_person_aud, f_2011_12_median_employment_income_per_employed_person_aud, f_2017_18_median_employment_income_per_employed_person_aud, m_2012_13_median_employment_income_per_employed_person_aud, p_2013_14_median_employment_income_per_employed_person_aud, m_2015_16_employed_persons_000, m_2014_15_median_employment_income_per_employed_person_aud, p_2015_16_median_employment_income_per_employed_person_aud, f_2015_16_median_employment_income_per_employed_person_aud, p_2014_15_median_employment_income_per_employed_person_aud, p_2013_14_employed_persons_000, f_2014_15_employed_persons_000, p_2014_15_employed_persons_000, m_2016_17_employed_persons_000, p_2011_12_employed_persons_000, m_2015_16_median_employment_income_per_employed_person_aud, p_2016_17_median_employment_income_per_employed_person_aud, f_2014_15_median_employment_income_per_employed_person_aud, p_2017_18_median_employment_income_per_employed_person_aud, m_2013_14_employed_persons_000, m_2014_15_employed_persons_000
47595.0,53282.0,31589.0,38567,744.81,651.013,644.605,723.851,1373.953,37628,723.45,"1RNSW",1415.706,1371.597,36999.0,51261.0,45570.0,1438.804,680.973,693.973,647.741,"Rest of NSW",658.587,32763.0,30664.0,38396,46618.0,39604.0,715.373,48901.0,42707.0,36143.0,40958,1371.03,654.008,1370.83,734.733,1368.05,50666.0,43488.0,34321.0,45236.0,720.018,716.822
53856.0,60020.0,39423.0,45670,1562.3,1279.337,1246.79,1426.706,2813.629,44436,1415.173,"1GSYD",2913.07,2687.159,43955.0,57968.0,51098.0,2979.702,1382.749,1417.347,1260.46,"Greater Sydney",1332.746,40452.5,38327.0,45521,52494.0,46849.0,1480.885,55372.0,50000.0,43298.0,48193,2718.984,1302.976,2755.306,1530.321,2661.965,57215.0,50552.0,41631.0,52342.0,1439.639,1452.327
45585.0,51571.0,29630.0,36520,413.949,363.339,359.067,397.672,768.172,36000,397.973,"2RVIC",786.178,758.105,34711.0,49334.0,43551.0,801.146,379.679,387.193,360.434,"Rest of Vic.",370.17,30933.0,28942.0,36602,44187.0,37890.0,397.997,47047.0,40178.0,33403.0,39207,761.308,366.253,763.594,406.499,757.036,48008.5,41496.0,32202.5,43577.0,397.971,397.341
51954.0,57766.5,36531.0,43400,1420.584,1176.069,1138.245,1281.2,2556.769,42504,1269.73,"2GMEL",2641.981,2436.784,40913.5,55591.0,50000.0,2724.979,1264.698,1304.354,1155.589,"Greater Melbourne",1224.697,37432.0,35705.0,42579,51104.0,44296.0,1332.072,53359.0,47077.0,40014.0,45607,2469.088,1195.802,2499.573,1377.283,2407.974,54859.0,48000.0,38674.0,49876.0,1293.019,1303.777
54933.0,59133.0,37559.0,45132,711.666,607.428,599.845,669.917,1305.57,43956,664.943,"3GBRI",1341.534,1272.779,42126.0,57250.0,52242.0,1374.529,645.189,662.841,602.865,"Greater Brisbane",626.203,38407.5,36600.0,43508,53799.0,46084.0,679.374,55680.0,48505.0,41273.0,47189,1277.91,614.7,1287.012,696.345,1264.788,56636.0,49240.0,39850.0,50807.0,670.478,672.317
50532.0,53897.0,31717.0,39825,725.285,634.882,627.492,720.85,1336.549,38497,713.891,"3RQLD",1368.196,1352.608,36124.0,52050.0,47924.0,1397.276,656.678,671.972,631.76,"Rest of Qld",638.506,32510.0,30704.0,37484,49753.0,40590.5,698.043,51030.0,42623.0,35305.0,41454,1351.35,636.851,1344.285,711.518,1341.384,51760.0,43255.0,33772.0,44823.0,716.474,707.43
45597.0,49985.5,29161.0,36341,105.196,92.209,91.995,106.789,192.405,36190,107.535,"4RSAU",196.427,198.409,33978.0,48495.0,44006.0,197.878,91.923,92.677,91.626,"Rest of SA",89.879,30381.5,28772.0,35070,44060.5,37637.0,102.524,46915.5,39756.0,32769.5,38898,199.238,91.448,197.133,104.504,199.531,47560.5,40929.0,31588.0,42035.0,107.03,105.682
51233.0,55962.0,36304.5,42971,367.905,336.677,333.01,363.443,696.313,41758,363.024,"4GADE",703.043,697.587,40917.0,53935.5,48783.0,715.35,341.499,347.434,334.141,"Greater Adelaide",337.691,37238.0,35177.0,42540,50185.5,44001.0,358.618,52260.0,46368.5,40039.0,45117,700.633,336.192,696.082,361.544,696.031,53188.0,47199.0,38494.0,49012.0,363.955,359.888
65000.0,66699.0,37373.0,49697,615.159,543.747,522.065,641.097,1169.673,47494,619.577,"5GPER",1158.656,1180.362,41050.0,64439.0,61174.0,1161.941,543.765,546.76,539.26,"Greater Perth",544.155,38519.0,35924.0,42426,64186.0,50649.0,625.516,66031.0,52072.0,40952.0,51619,1185.976,545.918,1183.155,614.891,1141.647,65616.0,51554.0,39695.0,53303.0,642.231,637.238
61505.0,63086.0,31926.0,44032,159.339,137.809,134.991,168.086,295.837,42074,165.035,"5RWAU",296.197,305.515,35880.0,61371.5,57191.0,296.699,136.483,137.359,137.428,"Rest of WA",135.685,33185.0,30581.5,36801,60000.0,45381.0,160.151,62646.0,46772.0,35312.0,46455,305.08,137.292,302.217,159.714,300.029,61885.5,46748.0,34492.0,48078.0,167.269,164.923
48712.5,53378.5,36211.0,41495,63.972,58.6,58.472,59.839,120.538,40472,60.619,"6GHOB",123.954,117.98,40389.0,52274.0,46307.0,127.071,61.769,63.097,58.148,"Greater Hobart",59.988,37316.5,34835.0,41896,47252.0,42838.0,60.552,50141.0,45473.0,39686.0,44136,118.377,59.244,119.216,62.185,119.086,51570.5,46179.5,38511.0,47478.0,59.776,59.972
45192.0,50016.0,29410.0,36705,80.365,70.094,70.851,78.706,148.93,35954,79.847,"6RTAS",151.15,148.629,33844.0,48360.0,43273.0,154.112,72.543,73.744,69.921,"Rest of Tas.",71.21,30651.0,28605.0,35225,43936.5,37818.0,77.716,46727.0,40151.0,32934.0,39235,148.157,70.518,148.26,78.607,150.696,47742.0,40976.0,31802.5,42473.5,78.056,77.746
48125.0,51549.5,37552.0,42603,22.206,19.154,19.116,20.83,38.135,41276,20.795,"7RNTE",42.394,39.983,41372.0,49277.0,46801.5,42.763,20.353,20.557,19.152,"Rest of NT",18.298,38570.0,36241.0,43204,47851.0,43258.0,19.837,48340.5,47078.0,42802.0,43990,39.802,19.02,39.508,22.041,39.913,51542.0,45320.5,39786.0,47228.0,20.649,20.486
64546.0,71018.0,45644.0,53708,51.613,43.489,41.619,51.756,96.218,51391,49.364,"7GDAR",96.132,94.317,50352.0,68539.0,58866.0,95.881,43.927,44.267,42.563,"Greater Darwin",43.558,46933.5,44099.5,52245,61861.0,55801.0,52.652,66760.0,59514.0,50082.0,57548,97.362,43.561,97.334,52.205,90.984,69210.0,59504.5,48200.0,61421.0,53.87,53.772
66630.5,72274.0,52357.5,58692,129.038,116.809,115.862,122.425,241.91,56880,121.599,"8ACTE",249.16,239.338,56781.0,70324.5,63310.5,254.687,122.614,125.643,116.909,"Australian Capital Territory",119.14,53750.0,50501.0,58510,65232.0,60046.0,122.775,68080.0,63510.0,56758.0,61256,238.461,117.379,238.851,126.546,237.458,70255.5,63473.0,54610.0,65230.0,121.65,121.469
