german_birthplace_notstated, english_bth_parents_brn_overseas, turkish_birthplace_notstated, sth_african_fath_only_brn_overseas, welsh_moth_only_brn_overseas, sri_lankan_birthplace_notstated, korean_moth_only_brn_overseas, french_fath_only_brn_overseas, maltese_birthplace_notstated, korean_fath_only_brn_overseas, russian_birthplace_notstated, macdonian_fath_only_brn_overseas, spanish_moth_only_brn_overseas, maltese_tot_responses, russian_moth_only_brn_overseas, scottish_moth_only_brn_overseas, other_birthplace_notstated, italian_bth_parents_brn_aus, macedonian_tot_responses, polish_bth_parents_brn_overseas, scottish_bth_parents_brn_aus, english_moth_only_brn_overseas, lebanese_bth_parents_brn_overseas, nz_birthplace_notstated, chinese_bth_parents_brn_aus, french_moth_only_brn_overseas, filipino_moth_only_brn_overseas, spanish_fath_only_brn_overseas, greek_fath_only_brn_overseas, serbian_birthplace_notstated, greek_bth_parents_brn_overseas, serbian_bth_parents_brn_aus, korean_tot_responses, russian_bth_parents_brn_overseas, lebanese_moth_only_brn_overseas, french_tot_responses, turkish_bth_parents_brn_aus, croatian_moth_only_brn_overseas, chinese_birthplace_notstated, sri_lankan_moth_only_brn_overseas, russian_bth_parents_brn_aus, greek_moth_only_brn_overseas, ancestry_notstated_fath_only_brn_overseas, dutch_moth_only_brn_overseas, german_bth_parents_brn_aus, other_bth_parents_brn_overseas, italian_birthplace_notstated, aust_abor_fath_only_brn_overseas, aust_tot_responses, irish_tot_responses, hungarian_fath_only_brn_overseas, chinese_fath_only_brn_overseas, polish_birthplace_notstated, irish_moth_only_brn_overseas, dutch_tot_responses, maltese_moth_only_brn_overseas, indian_birthplace_notstated, greek_tot_responses, polish_bth_parents_brn_aus, sri_lankan_bth_parents_brn_aus, welsh_bth_parents_brn_overseas, indian_bth_parents_brn_overseas, hungarian_tot_responses, english_bth_parents_brn_aus, scottish_birthplace_notstated, tot_p_tot_responses, korean_bth_parents_brn_aus, other_bth_parents_brn_aus, vietnamese_birthplace_notstated, welsh_tot_responses, ancestry_notstated_bth_parents_brn_overseas, maltese_bth_parents_brn_aus, sth_african_tot_responses, dutch_bth_parents_brn_aus, indian_bth_parents_brn_aus, aust_abor_bth_parents_brn_overseas, sth_african_moth_only_brn_overseas, sth_afrcan_bth_parents_brn_aus, german_fath_only_brn_overseas, aust_birthplace_not_stated, maori_birthplace_notstated, polish_fath_only_brn_overseas, russian_fath_only_brn_overseas, indian_tot_responses, chinese_tot_responses, aust_abor_tot_responses, english_tot_responses, irish_bth_parents_brn_overseas, lebanese_birthplace_notstated, korean_bth_parents_brn_overseas, sth_african_bth_parents_brn_overseas, aust_both_parents_born_aust, macdonian_birthplace_notstated, hungarian_moth_only_brn_overseas, dutch_bth_parents_brn_overseas, other_tot_responses, spanish_tot_responses, aust_fath_only_brn_overseas, vietnamese_fath_only_brn_overseas, welsh_birthplace_notstated, italian_moth_only_brn_overseas, french_bth_parents_brn_overseas, dutch_fath_only_brn_overseas, chinese_bth_parents_brn_overseas, vietnamese_moth_only_brn_overseas, filipino_birthplace_notstated, nz_tot_responses, gcc_name16, turkish_fath_only_brn_overseas, ancestry_notstated_tot_responses, tot_p_birthplace_notstated, scottish_bth_parents_brn_overseas, lebanese_fath_only_brn_overseas, hungarian_bth_parents_brn_aus, filipino_tot_responses, french_birthplace_notstated, spanish_bth_parents_brn_overseas, maori_bth_parents_brn_overseas, german_tot_responses, ancestry_notstated_moth_only_brn_overseas, turkish_tot_responses, welsh_bth_parents_brn_aus, other_fath_only_brn_overseas, sri_lankan_bth_parents_brn_overseas, german_bth_parents_brn_overseas, vietnamese_bth_parents_brn_overseas, english_fath_only_brn_overseas, indian_fath_only_brn_overseas, maori_fath_only_brn_overseas, polish_moth_only_brn_overseas, spanish_birthplace_notstated, maori_moth_only_brn_overseas, tot_p_moth_only_brn_overseas, dutch_birthplace_notstated, spanish_bth_parents_brn_aus, chinese_moth_only_brn_overseas, french_bth_parents_brn_aus, italian_fath_only_brn_overseas, polish_tot_responses, croatian_fath_only_brn_overseas, maori_bth_parents_brn_aus, sri_lankan_tot_responses, english_birthplace_notstated, macedonian_bth_parents_brn_overseas, maori_tot_responses, croatian_birthplace_notstated, turkish_moth_only_brn_overseas, vietnamese_tot_responses, nz_bth_parents_brn_aus, lebanese_bth_parents_brn_aus, macdonian_bth_parents_brn_aus, greek_birthplace_notstated, nz_bth_parents_brn_overseas, russian_tot_responses, other_moth_only_brn_overseas, gcc_code16, scottish_tot_responses, sri_lankan_fath_only_brn_overseas, irish_birthplace_notstated, aust_abor_moth_only_brn_overseas, ancestry_notstated_birthplace_notstated, filipino_bth_parents_brn_overseas, indian_moth_only_brn_overseas, italian_tot_responses, croatian_bth_parents_brn_overseas, maltese_bth_parents_brn_overseas, aust_bth_parents_brn_overseas, tot_p_bth_parents_brn_overseas, filipino_bth_parents_brn_aus, serbian_moth_only_brn_overseas, irish_fath_only_brn_overseas, croatian_tot_responses, aust_moth_only_brn_overseas, greek_bth_parents_brn_aus, german_moth_only_brn_overseas, serbian_tot_responses, irish_bth_parents_brn_aus, macdonian_moth_only_brn_overseas, welsh_fath_only_brn_overseas, korean_birthplace_notstated, scottish_fath_only_brn_overseas, tot_p_bth_parents_brn_aus, croatian_bth_parents_brn_aus, maltese_fath_only_brn_overseas, serbian_fath_only_brn_overseas, sth_african_birthplace_notstated, vietnamese_bth_parents_brn_aus, filipino_fath_only_brn_overseas, nz_moth_only_brn_overseas, serbian_bth_parents_brn_overseas, tot_p_fath_only_brn_overseas, aust_abor_bth_parents_brn_aus, italian_bth_parents_brn_overseas, turkish_bth_parents_brn_overseas, lebanese_tot_responses, aust_abor_birthplace_notstated, hungarian_bth_parents_brn_overseas, ancestry_notstated_bth_parents_brn_aus, nz_fath_only_brn_overseas
1604,123170,34,816,1295,36,181,982,149,60,42,1191,514,12284,436,14521,1711,33272,13623,7418,207673,54308,2708,207,5249,788,2682,682,1908,66,6328,608,2799,2666,414,12659,170,447,312,160,1424,755,1250,3201,77250,74159,913,633,1123700,323951,765,977,170,11539,33229,903,139,15037,4511,188,5609,15443,5659,807720,3880,2643536,134,25584,40,18499,4064,4708,6151,9986,918,73,637,502,7664,20320,150,1608,521,17768,26116,19834,1078927,24672,81,2391,4143,955603,152,341,14781,126839,9112,79934,155,206,3064,4148,4922,18223,257,268,16461,"Rest of NSW",287,202203,215740,32584,822,1288,14835,151,5199,4759,112831,890,2467,9280,14639,1835,20947,3476,74496,724,1478,1070,139,1005,104928,338,2585,1344,6591,7845,14769,919,1377,2399,19228,9422,8760,93,125,4048,2350,2083,2258,195,7090,5094,10746,"1RNSW",278714,177,4718,266,172042,10936,543,67680,4606,4894,10227,375394,541,262,17005,7785,57618,5850,5376,4588,266010,600,2115,27,20053,1799833,1722,1632,390,57,118,403,2896,3264,147641,18358,22593,1852,6111,508,3180,23959,3920
1379,302099,234,2581,1753,120,1209,2566,551,394,316,2159,1591,57161,1515,21370,7084,63656,25996,25071,186467,87578,107839,319,10386,1749,6900,1885,11561,281,68548,1870,63766,20232,9517,31573,1386,1994,3776,651,2891,6125,2401,4048,57216,650381,2110,947,1133985,416642,2198,6755,268,23332,44848,3949,1097,117714,6281,430,10219,186035,18979,691161,3272,4823991,412,42742,1234,24048,25529,17794,27160,10722,1546,225,1946,813,11240,15705,402,3473,1572,194018,487976,10908,1220145,76657,1685,61462,21671,798863,194,1152,22843,780981,39432,150269,1215,176,11427,19180,6865,455797,2359,927,38069,"Greater Sydney",2012,304969,313571,66971,20979,2858,102412,317,32639,18156,122901,1832,25001,9230,45358,21799,45192,99632,123096,2883,2792,2625,359,1775,219852,367,2961,11260,7763,24738,37714,3299,1194,23825,16215,19204,24316,319,1161,105449,2969,20346,3206,1186,22099,26529,35422,"1GSYD",307460,822,4423,428,261215,91232,2456,204160,25103,27899,60420,2385354,1160,1035,34033,37480,108726,30297,7874,24053,278188,1228,2677,283,29366,1595035,6767,6967,1646,151,1009,2194,5377,19215,310176,9093,102234,20212,160372,217,12615,13998,7302
1017,62833,21,322,498,17,39,403,105,9,42,257,240,7916,165,7430,934,26517,2567,4220,125650,27642,500,87,3175,281,1168,288,1005,46,3877,276,810,1314,73,5843,166,344,174,126,602,359,697,2897,46024,39880,904,160,574017,186544,422,378,126,5965,30901,521,87,8274,2448,187,2369,9599,3543,434943,2486,1433818,37,13636,34,7876,2627,2719,2523,9610,401,30,224,242,4347,10903,41,868,214,10658,14021,2932,574375,13087,7,721,1704,488879,39,213,13451,65559,3595,40214,82,85,2170,1713,4597,9677,133,153,7204,"Rest of Vic.",222,113603,119909,16810,179,808,7772,87,1823,2038,65903,564,1947,4146,6328,1643,11621,1842,38023,372,463,511,39,313,53395,349,1200,613,3360,5329,8172,702,413,2169,10935,1612,3265,95,80,2140,885,436,534,127,3258,2333,4777,"2RVIC",162731,202,2801,46,95081,6072,203,52352,4420,3514,5782,209446,216,107,9454,7079,28238,2907,2893,2120,155236,125,779,5,10350,974478,1523,1053,199,28,49,159,1326,1487,76584,2611,17425,1456,1194,83,2046,14635,1654
1534,268955,343,2075,1587,316,420,2053,596,130,212,3445,1100,65921,1298,22259,6383,96282,40995,30893,209088,86456,31091,297,7633,1576,4739,1342,14709,242,101172,1598,17002,17237,2731,26901,2068,1813,2568,1568,2279,7656,2248,6162,67693,516901,3660,335,1077375,410092,2118,4396,400,21676,66680,4640,1227,162103,8930,1490,8391,189856,19536,704543,3568,4485211,182,40995,1268,21364,24575,17263,19384,17903,1682,274,1469,717,13025,14361,310,4667,1311,198454,356324,4119,1193051,63765,591,16192,15001,779973,437,1264,32171,629970,23387,136637,1205,165,16031,15410,9866,334084,2366,565,32279,"Greater Melbourne",3232,277920,284254,64908,6027,3247,60497,265,17974,14008,135721,1761,35625,8928,36225,50711,44588,100274,117192,3291,1486,3448,224,1130,206204,585,2745,7642,7598,33118,48332,3291,720,56397,15908,29282,17652,349,1547,105907,2049,4658,5865,1805,19657,22335,29457,"2GMEL",329064,2316,4533,161,233690,53378,2393,300114,24875,35968,47126,2072066,743,862,32220,36030,99278,36758,8884,21406,287902,1966,2301,73,29233,1634121,5698,7451,1486,118,794,1075,4447,17227,288560,3271,151019,28438,45098,80,12689,15644,5826
1533,199516,18,1156,1056,42,400,1255,59,66,73,166,639,6530,578,14759,2504,27498,1569,8069,145974,58079,2172,289,5489,939,3764,804,2568,44,7197,371,14568,5007,339,14808,93,378,698,290,1866,1138,1224,3370,93909,181902,620,498,733813,279484,814,2052,148,14253,35462,566,341,17967,4205,304,6425,50541,6570,495512,2393,2270800,134,26467,225,15885,7932,2643,14726,9090,976,99,932,401,9461,9694,444,1597,657,54231,99593,7161,842199,44864,36,13913,12167,553892,8,393,17219,244232,12563,85746,477,108,3341,7864,5485,87960,752,259,35411,"Greater Brisbane",245,148222,152278,51489,703,1175,28587,117,8967,25130,136453,964,1971,6742,17703,6442,24915,22704,78195,1351,2629,1091,100,1860,120730,293,2048,3399,4638,7517,15109,788,936,7452,10899,1102,31007,55,88,24508,2044,1576,189,219,21662,8185,15656,"3GBRI",234584,376,2906,250,126128,23364,1023,58895,4030,2239,18166,723337,547,241,20412,6452,66318,6855,6636,4735,197050,102,1552,53,19971,1115505,1194,1026,370,66,355,652,5042,3706,158956,6188,19920,1527,4823,124,4147,11974,6372
2113,191185,13,885,962,14,241,1053,116,38,54,109,511,11562,449,13688,2113,38534,976,6032,168328,55604,1107,282,7690,890,3672,773,1642,31,4101,314,7246,3447,209,14460,134,311,404,128,1549,746,1293,3346,115850,100785,923,707,911660,283710,686,1205,117,12182,35079,889,138,11576,3596,273,6252,17640,5550,616695,3175,2419724,100,42590,46,15438,5737,5218,11939,9030,826,109,774,434,8970,14430,298,1130,517,19783,36509,29717,948744,38067,20,6819,9788,742467,3,295,17618,173860,10108,77682,125,196,3823,7089,4754,25539,230,335,32263,"Rest of Qld",187,204054,210272,47860,398,971,24180,183,5926,17302,159307,1078,1463,6604,14464,2340,25622,3300,70642,705,2151,799,106,1641,113304,335,2794,1678,5245,8278,11684,671,1137,2945,14619,602,22530,60,66,3791,2207,1123,199,122,19305,6018,13909,"3RQLD",250975,187,3765,324,176390,18938,471,72517,3381,3836,13815,498673,772,120,16390,5673,63262,4961,6749,2466,213305,66,1421,47,17916,1454144,1245,1504,245,65,86,466,4480,1755,143332,28190,20949,1058,2859,382,3520,19548,5984
646,24220,4,50,158,3,23,72,12,4,4,6,25,676,43,1740,170,3859,67,844,24267,8056,86,18,410,74,348,64,257,4,1463,48,181,236,14,1394,18,43,17,14,134,131,163,603,33762,7494,123,86,159042,29648,106,46,36,1076,6129,62,17,2955,824,14,846,1373,671,110419,478,378074,20,3065,7,2239,657,281,657,1636,90,14,57,16,1742,3173,24,191,34,1590,1988,4600,155220,3297,3,132,530,136640,0,25,3036,12878,718,9903,26,21,370,497,781,1429,33,38,1306,"Rest of SA",12,28801,30867,5285,39,155,2641,16,397,675,41055,155,176,983,1263,175,3636,393,9640,67,110,127,16,122,13973,73,220,86,730,960,2019,123,120,229,2877,38,1059,11,11,480,148,122,12,69,658,445,885,"4RSAU",33916,19,477,29,24195,2153,52,8073,635,234,1556,54740,57,20,1528,1130,7772,1032,1267,272,23275,9,233,4,2139,260570,320,85,23,6,15,39,188,172,17920,4391,2759,132,261,76,371,3627,295
1058,122129,12,357,705,24,160,522,73,53,51,131,260,6130,325,7439,1213,30324,1521,10353,62912,35997,2811,46,1407,373,1391,321,3639,55,19459,543,4206,4140,322,6156,72,370,325,138,820,1618,529,2032,60279,97242,1073,248,400485,104573,607,837,165,5553,20315,499,188,35205,3581,100,4734,29867,4936,272385,1222,1295714,153,12222,183,9849,4236,1893,4041,4990,399,43,334,159,6543,6103,40,1580,382,31444,50216,3526,483198,19825,50,3816,3169,303718,15,246,9960,125363,4684,46149,535,92,4275,2677,3176,46364,533,151,5484,"Greater Adelaide",101,68359,73896,25115,677,962,13232,61,3272,1180,88691,466,1030,3309,8483,3175,16314,18276,46059,571,410,990,48,231,65325,153,783,1284,2519,10009,16669,716,226,3596,6625,952,2092,60,42,19790,494,1102,341,355,2731,5718,6196,"4GADE",106312,156,1272,112,57388,11135,410,87874,4454,2858,10751,458106,262,232,8176,7042,33773,10139,4494,5588,69748,94,1019,27,9623,607386,1446,804,416,24,263,295,863,4341,91001,3036,42195,809,4960,87,3070,5748,1346
626,289892,18,1442,1237,32,245,853,48,90,34,880,490,3901,379,12672,2108,38118,9197,11410,70344,60817,1953,234,2448,690,1782,578,1906,60,6149,335,7716,3865,226,13075,84,1018,674,256,620,939,989,3341,23216,192965,1134,340,549235,178256,459,1859,156,11213,37392,323,360,13548,3076,197,11321,60417,4350,286477,1692,1943858,75,14959,155,18304,8138,1002,24999,8034,1228,104,1306,371,5027,7430,296,1536,304,64933,99229,4600,722500,64677,32,7271,21736,369324,81,301,20638,238239,9886,84847,317,166,6471,9091,5114,91209,612,245,25119,"Greater Perth",182,132434,138046,66278,356,626,28445,119,7282,17605,55298,782,2279,3821,14481,6659,22458,19524,76533,1698,1490,1234,79,1036,115761,272,1454,3031,2322,13473,17417,1979,453,7523,8781,5978,20879,151,110,20790,1065,358,1715,159,16046,5196,13728,"5GPER",167460,382,1908,192,116638,25858,1228,103773,8606,1912,20617,883843,212,255,15233,16875,67022,4395,3968,6161,85233,542,1760,42,16469,657057,5119,623,383,143,194,344,3080,5125,149159,3879,44583,1889,2913,78,2923,5883,4688
257,51017,0,230,274,6,41,168,11,12,15,55,86,644,74,3255,337,10336,651,1686,26268,15623,142,102,653,157,544,96,234,10,476,57,597,479,20,2482,23,110,54,35,170,90,300,988,9873,17422,299,233,209014,45555,84,157,32,2615,9529,59,34,1550,967,28,1754,3255,635,117642,633,524167,14,5300,15,3745,1312,210,3955,2348,227,24,262,107,1318,3603,158,340,55,3816,4312,16050,206721,9690,5,523,3323,164566,11,53,4741,28106,1481,20694,19,45,957,1403,1359,3209,42,88,6597,"Rest of WA",22,54229,56471,11871,24,131,6987,31,835,5123,17510,282,146,1269,2564,435,4857,788,18996,162,537,258,18,422,28237,89,452,239,720,2283,3283,219,261,534,3442,326,6502,17,9,881,410,38,218,18,3891,791,2478,"5RWAU",46188,27,678,97,48500,6132,134,19010,669,237,3381,115500,163,16,3304,1678,16768,730,1207,326,29275,39,415,4,4155,288527,663,119,23,32,17,59,853,220,35430,15444,5140,98,231,249,360,3833,1350
