melanoma_skin_c43_pop, lung_c33_c34_crude_rt_100k, lung_c33_c34_pop, colortl_c18_c20_tot_mort, gccsa_code, melanoma_skin_c43_rt_ratio, pancreas_c25_age_stnd_rt_100k, all_cancs_combined_rt_ratio, lung_c33_c34_rt_ratio, colortl_c18_c20_pop, lymphoma_c81_c86_pop, pancreas_c25_rt_ratio, all_cancs_combined_age_stnd_rt_100k, all_cancs_combined_pop, all_cancs_combined_crude_rt_100k, melanoma_skin_c43_tot_mort, leukaemia_c91_c95_rt_ratio, lung_c33_c34_age_stnd_rt_100k, pancreas_c25_tot_mort, melanoma_skin_c43_age_stnd_rt_100k, leukaemia_c91_c95_age_stnd_rt_100k, leukaemia_c91_c95_crude_rt_100k, lung_c33_c34_tot_mort, pancreas_c25_pop, all_cancs_combined_tot_mort, melanoma_skin_c43_crude_rt_100k, pancreas_c25_crude_rt_100k, lymphoma_c81_c86_age_stnd_rt_100k, colortl_c18_c20_age_stnd_rt_100k, leukaemia_c91_c95_tot_mort, colortl_c18_c20_rt_ratio, lymphoma_c81_c86_rt_ratio, colortl_c18_c20_crude_rt_100k, lymphoma_c81_c86_tot_mort, leukaemia_c91_c95_pop, gccsa_name, lymphoma_c81_c86_crude_rt_100k
23089361,31.5,23089361,3664,"1GSYD",0.9,9.95,0.94,0.94,23089361,23089361,1.02,161.1,23089361,169.65,1326,0.97,30.43,2407,5.45,6.35,6.7,7272,23089361,39171,5.74,10.42,5.72,15.07,1546,0.94,0.98,15.87,1406,23089361,"Greater Sydney",6.09
13043735,49.93,13043735,2816,"1RNSW",1.22,10.07,1.08,1.12,13043735,13043735,1.04,185.45,13043735,255.12,1279,0.96,36.44,1825,7.41,6.24,8.6,6513,13043735,33277,9.81,13.99,5.77,15.71,1122,0.98,0.99,21.59,1046,13043735,"Rest of NSW",8.02
20904141,30.51,20904141,3635,"2GMEL",0.78,9.8,0.94,0.89,20904141,20904141,1.01,160.72,20904141,171.67,1054,1.0,28.93,2171,4.75,6.56,6.99,6377,20904141,35887,5.04,10.39,5.86,16.24,1462,1.01,1.01,17.39,1308,20904141,"Greater Melbourne",6.26
6834239,45.92,6834239,1761,"2RVIC",1.02,10.25,1.09,1.04,6834239,6834239,1.05,186.86,6834239,255.7,563,1.01,33.78,957,6.21,6.56,9.06,3138,6834239,17475,8.24,14.0,6.45,18.78,619,1.17,1.11,25.77,602,6834239,"Rest of Vic",8.81
10753623,31.67,10753623,1832,"3GBRI",1.19,9.29,1.02,1.02,10753623,10753623,0.95,174.47,10753623,167.75,759,1.08,33.21,954,7.25,7.02,6.73,3406,10753623,18039,7.06,8.87,5.03,17.81,724,1.11,0.86,17.04,517,10753623,"Greater Brisbane",4.81
11676787,39.63,11676787,2115,"3RQLD",1.28,9.14,1.04,1.08,11676787,11676787,0.94,179.16,11676787,200.67,1009,1.05,35.06,1198,7.79,6.84,7.54,4628,11676787,23432,8.64,10.26,5.35,16.21,881,1.01,0.92,18.11,687,11676787,"Rest of Qld",5.88
6324519,39.62,6324519,1310,"4GADE",0.75,9.53,0.97,0.99,6324519,6324519,0.98,167.1,6324519,210.47,354,0.97,32.05,754,4.57,6.33,8.03,2506,6324519,13311,5.6,11.92,6.95,16.35,508,1.02,1.19,20.71,557,6324519,"Greater Adelaide",8.81
1877852,42.18,1877852,433,"4RSAU",0.89,9.42,1.02,0.92,1877852,1877852,0.97,174.82,1877852,246.56,140,1.18,30.06,251,5.4,7.7,10.86,792,1877852,4630,7.46,13.37,5.73,16.42,204,1.02,0.98,23.06,152,1877852,"Rest of SA",8.09
9231748,32.64,9231748,1304,"5GPER",0.98,9.43,0.96,1.0,9231748,9231748,0.97,164.58,9231748,167.12,557,0.97,32.37,879,5.95,6.3,6.33,3013,9231748,15428,6.03,9.52,5.78,13.85,584,0.86,0.99,14.13,540,9231748,"Greater Perth",5.85
2609757,33.41,2609757,312,"5RWAU",1.15,9.27,1.01,1.09,2609757,2609757,0.95,173.95,2609757,163.04,174,0.97,35.55,228,7.01,6.34,5.86,872,2609757,4255,6.67,8.74,5.23,12.94,153,0.8,0.9,11.96,125,2609757,"Rest of WA",4.79
1077944,39.71,1077944,262,"6GHOB",0.99,9.95,1.07,1.0,1077944,1077944,1.02,184.09,1077944,225.99,80,1.0,32.54,133,6.05,6.54,7.89,428,1077944,2436,7.42,12.34,6.66,20.01,85,1.24,1.14,24.31,89,1077944,"Greater Hobart",8.26
1471945,50.41,1471945,345,"6RTAS",0.97,11.26,1.13,1.18,1471945,1471945,1.16,194.5,1471945,253.0,110,0.94,38.26,216,5.93,6.13,7.74,742,1471945,3724,7.47,14.67,6.7,18.09,114,1.12,1.15,23.44,126,1471945,"Rest of Tas",8.56
651924,25.31,651924,76,"7GDAR",0.73,7.96,1.24,1.39,651924,651924,0.82,212.46,651924,115.96,23,1.16,45.13,28,4.46,7.54,3.99,165,651924,756,3.53,4.29,5.47,22.35,26,1.39,0.94,11.66,20,651924,"Greater Darwin",3.07
null,26.67,513595,32,"7RNTE",null,9.32,1.21,1.6,513595,null,0.96,207.88,513595,100.66,null,null,52.01,23,null,null,null,137,513595,517,null,4.48,null,13.17,null,0.82,null,6.23,null,null,"Rest of NT",null
1841010,20.31,1841010,266,"8ACTE",0.98,8.63,0.88,0.72,1841010,1841010,0.89,150.72,1841010,134.55,97,0.8,23.39,139,5.95,5.23,4.56,374,1841010,2477,5.27,7.55,5.17,16.16,84,1.0,0.89,14.45,86,1841010,"Australian Capital Territory",4.67
