rgstrd_mtr_vhcls_yr_mnfctre_31_jnry_lss_5_yrs_nm, number_businesses_industry_30_june_arts_recreation_services_num, business_exits_year_ended_30_june_number_non_employing_num, tourist_accommodation_establishments_30_june_15_rooms_num, indstry_emplynt_prtn_of_emplyd_prsn_cns_pblc_admnstr_sfty_pc, rgstrd_mtr_vhcls_type_vhcle_31_jnry_hvy_rgd_trcks_nm, rgstrd_mtr_vhcls_yr_mnfctre_31_jnry_10_yrs_nm, rgstrd_mtr_vhcls_type_vhcle_31_jnry_mtrcycls_nm, registered_motor_vehicles_type_vehicle_31_january_total_num, number_of_businesses_by_industry_as_at_30_june_retail_trade_num, bldng_apprvls_yr_endd_30_jne_ttl_vle_prvte_sctr_dwllng_unts_m, indstry_emplymnt_prprtn_of_emplyd_prsns_cnss_edctn_trnng_pc, nmbr_bsnsss_indstry_30_jne_admnstrtve_spprt_srvcs_nm, bldng_apprvls_yr_endd_30_jne_vle_prvte_sctr_hss_m, rsdntl_prprty_prcs_yr_endd_30_jne_hss_mdn_sle_prce, indstry_emplymnt_prprtn_of_emplyd_prsns_cnss_mnfctrng_pc, rsdntl_prprty_prcs_yr_endd_30_jne_hss_nmbr_trnsfrs_nm, nmbr_bsnsss_indstry_30_jne_elctrcty_gs_wtr_wste_srvcs_nm, number_businesses_industry_30_june_currently_unknown_num, number_businesses_30_june_total_number_of_businesses_num, sa2_name_2016, bsnss_exts_yr_endd_30_jne_nmbr_emplyng_20_emplys_nm, bldng_apprvls_yr_endd_30_jne_prvte_sctr_dwllngs_excldng_hss_nm, bldng_aprvls_yr_end_30_jne_vle_prvte_sctr_dwlngs_excldng_hs_m, rgstrd_mtr_vhcls_yr_mnfctre_31_jnry_5_10_yrs_nm, number_businesses_30_june_of_employing_5_19_employees_num, business_entries_year_ended_30_june_total_number_num, indstry_emplynt_prtn_of_emplyd_prsn_cns_infrmt_mda_tlcmns_pc, indstry_emplynt_prtn_of_emplyd_prsn_cns_elctry_gs_wtr_wste_srvc, rgstrd_mtr_vhcls_type_vhcle_31_jnry_lght_rgd_trcks_nm, number_businesses_30_june_of_employing_20_employees_num, number_businesses_industry_30_june_wholesale_trade_num, building_approvals_year_ended_30_june_private_sector_houses_num, indstry_emplynt_prtn_of_emplyd_prsn_cns_fncl_insrce_srvc_pc, number_of_businesses_by_industry_as_at_30_june_construction_num, nmbr_bsnsss_indstry_30_jne_pblc_admnstrtn_sfty_nm, nmbr_bsnsss_indstry_30_jne_hlth_cre_scl_assstnce_nm, bsnss_exts_yr_endd_30_jne_nmbr_emplyng_5_19_emplys_nm, number_businesses_30_june_of_employing_1_4_employees_num, indstry_emplynt_prtn_of_emplyd_prsn_cns_admnstrve_sprt_srvc_pc, registered_motor_vehicles_type_fuel_31_january_electric_num, indstry_emplynt_prtn_of_emplyd_prsn_cns_acmdtn_fd_srvc_pc, bsnss_entrs_yr_endd_30_jne_nmbr_emplyng_5_19_emplys_nm, indstry_emplymnt_prprtn_of_emplyd_prsns_cnss_whlsle_trde_pc, indstry_emplynt_prtn_of_emplyd_prsn_cns_arts_rctn_srvc_pc, bsnss_exts_yr_endd_30_jne_nmbr_emplyng_1_4_emplys_nm, number_businesses_industry_30_june_manufacturing_num, rgstrd_mtr_vhcls_type_vhcle_31_jnry_nn_frght_crryng_trcks_nm, rgstrd_mtr_vhcls_type_vhcle_31_jnry_cmprvns_nm, indstry_emplynt_prtn_of_emplyd_prsn_cns_prfsnl_scntf_tchnl_srvc, nmbr_bsnsss_indstry_30_jne_agrcltre_frstry_fshng_nm, nmbr_bsnsss_indstry_30_jne_fnncl_insrnce_srvcs_nm, building_approvals_year_ended_30_june_value_non_residential_m, indstry_emplymnt_prprtn_of_emplyd_prsns_cnss_srvcs_pc, nmbr_bsnsss_indstry_30_jne_infrmtn_mda_tlcmmnctns_nm, registered_motor_vehicles_type_vehicle_31_january_buses_num, indstry_emplymnt_prprtn_of_emplyd_prsns_cnss_rtl_trde_pc, building_approvals_year_ended_30_june_total_dwelling_units_num, bsnss_entrs_yr_endd_30_jne_nmbr_emplyng_1_4_emplys_nm, number_businesses_industry_30_june_of_by_total_num, business_entries_year_ended_30_june_number_non_employing_num, indstry_emplymnt_prprtn_of_emplyd_prsns_cnss_cnstrctn_pc, building_approvals_year_ended_30_june_value_of_total_building_m, number_businesses_30_june_of_non_employing_num, building_approvals_year_ended_30_june_value_residential_m, registered_motor_vehicles_type_vehicle_31_january_passenger_num, number_businesses_industry_30_june_services_num, nmbr_bsnsss_indstry_30_jne_trnsprt_pstl_wrhsng_nm, number_of_businesses_by_industry_as_at_30_june_mining_num, business_exits_year_ended_30_june_total_number_num, indstry_emplynt_prtn_of_emplyd_prsn_cns_trnsp_pstl_wrhsng_pc, indstry_emplynt_prtn_of_emplyd_prsn_cns_indqtly_dscrb_std_pc, nmbr_bsnsss_indstry_30_jne_accmmdtn_fd_srvcs_nm, rsdntl_prty_prcs_yr_end_30_jne_atchd_dwlngs_nmbr_trnsf_nm, indstry_emplynt_prtn_of_emplyd_prsn_cns_agrclte_frsty_fshng_pc, rgstrd_mtr_vhcls_type_vhcle_31_jnry_artcltd_trcks_nm, indstry_emplynt_prtn_of_emplyd_prsn_cns_hlt_cre_scl_astnce_pc, rgstrd_mtr_vhcls_type_vhcle_31_jnry_lght_cmmrcl_nm, registered_motor_vehicles_type_fuel_31_january_lpgdualother_num, sa2_maincode_2016, bsnss_entrs_yr_endd_30_jne_nmbr_emplyng_20_emplys_nm, nmbr_bsnsss_indstry_30_jne_rntl_hrng_rl_estte_srvcs_nm, indstry_emplymnt_prprtn_of_emplyd_prsns_cnss_mnng_pc, indstry_emplymnt_prprtn_of_emplyd_prsns_cnss_ttl_nm, rsdntl_prprty_prcs_yr_endd_30_jne_attchd_dwllngs_mdn_sle_prce, yr, registered_motor_vehicles_type_fuel_31_january_petrol_num, number_businesses_industry_30_june_education_training_num, nmbr_bsnsss_indstry_30_jne_prfssnl_scntfc_tchncl_srvcs_nm, bldng_apprvls_yr_endd_30_jne_ttl_prvte_sctr_dwllng_unts_nm, registered_motor_vehicles_type_fuel_31_january_diesel_num, indstry_emplynt_prtn_of_emplyd_prsn_cns_rntl_hrng_rl_est_srvc_p
6867,31,174,null,null,322,10251,1274,23769,107,150,null,67,146,535000.0,null,420,null,3,1905,"Sunbury - South",null,21,4,6641,143,314,null,null,117,34,46,500,null,503,5,87,3,560,null,7,null,8,null,null,52,74,21,41,null,37,191,41,null,9,103,null,521,78,1905,223,null,194,1166,152,18309,128,193,null,225,null,null,67,86,null,60,null,3522,843,"210041241",null,135,null,null,400000.0,2019,18282,20,176,521,4632,null
2598,4,135,null,null,189,3532,217,8470,46,20,null,54,4,540000.0,null,130,3,3,941,"Epping - West",null,70,17,2333,53,234,null,null,69,11,33,9,null,194,9,42,null,175,null,4,null,3,null,null,23,34,10,9,null,3,27,52,null,3,19,null,79,28,941,200,null,73,697,20,6882,37,279,null,156,null,null,43,25,null,32,null,1042,287,"209041433",null,57,null,null,371750.0,2019,6622,12,62,79,1554,null
4732,11,147,null,null,123,4536,547,13196,41,110,null,68,99,552000.0,null,299,6,5,1034,"Mernda",null,66,11,3910,43,295,null,null,45,3,16,329,null,243,5,80,6,248,null,6,null,4,null,null,35,29,5,15,null,7,53,14,null,6,11,null,395,57,1034,232,null,124,735,110,10911,42,237,3,187,null,null,23,22,null,19,null,1518,319,"209041434",null,30,null,null,399000.0,2019,10522,7,106,395,2347,null
3062,5,94,null,null,108,3353,333,9073,45,16,null,42,12,632250.0,null,117,6,3,847,"South Morang (North)",null,16,4,2653,36,185,null,null,45,4,19,32,null,230,5,39,3,225,null,3,null,4,null,null,27,22,null,15,null,3,53,3,null,9,17,null,48,51,847,128,null,20,573,16,7538,40,169,null,122,null,null,25,16,null,27,null,991,247,"209041435",null,56,null,null,410000.0,2019,7345,13,72,48,1477,null
4842,13,192,null,null,328,6111,542,15350,99,56,null,97,53,727500.0,null,193,10,9,1788,"Greenvale - Bulla",null,9,3,4389,88,352,null,null,113,14,45,144,null,503,9,74,5,453,null,3,null,6,null,null,46,40,9,13,null,36,141,16,null,15,26,null,153,63,1788,282,null,73,1243,57,12404,65,230,null,247,null,null,62,12,null,59,null,1846,415,"210051246",null,205,null,null,471000.0,2019,11935,15,120,153,2992,null
5313,19,144,null,null,580,5404,407,14697,105,53,null,68,43,741000.0,null,163,6,6,1745,"Knoxfield - Scoresby",3,37,10,3970,218,256,null,null,179,115,197,98,null,295,3,62,7,446,null,9,null,14,null,null,59,166,null,34,null,5,115,76,null,15,41,null,135,58,1745,182,null,130,966,54,11378,85,127,null,211,null,null,62,53,null,10,null,2071,376,"211011254",null,177,null,null,615000.0,2019,11038,22,216,135,3272,null
2491,38,256,null,null,115,2174,297,6259,116,19,null,85,8,1427500.0,null,37,6,11,2454,"Carlton",5,35,10,1591,251,390,null,null,38,72,62,2,null,203,6,222,14,516,null,7,null,12,null,null,60,53,7,10,null,22,311,384,null,48,29,null,37,69,2454,315,null,413,1622,29,5222,59,138,5,328,null,null,184,359,null,39,null,511,164,"206041117",3,400,null,null,417500.0,2019,4983,45,426,37,1110,null
3020,3,109,null,null,185,3290,187,8852,18,294,null,70,274,576000.0,null,278,null,null,986,"Wollert",null,119,20,2541,16,313,null,null,51,null,22,974,null,187,9,28,3,141,null,4,null,null,null,null,13,14,5,20,null,16,16,7,null,13,20,null,1093,46,986,273,null,300,832,294,7594,29,416,null,127,null,null,35,28,null,69,null,717,388,"209041437",null,43,null,null,400000.0,2019,7118,7,63,1093,1336,null
5624,20,184,null,null,444,7721,964,18255,109,30,null,71,15,675000.0,null,238,9,3,1895,"Lilydale - Coldstream",null,73,15,4892,210,216,null,null,153,48,80,30,null,535,6,65,3,594,null,6,null,9,null,null,44,101,58,34,null,77,116,54,null,16,158,null,118,58,1895,158,null,89,1046,35,12996,124,84,5,232,null,null,61,86,null,35,null,3411,611,"211051278",null,190,null,null,485000.0,2019,12693,23,206,103,4943,null
1423,4,49,null,null,189,3044,378,5908,52,3,null,21,3,625000.0,null,53,null,null,778,"Monbulk - Silvan",null,null,null,1420,79,90,null,null,83,23,62,6,null,191,4,18,6,233,null,3,null,3,null,null,18,37,4,17,null,121,35,5,null,5,27,null,6,23,778,64,null,9,449,4,3866,33,24,3,63,null,null,17,null,null,61,null,1273,230,"211051279",null,60,null,null,null,2019,3899,13,75,6,1772,null
4332,28,283,null,null,140,1577,449,7724,123,221,null,115,null,null,null,null,15,7,2584,"Docklands",3,421,221,1814,245,590,null,null,70,83,124,null,null,247,7,89,14,661,null,16,null,16,null,null,64,44,12,7,null,25,339,175,null,52,34,null,421,162,2584,407,null,397,1597,222,6138,61,103,4,364,null,null,183,548,null,11,null,862,145,"206041118",3,477,null,null,600000.0,2019,5488,42,507,421,2070,null
2151,28,90,null,null,47,4118,454,8609,65,8,null,35,8,744750.0,null,133,4,null,1022,"Mount Dandenong - Olinda",null,null,null,2342,77,133,null,null,38,15,44,9,null,196,null,49,3,277,null,3,null,5,null,null,23,40,null,35,null,37,88,1,null,20,17,null,9,27,1022,103,null,9,662,8,6834,27,27,null,122,null,null,67,null,null,4,null,1169,286,"211051282",null,65,null,null,null,2019,6418,21,195,9,1895,null
1900,4,83,null,null,217,3924,595,7711,31,7,null,27,7,625000.0,null,67,null,3,998,"Wandin - Seville",null,null,null,1868,95,100,null,null,69,24,37,13,null,322,9,15,3,302,null,null,null,3,null,null,22,52,8,26,null,145,48,3,null,3,16,null,13,31,998,71,null,10,578,8,4893,51,47,3,106,null,null,16,8,null,26,null,1865,369,"211051285",3,106,null,null,540000.0,2019,4951,8,77,13,2388,null
2396,30,152,null,null,10,2042,162,6223,152,104,null,59,32,2178250.0,null,96,5,3,1859,"Armadale",null,116,72,1792,149,261,null,null,12,32,63,9,null,153,null,179,5,388,null,17,null,4,null,null,32,37,null,5,null,21,250,27,null,18,34,null,125,49,1859,211,null,132,1293,104,5771,78,35,9,191,null,null,67,172,null,null,null,232,56,"206061135",null,378,null,null,625000.0,2019,5084,35,301,125,1063,null
