yth_15_19_yrs_enggmnt_wrkstdy_cnss_wrkng_fll_tme_stdyng_prt_pc, yth_15_19_yrs_enggmnt_wrkstdy_cnss_ttl_prsns_agd_nm, occptn_emplyd_prsns_prcntge_of_ttl_cnss_tchncns_trds_wrkrs_pc, hghst_yr_schl_cmpltd_prsns_agd_15_yrs_cnss_10_eqvlnt_pc, yth_15_19_yrs_enggmnt_wrkstdy_cnss_wrkng_fll_tme_stdyng_pc, yth_15_19_yrs_engmt_wrkstdy_cns_wrkng_awy_wrk_stdyng_fl_tme_pc, nn_schl_qlfctn_fld_stdy_prsns_agd_15_yrs_cnss_hlth_pc, occptn_emplyd_prsns_prcntge_of_ttl_cnss_lbrrs_pc, lbr_frce_stts_prsns_agd_15_yrs_cnss_ttl_ppltn_and_ovr_nm, yth_15_19_yrs_enggmnt_wrkstdy_cnss_flly_enggd_pc, chldrn_enrld_prschl_prgm_4_5_yr_olds_1_jly_in_wthn_a_lng_dy_cre, jobs_australia_year_ended_30_june_number_employee_manufacturing, labour_force_status_persons_aged_15_years_census_num, labour_force_status_persons_aged_15_years_census_unemployed_num, jbs_astrla_yr_endd_30_jne_nmbr_emplye_trnsprt_pstl_wrhsng, sa2_name_2016, n_schl_qlfctn_fld_stdy_prsn_agd_15_yrs_cns_archte_and_bldng_pc, jobs_in_australia_year_ended_30_june_number_of_jobs_persons, hghst_yr_schl_cmpltd_prsns_agd_15_yrs_cnss_go_pc, chldrn_enrld_prschl_prgm_4_5_yr_olds_1_jly_in_a_nm, jbs_astrla_yr_endd_30_jne_nmbr_emplye_rntl_hrng_rl_estte_srvcs, children_attending_preschool_program_1_july_15_hours_num, jobs_australia_year_ended_30_june_number_employee_construction, n_schl_qlfctn_fld_stdy_prsn_agd_15_yrs_cns_infrmt_tchnlgy_pc, nn_schl_qlfctn_fld_stdy_prsns_agd_15_yrs_cnss_scty_and_cltre_pc, chldrn_enrlld_prschl_prgrm_4_5_yr_olds_1_jly_ttl_in_nm, prsns_nn_schl_qlfctns_agd_15_yrs_cnss_crtfcte_pc, jbs_astrla_yr_endd_30_jne_nmbr_emplye_fnnce_insrnce_srvcs, youth_15_19_years_engagement_workstudy_census_fully_engaged_pc, n_schl_qlfctn_fld_stdy_prsn_agd_15_yrs_cns_of_indqtly_dscrb_std, hghr_edctn_ln_prgrm_hlp_rpymnts_yr_endd_30_jne_txpyrs_rpymnt_nm, chldrn_enrld_prschl_prgm_4_5_yr_olds_1_jly_acrs_one_prvd_type_n, ocptn_emplyd_prsn_prcntge_of_tl_cns_cmnty_prsnl_srvce_wrks_pc, prsns_nn_schl_qlfctns_agd_15_yrs_cnss_advncd_dplmdplma_pc, jbs_astrla_yr_endd_30_jne_nmbr_emplye_hlth_cre_scl_assstnce, jobs_australia_year_ended_30_june_number_employee_jobs_total, chldrn_enrlld_prschl_prgrm_4_5_yr_olds_1_jly_ttl_in_a_nm, jbs_astrla_yr_endd_30_jne_nmbr_emplye_pblc_admnstrtn_sfty, jobs_in_australia_year_ended_30_june_number_of_jobs_males, nn_schl_qlfctn_fld_stdy_prsns_agd_15_yrs_cnss_crtve_arts_pc, yth_15_19_yrs_enggmnt_wrkstdy_cnss_stdyng_fll_tme_wrkng_pc, persons_non_school_qualifications_aged_15_years_census_pc, labour_force_status_persons_aged_15_years_census_pc, jbs_astrla_yr_endd_30_jne_nmbr_emplye_accmmdtn_fd_srvcs, jbs_astrla_yr_endd_30_jne_nmbr_emplye_admnstrtve_spprt_srvcs, prsns_nn_schl_qlfctns_agd_15_yrs_cnss_pstgrdte_dgre_pc, n_schl_qlfctn_fld_stdy_prsn_agd_15_yrs_cns_ntrl_and_physcl_scn, yth_15_19_yrs_enggmnt_wrkstdy_cnss_wrkng_prt_tme_stdyng_fll_pc, prsn_n_schl_qlfctns_agd_15_yrs_cns_grdte_dplmgrte_crtfe_pc, jobs_australia_year_ended_30_june_number_employee_jobs_mining, jobs_in_australia_year_ended_30_june_number_of_jobs_females, occptn_emplyd_prsns_prcntge_of_ttl_cnss_mngrs_pc, hghst_yr_schl_cmpltd_prsns_agd_15_yrs_cnss_11_eqvlnt_pc, yth_15_19_yrs_engmt_wrkstdy_cns_wrkng_fl_tme_stdyng_pc, jbs_astrla_yr_endd_30_jne_nmbr_emplye_agrcltre_frstry_fshng, children_attending_preschool_program_1_july_less_15_hours_num, yth_15_19_yrs_enggmnt_wrkstdy_cnss_wrkng_prt_tme_stdyng_pc, jbs_astrla_yr_endd_30_jne_nmbr_emplye_edctn_trnng, occptn_emplyd_prsns_prcntge_of_ttl_cnss_prfssnls_pc, highest_year_school_completed_persons_aged_15_years_census_8_pc, occptn_emplyd_prsns_prcntge_of_ttl_cnss_indqtly_dscrbd_pc, chldrn_enrlld_prschl_prgrm_4_5_yr_olds_1_jly_in_a_nm, labour_force_status_persons_aged_15_years_census_stated_pc, nn_schl_qlfctn_fld_stdy_prsns_agd_15_yrs_cnss_mxd_prgrmms_pc, jbs_astrla_yr_endd_30_jne_nmbr_emplye_arts_rcrtn_srvcs, jobs_australia_year_ended_30_june_number_employee_retail_trade, n_schl_qlfctn_fld_stdy_prsn_agd_15_yrs_cns_fd_hsptly_and_prsnl, lbr_frce_stts_prsns_agd_15_yrs_cnss_prtcptn_rte_pc, occptn_emplyd_prsns_prcntge_of_ttl_cnss_mchnry_oprtrs_drvrs_pc, ocptn_emplyd_prsn_prcntge_of_tl_cns_clr_admnstrve_wrks_pc, lbr_frce_stts_prsns_agd_15_yrs_cnss_unmplymnt_rte_pc, jbs_astrla_yr_endd_30_jne_nmbr_emplye_whlsle_trde, nn_schl_qlfctn_fld_stdy_prsns_agd_15_yrs_cnss_edctn_pc, labour_force_status_persons_aged_15_years_census_employed_num, sa2_maincode_2016, n_schl_qlfctn_fld_stdy_prsn_agd_15_yrs_cns_engr_and_rltd_tchnlg, occptn_emplyd_prsns_prcntge_of_ttl_cnss_sls_wrkrs_pc, hghst_yr_schl_cmpltd_prsns_agd_15_yrs_cnss_12_eqvlnt_pc, n_schl_qlfctn_fld_stdy_prsn_agd_15_yrs_cns_agrclte_envrmtl_and, yr, hghst_yr_schl_cmpltd_prsns_agd_15_yrs_cnss_9_eqvlnt_pc, jbs_astrla_yr_endd_30_jne_nmbr_emplye_infrmtn_mda_tlcmmnctns, prsns_nn_schl_qlfctns_agd_15_yrs_cnss_bchlr_dgre_pc, hghst_yr_schl_cmpltd_prsns_agd_15_yrs_cnss_of_sttd_pc, jbs_astrl_yr_end_30_jne_nmbr_emply_elctry_gs_wtr_wste_srvc, jbs_astrl_yr_end_30_jne_nmbr_emply_prfsnl_scntf_tchnl_srvc, n_schl_qlfctn_fld_stdy_prsn_agd_15_yrs_cns_mngt_and_cmre_pc, jobs_australia_year_ended_30_june_number_employee_jobs_services, prsns_nn_schl_qlfctns_agd_15_yrs_cnss_indqtly_dscrbd_pc
null,null,null,null,null,null,null,null,null,null,87,null,null,null,null,"Docklands",null,null,null,27,null,110,null,null,null,37,null,null,null,null,null,4,null,null,null,null,126,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10,null,null,null,null,null,102,null,null,null,null,null,null,null,null,null,null,null,null,"206041118",null,null,null,null,2019,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,45,null,null,null,null,"Pearcedale - Tooradin",null,null,null,40,null,106,null,null,null,64,null,null,null,null,null,11,null,null,null,null,123,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17,null,null,null,null,null,80,null,null,null,null,null,null,null,null,null,null,null,null,"212031308",null,null,null,null,2019,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,17,null,null,null,null,"East Melbourne",null,null,null,7,null,23,null,null,null,6,null,null,null,null,null,null,null,null,null,null,28,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3,null,null,null,null,null,19,null,null,null,null,null,null,null,null,null,null,null,null,"206041119",null,null,null,null,2019,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,93,null,null,null,null,"Altona Meadows",null,null,null,60,null,198,null,null,null,157,null,null,null,null,null,15,null,null,null,null,262,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,52,null,null,null,null,null,197,null,null,null,null,null,null,null,null,null,null,null,null,"213021342",null,null,null,null,2019,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,82,null,null,null,null,"Melbourne",null,null,null,13,null,98,null,null,null,26,null,null,null,null,null,5,null,null,null,null,111,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11,null,null,null,null,null,97,null,null,null,null,null,null,null,null,null,null,null,null,"206041122",null,null,null,null,2019,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,153,null,null,null,null,"Brunswick",null,null,null,63,null,205,null,null,null,62,null,null,null,null,null,29,null,null,null,null,238,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25,null,null,null,null,null,180,null,null,null,null,null,null,null,null,null,null,null,null,"206011105",null,null,null,null,2019,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,129,null,null,null,null,"Port Melbourne",null,null,null,43,null,141,null,null,null,26,null,null,null,null,null,4,null,null,null,null,164,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19,null,null,null,null,null,125,null,null,null,null,null,null,null,null,null,null,null,null,"206051130",null,null,null,null,2019,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,57,null,null,null,null,"Armadale",null,null,null,44,null,90,null,null,null,46,null,null,null,null,null,8,null,null,null,null,109,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10,null,null,null,null,null,63,null,null,null,null,null,null,null,null,null,null,null,null,"206061135",null,null,null,null,2019,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,85,null,null,null,null,"Prahran - Windsor",null,null,null,42,null,111,null,null,null,41,null,null,null,null,null,5,null,null,null,null,131,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19,null,null,null,null,null,87,null,null,null,null,null,null,null,null,null,null,null,null,"206061136",null,null,null,null,2019,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,62,null,null,null,null,"Collingwood",null,null,null,12,null,45,null,null,null,3,null,null,null,null,null,null,null,null,null,null,64,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17,null,null,null,null,null,54,null,null,null,null,null,null,null,null,null,null,null,null,"206071141",null,null,null,null,2019,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,47,null,null,null,null,"Hadfield",null,null,null,27,null,57,null,null,null,50,null,null,null,null,null,7,null,null,null,null,97,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37,null,null,null,null,null,73,null,null,null,null,null,null,null,null,null,null,null,null,"210031440",null,null,null,null,2019,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,108,null,null,null,null,"Sunbury",null,null,null,53,null,159,null,null,null,58,null,null,null,null,null,14,null,null,null,null,186,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22,null,null,null,null,null,137,null,null,null,null,null,null,null,null,null,null,null,null,"210041240",null,null,null,null,2019,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,251,null,null,null,null,"Sunbury - South",null,null,null,140,null,401,null,null,null,190,null,null,null,null,null,31,null,null,null,null,468,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51,null,null,null,null,null,327,null,null,null,null,null,null,null,null,null,null,null,null,"210041241",null,null,null,null,2019,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,52,null,null,null,null,"Airport West",null,null,null,34,null,97,null,null,null,59,null,null,null,null,null,9,null,null,null,null,121,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19,null,null,null,null,null,88,null,null,null,null,null,null,null,null,null,null,null,null,"210011226",null,null,null,null,2019,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,146,null,null,null,null,"Bentleigh East (North)",null,null,null,68,null,266,null,null,null,83,null,null,null,null,null,64,null,null,null,null,292,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19,null,null,null,null,null,221,null,null,null,null,null,null,null,null,null,null,null,null,"208021426",null,null,null,null,2019,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,112,null,null,null,null,"Bentleigh East (South)",null,null,null,67,null,196,null,null,null,65,null,null,null,null,null,48,null,null,null,null,227,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22,null,null,null,null,null,160,null,null,null,null,null,null,null,null,null,null,null,null,"208021427",null,null,null,null,2019,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,66,null,null,null,null,"Fitzroy",null,null,null,17,null,65,null,null,null,3,null,null,null,null,null,null,null,null,null,null,70,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,9,null,null,null,null,null,55,null,null,null,null,null,null,null,null,null,null,null,null,"206071142",null,null,null,null,2019,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,66,null,null,null,null,"Murrumbeena",null,null,null,43,null,133,null,null,null,57,null,null,null,null,null,24,null,null,null,null,150,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17,null,null,null,null,null,107,null,null,null,null,null,null,null,null,null,null,null,null,"208021181",null,null,null,null,2019,null,null,null,null,null,null,null,null,null
