slctd_dsblty_crs_chrts_mdl_prsn_lvng_prvte_dwlngs_pc, private_health_taxpayers_report_private_health_insurance_num, slctd_dsblty_crrs_chrctrstcs_mdlld_prsns_lvng_prvte_dwllngs_nm, sa2_maincode_2016, slctd_dsblty_crrs_chrctrstcs_mdlld_prsns_lvng_prvte_dwllngs_pc, slctd_dsblty_crs_chrts_mdl_prsn_lvng_prvte_dwlngs_agd_15_prmy_p, slctd_dsblty_crs_chrts_mdl_prsn_lvng_prvte_dwlngs_n_prmy_nm, sa2_name_2016, slctd_dsblty_crs_chrts_mdl_prsn_lvng_prvte_dwlngs_agd_15_prmy_n, slctd_dsblty_crs_chrts_mdl_prsn_lvng_prvte_dwlngs_mdrte_mld_cre, yr, slctd_dsblty_crs_chrts_mdl_prsn_lvng_prvte_dwlngs_prfnd_svre_cr, slctd_dsblty_crs_chrts_mdl_prsn_lvng_prvte_dwlngs_prfnd_svre__0, slctd_dsblty_crs_chrts_mdl_prsn_lvng_prvte_dwlngs_nm, slctd_dsblty_crs_chrts_mdl_prsn_lvng_prvte_dwlngs_n_prmy_pc, slctd_dsblty_crs_chrts_mdl_prsn_lvng_prvte_dwlngs_mdrte_mld_c_0, core_activity_need_assistance_census_persons_for_activities_pc
null,28,8,"206041120",10.0,null,null,"Flemington Racecourse",null,null,2018,null,null,null,null,null,null
10.8,3246,1834,"212031303",18.1,4.3,812,"Cranbourne South",340,770,2018,458,4.5,1101,8.0,7.6,null
10.2,2115,1457,"209041433",11.4,4.1,724,"Epping - West",374,588,2018,586,4.6,1315,5.6,4.6,null
7.6,4698,2278,"209041434",10.6,3.8,1362,"Mernda",598,1124,2018,755,3.5,1635,6.3,5.2,null
3.1,8135,2159,"206041122",4.4,1.4,1107,"Melbourne",683,1375,2018,727,1.5,1515,2.3,2.8,null
9.4,3407,1571,"209041435",11.8,3.9,943,"South Morang (North)",385,717,2018,535,4.0,1245,7.1,5.4,null
7.2,2229,1378,"209041437",10.0,3.6,707,"Wollert",357,582,2018,556,4.0,986,5.1,4.2,null
9.1,2841,2254,"212031304",12.1,3.9,825,"Cranbourne West",539,948,2018,911,4.9,1697,4.4,5.1,null
8.0,5690,1422,"208021179",11.5,3.2,743,"Elsternwick",322,651,2018,422,3.4,991,6.0,5.3,null
11.2,3742,1696,"207031166",15.5,3.9,1018,"Burwood East",368,900,2018,530,4.9,1229,9.3,8.2,null
4.5,4883,1405,"213051466",7.6,3.3,568,"Point Cook - South",424,647,2018,595,3.2,836,3.1,3.5,null
10.8,9578,4165,"206011105",14.4,2.8,2437,"Brunswick",719,1624,2018,970,3.3,3121,8.4,5.6,null
