estm_prsnl_incme_yr_end_30_jne_sprnt_anty_erns_mdn_age_yrs, estmts_prsnl_incme_yr_endd_30_jne_sprnntn_annty_mn_srce_of_pc, estm_prsnl_incme_yr_end_30_jne_mdn_tl_excl_gvrnmt_pns_alwncs, slctd_gvrnmnt_pnsns_allwncs_30_jne_dsblty_spprt_pnsn_nm, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_scnd_q, sa2_name_2016, estm_prsnl_incme_yr_end_30_jne_uncrptd_bsn_erns_mdn_age_yrs, estimates_personal_income_year_ended_30_june_mean_investment, exprmntl_hshld_wlth_estmts_mdlld_prvte_dwllngs_mn_nt_wrth, ttl_prsnl_incme_wkly_prsns_agd_15_yrs_cnss_ernng_1_499_pr_wk_pc, estimates_personal_income_year_ended_30_june_mean_employee, estm_prsnl_incme_yr_end_30_jne_tl_erns_excl_gvrnmt_pns_alwncs_n, estmts_prsnl_incme_yr_endd_30_jne_unncrprtd_bsnss_mn_srce_of_pc, estm_prsnl_incme_yr_end_30_jne_tl_erns_excl_gvrnmt_pns_alwncs_m, grss_cptl_gns_rprtd_txpyrs_yr_endd_30_jne_by_mdn, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_lwst_q, estmts_prsnl_incme_yr_endd_30_jne_emplye_ernrs_nm, estmts_prsnl_incme_yr_endd_30_jne_unncrprtd_bsnss_ernrs_nm, slctd_gvrnmnt_pnsns_allwncs_30_jne_crr_pymnt_nm, estimates_personal_income_year_ended_30_june_median_employee, ttl_prsnl_incme_wkly_prsns_agd_15_yrs_cnss_ernng_nl_pc, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_p105_r, ttl_prsnl_incme_wkly_prsns_agd_15_yrs_cnss_ngtve_pc, slctd_gvrnmnt_pnsns_allwncs_30_jne_prntng_pymnt_sngle_nm, estm_prsnl_incme_yr_end_30_jne_mn_tl_excl_gvrnmt_pns_alwncs, estimates_personal_income_year_ended_30_june_total_employee_m, estmts_prsnl_incme_yr_endd_30_jne_mdn_sprnntn_annty, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_shre_0, slctd_gvrnmnt_pnsns_allwncs_30_jne_fmly_tx_bnft_b_nm, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_shre_1, estmts_prsnl_incme_yr_endd_30_jne_ttl_sprnntn_annty_m, estimates_personal_income_year_ended_30_june_median_investment, estmts_prsnl_incme_yr_endd_30_jne_mn_sprnntn_annty, ttl_prsnl_incme_wkly_prsns_agd_15_yrs_cnss_ernng_3000_pr_wk_pc, estmts_prsnl_incme_yr_endd_30_jne_ttl_unncrprtd_bsnss_m, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_p805_r, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_p802_r, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_gni_cf, estmts_prsnl_incme_yr_endd_30_jne_invstmnt_ernrs_nm, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_p205_r, estmts_prsnl_incme_yr_endd_30_jne_mn_unncrprtd_bsnss, slctd_gvrnmt_pns_alwncs_30_jne_yth_alwnce_fl_tme_stdnprc_nm, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_m, tl_prsnl_incme_wkly_prsn_agd_15_yrs_cns_erng_500_999_pr_wk_pc, equivalised_total_household_income_census_median_weekly, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_thrd_q, grss_cptl_gns_rprtd_txpyrs_yr_endd_30_jne_by_mn, slctd_gvrnmnt_pnsns_allwncs_30_jne_nwstrt_allwnce_nm, grss_cptl_gns_rprtd_txpyrs_yr_endd_30_jne_by_prsns_nm, slctd_gvrnmnt_pnsns_allwncs_30_jne_cmmnwlth_rnt_assstnce_nm, sa2_maincode_2016, estimates_personal_income_year_ended_30_june_total_investment_m, estmts_prsnl_incme_yr_endd_30_jne_emplye_mn_srce_of_pc, slctd_gvrnmnt_pnsns_allwncs_30_jne_age_pnsn_cntrlnk_nm, slctd_gvrnmnt_pnsns_allwncs_30_jne_yth_allwnce_nm, estmts_prsnl_incme_yr_endd_30_jne_invstmnt_mn_srce_of_pc, slctd_gvrnmnt_pnsns_allwncs_30_jne_fmly_tx_bnft_nm, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_shre_o, grss_cptl_gns_rprtd_txpyrs_yr_endd_30_jne_by_amnt_m, tl_prsnl_incme_wkly_prsn_agd_15_yrs_cns_erng_2000_2999_pr_wk_pc, slctd_gvrnmnt_pnsns_allwncs_30_jne_crr_allwnce_nm, tl_prsnl_incme_wkly_prsn_agd_15_yrs_cns_erng_1000_1999_pr_wk_pc, yr, tl_prsnl_incme_wkly_prsn_agd_15_yrs_cns_indqtly_dscrb_std_pc, slctd_gvrnmnt_pnsns_allwncs_30_jne_prntng_pymnt_prtnrd_nm, estmts_prsnl_incme_yr_endd_30_jne_sprnntn_annty_ernrs_nm, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_hgst_q, estmts_prsnl_incme_yr_endd_30_jne_mdn_unncrprtd_bsnss, estmts_prsnl_incme_yr_endd_30_jne_invstmnt_ernrs_mdn_age_yrs, estmts_prsnl_incme_yr_endd_30_jne_emplye_ernrs_mdn_age_yrs
null,null,null,null,null,"Melbourne Airport",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"210051248",null,null,null,null,null,7,null,null,null,null,null,2019,null,null,null,null,null,null,null
null,null,null,429,null,"Kew",null,null,null,null,null,null,null,null,null,null,null,null,46,null,null,null,null,34,null,null,null,null,269,null,null,null,null,null,null,null,null,null,null,null,null,264,null,null,null,null,null,204,null,716,"207011153",null,null,1166,8,null,367,null,null,null,246,null,2019,null,11,null,null,null,null,null
null,null,null,175,null,"Bulleen",null,null,null,null,null,null,null,null,null,null,null,null,83,null,null,null,null,31,null,null,null,null,283,null,null,null,null,null,null,null,null,null,null,null,null,103,null,null,null,null,null,149,null,311,"207021156",null,null,1542,null,null,378,null,null,null,338,null,2019,null,13,null,null,null,null,null
null,null,null,378,null,"Doncaster",null,null,null,null,null,null,null,null,null,null,null,null,155,null,null,null,null,57,null,null,null,null,656,null,null,null,null,null,null,null,null,null,null,null,null,246,null,null,null,null,null,368,null,767,"207021157",null,null,2468,16,null,860,null,null,null,527,null,2019,null,40,null,null,null,null,null
null,null,null,209,null,"Templestowe",null,null,null,null,null,null,null,null,null,null,null,null,86,null,null,null,null,47,null,null,null,null,380,null,null,null,null,null,null,null,null,null,null,null,null,136,null,null,null,null,null,170,null,300,"207021159",null,null,1640,null,null,516,null,null,null,333,null,2019,null,8,null,null,null,null,null
null,null,null,40,null,"East Melbourne",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34,null,null,null,null,null,null,null,null,null,null,null,null,40,null,null,null,null,null,37,null,116,"206041119",null,null,186,null,null,34,null,null,null,24,null,2019,null,null,null,null,null,null,null
null,null,null,348,null,"Melbourne",null,null,null,null,null,null,null,null,null,null,null,null,39,null,null,null,null,46,null,null,null,null,326,null,null,null,null,null,null,null,null,null,null,null,null,420,null,null,null,null,null,514,null,789,"206041122",null,null,358,43,null,378,null,null,null,89,null,2019,null,16,null,null,null,null,null
null,null,null,152,null,"Aspendale Gardens - Waterways",null,null,null,null,null,null,null,null,null,null,null,null,60,null,null,null,null,26,null,null,null,null,206,null,null,null,null,null,null,null,null,null,null,null,null,80,null,null,null,null,null,90,null,121,"208031183",null,null,728,11,null,327,null,null,null,210,null,2019,null,null,null,null,null,null,null
null,null,null,115,null,"Armadale",null,null,null,null,null,null,null,null,null,null,null,null,24,null,null,null,null,17,null,null,null,null,118,null,null,null,null,null,null,null,null,null,null,null,null,90,null,null,null,null,null,76,null,340,"206061135",null,null,546,null,null,136,null,null,null,87,null,2019,null,null,null,null,null,null,null
null,null,null,383,null,"Cranbourne West",null,null,null,null,null,null,null,null,null,null,null,null,211,null,null,null,null,234,null,null,null,null,1462,null,null,null,null,null,null,null,null,null,null,null,null,155,null,null,null,null,null,443,null,793,"212031304",null,null,867,52,null,1910,null,null,null,441,null,2019,null,102,null,null,null,null,null
null,null,null,637,null,"Brunswick",null,null,null,null,null,null,null,null,null,null,null,null,194,null,null,null,null,58,null,null,null,null,404,null,null,null,null,null,null,null,null,null,null,null,null,559,null,null,null,null,null,565,null,1297,"206011105",null,null,1799,32,null,498,null,null,null,529,null,2019,null,24,null,null,null,null,null
null,null,null,228,null,"Hadfield",null,null,null,null,null,null,null,null,null,null,null,null,146,null,null,null,null,48,null,null,null,null,338,null,null,null,null,null,null,null,null,null,null,null,null,62,null,null,null,null,null,169,null,275,"210031440",null,null,860,8,null,405,null,null,null,319,null,2019,null,38,null,null,null,null,null
null,null,null,302,null,"Sunbury",null,null,null,null,null,null,null,null,null,null,null,null,126,null,null,null,null,114,null,null,null,null,521,null,null,null,null,null,null,null,null,null,null,null,null,76,null,null,null,null,null,263,null,381,"210041240",null,null,1010,30,null,669,null,null,null,391,null,2019,null,19,null,null,null,null,null
null,null,null,386,null,"Collingwood",null,null,null,null,null,null,null,null,null,null,null,null,67,null,null,null,null,133,null,null,null,null,390,null,null,null,null,null,null,null,null,null,null,null,null,126,null,null,null,null,null,446,null,233,"206071141",null,null,377,33,null,427,null,null,null,117,null,2019,null,43,null,null,null,null,null
null,null,null,760,null,"Sunbury - South",null,null,null,null,null,null,null,null,null,null,null,null,346,null,null,null,null,291,null,null,null,null,1450,null,null,null,null,null,null,null,null,null,null,null,null,180,null,null,null,null,null,640,null,1380,"210041241",null,null,2860,77,null,1826,null,null,null,970,null,2019,null,52,null,null,null,null,null
null,null,null,347,null,"Sydenham",null,null,null,null,null,null,null,null,null,null,null,null,195,null,null,null,null,118,null,null,null,null,703,null,null,null,null,null,null,null,null,null,null,null,null,148,null,null,null,null,null,358,null,628,"213011339",null,null,973,24,null,883,null,null,null,405,null,2019,null,45,null,null,null,null,null
null,null,null,321,null,"Taylors Lakes",null,null,null,null,null,null,null,null,null,null,null,null,226,null,null,null,null,76,null,null,null,null,461,null,null,null,null,null,null,null,null,null,null,null,null,179,null,null,null,null,null,321,null,359,"213011340",null,null,1660,23,null,667,null,null,null,692,null,2019,null,14,null,null,null,null,null
null,null,null,350,null,"Altona",null,null,null,null,null,null,null,null,null,null,null,null,114,null,null,null,null,70,null,null,null,null,380,null,null,null,null,null,null,null,null,null,null,null,null,76,null,null,null,null,null,261,null,600,"213021341",null,null,1616,21,null,454,null,null,null,334,null,2019,null,11,null,null,null,null,null
