estimated_resident_population_persons_30_june_34_years_pc, overseas_born_population_census_born_southern_eastern_europe_pc, estimated_resident_population_females_30_june_70_74_years_pc, estimated_resident_population_persons_30_june_20_24_years_pc, estimated_resident_population_persons_30_june_60_64_years_num, estimated_resident_population_females_30_june_50_54_years_num, estmd_rsdnt_pltn_smry_stc_30_jne_wrkng_age_agd_15_64_yrs_nm, estimated_resident_population_persons_30_june_65_69_years_pc, estimated_resident_population_females_30_june_40_44_years_pc, estimated_resident_population_females_30_june_34_years_pc, estimated_resident_population_males_30_june_40_44_years_pc, estimated_resident_population_females_30_june_55_59_years_num, estimated_resident_population_males_30_june_males_85_pc, population_density_as_at_30_june_population_density_personskm2, estimated_resident_population_males_30_june_60_64_years_num, estmtd_rsdnt_ppltn_smmry_sttstcs_30_jne_fmls_ttl_nm, estimated_resident_population_persons_30_june_20_24_years_num, overseas_born_population_census_born_in_south_east_asia_pc, estimated_resident_population_males_30_june_65_69_years_pc, estimated_resident_population_males_30_june_15_19_years_num, estimated_resident_population_males_30_june_50_54_years_num, estimated_resident_population_females_30_june_25_29_years_pc, estimated_resident_population_males_30_june_males_5_9_years_pc, estmd_rsdnt_pltn_smry_stc_30_jne_wrkng_age_agd_15_64_yrs_pc, estimated_resident_population_persons_30_june_5_9_years_pc, estimated_resident_population_females_30_june_females_85_pc, estmtd_rsdnt_ppltn_smmry_sttstcs_30_jne_prsns_ttl_nm, estimated_resident_population_males_30_june_10_14_years_num, estimated_resident_population_females_30_june_65_69_years_num, religious_affiliation_census_other_religions_pc, estimated_resident_population_persons_30_june_55_59_years_num, estimated_resident_population_males_30_june_15_19_years_pc, estimated_resident_population_females_30_june_40_44_years_num, estimated_resident_population_persons_30_june_0_4_years_num, estimated_resident_population_persons_30_june_34_years_num, estimated_resident_population_females_30_june_20_24_years_pc, estimated_resident_population_persons_30_june_80_84_years_pc, estimated_resident_population_females_30_june_15_19_years_num, estimated_resident_population_males_30_june_males_0_4_years_num, estimated_resident_population_females_30_june_0_4_years_pc, australian_citizenship_census_australian_citizenship_stated_pc, brths_dths_yr_endd_31_dcmbr_and_stndrdsd_dth_rte_pr_1000_ppltn, estimated_resident_population_males_30_june_males_5_9_years_num, speaks_language_english_home_census_a_other_than_at_pc, estimated_resident_population_persons_30_june_50_54_years_pc, estimated_resident_population_females_30_june_10_14_years_pc, estimated_resident_population_females_30_june_75_79_years_pc, estimated_resident_population_persons_30_june_70_74_years_num, estimated_resident_population_females_30_june_females_85_num, estimated_resident_population_females_30_june_25_29_years_num, estimated_resident_population_females_30_june_65_69_years_pc, estimated_resident_population_males_30_june_80_84_years_num, religious_affiliation_census_buddhism_pc, estimated_resident_population_males_30_june_20_24_years_num, internal_overseas_migration_30_june_internal_arrivals_num, estimated_resident_population_males_30_june_20_24_years_pc, estimated_resident_population_females_30_june_20_24_years_num, estimated_resident_population_persons_30_june_10_14_years_num, estimated_resident_population_males_30_june_80_84_years_pc, religious_affiliation_census_no_religion_secular_beliefs_pc, sa2_maincode_2016, estimated_resident_population_males_30_june_60_64_years_pc, estimated_resident_population_persons_30_june_35_39_years_num, religious_affiliation_census_inadequately_described_stated_pc, estimated_resident_population_persons_30_june_5_9_years_num, estimated_resident_population_females_30_june_75_79_years_num, estimated_resident_population_persons_30_june_persons_85_pc, estimated_resident_population_males_30_june_75_79_years_num, brths_dths_yr_endd_31_dcmbr_and_ttl_frtlty_rte_pr_fmle, estimated_resident_population_males_30_june_35_39_years_pc, estimated_resident_population_males_30_june_35_39_years_num, estimated_resident_population_females_30_june_50_54_years_pc, estimated_resident_population_females_30_june_10_14_years_num, estimated_resident_population_males_30_june_males_0_4_years_pc, estimated_resident_population_persons_30_june_25_29_years_pc, estimated_resident_population_females_30_june_60_64_years_pc, estimated_resident_population_persons_30_june_45_49_years_pc, estimated_resident_population_persons_30_june_25_29_years_num, religious_affiliation_census_christianity_pc, estimated_resident_population_persons_30_june_40_44_years_num, australian_citizenship_census_not_an_australian_citizen_pc, overseas_born_population_census_total_born_overseas_pc, internal_overseas_migration_30_june_internal_departures_num, estimated_resident_population_females_30_june_70_74_years_num, estimated_resident_population_persons_30_june_15_19_years_pc, estimated_resident_population_persons_30_june_55_59_years_pc, overseas_born_population_census_north_africa_middle_east_pc, religious_affiliation_census_hinduism_pc, estimated_resident_population_persons_30_june_80_84_years_num, estimated_resident_population_males_30_june_34_years_pc, overseas_born_population_census_born_in_north_east_asia_pc, sa2_name_2016, internal_overseas_migration_30_june_net_internal_migration_num, estimated_resident_population_persons_30_june_0_4_years_pc, internal_overseas_migration_30_june_overseas_arrivals_num, religious_affiliation_census_islam_pc, estimated_resident_population_males_30_june_25_29_years_num, estimated_resident_population_males_30_june_70_74_years_num, estimated_resident_population_persons_30_june_15_19_years_num, estimated_resident_population_persons_30_june_70_74_years_pc, estimated_resident_population_females_30_june_80_84_years_num, estimated_resident_population_males_30_june_34_years_num, estimated_resident_population_males_30_june_70_74_years_pc, estimated_resident_population_persons_30_june_40_44_years_pc, estimated_resident_population_females_30_june_5_9_years_pc, overseas_born_population_census_born_in_americas_pc, estimated_resident_population_persons_30_june_50_54_years_num, overseas_born_population_census_born_southern_central_asia_pc, aboriginal_torres_strait_islander_peoples_census_and_pc, estimated_resident_population_males_30_june_65_69_years_num, religious_affiliation_census_judaism_pc, estimated_resident_population_females_30_june_35_39_years_num, estimated_resident_population_males_30_june_40_44_years_num, estimated_resident_population_males_30_june_45_49_years_pc, estimated_resident_population_males_30_june_55_59_years_pc, estimated_resident_population_persons_30_june_60_64_years_pc, estimated_resident_population_persons_30_june_persons_85_num, australian_citizenship_census_australian_citizen_pc, estimated_resident_population_females_30_june_15_19_years_pc, estimated_resident_population_males_30_june_10_14_years_pc, estimated_resident_population_females_30_june_80_84_years_pc, estimated_resident_population_males_30_june_50_54_years_pc, estimated_resident_population_females_30_june_45_49_years_pc, estimated_resident_population_persons_30_june_35_39_years_pc, estmtd_rsdnt_ppltn_smmry_sttstcs_30_jne_mls_ttl_nm, estmtd_rsdnt_ppltn_smmry_sttstcs_30_jne_mdn_age_fmls_yrs, overseas_born_population_census_born_in_north_west_europe_pc, estimated_resident_population_females_30_june_35_39_years_pc, estimated_resident_population_females_30_june_55_59_years_pc, estimated_resident_population_females_30_june_45_49_years_num, internal_overseas_migration_30_june_net_overseas_migration_num, ovrss_brn_ppltn_cnss_ocna_antrctca_excldng_astrla_pc, estimated_resident_population_males_30_june_males_85_num, estimated_resident_population_males_30_june_25_29_years_pc, internal_overseas_migration_30_june_overseas_departures_num, estimated_resident_population_males_30_june_45_49_years_num, births_deaths_year_ended_31_december_and_num, estimated_resident_population_females_30_june_34_years_num, religious_affiliation_census_other_spiritual_beliefs_pc, estimated_resident_population_males_30_june_75_79_years_pc, estmtd_rsdnt_ppltn_smmry_sttstcs_30_jne_mdn_age_prsns_yrs, estimated_resident_population_persons_30_june_75_79_years_pc, estimated_resident_population_females_30_june_0_4_years_num, estmtd_rsdnt_ppltn_smmry_sttstcs_30_jne_mdn_age_mls_yrs, estimated_resident_population_persons_30_june_65_69_years_num, brths_dths_yr_endd_31_dcmbr_and_nm, estimated_resident_population_females_30_june_60_64_years_num, yr, estimated_resident_population_persons_30_june_10_14_years_pc, estimated_resident_population_persons_30_june_75_79_years_num, estimated_resident_population_females_30_june_5_9_years_num, estimated_resident_population_males_30_june_55_59_years_num, estimated_resident_population_persons_30_june_45_49_years_num, overseas_born_population_census_born_in_sub_saharan_africa_pc
3.9,null,4.4,6.7,1676,951,15650,5.7,7.6,4.3,6.4,875,0.9,1246.0,812,12438,1616,null,5.7,867,871,3.8,7.1,64.5,6.8,1.7,24282,881,705,null,1715,7.3,940,1327,959,6.3,1.5,797,627,5.6,null,null,843,null,7.5,7.3,2.7,1107,217,475,5.7,174,null,838,1615,7.1,778,1787,1.5,null,"209031209",6.9,1468,null,1663,335,1.3,342,null,5.8,691,7.6,906,5.3,4.3,6.9,8.2,1048,null,1700,null,null,1798,551,6.9,7.1,null,null,370,3.6,null,"Eltham",-183,5.5,237,null,573,556,1664,4.6,196,426,4.7,7.0,6.6,null,1822,null,null,675,null,777,760,8.1,7.1,6.9,321,null,6.4,7.4,1.6,7.4,8.2,6.0,11844,42.6,null,6.2,7.0,1018,143,null,104,4.8,94,964,null,533,null,2.9,42.0,2.8,700,41.3,1380,null,864,2019,7.4,677,820,840,1982,null
9.0,null,4.6,6.3,606,395,8620,4.5,6.1,8.9,6.8,376,1.7,1625.0,279,6689,825,null,4.1,327,361,8.8,6.3,65.9,5.9,2.9,13071,313,318,null,749,5.1,405,792,1171,5.7,2.7,349,376,6.2,null,null,404,null,5.8,4.5,3.7,578,195,587,4.8,178,null,444,1451,7.0,381,615,2.8,null,"211011251",4.4,1058,null,776,250,2.3,207,null,8.1,516,5.9,302,5.9,8.8,4.9,6.1,1150,null,838,null,null,1512,307,5.2,5.7,null,null,349,9.0,null,"Bayswater",-61,6.1,247,null,563,271,676,4.4,171,575,4.2,6.4,5.6,null,756,null,null,264,null,542,433,6.1,5.8,4.6,302,null,5.2,4.9,2.6,5.7,6.0,8.1,6382,38.1,null,8.1,5.6,400,149,null,107,8.8,98,391,null,596,null,3.2,37.4,3.5,416,36.8,582,null,327,2019,4.7,457,372,373,791,null
7.0,null,3.4,7.1,617,462,8627,3.5,6.8,6.9,7.2,360,1.3,1641.9,281,6478,906,null,3.3,476,406,7.4,7.7,67.8,6.7,2.2,12716,450,246,null,692,7.6,442,799,884,6.2,1.7,418,367,6.7,null,null,479,null,6.8,6.4,2.5,400,144,478,3.8,98,null,504,1127,8.1,402,862,1.6,null,"209041436",4.5,1029,null,846,161,1.8,127,null,8.1,507,7.1,412,5.9,7.1,5.2,7.4,909,null,890,null,null,1267,221,7.0,5.4,null,null,219,7.1,null,"South Morang (South)",-140,6.3,237,null,431,179,894,3.1,121,440,2.9,7.0,5.7,null,868,null,null,203,null,522,448,6.9,5.3,4.9,226,null,6.5,7.2,1.9,6.5,7.9,8.1,6238,37.7,null,8.1,5.6,510,143,null,82,6.9,94,428,null,444,null,2.0,36.2,2.3,432,34.7,449,null,336,2019,6.8,288,367,332,938,null
4.6,null,5.1,6.0,368,199,3691,6.1,6.2,4.2,6.6,181,1.3,85.3,179,2915,352,null,6.4,191,222,4.2,6.4,63.1,6.4,3.1,5849,210,170,null,379,6.5,180,325,267,5.3,1.6,200,172,5.2,null,null,189,null,7.2,7.3,3.0,286,89,121,5.8,36,null,197,470,6.7,155,422,1.2,null,"211051279",6.1,336,null,376,87,2.2,87,null,5.5,160,6.8,212,5.9,4.7,6.5,9.1,274,null,373,null,null,546,149,6.7,6.5,null,null,91,4.9,null,"Monbulk - Silvan",-76,5.6,46,null,153,137,391,4.9,55,145,4.7,6.4,6.4,null,421,null,null,188,null,176,193,8.2,6.7,6.3,126,null,6.9,7.2,1.9,7.6,9.9,5.7,2934,43.8,null,6.0,6.2,290,28,null,37,5.2,18,240,null,122,null,3.0,42.6,3.0,153,41.4,358,null,189,2019,7.2,174,187,198,530,null
8.3,null,4.1,6.9,1227,752,15915,4.5,5.9,8.0,6.6,719,1.2,1917.9,564,12072,1661,null,4.4,718,667,7.7,6.8,66.2,6.6,1.8,24057,781,567,null,1357,6.0,707,1646,1998,6.8,1.6,733,844,6.6,null,null,812,null,5.9,5.5,2.9,954,214,931,4.7,190,null,840,2217,7.0,821,1447,1.6,null,"211051281",4.7,1864,null,1596,351,1.5,312,null,7.8,932,6.2,666,7.0,7.9,5.5,6.4,1902,null,1499,null,null,2244,494,6.0,5.6,null,null,385,8.6,null,"Mooroolbark",-27,6.8,234,null,971,460,1451,4.0,195,1035,3.8,6.2,6.5,null,1419,null,null,525,null,932,792,6.3,5.3,5.1,359,null,6.1,6.5,1.6,5.6,6.4,7.7,11985,36.6,null,7.7,6.0,778,142,null,145,8.1,92,759,null,963,null,2.6,35.8,2.8,802,35.0,1092,null,663,2019,6.0,663,784,638,1537,null
14.9,null,2.6,10.7,1128,645,23994,2.6,6.5,14.4,6.9,696,1.1,5832.4,562,15222,3217,null,2.6,380,634,16.9,3.4,80.0,3.3,1.7,29993,387,409,null,1316,2.6,992,1275,4473,11.2,1.5,386,662,4.0,null,null,497,null,4.3,2.7,1.9,724,254,2579,2.7,178,null,1509,3688,10.2,1708,794,1.2,null,"206011105",3.8,3102,null,979,290,1.4,280,null,11.0,1625,4.2,407,4.5,16.8,3.7,5.6,5028,null,2008,null,null,3680,396,2.6,4.4,null,null,449,15.4,null,"Brunswick",8,4.3,1474,null,2449,328,766,2.4,271,2277,2.2,6.7,3.2,null,1279,null,null,377,null,1477,1016,5.6,4.2,3.8,422,null,2.5,2.6,1.8,4.3,5.6,10.3,14771,33.1,null,9.7,4.6,855,627,null,168,16.6,847,822,null,2196,null,1.9,33.1,1.9,613,33.1,786,null,566,2019,2.6,570,482,620,1677,null
15.4,null,2.5,9.9,430,293,11065,2.4,6.7,14.8,7.8,282,1.1,6349.2,177,7236,1356,null,2.3,207,275,17.3,3.3,80.4,3.1,1.4,13765,207,179,null,522,3.2,484,599,2115,10.8,1.5,222,325,3.8,null,null,217,null,4.1,3.2,1.6,321,98,1252,2.5,85,null,577,1880,8.8,779,438,1.3,null,"206011106",2.7,1556,null,432,117,1.2,86,null,11.9,774,4.0,231,5.0,16.9,3.5,5.6,2329,null,991,null,null,1781,182,3.1,3.8,null,null,207,16.0,null,"Brunswick East",99,4.4,662,null,1077,139,429,2.3,122,1042,2.1,7.2,3.0,null,568,null,null,150,null,782,507,5.7,3.7,3.1,171,null,3.1,3.2,1.7,4.2,5.5,11.3,6529,32.7,null,10.8,3.9,398,281,null,73,16.5,381,371,null,1073,null,1.3,32.9,1.5,274,33.0,329,null,253,2019,3.2,203,215,240,769,null
12.3,null,2.7,9.4,637,395,11738,3.5,7.0,12.1,7.5,402,1.5,4888.5,311,8063,1455,null,3.6,252,361,14.6,4.8,75.5,4.6,2.0,15543,252,273,null,752,3.4,563,752,1916,10.3,1.9,275,389,4.5,null,null,361,null,4.9,3.0,2.2,408,162,1179,3.4,116,null,628,1797,8.4,827,497,1.6,null,"206011107",4.2,1454,null,710,174,1.8,153,null,10.1,756,4.9,245,5.2,14.1,4.0,5.9,2198,null,1127,null,null,1849,217,3.4,4.8,null,null,295,12.6,null,"Brunswick West",-52,4.8,639,null,1019,191,527,2.6,179,939,2.6,7.3,4.3,null,756,null,null,266,null,698,564,6.1,4.7,4.1,277,null,3.4,3.4,2.2,4.8,5.7,9.4,7480,34.0,null,8.7,5.0,459,330,null,115,13.6,309,457,null,977,null,2.0,34.2,2.1,363,34.4,539,null,326,2019,3.2,327,349,350,916,null
8.6,null,3.2,7.7,1680,1098,21897,4.2,6.6,8.7,6.4,986,1.7,3663.0,812,15989,2378,null,4.3,956,1014,9.0,5.6,70.8,5.2,3.2,30927,873,655,null,1932,6.4,1051,1436,2673,7.5,1.8,876,731,4.4,null,null,835,null,6.8,5.4,2.3,978,504,1447,4.1,200,null,1174,2887,7.9,1204,1743,1.3,null,"206031114",5.4,2237,null,1595,372,2.5,302,null,7.1,1068,6.9,870,4.9,9.1,5.4,7.2,2827,null,2010,null,null,2861,507,5.9,6.2,null,null,549,8.6,null,"Essendon - Aberfeldie",26,4.6,855,null,1380,471,1832,3.2,349,1281,3.2,6.5,4.8,null,2112,null,null,642,null,1169,959,7.0,6.3,5.4,758,null,5.5,5.8,2.2,6.8,7.4,7.2,14938,37.9,null,7.3,6.2,1176,442,null,254,9.2,413,1040,null,1392,null,2.0,37.1,2.2,705,36.0,1297,null,868,2019,5.6,674,760,946,2216,null
10.7,null,2.8,7.6,1303,827,20858,3.6,6.7,10.3,7.8,735,1.8,4211.1,613,14905,2219,null,3.5,583,785,10.2,5.3,71.4,5.2,2.4,29202,617,548,null,1396,4.1,993,1781,3121,7.8,2.1,631,902,5.9,null,null,754,null,5.5,4.0,2.7,799,360,1515,3.7,257,null,1062,2795,7.4,1157,1219,1.8,null,"206011108",4.3,2743,null,1523,401,2.1,343,null,9.4,1346,5.5,602,6.3,10.6,4.6,7.0,3088,null,2105,null,null,3022,424,4.2,4.8,null,null,613,11.1,null,"Coburg",-227,6.1,914,null,1573,375,1214,2.7,356,1589,2.6,7.2,5.2,null,1612,null,null,494,null,1397,1112,6.8,4.6,4.5,623,null,4.2,4.3,2.4,5.5,7.3,9.4,14297,36.2,null,9.4,4.9,1089,555,null,263,11.0,359,968,null,1532,null,2.4,35.8,2.5,879,35.3,1042,null,690,2019,4.2,744,769,661,2057,null
