_2016_deaths, _2019_est_res_population, _2015_deaths, _2018_est_res_population, _2017_std_death_rate, _2013_deaths, _2012_std_death_rate, _2016_est_res_population, sa2_name16, _2018_std_death_rate, _2012_deaths, _2015_std_death_rate, _2013_std_death_rate, _2016_std_death_rate, _2013_est_res_population, _2019_deaths, _2019_std_death_rate, _2012_est_res_population, _2014_deaths, _2015_est_res_population, _2014_std_death_rate, _2017_deaths, _2017_est_res_population, _2018_deaths, sa2_code16, _2014_est_res_population
134,22234,120,22040,5.9,107,5.5,21275,"Prahran - Windsor",5.8,111,5.5,5.3,5.7,19977,153,6.2,19401,124,20834,5.4,139,21742,116,"206061136",20481
36,10984,27,10377,5.5,29,5.6,9235,"Collingwood",5.1,24,6.7,5.4,6.8,7427,29,4.2,7209,41,8582,6.6,31,9826,26,"206071141",8022
32,6165,41,6036,4.3,36,5.4,5911,"Hadfield",4.2,41,4.3,4.4,3.9,5648,40,4.7,5592,41,5803,4.3,51,5982,42,"210031440",5726
62,13558,65,13397,5.0,43,5.4,13238,"Sunbury",4.8,58,5.1,5.1,5.4,13088,67,4.8,13077,56,13170,5.2,54,13306,65,"210041240",13129
144,30635,134,29373,5.2,134,5.7,27686,"Sunbury - South",5.0,131,5.2,5.5,5.1,25685,153,4.8,25350,135,26779,5.4,164,28452,137,"210041241",26191
52,11903,63,11726,6.5,35,5.3,11259,"Fitzroy",5.3,43,5.6,4.7,6.1,10705,99,6.7,10507,45,11056,4.9,56,11479,42,"206071142",10880
41,8418,39,8286,4.5,35,4.5,8038,"Hughesdale",4.1,34,4.7,4.3,4.9,7648,34,3.6,7528,47,7882,4.5,41,8184,32,"208021180",7748
15,19473,20,18380,null,12,null,15147,"Point Cook - South",null,6,null,null,null,9987,21,3.7,8260,10,13366,null,18,16847,15,"213051466",11679
105,11498,131,11399,5.1,110,5.9,11229,"Blackburn South",4.7,149,5.7,5.6,5.6,11010,80,4.3,10982,141,11101,6.1,115,11318,95,"207031162",11046
70,10674,72,10607,4.3,57,5.1,10456,"Surrey Hills (East) - Mont Albert",4.0,69,4.3,4.6,4.4,10228,79,4.3,10164,60,10356,4.2,61,10532,65,"207031167",10288
173,16955,191,16883,5.3,187,5.6,16718,"Brighton East",5.0,166,5.9,5.5,5.5,16372,179,5.1,16216,176,16585,5.7,171,16774,155,"208011170",16473
95,12353,91,12142,5.5,88,5.0,11463,"Cheltenham - Highett (West)",5.4,80,5.2,5.1,5.4,10817,111,5.6,10696,84,11226,4.9,78,11750,80,"208011171",11050
105,19344,71,19103,4.0,61,4.4,18611,"Hampton",4.7,110,3.4,4.1,3.9,17999,99,4.4,17838,97,18345,4.1,105,18868,120,"208011172",18165
147,29993,145,29186,5.8,133,6.3,27435,"Brunswick",5.6,136,6.0,6.2,6.1,25384,141,5.5,24656,147,26799,6.1,141,28220,142,"206011105",26155
40,13765,41,13301,4.3,49,4.9,11716,"Brunswick East",3.9,32,4.5,5.1,3.9,9870,48,3.9,9208,24,11062,4.3,37,12560,36,"206011106",10439
58,11081,70,10969,4.4,76,4.5,10465,"Pascoe Vale South",4.1,56,5.2,4.5,4.8,10038,72,4.2,9954,71,10251,4.7,65,10763,61,"206011109",10122
14,15701,10,14985,null,5,null,11832,"Docklands",null,4,null,null,null,7988,18,null,6802,7,10444,null,9,13694,7,"206041118",9170
27,5918,31,5743,4.9,45,7.6,5475,"East Melbourne",4.7,40,5.6,7.0,4.7,5333,37,5.1,5280,47,5411,6.3,54,5661,31,"206041119",5374
0,91,0,91,null,0,null,91,"Flemington Racecourse",null,0,null,null,null,88,0,null,87,0,90,null,0,91,0,"206041120",89
50,7010,63,6924,5.2,42,4.8,6453,"South Yarra - West",5.7,51,4.6,4.4,4.8,6393,123,8.6,6400,51,6405,4.5,72,6814,74,"206041125",6397
100,14422,126,14191,4.8,105,4.2,13767,"Bentleigh East (South)",4.2,99,5.2,4.5,5.2,13003,97,3.8,12890,102,13467,4.8,88,14023,95,"208021427",13228
133,25048,134,24509,3.9,136,4.0,23586,"Bentleigh - McKinnon",3.8,120,4.4,4.1,4.2,22759,152,4.0,22388,167,23295,4.3,135,24092,139,"208021174",23067
