births_2017_18, births_2016_17, erp_change_number_2018_19, erp_change_per_cent_2018_19, deaths_2018_19, sa2_name_2016, internal_departures_2018_19, pop_density_2019_people_per_km2, gccsa_name_2016, natural_increase_2018_19, overseas_departures_2018_19, natural_increase_2017_18, overseas_departures_2017_18, internal_arrivals_2017_18, deaths_2017_18, internal_arrivals_2016_17, state_name_2016, internal_departures_2016_17, deaths_2016_17, erp_2017, erp_2018, erp_2019, net_internal_migration_2017_18, net_overseas_migration_2016_17, sa3_name_2016, net_internal_migration_2018_19, net_overseas_migration_2018_19, overseas_arrivals_2016_17, area_km2, overseas_arrivals_2017_18, state_code_2016, erp_2008, erp_2009, erp_2006, erp_2007, net_internal_migration_2016_17, erp_2012, erp_2011, erp_2010, erp_2016, erp_2015, erp_2014, erp_2013, sa4_name_2016, overseas_arrivals_2018_19, internal_departures_2017_18, natural_increase_2016_17, sa2_maincode_2016, sa4_code_2016, overseas_departures_2016_17, erp_2001, erp_2003, erp_2002, erp_2005, erp_2004, internal_arrivals_2018_19, gccsa_code_2016, net_overseas_migration_2017_18, births_2018_19, sa3_code_2016
88,93,110,1.00220000743866,62,"Burwood East",1038,2600.51611328125,"Greater Melbourne",2,238,24,216,771,64,710,"Victoria",971,78,10871,10976,11086,-281,345,"Whitehorse - West",-251,359,539,4.26300001144409,578,2,10408,10525,10239,10312,-261,10636,10614,10572,10772,10713,10685,10667,"Melbourne - Inner East",597,1052,15,"207031166",207,194,10180,10145,10140,10183,10165,787,"2GMEL",362,64,20703
229,207,80,0.404399991035461,109,"Lilydale - Coldstream",1930,181.565902709961,"Greater Melbourne",149,48,132,44,1767,97,1651,"Victoria",1638,117,19630,19780,19860,-58,79,"Yarra Ranges",-144,75,118,109.381797790527,120,2,17889,18306,17169,17445,13,18668,18517,18454,19448,19212,18925,18778,"Melbourne - Outer East",123,1825,90,"211051278",211,39,16176,16656,16472,16904,16719,1786,"2GMEL",76,258,21105
95,99,67,0.631699979305267,62,"Surrey Hills (East) - Mont Albert",1182,3207.42797851562,"Greater Melbourne",27,267,33,250,1041,62,927,"Victoria",1039,71,10532,10607,10674,-99,160,"Whitehorse - West",-93,133,387,3.32789993286133,391,2,10014,10150,9643,9832,-112,10164,10145,10207,10456,10356,10288,10228,"Melbourne - Inner East",400,1140,28,"207031167",207,227,9243,9414,9271,9522,9466,1089,"2GMEL",141,89,20703
125,127,72,0.426499992609024,162,"Brighton East",1520,3023.19775390625,"Greater Melbourne",-22,235,-38,219,1481,163,1492,"Victoria",1562,184,16774,16883,16955,-28,183,"Bayside",-79,173,381,5.60830020904541,394,2,15739,15958,15265,15460,-70,16216,16087,16060,16718,16585,16473,16372,"Melbourne - Inner South",408,1509,-57,"208011170",208,198,14355,14782,14585,15011,14876,1441,"2GMEL",175,140,20801
216,238,397,1.61029994487762,66,"South Yarra - East",3439,9951.9306640625,"Greater Melbourne",147,1361,162,1277,3020,54,2936,"Victoria",2612,70,23657,24654,25051,116,815,"Stonnington - West",-433,683,1977,2.51719999313354,1996,2,14860,15292,14406,14572,324,17116,15778,15566,22350,20587,19382,18062,"Melbourne - Inner",2044,2904,168,"206061137",206,1162,12922,13626,13441,14110,13831,3006,"2GMEL",719,213,20606
155,163,211,1.73780000209808,88,"Cheltenham - Highett (West)",1417,2322.07983398438,"Greater Melbourne",79,104,79,96,1389,76,1129,"Victoria",1040,87,11750,12142,12353,199,122,"Bayside",22,110,208,5.31979990005493,210,2,10228,10431,9837,10008,89,10696,10544,10523,11463,11226,11050,10817,"Melbourne - Inner South",214,1190,76,"208011171",208,86,9657,9677,9672,9750,9701,1439,"2GMEL",114,167,20801
56,64,-10,-0.170699998736382,24,"Monbulk - Silvan",546,85.3180999755859,"Greater Melbourne",38,18,28,17,472,28,414,"Victoria",456,23,5855,5859,5849,-52,29,"Yarra Ranges",-76,28,44,68.5551986694336,45,2,5707,5736,5609,5649,-42,5774,5732,5747,5827,5791,5791,5788,"Melbourne - Outer East",46,524,41,"211051279",211,15,5753,5712,5743,5623,5680,470,"2GMEL",28,62,21105
287,257,2283,12.9892997741699,39,"Beaconsfield - Officer",1847,482.2744140625,"Greater Melbourne",330,52,251,47,3417,36,2428,"Victoria",915,22,15446,17576,19859,1798,86,"Cardinia",1874,79,127,41.1777992248535,128,2,7166,7559,6773,6878,1513,8931,8223,7769,13612,11784,10331,9610,"Melbourne - South East",131,1619,235,"212011287",212,41,3707,4852,4153,6244,5643,3721,"2GMEL",81,369,21201
101,80,129,2.13720011711121,34,"Hadfield",577,2021.24523925781,"Greater Melbourne",80,29,47,26,605,54,480,"Victoria",510,35,5982,6036,6165,-38,56,"Moreland - North",5,44,80,3.05010008811951,71,2,5452,5506,5425,5423,-30,5592,5571,5544,5911,5803,5726,5648,"Melbourne - North West",73,643,45,"210031440",210,24,5711,5481,5579,5424,5461,582,"2GMEL",45,114,21003
130,141,464,3.48850011825562,42,"Brunswick East",1781,6349.169921875,"Greater Melbourne",84,381,87,354,1852,43,1894,"Victoria",1474,37,12560,13301,13765,361,320,"Brunswick - Coburg",99,281,641,2.16799998283386,647,2,8313,8586,7803,8058,420,9208,8966,8789,11716,11062,10439,9870,"Melbourne - Inner",662,1491,104,"206011106",206,321,7263,7329,7304,7658,7514,1880,"2GMEL",293,126,20601
