german_birthplace_notstated, english_bth_parents_brn_overseas, turkish_birthplace_notstated, sth_african_fath_only_brn_overseas, welsh_moth_only_brn_overseas, sri_lankan_birthplace_notstated, korean_moth_only_brn_overseas, french_fath_only_brn_overseas, maltese_birthplace_notstated, korean_fath_only_brn_overseas, russian_birthplace_notstated, macdonian_fath_only_brn_overseas, spanish_moth_only_brn_overseas, maltese_tot_responses, russian_moth_only_brn_overseas, scottish_moth_only_brn_overseas, other_birthplace_notstated, italian_bth_parents_brn_aus, macedonian_tot_responses, polish_bth_parents_brn_overseas, scottish_bth_parents_brn_aus, english_moth_only_brn_overseas, lebanese_bth_parents_brn_overseas, nz_birthplace_notstated, chinese_bth_parents_brn_aus, french_moth_only_brn_overseas, filipino_moth_only_brn_overseas, spanish_fath_only_brn_overseas, greek_fath_only_brn_overseas, serbian_birthplace_notstated, greek_bth_parents_brn_overseas, serbian_bth_parents_brn_aus, korean_tot_responses, russian_bth_parents_brn_overseas, lebanese_moth_only_brn_overseas, french_tot_responses, turkish_bth_parents_brn_aus, croatian_moth_only_brn_overseas, chinese_birthplace_notstated, sri_lankan_moth_only_brn_overseas, russian_bth_parents_brn_aus, greek_moth_only_brn_overseas, ancestry_notstated_fath_only_brn_overseas, dutch_moth_only_brn_overseas, german_bth_parents_brn_aus, other_bth_parents_brn_overseas, italian_birthplace_notstated, aust_abor_fath_only_brn_overseas, aust_tot_responses, irish_tot_responses, hungarian_fath_only_brn_overseas, chinese_fath_only_brn_overseas, polish_birthplace_notstated, irish_moth_only_brn_overseas, dutch_tot_responses, maltese_moth_only_brn_overseas, indian_birthplace_notstated, greek_tot_responses, polish_bth_parents_brn_aus, sri_lankan_bth_parents_brn_aus, welsh_bth_parents_brn_overseas, indian_bth_parents_brn_overseas, hungarian_tot_responses, english_bth_parents_brn_aus, scottish_birthplace_notstated, tot_p_tot_responses, korean_bth_parents_brn_aus, other_bth_parents_brn_aus, vietnamese_birthplace_notstated, welsh_tot_responses, ancestry_notstated_bth_parents_brn_overseas, maltese_bth_parents_brn_aus, sth_african_tot_responses, dutch_bth_parents_brn_aus, indian_bth_parents_brn_aus, aust_abor_bth_parents_brn_overseas, sth_african_moth_only_brn_overseas, sth_afrcan_bth_parents_brn_aus, german_fath_only_brn_overseas, aust_birthplace_not_stated, maori_birthplace_notstated, polish_fath_only_brn_overseas, russian_fath_only_brn_overseas, indian_tot_responses, chinese_tot_responses, sa2_name16, aust_abor_tot_responses, english_tot_responses, irish_bth_parents_brn_overseas, lebanese_birthplace_notstated, korean_bth_parents_brn_overseas, sth_african_bth_parents_brn_overseas, aust_both_parents_born_aust, macdonian_birthplace_notstated, hungarian_moth_only_brn_overseas, dutch_bth_parents_brn_overseas, other_tot_responses, spanish_tot_responses, aust_fath_only_brn_overseas, vietnamese_fath_only_brn_overseas, welsh_birthplace_notstated, italian_moth_only_brn_overseas, french_bth_parents_brn_overseas, dutch_fath_only_brn_overseas, chinese_bth_parents_brn_overseas, vietnamese_moth_only_brn_overseas, filipino_birthplace_notstated, nz_tot_responses, turkish_fath_only_brn_overseas, ancestry_notstated_tot_responses, tot_p_birthplace_notstated, scottish_bth_parents_brn_overseas, lebanese_fath_only_brn_overseas, hungarian_bth_parents_brn_aus, filipino_tot_responses, french_birthplace_notstated, spanish_bth_parents_brn_overseas, maori_bth_parents_brn_overseas, german_tot_responses, ancestry_notstated_moth_only_brn_overseas, turkish_tot_responses, welsh_bth_parents_brn_aus, other_fath_only_brn_overseas, sri_lankan_bth_parents_brn_overseas, german_bth_parents_brn_overseas, vietnamese_bth_parents_brn_overseas, english_fath_only_brn_overseas, indian_fath_only_brn_overseas, maori_fath_only_brn_overseas, polish_moth_only_brn_overseas, spanish_birthplace_notstated, maori_moth_only_brn_overseas, tot_p_moth_only_brn_overseas, dutch_birthplace_notstated, spanish_bth_parents_brn_aus, chinese_moth_only_brn_overseas, french_bth_parents_brn_aus, italian_fath_only_brn_overseas, polish_tot_responses, croatian_fath_only_brn_overseas, maori_bth_parents_brn_aus, sri_lankan_tot_responses, english_birthplace_notstated, macedonian_bth_parents_brn_overseas, maori_tot_responses, croatian_birthplace_notstated, turkish_moth_only_brn_overseas, vietnamese_tot_responses, nz_bth_parents_brn_aus, lebanese_bth_parents_brn_aus, macdonian_bth_parents_brn_aus, greek_birthplace_notstated, nz_bth_parents_brn_overseas, russian_tot_responses, other_moth_only_brn_overseas, scottish_tot_responses, sri_lankan_fath_only_brn_overseas, irish_birthplace_notstated, aust_abor_moth_only_brn_overseas, ancestry_notstated_birthplace_notstated, filipino_bth_parents_brn_overseas, indian_moth_only_brn_overseas, italian_tot_responses, croatian_bth_parents_brn_overseas, maltese_bth_parents_brn_overseas, aust_bth_parents_brn_overseas, sa2_main16, tot_p_bth_parents_brn_overseas, filipino_bth_parents_brn_aus, serbian_moth_only_brn_overseas, irish_fath_only_brn_overseas, croatian_tot_responses, aust_moth_only_brn_overseas, greek_bth_parents_brn_aus, german_moth_only_brn_overseas, serbian_tot_responses, irish_bth_parents_brn_aus, macdonian_moth_only_brn_overseas, welsh_fath_only_brn_overseas, korean_birthplace_notstated, scottish_fath_only_brn_overseas, tot_p_bth_parents_brn_aus, croatian_bth_parents_brn_aus, maltese_fath_only_brn_overseas, serbian_fath_only_brn_overseas, sth_african_birthplace_notstated, vietnamese_bth_parents_brn_aus, filipino_fath_only_brn_overseas, nz_moth_only_brn_overseas, serbian_bth_parents_brn_overseas, tot_p_fath_only_brn_overseas, aust_abor_bth_parents_brn_aus, italian_bth_parents_brn_overseas, turkish_bth_parents_brn_overseas, lebanese_tot_responses, aust_abor_birthplace_notstated, hungarian_bth_parents_brn_overseas, ancestry_notstated_bth_parents_brn_aus, nz_fath_only_brn_overseas
10,1669,0,5,10,0,0,24,0,0,0,6,5,86,16,115,26,293,49,215,1202,468,28,3,44,6,21,3,95,0,977,6,77,137,0,263,0,3,13,8,21,50,3,35,364,1656,16,3,4197,2673,8,32,4,148,318,8,0,1301,101,9,43,395,103,3301,20,19474,0,261,0,119,51,26,100,88,5,0,9,3,67,59,0,50,14,430,987,"Prahran - Windsor",11,6167,616,0,72,87,2921,0,6,139,2306,126,675,0,0,59,186,57,859,7,0,263,5,1928,2011,484,6,33,153,0,109,78,767,3,145,52,224,87,267,128,647,12,8,34,0,3,1008,0,13,41,41,116,407,18,0,113,86,30,91,0,3,139,10,14,10,12,200,183,139,1977,5,27,0,1804,129,14,869,66,32,97,"206061136",7766,3,3,205,97,451,177,59,68,1679,3,12,0,160,7234,12,18,3,0,3,0,20,54,1449,10,387,137,48,0,56,67,36
4,660,0,4,3,0,6,4,0,0,0,3,3,31,4,56,25,126,22,32,442,165,17,0,22,3,3,7,25,4,154,0,25,33,0,77,0,3,12,6,4,3,0,18,166,1168,10,0,1696,1063,0,14,0,63,131,3,0,219,23,3,22,89,28,1185,5,8493,0,87,13,76,70,6,19,38,3,0,0,3,32,34,0,12,6,98,626,"Collingwood",28,2281,226,0,21,13,1168,0,3,43,1417,67,250,0,0,19,52,26,561,3,5,118,7,1089,1123,187,3,6,59,0,50,27,317,3,60,40,74,23,93,426,242,3,0,9,0,0,378,0,10,17,19,65,79,3,0,28,30,13,33,0,0,442,3,0,0,0,95,43,57,753,0,7,0,1002,48,4,372,28,20,82,"206071141",3740,0,0,84,44,166,40,24,40,686,0,5,0,61,2693,3,3,0,0,0,0,11,30,558,22,145,51,20,0,9,16,8
0,181,8,3,0,0,0,0,3,0,0,0,0,247,0,11,3,267,22,42,146,45,484,0,5,0,5,0,23,0,193,0,5,12,38,14,4,0,4,7,3,8,10,0,39,608,17,0,1109,305,3,0,0,7,18,15,0,290,7,0,3,84,36,528,14,5589,0,42,0,8,48,35,8,6,0,0,0,0,6,16,0,0,5,88,62,"Hadfield",4,888,39,27,5,9,762,0,0,5,725,16,140,0,0,49,15,0,47,0,0,29,14,319,360,27,122,9,52,0,11,17,83,0,169,8,49,14,28,47,96,3,8,7,0,0,206,0,3,3,0,110,59,4,0,21,37,20,23,0,4,45,3,52,0,3,11,14,24,212,0,13,0,247,38,0,1200,42,176,126,"210031440",2966,0,8,27,48,69,63,0,21,222,0,0,0,20,1598,6,20,0,0,0,7,3,18,469,4,757,137,728,0,25,15,15
12,1770,3,19,8,0,0,6,0,0,0,12,8,822,6,188,22,622,103,150,1847,711,51,0,53,7,36,6,43,0,143,4,11,40,3,112,5,15,0,3,8,17,8,38,628,949,18,3,9990,3664,7,13,3,170,422,63,3,322,70,4,53,344,105,6837,36,26238,3,259,0,132,71,293,107,123,13,0,3,3,92,113,0,22,3,390,274,"Sunbury - South",39,10326,465,0,3,86,7944,0,6,188,1554,63,1053,0,0,99,47,70,181,8,3,258,3,1291,1385,525,14,24,288,0,36,109,1108,6,39,60,190,87,305,72,876,22,16,21,0,6,1432,0,18,22,52,183,266,37,8,98,134,62,130,6,3,78,23,16,25,3,131,59,137,2809,3,41,0,1078,233,12,1471,176,361,140,"210041241",6057,0,4,259,272,734,110,79,72,2728,4,16,0,222,15413,41,105,11,0,0,16,60,59,1946,34,557,30,89,3,65,132,52
11,802,0,12,3,0,0,0,3,0,0,9,0,475,0,83,7,420,31,88,810,309,41,0,17,3,14,4,30,0,58,3,9,13,5,56,5,9,0,3,3,10,3,13,343,496,10,0,4733,1715,3,13,0,62,218,53,0,167,61,3,31,130,52,3103,18,12522,0,129,0,74,22,142,44,70,3,0,0,3,44,49,0,16,0,156,131,"Sunbury",15,4697,216,0,8,25,3752,0,3,91,786,58,530,3,0,49,29,42,87,0,0,113,4,642,640,218,4,18,114,0,35,41,578,10,53,35,89,25,143,17,433,14,3,13,0,6,673,0,15,12,26,113,178,20,9,32,50,21,54,0,4,22,12,15,0,0,61,19,61,1228,0,19,0,508,92,6,951,71,219,68,"210041240",2914,3,0,133,142,336,71,40,17,1284,0,3,0,107,7312,41,66,3,0,0,3,16,11,989,13,359,42,60,0,25,89,22
5,806,0,5,7,3,0,11,3,0,0,5,3,55,3,78,44,167,59,59,610,234,16,0,28,10,12,0,30,0,186,5,23,22,0,132,3,7,17,3,10,10,4,19,193,1334,7,0,2298,1389,11,8,0,69,135,7,0,278,24,3,21,79,59,1631,20,11267,0,132,22,74,69,10,35,44,3,0,0,0,42,43,0,12,4,106,702,"Fitzroy",15,3008,274,0,24,31,1510,3,3,59,1724,79,331,0,0,32,91,16,625,16,0,98,3,1892,1971,230,4,14,56,0,70,22,421,10,64,35,121,25,140,396,279,16,0,14,0,3,578,0,3,26,20,67,115,7,3,40,58,49,30,0,3,432,3,3,3,6,73,40,95,1027,9,18,0,1777,36,0,487,35,23,112,"206071142",4387,3,3,96,59,300,46,37,36,931,3,15,0,93,3620,7,9,3,0,3,7,12,30,703,15,211,54,21,0,28,34,10
4,359,0,6,6,0,3,5,0,0,0,0,3,28,0,40,6,111,7,58,278,104,16,0,11,4,3,9,55,0,800,9,95,57,0,53,0,0,4,4,3,36,3,9,73,672,4,0,1523,670,4,14,0,27,69,3,3,1095,13,3,3,589,29,986,4,7473,0,67,0,24,28,8,24,14,3,0,3,3,20,18,0,8,0,611,950,"Hughesdale",3,1673,99,0,89,16,1075,0,0,27,860,32,217,6,0,26,36,22,920,3,0,37,0,291,296,78,3,4,54,0,19,4,152,0,14,12,63,85,53,99,205,10,0,10,0,0,299,0,3,4,6,47,81,3,0,97,17,8,4,0,3,108,0,3,3,13,26,63,52,456,7,5,0,237,50,6,368,17,14,67,"208021180",4042,0,3,69,22,147,185,5,38,470,0,3,0,52,2348,8,3,7,0,0,0,4,28,496,3,179,9,21,0,19,22,14
0,518,0,5,10,0,0,4,0,0,0,5,5,55,3,48,9,207,45,69,532,184,16,0,38,7,8,3,40,0,342,7,78,29,3,47,0,3,26,3,10,26,5,15,181,653,0,4,2673,1084,3,31,0,61,157,0,0,565,17,7,15,298,39,1964,15,10616,0,102,0,72,28,16,62,28,8,0,4,0,29,48,0,6,6,318,1988,"Blackburn South",11,2997,147,0,75,51,1939,0,0,89,913,43,362,0,3,18,14,25,1861,4,0,103,4,460,527,177,0,5,75,0,32,10,313,9,6,34,82,115,89,158,281,9,0,3,0,3,477,0,8,42,19,48,97,3,0,132,49,25,13,3,0,163,15,3,8,3,50,45,69,849,11,8,0,387,64,10,491,27,25,57,"207031162",4652,0,0,69,42,269,153,13,25,807,3,8,0,85,4263,6,12,0,0,0,0,14,16,694,5,217,8,21,0,32,32,24
3,990,0,3,3,0,3,0,0,0,0,22,0,271,3,39,17,180,137,61,249,203,26,4,6,3,27,0,27,0,93,0,294,45,3,44,3,4,7,6,3,21,3,7,105,2220,0,0,1917,739,5,22,0,61,113,26,11,204,15,4,32,2599,33,977,0,14306,0,90,3,41,105,81,134,23,7,0,3,0,20,28,0,14,3,2634,2534,"Point Cook - South",3,2414,243,0,296,127,1211,0,0,76,2546,70,283,0,0,36,28,8,2473,3,9,159,9,652,628,184,17,9,463,0,68,180,238,5,40,6,117,192,99,134,220,11,6,8,0,3,509,3,0,29,13,78,102,10,0,206,29,76,191,0,0,151,0,7,20,0,136,49,100,526,3,3,0,521,425,12,474,51,124,185,"213051466",10104,5,6,65,70,211,65,18,67,377,16,0,0,45,2446,9,38,11,0,3,7,13,45,622,3,183,27,53,0,16,27,14
4,559,0,7,6,0,3,5,0,0,0,0,3,19,0,75,3,173,19,47,758,256,11,0,31,7,0,0,38,0,138,3,62,22,3,76,4,0,3,5,5,10,0,14,209,482,0,0,2832,1320,8,31,0,60,151,0,0,274,25,3,28,267,42,2216,11,9805,0,141,0,71,23,10,50,47,5,0,0,6,29,24,0,9,5,291,1460,"Surrey Hills (East) - Mont Albert",0,3405,143,0,56,37,2146,0,4,57,791,31,355,4,0,26,27,32,1326,3,0,75,0,297,319,159,0,4,48,0,28,3,339,0,13,19,78,82,82,78,339,4,0,8,0,0,558,3,0,64,33,61,88,0,0,97,37,15,6,0,0,82,5,3,3,0,43,33,88,1098,10,11,0,241,47,11,432,18,13,29,"207031167",3516,0,0,102,28,279,82,11,21,1002,5,10,0,95,4701,6,0,3,0,0,0,3,15,706,0,172,10,26,0,22,29,19
