spks_othr_lang_macedonian_m, spks_othr_lan_chin_lan_mand_m, spks_othr_lan_chin_lan_mand_f, spks_othr_lang_macedonian_p, spks_othr_lan_chin_lan_mand_p, spks_eng_on_f, spks_other_lang_italian_f, spks_othr_lang_macedonian_f, spks_othr_lang_french_p, spks_eng_on_m, spks_eng_on_p, spks_othr_lang_french_m, spks_other_lang_samoan_f, spks_othr_lang_arabic_p, sp_oth_la_se_as_au_la_indo_f, spks_other_lang_maltese_p, spks_othr_lang_dutch_p, spks_other_lang_tamil_f, spks_othr_lang_french_f, spks_other_lang_italian_m, spks_other_lang_maltese_m, spks_othr_lang_dutch_m, spks_other_lang_tamil_m, sp_oth_la_se_as_au_la_indo_m, spks_othr_lang_dutch_f, spks_other_lang_tamil_p, spks_other_lang_italian_p, spks_othr_lang_arabic_m, sp_oth_la_se_as_au_la_indo_p, spks_othr_lang_japanese_f, spks_othr_lang_arabic_f, spks_othr_lang_japanese_m, spks_other_lang_samoan_p, spks_other_lang_samoan_m, spks_othr_lang_japanese_p, tot_f, tot_m, tot_p, spks_other_lang_tot_p, spks_othr_lang_korean_p, spks_othr_lang_korean_m, sp_oth_lan_indo_ary_lan_oth_m, spks_othr_lang_polish_m, spks_othr_lang_polish_p, sp_oth_lan_indo_ary_lan_oth_p, sp_oth_lan_indo_ary_lan_oth_f, spks_othr_lang_korean_f, spks_othr_lang_polish_f, sp_oth_la_se_as_au_la_tot_p, sp_oth_la_se_as_au_la_tot_m, os_visitors_p, sp_oth_la_se_as_au_la_tot_f, sp_oth_lan_indo_ary_lan_urd_p, os_visitors_f, sp_oth_lan_indo_ary_lan_urd_m, sp_oth_lan_indo_ary_lan_urd_f, os_visitors_m, sp_oth_la_se_as_au_la_oth_p, spks_other_lang_spanish_f, spks_othr_lang_aus_ind_lang_f, sp_oth_lan_persian_ex_dari_f, sp_oth_lan_indo_ary_lan_hin_f, sp_oth_lan_ind_ary_lan_sinh_p, spks_othr_lan_chin_lan_othr_f, sp_oth_la_se_as_au_la_tag_m, spks_othr_lang_aus_ind_lang_m, spks_othr_lan_chin_lan_othr_p, spks_other_lang_spanish_m, spks_othr_lang_aus_ind_lang_p, sp_oth_lan_persian_ex_dari_p, spks_othr_lan_chin_lan_othr_m, sp_oth_la_se_as_au_la_tag_f, sp_oth_lan_persian_ex_dari_m, spks_other_lang_spanish_p, sp_oth_la_se_as_au_la_oth_m, sp_oth_lan_indo_ary_lan_tot_p, sp_oth_lan_indo_ary_lan_hin_p, sp_oth_lan_indo_ary_lan_hin_m, sp_oth_lan_indo_ary_lan_tot_f, spks_other_lang_turkish_f, spks_other_lang_serbian_f, sp_oth_lan_indo_ary_lan_ben_f, sp_oth_lan_indo_ary_lan_tot_m, spks_other_lang_turkish_m, spks_othr_lang_greek_f, spks_other_lang_serbian_m, spks_other_lang_serbian_p, spks_other_lang_turkish_p, spks_othr_lang_greek_p, sp_oth_la_se_as_au_la_oth_f, spks_othr_lang_greek_m, spks_other_lang_tot_m, sp_oth_la_se_as_au_la_tag_p, sa2_main16, sp_oth_lan_indo_ary_lan_ben_p, sp_oth_lan_ind_ary_lan_sinh_f, sp_oth_lan_ind_ary_lan_sinh_m, sp_oth_lan_indo_ary_lan_ben_m, spks_other_lang_tot_f, sp_oth_la_se_as_au_la_fili_m, spks_other_lang_thai_p, spks_other_lang_thai_m, spks_other_lang_vietnamese_p, spks_other_lang_other_f, spks_othr_lang_afrikaans_p, spks_othr_lang_croatian_f, sp_oth_la_se_as_au_la_fili_p, sp_oth_lan_ind_ary_lan_punj_m, spks_other_lang_vietnamese_m, spks_othr_lang_afrikaans_m, sp_oth_la_se_as_au_la_fili_f, sp_oth_lan_ind_ary_lan_punj_p, spks_othr_lang_croatian_p, spks_othr_lang_afrikaans_f, spks_othr_lang_croatian_m, sp_oth_lan_ind_ary_lan_punj_f, sa2_name16, spks_other_lang_maltese_f, spks_other_lang_vietnamese_f, spks_other_lang_other_p, spks_other_lang_thai_f, spks_other_lang_other_m, spks_othr_lang_german_f, spks_other_lang_russian_f, spks_othr_lan_chin_lan_tot_f, spks_othr_lan_chin_lan_cant_f, spks_othr_lang_german_m, spks_other_lang_russian_m, spks_othr_lan_chin_lan_tot_m, spks_othr_lan_chin_lan_tot_p, spks_other_lang_russian_p, lang_spoken_home_ns_m, lang_spoken_home_ns_f, spks_othr_lan_chin_lan_cant_p, spks_othr_lang_german_p, lang_spoken_home_ns_p, spks_othr_lan_chin_lan_cant_m
0,111,153,6,261,2514,38,6,50,2599,5112,21,0,129,7,5,15,0,25,46,0,7,3,15,11,3,83,65,19,19,66,14,5,0,34,4365,4251,8619,2311,10,7,3,4,5,12,3,4,3,47,26,120,25,5,69,6,3,47,3,45,0,14,3,7,15,3,0,35,45,0,21,18,12,7,84,3,37,13,4,16,31,9,0,20,28,84,14,25,56,137,0,54,1073,16,"206071141",0,0,3,0,1243,0,44,20,454,283,0,7,9,0,189,0,7,0,12,0,9,0,"Collingwood",4,264,557,25,281,19,13,246,76,11,5,197,440,20,528,539,146,30,1073,69
8,173,252,15,432,6792,105,7,204,6566,13354,109,0,80,26,3,37,5,98,120,3,15,13,36,14,18,224,37,60,34,37,26,4,3,62,10193,9579,19768,4257,60,26,39,21,68,77,38,37,52,157,75,300,77,21,168,14,7,124,19,109,0,28,51,41,13,24,0,37,118,0,42,21,28,13,224,11,288,110,57,137,66,19,8,150,63,537,17,35,126,1011,11,476,1974,48,"206061136",16,24,14,12,2282,10,61,26,112,221,18,22,28,16,36,9,12,25,32,8,11,10,"Prahran - Windsor",0,74,416,33,198,55,126,379,105,62,54,286,664,188,919,945,203,114,1864,90
10,9,11,9,26,1428,345,3,6,1314,2741,3,0,779,0,112,0,0,8,291,49,0,4,0,0,3,633,407,0,0,377,0,5,4,0,2894,2716,5613,2551,3,3,13,13,29,25,8,0,15,35,7,21,25,135,15,86,51,7,4,21,0,5,7,15,0,6,0,3,16,0,10,4,8,5,35,3,232,24,12,90,86,6,3,139,84,124,5,8,169,224,5,104,1253,13,"210031440",11,10,9,6,1302,3,0,0,44,65,0,18,11,15,20,0,5,25,32,0,16,12,"Hadfield",59,22,126,0,62,4,6,25,7,0,3,24,45,6,145,152,15,7,291,8
29,44,54,49,101,11650,153,27,33,11053,22708,15,16,78,7,89,23,5,16,145,44,9,3,8,13,5,301,33,17,18,46,6,30,17,24,13577,12760,26335,2301,3,0,5,25,56,17,13,3,29,186,81,101,107,24,54,8,10,48,13,40,0,4,40,54,0,45,0,3,30,0,13,0,58,8,65,10,269,78,38,137,14,14,0,133,23,61,26,37,35,121,3,57,1076,95,"210041241",0,34,24,0,1227,24,56,22,76,167,59,71,62,51,21,32,38,95,135,30,59,43,"Sunbury - South",48,48,315,32,155,48,14,79,19,35,6,60,141,18,581,643,38,84,1224,15
8,21,18,9,44,5535,92,5,11,5399,10933,3,0,36,3,70,8,0,9,92,30,5,0,3,4,0,183,20,3,16,14,4,8,6,17,6405,6167,12576,1049,10,4,3,18,33,11,4,3,22,49,15,52,37,23,31,13,8,21,0,31,0,0,34,16,6,8,0,10,24,0,0,3,15,0,53,0,149,57,24,75,23,3,5,74,13,26,9,9,34,48,0,24,476,24,"210041240",13,6,9,6,577,0,10,4,16,62,18,33,19,18,9,11,18,29,54,13,17,16,"Sunbury",40,10,116,5,51,20,3,33,11,10,3,35,68,4,269,270,16,26,539,4
19,109,148,49,255,3312,70,31,100,3332,6641,53,0,203,6,4,24,6,46,72,0,16,10,8,10,10,142,103,17,20,102,13,0,0,36,5893,5662,11560,2775,14,6,12,5,24,25,8,8,16,35,18,290,15,13,164,5,3,134,8,54,0,7,3,3,16,8,0,26,65,0,23,11,3,12,115,0,53,6,7,24,25,14,3,25,25,98,9,24,56,182,5,83,1281,14,"206071142",4,3,3,0,1494,0,34,13,444,314,10,11,0,0,188,10,0,0,20,3,5,0,"Fitzroy",0,257,603,16,282,19,5,304,139,29,3,210,517,14,921,926,232,46,1850,88
4,257,349,7,604,2031,68,0,45,1919,3955,18,0,32,25,3,0,40,26,61,0,0,32,30,0,75,121,10,54,32,16,19,0,0,56,3932,3646,7578,3244,88,42,71,10,29,133,64,48,17,87,47,108,45,9,56,6,0,49,10,26,0,7,80,35,20,7,0,47,18,0,15,28,11,3,52,3,403,163,83,189,4,11,12,215,3,490,4,11,5,928,3,435,1538,20,"208021180",27,16,15,9,1708,6,21,12,72,140,3,3,8,25,31,4,3,38,6,0,7,9,"Hughesdale",0,44,280,8,144,22,48,433,63,9,45,350,780,85,131,141,130,34,272,67
0,353,449,4,801,3792,51,4,26,3529,7321,11,0,23,7,4,4,16,11,41,0,0,14,11,3,31,89,13,18,13,11,16,0,0,31,5256,4725,9983,2204,50,18,22,5,14,45,18,33,12,57,25,183,38,11,93,3,3,87,11,31,0,11,39,39,36,3,0,60,25,0,20,24,14,10,52,4,197,75,40,100,3,4,3,103,6,77,6,17,11,157,4,81,1001,18,"207031167",10,19,20,3,1205,3,31,10,64,63,11,0,15,9,20,9,8,23,4,4,7,15,"Surrey Hills (East) - Mont Albert",3,45,128,21,57,19,13,627,151,11,7,504,1132,14,114,163,273,26,279,122
54,4,4,99,11,3455,90,45,10,3404,6863,3,0,37,0,41,8,3,3,91,20,7,3,0,6,4,173,18,0,0,14,0,0,3,0,4008,4006,8020,665,0,0,3,3,9,4,0,0,3,9,3,13,7,0,9,0,0,0,0,13,0,0,4,0,0,0,0,0,10,0,3,0,0,0,22,0,25,12,3,14,8,4,0,14,5,28,6,10,14,55,0,32,348,0,"209041225",0,0,0,0,322,0,4,3,0,22,23,10,8,3,0,14,3,16,26,7,9,5,"Whittlesea",19,0,50,4,27,11,0,11,0,8,0,9,17,0,253,229,0,22,478,0
40,673,775,78,1451,3047,37,39,99,3285,6332,45,66,88,162,41,19,103,54,46,19,11,106,147,7,207,83,40,305,37,47,24,135,65,58,7352,7365,14717,7424,278,133,221,25,47,469,245,140,26,684,324,410,357,169,256,86,81,156,75,61,0,20,443,120,41,66,0,73,57,0,38,32,78,20,115,28,2017,891,450,982,16,26,39,1033,10,33,24,46,23,75,41,47,3655,147,"213051466",95,61,59,57,3772,84,29,12,122,493,92,16,161,157,58,42,79,272,42,45,21,113,"Point Cook - South",21,68,1005,21,514,13,32,1019,205,7,27,906,1932,56,273,275,410,22,551,201
