children_wh_valid_scores_count_2018, development_at_risk_count_2018, development_at_risk_perc_2018, development_at_risk_count_2015, development_at_risk_perc_2012, development_vulnerable_perc_2009, development_at_risk_perc_2015, development_on_track_perc_2009, development_at_risk_count_2012, development_on_track_count_2012, name, development_on_track_count_2009, development_vulnerable_count_2009, children_wh_valid_scores_count_2009, development_vulnerable_perc_2015, development_vulnerable_perc_2018, development_at_risk_count_2009, code, development_vulnerable_perc_2012, development_at_risk_perc_2009, development_on_track_count_2015, development_vulnerable_count_2015, development_vulnerable_count_2012, development_on_track_count_2018, children_wh_valid_scores_count_2012, sa2_main16, development_on_track_perc_2012, children_wh_valid_scores_count_2015, development_on_track_perc_2015, development_vulnerable_count_2018, development_on_track_perc_2018
83,9,10.843373,2,6.4102564,2.4691358,2.4691358,92.59259,5,73,"Prahran - Windsor",75,2,81,4.9382715,1.2048193,4,"21136",0.0,4.9382715,75,4,0,73,78,"206061136",93.589745,81,92.59259,1,87.951805
72,18,25.0,11,6.779661,6.6666665,18.032787,68.888885,4,46,"Collingwood",31,3,45,14.754098,11.111111,11,"21141",15.254237,24.444445,41,9,9,46,59,"206071141",77.9661,61,67.21311,8,63.88889
77,12,15.584415,7,16.455696,6.060606,11.290322,84.84849,13,59,"Hadfield",28,2,33,9.67742,7.7922077,3,"21440",8.86076,9.090909,49,6,7,59,79,"210031440",74.68355,62,79.03226,6,76.623375
169,9,5.3254437,11,7.2222223,3.7037036,6.962025,87.65432,13,158,"Sunbury",142,6,162,2.5316455,2.9585798,14,"21240",5.0,8.641975,143,4,9,155,180,"210041240",87.77778,158,90.50633,5,91.71597
335,23,6.8656716,23,8.87372,5.102041,6.571429,86.734695,26,248,"Sunbury - South",255,15,294,2.5714285,2.686567,24,"21241",6.4846416,8.163265,318,9,19,303,293,"210041241",84.64164,350,90.85714,9,90.44776
73,4,5.479452,13,20.689655,6.060606,16.049383,77.27273,12,42,"Fitzroy",51,4,66,17.28395,9.589041,11,"21142",6.8965516,16.666666,54,14,4,62,58,"206071142",72.413795,81,66.666664,7,84.9315
88,9,10.227273,4,4.878049,1.2820513,4.9382715,91.02564,4,78,"Hughesdale",71,1,78,2.4691358,2.2727273,6,"21180",0.0,7.6923075,75,2,0,77,82,"208021180",95.12195,81,92.59259,2,87.5
457,31,6.78337,31,8.1081085,0.0,11.742424,89.28571,9,94,"Point Cook - South",50,0,56,6.439394,3.938731,6,"21466",7.207207,10.714286,216,17,8,408,111,"213051466",84.684685,264,81.818184,18,89.2779
381,41,10.761155,54,16.763006,19.736841,22.594143,61.842106,29,115,"Cranbourne West",47,15,76,9.205021,8.398951,14,"21304",16.763006,18.421053,163,22,29,308,173,"212031304",66.47399,239,68.200836,32,80.8399
132,7,5.3030305,4,2.419355,3.488372,3.030303,95.34884,3,114,"Blackburn South",82,3,86,3.030303,2.2727273,1,"21162",5.645161,1.1627907,124,4,7,122,124,"207031162",91.935486,132,93.93939,3,92.42424
115,4,3.4782608,3,1.8348624,1.6129032,3.030303,91.935486,2,107,"Surrey Hills (East) - Mont Albert",114,2,124,0.0,0.0,8,"21167",0.0,6.451613,96,0,0,111,109,"207031167",98.16514,99,96.969696,0,96.521736
199,6,3.0150754,13,7.4074073,0.0,6.467662,96.89441,14,172,"Brighton East",156,0,161,1.4925373,3.517588,5,"21170",1.5873016,3.10559,185,3,3,186,189,"208011170",91.005295,201,92.0398,7,93.46734
184,9,4.8913045,5,7.913669,3.4482758,3.6231885,88.793106,11,125,"Cheltenham - Highett (West)",103,4,116,0.7246377,3.2608695,9,"21171",2.1582735,7.7586207,132,1,3,169,139,"208011171",89.928055,138,95.652176,6,91.847824
