children_wh_valid_scores_count_2018, development_at_risk_count_2018, development_at_risk_perc_2018, development_at_risk_count_2015, development_at_risk_perc_2012, development_vulnerable_perc_2009, development_at_risk_perc_2015, development_on_track_perc_2009, development_at_risk_count_2012, development_on_track_count_2012, name, development_on_track_count_2009, development_vulnerable_count_2009, children_wh_valid_scores_count_2009, development_vulnerable_perc_2015, development_vulnerable_perc_2018, development_at_risk_count_2009, code, development_vulnerable_perc_2012, development_at_risk_perc_2009, development_on_track_count_2015, development_vulnerable_count_2015, development_vulnerable_count_2012, development_on_track_count_2018, children_wh_valid_scores_count_2012, sa2_main16, development_on_track_perc_2012, children_wh_valid_scores_count_2015, development_on_track_perc_2015, development_vulnerable_count_2018, development_on_track_perc_2018
83,4,4.8192773,11,19.23077,13.580247,13.580247,79.012344,15,59,"Prahran - Windsor",64,11,81,6.1728396,8.433735,6,"21136",5.1282053,7.4074073,65,5,4,72,78,"206061136",75.64103,81,80.24691,7,86.74699
72,9,12.5,11,22.033897,13.333333,18.032787,64.44444,13,36,"Collingwood",29,6,45,18.032787,12.5,10,"21141",16.949152,22.222221,39,11,10,54,59,"206071141",61.01695,61,63.934425,9,75.0
77,13,16.883118,6,12.658228,11.764706,9.67742,70.588234,10,63,"Hadfield",24,4,34,11.290322,7.7922077,6,"21440",7.594937,17.647058,49,7,6,58,79,"210031440",79.74683,62,79.03226,6,75.32468
169,21,12.426036,14,13.888889,4.9382715,8.86076,88.27161,25,143,"Sunbury",143,8,162,5.063291,4.733728,11,"21240",6.6666665,6.7901235,136,8,12,140,180,"210041240",79.44444,158,86.07595,8,82.84024
336,46,13.690476,47,11.986301,6.462585,13.428572,84.353745,35,228,"Sunbury - South",248,19,294,5.714286,10.714286,27,"21241",9.931507,9.183674,283,20,29,254,292,"210041241",78.08219,350,80.85714,36,75.59524
73,12,16.438356,15,10.344828,13.636364,18.518518,77.27273,6,44,"Fitzroy",51,9,66,23.45679,9.589041,6,"21142",13.793103,9.090909,47,19,8,54,58,"206071142",75.86207,81,58.024693,7,73.9726
88,11,12.5,4,6.097561,1.2820513,4.878049,88.46154,5,76,"Hughesdale",69,1,78,6.097561,3.409091,8,"21180",1.2195122,10.256411,73,5,1,74,82,"208021180",92.68293,82,89.02439,3,84.09091
457,30,6.5645514,25,9.90991,5.357143,9.469697,91.07143,11,88,"Point Cook - South",51,3,56,10.606061,7.877462,2,"21466",10.810811,3.5714285,211,28,12,391,111,"213051466",79.27928,264,79.92424,36,85.55798
382,33,8.638743,42,23.83721,18.421053,17.573221,55.263157,41,100,"Cranbourne West",42,14,76,13.389121,8.376964,20,"21304",18.023256,26.31579,165,32,31,317,172,"212031304",58.139534,239,69.03766,32,82.98429
132,12,9.090909,14,10.483871,2.3255813,10.606061,81.39535,13,103,"Blackburn South",70,2,86,0.75757575,2.2727273,14,"21162",6.451613,16.27907,117,1,8,117,124,"207031162",83.064514,132,88.63636,3,88.63636
115,3,2.6086957,5,1.8348624,4.83871,5.050505,80.645164,2,101,"Surrey Hills (East) - Mont Albert",100,6,124,3.030303,2.6086957,18,"21167",5.504587,14.516129,91,3,6,109,109,"207031167",92.66055,99,91.91919,3,94.78261
199,14,7.035176,23,8.510638,0.621118,11.442786,93.78882,16,165,"Brighton East",151,1,161,4.477612,4.0201006,9,"21170",3.7234042,5.590062,169,9,7,177,188,"208011170",87.76596,201,84.079605,8,88.944725
184,9,4.8913045,5,10.071942,7.7586207,3.6231885,82.75862,14,117,"Cheltenham - Highett (West)",96,9,116,3.6231885,2.7173913,11,"21171",5.755396,9.4827585,128,5,8,170,139,"208011171",84.17266,138,92.753624,5,92.391304
207,24,11.594203,20,6.735751,2.6785715,8.583691,85.26786,13,171,"Hampton",191,6,224,3.0042918,4.830918,27,"21172",4.6632123,12.053572,206,7,9,173,193,"208011172",88.601036,233,88.41202,10,83.57488
162,17,10.493827,15,8.284023,2.8368795,7.731959,88.65248,14,149,"Brunswick",125,4,141,5.670103,4.3209877,12,"21105",3.5502958,8.510638,168,11,6,138,169,"206011105",88.16568,194,86.59794,7,85.18519
47,5,10.638298,8,16.438356,8.196721,11.764706,85.2459,12,55,"Brunswick East",52,5,61,0.0,4.255319,4,"21106",8.219178,6.557377,60,0,6,40,73,"206011106",75.34247,68,88.23529,2,85.106384
123,11,8.9430895,14,4.5454545,6.0869565,12.727273,86.95652,5,102,"Pascoe Vale South",100,7,115,5.4545455,5.6910567,8,"21109",2.7272727,6.9565215,90,6,3,105,110,"206011109",92.72727,110,81.818184,7,85.36585
61,4,6.557377,3,6.25,null,12.5,null,1,12,"Docklands",null,null,8,4.1666665,11.47541,null,"21118",18.75,null,20,1,3,50,16,"206041118",75.0,24,83.333336,7,81.96722
27,2,7.4074073,null,3.8461537,11.764706,null,58.82353,1,25,"South Yarra - West",10,2,17,null,0.0,5,"21125",0.0,29.411764,null,null,0,25,26,"206041125",96.15385,null,null,0,92.59259
188,25,13.297873,21,9.40171,5.2173915,12.650602,86.95652,11,100,"Bentleigh East (South)",100,6,115,3.0120482,6.9148936,9,"21427",5.1282053,7.826087,140,5,6,150,117,"208021427",85.470085,166,84.33735,13,79.78723
279,20,7.168459,18,5.907173,2.5210085,6.8441067,91.17647,14,212,"Bentleigh - McKinnon",217,6,238,6.463878,3.2258065,15,"21174",4.6413503,6.302521,228,17,11,250,237,"208021174",89.45148,263,86.69202,9,89.605736
128,14,10.9375,16,7.9365077,5.0,14.285714,88.57143,10,110,"Aspendale Gardens - Waterways",124,7,140,3.5714285,5.46875,9,"21183",4.7619047,6.428571,92,4,6,107,126,"208031183",87.30159,112,82.14286,7,83.59375
87,5,5.7471266,4,6.930693,4.2105265,3.9215686,92.63158,7,92,"Murrumbeena",88,4,95,0.0,8.045977,3,"21181",1.980198,3.1578948,98,0,2,75,101,"208021181",91.08911,102,96.07843,7,86.206894
159,21,13.207547,25,6.8965516,3.0674846,12.437811,85.88957,12,149,"Bentleigh East (North)",140,5,163,5.4726367,8.805032,18,"21426",7.4712644,11.042945,165,11,13,124,174,"208021426",85.63219,201,82.089554,14,77.98742
46,4,8.695652,5,18.181818,null,14.285714,null,4,18,"Southbank",null,null,15,5.714286,8.695652,null,"21126",0.0,null,28,2,0,38,22,"206041126",81.818184,35,80.0,4,82.608696
75,4,5.3333335,4,2.7777777,5.3333335,5.479452,82.666664,2,65,"Chelsea Heights",62,4,75,12.328767,2.6666667,9,"21187",6.9444447,12.0,60,9,5,69,72,"208031187",90.27778,73,82.19178,2,92.0
241,17,7.0539417,22,9.649123,3.030303,9.128631,91.34199,22,194,"Greensborough",211,7,231,3.319502,4.9792533,13,"21197",5.263158,5.6277056,211,8,12,212,228,"209011197",85.08772,241,87.551865,12,87.966805
