participated, ptic_pr100, yr, sa2_code, invited, sa2_name
2051,50.9,"2016-2017","209011197",4028,"Greensborough"
171,31.8,"2016-2017","206041122",537,"Melbourne"
585,39.6,"2016-2017","208021181",1479,"Murrumbeena"
776,41.2,"2016-2017","208021182",1882,"Ormond - Glen Huntly"
717,44.2,"2016-2017","208031183",1621,"Aspendale Gardens - Waterways"
451,40.2,"2016-2017","208021180",1123,"Hughesdale"
482,33.4,"2016-2017","212031304",1445,"Cranbourne West"
596,39.1,"2016-2017","213011331",1523,"Delahey"
1250,32.9,"2016-2017","212031305",3804,"Hampton Park - Lynbrook"
983,40.8,"2016-2017","206051130",2410,"Port Melbourne"
597,43.0,"2016-2017","206061135",1389,"Armadale"
845,37.0,"2016-2017","206061136",2282,"Prahran - Windsor"
851,44.1,"2016-2017","207031166",1929,"Burwood East"
355,36.9,"2016-2017","206071141",963,"Collingwood"
562,37.2,"2016-2017","206071142",1511,"Fitzroy"
798,42.3,"2016-2017","206071143",1888,"Fitzroy North"
1725,41.2,"2016-2017","206071144",4183,"Richmond (Vic.)"
790,44.2,"2016-2017","206071145",1786,"Yarra - North"
1488,44.3,"2016-2017","208011172",3361,"Hampton"
1773,43.1,"2016-2017","207011153",4113,"Kew"
497,40.3,"2016-2017","206011106",1232,"Brunswick East"
478,38.0,"2016-2017","208031187",1258,"Chelsea Heights"
1624,43.0,"2016-2017","208021174",3779,"Bentleigh - McKinnon"
1209,37.2,"2016-2017","206011105",3253,"Brunswick"
197,40.5,"2016-2017","208031184",486,"Braeside"
517,32.9,"2016-2017","212031306",1570,"Lynbrook - Lyndhurst"
675,36.8,"2016-2017","212041310",1836,"Clayton South"
545,38.4,"2016-2017","213031351",1421,"West Footscray - Tottenham"
1217,37.7,"2016-2017","208021178",3227,"Caulfield - South"
371,38.6,"2016-2017","206031115",961,"Flemington"
496,38.4,"2016-2017","206041118",1293,"Docklands"
571,44.2,"2016-2017","206041119",1292,"East Melbourne"
735,37.3,"2016-2017","213041360",1973,"Taylors Hill"
60,30.0,"2016-2017","206041120",200,"Flemington Racecourse"
471,39.1,"2016-2017","206041125",1206,"South Yarra - West"
716,38.5,"2016-2017","206011107",1861,"Brunswick West"
721,38.8,"2016-2017","206011109",1857,"Pascoe Vale South"
1947,38.5,"2016-2017","208021175",5061,"Bentleigh East"
1470,38.6,"2016-2017","206011108",3813,"Coburg"
687,43.8,"2016-2017","206021110",1570,"Alphington - Fairfield"
1368,46.5,"2016-2017","212051323",2941,"Mount Waverley - North"
1649,44.4,"2016-2017","206021111",3714,"Northcote"
980,37.9,"2016-2017","208021176",2587,"Carnegie"
922,40.9,"2016-2017","206021112",2257,"Thornbury"
1109,26.4,"2016-2017","206041126",4206,"Southbank"
919,45.5,"2016-2017","206031113",2020,"Ascot Vale"
null,null,"2016-2017","206041127",null,"West Melbourne"
2049,47.0,"2016-2017","206031114",4355,"Essendon - Aberfeldie"
1045,41.7,"2016-2017","206031116",2504,"Moonee Ponds"
584,36.1,"2016-2017","206041117",1616,"Carlton"
637,42.0,"2016-2017","206041121",1518,"Kensington"
789,35.9,"2016-2017","206041123",2197,"North Melbourne"
1008,42.5,"2016-2017","206051128",2374,"Albert Park"
497,38.1,"2016-2017","206041124",1305,"Parkville"
788,41.0,"2016-2017","206051129",1921,"Elwood"
177,40.8,"2016-2017","206051131",434,"Port Melbourne Industrial"
899,36.8,"2016-2017","206051132",2444,"South Melbourne"
1419,35.5,"2016-2017","206051133",3994,"St Kilda"
821,35.2,"2016-2017","206051134",2335,"St Kilda East"
998,37.9,"2016-2017","206061137",2631,"South Yarra - East"
1073,37.8,"2016-2017","206061138",2839,"Toorak"
447,42.2,"2016-2017","206071139",1059,"Abbotsford"
638,45.4,"2016-2017","206071140",1406,"Carlton North - Princes Hill"
707,42.6,"2016-2017","207011146",1661,"Ashburton (Vic.)"
1524,45.2,"2016-2017","207011147",3375,"Balwyn"
1777,43.4,"2016-2017","207011148",4093,"Balwyn North"
1855,48.5,"2016-2017","207011149",3821,"Camberwell"
1500,46.6,"2016-2017","207011155",3216,"Surrey Hills (West) - Canterbury"
1005,44.3,"2016-2017","207021156",2269,"Bulleen"
1677,42.3,"2016-2017","207021157",3968,"Doncaster"
1667,47.4,"2016-2017","207011150",3518,"Glen Iris - East"
856,47.4,"2016-2017","207031162",1806,"Blackburn South"
1420,43.8,"2016-2017","207011151",3241,"Hawthorn"
