dec_2017, dec_2016, jun_2011, mar_2017, jun_2012, mar_2016, sep_2017, sep_2016, mar_2018, sep_2015, sa2_name11, jun_2015, mar_2013, sep_2014, jun_2016, mar_2012, sep_2013, jun_2013, mar_2015, sep_2012, jun_2014, mar_2014, jun_2018, jun_2017, mar_2011, sep_2011, dec_2015, dec_2014, dec_2013, dec_2012, dec_2011, sa2_main11, dec_2010
14630,13851,12193,14036,12597,13474,14524,13647,14819,13203,"Hampton Park - Lynbrook",13054,12694,12727,13571,12426,12683,12671,12904,12672,12746,12726,14984,14273,12293,12236,13409,12724,12682,12663,12369,"212031305",12338
5821,5673,5275,5628,5555,5800,5721,5777,5854,5600,"Murrumbeena",5514,5507,5518,5818,5515,5528,5517,5484,5572,5562,5596,5876,5679,5207,5341,5709,5497,5563,5554,5418,"208021181",5231
8341,8129,7711,8064,8140,8298,8198,8273,8388,8029,"Ormond - Glen Huntly",7928,8047,7992,8328,8089,8060,8053,7906,8159,8072,8136,8419,8137,7594,7825,8163,7947,8103,8124,7955,"208021182",7610
5460,5321,4978,5278,5303,5459,5366,5425,5491,5286,"Aspendale Gardens - Waterways",5215,5253,5242,5470,5264,5264,5258,5196,5320,5287,5321,5511,5326,4885,5069,5379,5220,5291,5304,5171,"208031183",4879
8798,8329,4564,8440,4932,7538,8733,8016,8911,7063,"Cranbourne West",6847,5324,6243,7784,4760,5604,5455,6632,5067,6093,5926,9010,8582,4599,4582,7310,6400,5746,5172,4634,"212031304",4613
4811,4715,4412,4722,4347,4751,4768,4747,4855,4702,"Delahey",4705,4452,4724,4765,4316,4520,4475,4735,4354,4654,4598,4886,4738,4423,4359,4723,4745,4568,4383,4333,"213011331",4438
11805,11109,10267,11299,10510,10994,11613,11039,11932,11040,"Port Melbourne",10978,10733,10827,11006,10363,10701,10709,10925,10627,10779,10752,12007,11464,10248,10276,11047,10869,10731,10715,10264,"206051130",10223
6262,5892,5904,5993,5931,5815,6160,5850,6330,5843,"Armadale",5820,5927,5785,5826,5893,5832,5874,5802,5952,5784,5795,6370,6081,5904,5900,5837,5781,5809,5955,5883,"206061135",5899
15678,14757,13362,15009,13712,14466,15424,14619,15847,14476,"Prahran - Windsor",14392,14026,14179,14528,13509,13975,13991,14324,13876,14100,14050,15945,15228,13331,13380,14487,14251,14009,14005,13369,"206061136",13291
7157,6776,6167,6867,6387,6654,7105,6697,7249,6563,"Clayton South",6511,6459,6408,6681,6288,6446,6444,6457,6438,6436,6444,7330,6983,6220,6184,6643,6388,6441,6447,6247,"212041310",6246
