Age_5_14_yr_M, Age_5_14_yr_P, Age_5_14_yr_F, Birthplace_Elsewhere_M, Birthplace_Elsewhere_P, Counted_Census_Night_home_M, Age_55_64_yr_P, Age_psns_att_edu_inst_15_19_M, Age_psns_att_edu_inst_25_ov_F, Age_55_64_yr_M, Counted_Census_Night_home_F, Age_psns_att_edu_inst_15_19_P, Age_55_64_yr_F, Age_psns_att_educ_inst_5_14_F, Age_psns_att_edu_inst_25_ov_P, Age_35_44_yr_P, Indig_psns_Torres_Strait_Is_P, Indig_psns_Torres_Strait_Is_M, Age_psns_att_educ_inst_5_14_M, Age_35_44_yr_M, Indig_psns_Torres_Strait_Is_F, Age_psns_att_educ_inst_5_14_P, Age_psns_att_edu_inst_15_19_F, Age_35_44_yr_F, Age_psns_att_edu_inst_25_ov_M, Australian_citizen_F, Age_20_24_yr_M, Age_psns_att_edu_inst_20_24_P, Australian_citizen_M, Age_20_24_yr_P, Indigenous_psns_Aboriginal_P, Age_psns_att_edu_inst_20_24_M, Australian_citizen_P, Indigenous_P_Tot_F, Age_psns_att_edu_inst_20_24_F, High_yr_schl_comp_Yr_12_eq_M, High_yr_schl_comp_Yr_12_eq_P, Count_Persons_other_dwgs_F, Indigenous_P_Tot_M, Indigenous_P_Tot_P, Count_Persons_other_dwgs_M, Age_45_54_yr_P, Age_25_34_yr_M, Count_Persons_other_dwgs_P, Age_45_54_yr_M, Age_25_34_yr_P, High_yr_schl_comp_Yr_9_eq_F, Age_25_34_yr_F, High_yr_schl_comp_Yr_12_eq_F, Age_20_24_yr_F, High_yr_schl_comp_Yr_9_eq_P, High_yr_schl_comp_Yr_9_eq_M, Age_45_54_yr_F, Lang_spoken_home_Eng_only_F, SA2_MAIN11, Count_Census_Nt_Ewhere_Aust_M, Lang_spoken_home_Eng_only_M, Count_Census_Nt_Ewhere_Aust_P, Count_Census_Nt_Ewhere_Aust_F, Count_psns_occ_priv_dwgs_P, Lang_spoken_home_Eng_only_P, Age_0_4_yr_F, Age_15_19_yr_F, Count_psns_occ_priv_dwgs_M, Age_15_19_yr_M, Age_0_4_yr_M, Age_15_19_yr_P, Age_0_4_yr_P, Indigenous_psns_Aboriginal_M, Indig_Bth_Abor_Torres_St_Is_F, Age_85ov_F, SA2_NAME11, Indigenous_psns_Aboriginal_F, Age_85ov_P, High_yr_schl_comp_Yr_8_belw_M, Indig_Bth_Abor_Torres_St_Is_M, Age_85ov_M, High_yr_schl_comp_Yr_10_eq_F, Indig_Bth_Abor_Torres_St_Is_P, High_yr_schl_comp_Yr_8_belw_P, High_yr_schl_comp_Yr_8_belw_F, Lang_spoken_home_Oth_Lang_F, Birthplace_Australia_P, Lang_spoken_home_Oth_Lang_P, Birthplace_Australia_M, High_yr_schl_comp_Yr_10_eq_M, Lang_spoken_home_Oth_Lang_M, Birthplace_Australia_F, High_yr_schl_comp_Yr_10_eq_P, High_yr_schl_comp_Yr_11_eq_M, Age_75_84_yr_M, Counted_Census_Night_home_P, Age_psns_att_educ_inst_0_4_F, Tot_P_P, Age_psns_att_educ_inst_0_4_M, High_yr_schl_comp_Yr_11_eq_P, Tot_P_M, Age_75_84_yr_P, Age_psns_att_educ_inst_0_4_P, Age_75_84_yr_F, Tot_P_F, Age_65_74_yr_F, Count_psns_occ_priv_dwgs_F, Birthplace_Elsewhere_F, High_yr_schl_comp_D_n_g_sch_M, High_yr_schl_comp_Yr_11_eq_F, Age_65_74_yr_M, High_yr_schl_comp_D_n_g_sch_P, Age_65_74_yr_P, High_yr_schl_comp_D_n_g_sch_F
548,1082,534,479,996,3645,1000,225,123,538,3532,431,462,504,176,1169,0,0,498,574,0,1002,206,595,53,3367,224,115,3476,452,46,60,6843,22,55,794,1975,48,27,49,70,1178,396,118,572,799,246,403,1181,228,635,389,606,3428,"212031308",158,3546,300,142,7197,6974,225,270,3655,312,250,582,475,24,0,37,"Pearcedale - Tooradin",22,58,205,3,21,614,3,366,161,164,6243,318,3195,856,154,3048,1470,555,86,7177,42,7477,47,1116,3803,175,89,89,3674,226,3542,517,9,561,282,17,508,8
691,1297,606,1147,2264,4553,889,214,188,428,4653,453,461,563,366,1651,0,0,627,793,0,1190,239,858,178,4349,306,244,4128,530,37,136,8477,19,108,2053,4236,145,18,37,138,1412,576,283,708,1165,155,589,2183,224,325,170,704,3064,"206011109",168,3010,328,160,9082,6074,317,275,4483,283,344,558,661,18,0,170,"Pascoe Vale South",19,267,319,0,97,388,0,773,454,1617,6921,3149,3372,433,1532,3549,821,433,240,9206,68,9533,93,862,4720,552,161,312,4813,296,4599,1117,37,429,254,87,550,50
430,889,459,1588,3586,4166,725,132,437,353,4616,329,372,347,733,1389,8,3,330,684,5,677,197,705,296,3551,492,500,3227,1010,48,230,6778,30,270,2314,4895,344,26,56,406,904,1095,750,427,2317,120,1222,2581,518,218,98,477,2349,"206031115",182,2344,376,194,8319,4693,313,240,3923,185,319,425,632,23,0,75,"Flemington",25,125,164,0,50,238,0,460,296,2098,4753,3720,2338,246,1622,2415,484,255,129,8782,41,9160,48,460,4350,329,89,200,4810,229,4396,1998,66,205,186,236,415,170
729,1424,695,1354,2711,4241,574,195,155,282,4304,415,292,622,260,1420,12,5,640,717,7,1262,220,703,105,3465,289,126,3471,599,51,58,6936,34,68,1146,2555,163,35,69,120,990,820,283,506,1691,243,871,1409,310,526,283,484,3106,"212031304",99,3093,200,101,8426,6199,465,314,4214,309,490,623,955,27,3,32,"Cranbourne West",24,40,181,3,8,650,6,349,168,1141,5656,2225,2810,771,1084,2846,1421,463,68,8545,61,8743,77,944,4340,151,138,83,4403,154,4212,1357,30,481,123,68,277,38
586,1227,641,1496,3137,4851,1189,201,300,584,5445,398,605,589,479,1753,0,0,527,826,0,1116,197,927,179,4695,268,285,4131,622,26,111,8826,15,174,2810,5994,494,11,26,399,1436,865,893,687,1788,110,923,3184,354,227,117,749,4076,"208021179",214,3647,447,233,9726,7723,368,247,4600,243,400,490,768,11,0,238,"Elsternwick",15,337,131,0,99,330,0,324,193,1214,6828,2287,3199,299,1073,3629,629,325,207,10296,104,10741,98,684,5065,469,202,262,5676,363,5126,1641,22,359,300,45,663,23
1329,2582,1253,2607,5300,7502,837,331,246,415,7676,693,422,1115,431,2982,4,0,1178,1504,4,2293,362,1478,185,6820,418,259,6682,816,26,120,13502,18,139,3096,6641,132,12,30,133,1498,1521,265,753,3271,241,1750,3545,398,507,266,745,3959,"213041360",154,3916,283,129,15059,7875,957,449,7438,443,960,892,1917,12,0,21,"Taylors Hill",14,27,236,0,6,627,0,532,296,3620,9641,7101,4778,779,3481,4863,1406,666,90,15178,187,15465,177,1185,7658,203,364,113,7807,221,7621,2693,53,519,218,131,439,78
314,599,285,3565,7869,6473,766,498,759,361,7022,1157,405,205,1437,1213,5,5,217,630,0,422,659,583,678,3312,2019,3254,3181,4427,33,1434,6493,19,1820,4661,9983,1219,23,42,1455,789,1886,2674,375,3784,95,1898,5322,2408,196,101,414,2822,"206041117",296,2838,609,313,11665,5660,193,759,5451,599,218,1358,411,14,0,45,"Carlton",19,66,96,4,21,200,4,257,161,3835,4587,6896,2283,185,3061,2304,385,293,108,13495,22,14104,24,565,6770,231,46,123,7334,221,6214,4304,39,272,239,133,460,94
514,965,451,1899,4043,6614,1744,147,371,810,7047,305,934,388,634,3056,3,0,446,1506,3,834,158,1550,263,6098,291,240,5649,632,30,102,11747,16,138,3931,8395,460,17,33,543,1929,1477,1003,933,3184,201,1707,4464,341,387,186,996,5450,"206051130",417,5205,853,436,13179,10655,375,210,6335,194,457,404,832,17,0,95,"Port Melbourne",13,146,266,0,51,517,0,595,329,1560,9388,2868,4584,496,1308,4804,1013,527,260,13661,76,14513,94,1032,7028,508,170,248,7485,577,6844,2144,36,505,537,107,1114,71
64,125,61,1338,2676,2905,565,80,175,305,2631,169,260,39,333,805,0,0,44,461,0,83,89,344,158,1332,395,393,1580,815,13,202,2912,3,191,1982,3759,945,13,16,1111,730,1074,2056,370,2028,41,954,1777,420,83,42,360,1257,"206041118",134,1533,253,119,4700,2790,106,131,2478,114,108,245,214,10,0,7,"Docklands",3,11,21,3,4,156,3,40,19,1025,2103,2012,1169,129,987,934,285,172,24,5536,14,5791,11,315,3041,40,25,16,2750,91,2222,1338,7,143,123,11,214,4
624,1284,660,1871,3841,4045,839,286,131,410,4224,586,429,560,196,1301,4,4,537,578,0,1097,300,723,65,3639,315,212,3469,625,25,109,7108,20,103,1473,3109,232,12,32,207,1278,588,439,633,1186,176,598,1636,310,344,168,645,1509,"213011331",83,1444,175,92,7945,2953,233,372,3900,386,297,758,530,8,3,52,"Delahey",17,76,274,0,24,418,3,646,372,2590,4053,5038,1985,489,2448,2068,907,396,57,8269,43,8443,42,769,4128,142,85,85,4315,208,4045,1970,73,373,215,188,423,115
