p_hghst_yr_schl_ns_85_yrs_ovr, p_hghst_yr_schl_ns_75_84_yrs, sa4_name16, p_y8b_85ov, p_tot_75_84_yrs, p_y8b_35_44_yrs, p_tot_35_44_yrs, p_y8b_tot, p_tot_45_54_yrs, p_tot_85ov, p_y8b_65_74_yrs, p_tot_tot, p_y8b_20_24_yrs, p_tot_65_74_yrs, p_tot_55_64_yrs, p_dngts_35_44, p_dngts_55_64, p_y8b_55_64_yrs, p_hghst_yr_schl_ns_55_64_yrs, p_hghst_yr_schl_ns_20_24_yrs, p_hghst_yr_schl_ns_35_44_yrs, p_hghst_yr_schl_ns_65_74_yrs, p_dngts_20_24, p_y8b_75_84_yrs, p_y8b_25_34_yrs, p_y8b_45_54_yrs, p_dngts_75_84, p_dngts_tot, p_tot_25_34_yrs, p_dngts_85_ov, p_hghst_yr_schl_ns_45_54_yrs, p_dngts_65_74, sa4_code16, p_dngts_45_54, p_dngts_15_19, p_tot_20_24_yrs, p_tot_15_19_yrs, p_hghst_yr_schl_ns_tot, p_hghst_yr_schl_ns_25_34_yrs, p_hghst_yr_schl_ns_15_19_yrs, p_dngts_25_34, p_y8b_15_19_yrs
1459,2374,"Capital Region",1071,13231,373,25404,8599,31486,5255,2466,172797,68,26543,32723,47,118,1632,2940,941,2174,3061,17,1998,239,695,150,633,22316,52,2795,133,"101",69,9,10343,5493,18676,2072,857,40,67
2839,3687,"Central Coast",1754,21675,435,39355,11057,43605,10263,2853,256122,118,36562,42344,61,153,2126,3048,1094,2257,3680,25,2430,330,927,142,806,35253,73,2833,185,"102",106,11,18136,8917,22410,2031,941,49,82
984,2238,"Central West",1272,12501,345,23637,9328,27002,5066,2540,158081,103,22468,26763,51,110,1876,2753,1348,2362,3039,11,2082,260,784,92,546,23086,31,2813,136,"103",71,4,11552,6014,19073,2414,1117,35,68
1008,1651,"Coffs Harbour - Grafton",926,9692,311,14677,6095,18149,4053,1492,107840,74,17618,21278,66,81,1046,1883,538,1189,1821,22,1398,253,536,64,495,12741,36,1509,67,"104",86,12,6104,3525,11235,1115,509,62,56
688,1339,"Far West and Orana",624,6742,288,12649,6158,14892,2743,1688,87708,96,11818,15298,21,78,1353,1837,800,1462,1744,0,1255,223,580,68,366,13991,26,1716,101,"105",49,3,6441,3135,11922,1776,564,13,56
1295,2375,"Hunter Valley exc Newcastle",1186,13667,471,32451,10049,34756,5215,2633,201270,145,27307,33550,63,112,2144,2822,1122,2530,3133,16,2106,355,899,89,577,31591,43,2717,111,"106",90,9,15062,7651,19584,2632,946,48,104
1644,2574,"Illawarra",1898,17049,426,36770,12480,38494,7320,3259,229486,125,28009,36205,104,233,2227,2426,1096,1891,2745,30,3328,301,840,522,1757,35869,259,2269,365,"107",137,16,20800,8973,17499,2054,805,99,80
2086,3122,"Mid North Coast",1626,18249,361,20703,10720,27212,7734,3018,170621,98,32932,33103,41,74,1946,2916,744,1642,3743,3,2538,256,801,100,473,17250,64,2369,101,"108",66,17,8505,4928,18908,1534,754,17,82
837,1516,"Murray",812,7779,205,12837,5643,14843,3199,1607,90435,69,13718,16326,67,66,938,1633,594,1093,1692,9,1426,163,384,71,471,12403,38,1304,97,"109",75,8,6288,3036,10220,1089,467,38,44
999,2080,"New England and North West",1080,11280,368,20242,8854,23392,4245,2389,139796,115,19968,24425,44,101,1737,2659,1031,1990,2640,17,2035,289,771,86,534,20198,31,2400,138,"110",69,6,10483,5568,16734,1946,986,47,73
2788,3211,"Newcastle and Lake Macquarie",1929,20755,475,44308,12129,46550,9915,2888,283884,168,36252,45130,111,164,2240,2835,1111,2000,3155,47,2866,436,997,190,1032,46322,101,2550,155,"111",154,18,24853,9803,20576,2202,737,87,131
1970,2800,"Richmond - Tweed",1799,16536,351,27754,9621,32966,8039,2409,190414,83,29347,37228,49,87,1558,3702,953,2428,3292,16,2438,249,670,96,527,22187,58,3072,92,"112",79,19,10572,5775,21179,1966,1003,41,70
873,1603,"Riverina",1132,9054,345,18172,7357,19868,3951,1831,119381,107,15035,19815,80,97,1293,2124,855,1820,1949,26,1723,254,622,116,707,18959,68,1907,122,"113",95,3,9748,4783,13683,1820,717,99,56
1196,1887,"Southern Highlands and Shoalhaven",734,12057,215,15128,5622,18743,4584,1586,117898,47,22052,21959,18,65,1074,1798,611,1296,2260,7,1340,164,418,71,330,13266,40,1613,65,"114",33,8,6489,3619,12391,1200,521,20,48
956,931,"Sydney - Baulkham Hills and Hawkesbury",586,8955,129,32165,3882,33814,4001,1109,170589,27,20080,27910,76,145,675,1193,449,1130,1218,15,931,85,318,191,900,22944,139,1410,166,"115",100,7,14136,6585,8695,912,495,64,28
667,1349,"Sydney - Blacktown",1064,9720,778,51806,12078,42256,3566,3196,249099,171,21676,33859,389,602,2655,2450,1363,3010,2233,70,2144,553,1447,496,3025,52636,196,2691,547,"116",449,17,22880,10702,18162,3266,1133,261,80
904,1629,"Sydney - City and Inner South",762,9033,333,51757,7248,35290,3425,1865,280615,190,17142,26115,223,420,1234,3218,4527,5657,2378,128,1785,428,587,700,2899,91910,282,3991,526,"117",263,24,37036,8907,34654,11053,1288,349,67
1451,1918,"Sydney - Eastern Suburbs",867,11702,138,41623,4121,32865,6336,933,219381,76,20058,25059,75,118,492,2453,2122,4019,2474,19,1255,123,211,275,1000,53129,148,3046,172,"118",94,14,21954,6653,24230,5872,858,83,19
2771,3488,"Sydney - Inner South West",3315,27180,1394,77380,27522,71589,13400,7174,444474,248,42524,60866,700,2113,5071,4096,2455,4641,3793,184,6622,919,2700,2266,10614,94492,1000,4442,2151,"119",1371,36,41360,15685,33484,6148,1637,791,83
945,1366,"Sydney - Inner West",1722,12420,264,44879,9723,38565,6137,2527,239056,78,20975,30417,162,397,1164,2249,1632,3138,1892,96,3229,191,527,825,3123,56784,474,2502,546,"120",274,13,22755,6116,18813,4391,692,340,29
1875,1838,"Sydney - North Sydney and Hornsby",785,19065,166,62820,3883,57164,10131,868,314692,40,34001,44404,173,230,561,2354,1181,3183,2215,43,1033,112,273,261,1421,56760,167,2769,211,"121",177,6,22111,8244,19924,3651,856,144,44
1561,1571,"Sydney - Northern Beaches",755,13065,163,38184,3664,37372,6935,855,193622,30,22412,28409,114,81,540,1644,686,1990,1742,9,961,109,241,143,747,29550,86,1888,122,"122",105,14,12517,5176,13446,1818,538,71,17
1012,1370,"Sydney - Outer South West",616,8267,467,36392,7734,33657,3169,2084,194313,108,19705,29820,154,310,1901,2009,1048,2068,1987,22,1265,319,916,236,1416,36931,81,1962,283,"123",201,14,17796,8573,14458,2132,865,108,57
887,1687,"Sydney - Outer West and Blue Mountains",1038,11733,427,41335,9206,40363,4567,2479,233884,101,26331,37780,135,187,2096,2510,1307,2629,2445,23,1758,323,915,238,1145,42063,76,2632,216,"124",160,8,20269,9445,17971,2911,968,105,70
1492,2218,"Sydney - Parramatta",1696,16390,1732,66355,17926,52218,7571,3726,345523,338,28742,43209,1262,1729,3497,3183,2425,4894,2658,412,3064,1392,2399,1268,9754,87768,624,3696,1443,"125",1624,32,31943,11332,28912,7087,1262,1360,84
1005,911,"Sydney - Ryde",708,8627,97,25847,3752,23606,4921,913,144643,57,13913,20240,113,209,589,940,645,1097,904,38,1070,87,214,304,1346,28818,173,951,204,"126",162,3,14190,4481,8175,1370,340,134,16
920,1892,"Sydney - South West",1828,14861,2414,55044,25283,54069,5539,5649,303679,341,27840,45475,1405,3380,5498,3452,1890,3696,2741,218,4198,1316,3900,2035,14096,57932,966,3662,2359,"127",2713,62,29637,13268,23716,3973,1508,954,140
