p_75_84_yr_voluntary_work_ns, f_85ov_not_a_volunteer, p_85ov_not_a_volunteer, p_55_64_yr_voluntary_work_ns, m_15_19_yr_tot, m_35_44_yr_voluntary_work_ns, f_20_24_yr_not_a_volunteer, p_15_19_yr_tot, p_75_84_yr_volunteer, p_25_34_yr_voluntary_work_ns, f_75_84_yr_tot, m_20_24_yr_not_a_volunteer, m_20_24_yr_voluntary_work_ns, m_75_84_yr_volunteer, f_25_34_yr_not_a_volunteer, m_85ov_tot, p_tot_volunteer, m_15_19_yr_not_a_volunteer, f_45_54_yr_not_a_volunteer, f_85_ov_voluntary_work_ns, m_25_34_yr_not_a_volunteer, m_15_19_yr_voluntary_work_ns, p_65_74_yr_tot, m_45_54_yr_not_a_volunteer, m_85ov_volunteer, f_65_74_yr_tot, m_45_54_yr_tot, m_15_19_yr_volunteer, f_20_24_yr_volunteer, f_15_19_yr_voluntary_work_ns, p_tot_voluntary_work_ns, f_tot_tot, m_35_44_yr_tot, m_55_64_yr_volunteer, f_85ov_tot, m_85_ov_voluntary_work_ns, m_75_84_yr_voluntary_work_ns, f_35_44_yr_voluntary_work_ns, f_15_19_yr_not_a_volunteer, p_55_64_yr_not_a_volunteer, p_tot_tot, p_85_ov_voluntary_work_ns, f_55_64_yr_not_a_volunteer, f_15_19_yr_tot, p_85ov_tot, m_35_44_yr_not_a_volunteer, p_45_54_yr_volunteer, p_20_24_yr_not_a_volunteer, p_35_44_yr_voluntary_work_ns, m_tot_voluntary_work_ns, p_25_34_yr_tot, f_65_74_yr_volunteer, f_65_74_yr_not_a_volunteer, m_65_74_yr_volunteer, p_25_34_yr_not_a_volunteer, p_45_54_yr_voluntary_work_ns, m_75_84_yr_not_a_volunteer, m_35_44_yr_volunteer, m_55_64_yr_not_a_volunteer, f_tot_voluntary_work_ns, p_55_64_yr_tot, f_25_34_yr_volunteer, p_75_84_yr_not_a_volunteer, m_25_34_yr_tot, f_tot_volunteer, m_65_74_yr_not_a_volunteer, f_55_64_yr_volunteer, p_15_19_yr_voluntary_work_ns, f_45_54_yr_volunteer, f_55_64_yr_tot, f_20_24_yr_voluntary_work_ns, m_45_54_yr_volunteer, p_45_54_yr_tot, p_15_19_yr_volunteer, f_85ov_volunteer, p_85ov_volunteer, m_tot_tot, f_35_44_yr_tot, p_35_44_yr_volunteer, f_45_54_yr_voluntary_work_ns, m_25_34_yr_volunteer, p_55_64_yr_volunteer, f_tot_not_a_volunteer, f_55_64_yr_voluntary_work_ns, p_35_44_yr_not_a_volunteer, p_75_84_yr_tot, f_15_19_yr_volunteer, p_tot_not_a_volunteer, f_75_84_yr_voluntary_work_ns, p_35_44_yr_tot, m_45_54_yr_voluntary_work_ns, m_75_84_yr_tot, p_65_74_yr_not_a_volunteer, p_20_24_yr_volunteer, f_35_44_yr_not_a_volunteer, sa4_name16, f_20_24_yr_tot, f_75_84_yr_volunteer, m_55_64_yr_voluntary_work_ns, m_tot_volunteer, f_35_44_yr_volunteer, p_20_24_yr_voluntary_work_ns, p_25_34_yr_volunteer, f_45_54_yr_tot, p_45_54_yr_not_a_volunteer, f_75_84_yr_not_a_volunteer, m_20_24_yr_volunteer, m_85ov_not_a_volunteer, p_20_24_yr_tot, m_65_74_yr_voluntary_work_ns, p_65_74_yr_volunteer, f_65_74_yr_voluntary_work_ns, p_65_74_yr_voluntary_work_ns, sa4_code16, m_65_74_yr_tot, m_tot_not_a_volunteer, m_20_24_yr_tot, m_55_64_yr_tot, f_25_34_yr_tot, f_25_34_yr_voluntary_work_ns, p_15_19_yr_not_a_volunteer, m_25_34_yr_voluntary_work_ns
2106,2243,3630,2636,6492,1235,3770,12659,2770,2122,6822,3971,561,1266,8220,1966,41550,4496,10302,782,8251,829,26553,10313,193,13050,15491,1166,816,702,18020,91060,12503,3751,3295,389,960,909,4051,21935,180076,1174,10839,6167,5265,8577,8294,7745,2144,9413,22338,3989,7750,3458,16473,2600,4200,2687,11095,8609,32731,2170,8371,11043,22889,8643,4414,1535,4532,16485,431,3763,31504,2573,272,459,89016,12921,6472,1180,1576,8158,59569,1237,16797,13249,1409,120509,1147,25417,1413,6426,16398,1627,8223,"Capital Region",5022,1502,1403,18663,3789,989,3747,16013,20614,4169,810,1382,10364,1407,7443,1310,2719,"101",13507,60942,5345,16249,11293,906,8550,1215
2995,4579,7419,2679,10117,1158,6913,19930,3203,2073,11976,7548,596,1443,14309,3866,46102,7666,16430,1479,14115,817,36591,15930,283,19339,21054,1642,1436,753,20591,139707,19032,3232,6407,741,1232,1098,7258,32304,267307,2219,16823,9808,10278,14582,8690,14468,2252,9725,35278,4054,13618,3073,28425,2573,7037,3298,15476,10864,42364,2763,15503,17244,26192,12759,4156,1570,4884,22308,557,3804,43630,3438,355,634,127602,20343,8290,1259,2018,7385,102652,1330,28836,21691,1802,200617,1756,39376,1315,9718,26383,2556,14256,"Central Coast",8908,1756,1342,19909,4991,1153,4785,22575,32366,8464,1119,2843,18174,1418,7122,1672,3087,"102",17251,97968,9267,20057,18037,965,14919,1105
2011,2332,3605,2536,6692,1343,4005,13093,2649,2438,6696,4255,854,1134,8298,1824,36958,4567,8871,581,8280,908,22483,8947,195,11170,13358,1219,1058,874,18721,83644,11614,2950,3247,357,898,962,4131,17787,165251,940,8671,6398,5075,7734,6527,8255,2307,10121,23097,3277,6612,2669,16583,2667,3772,2532,9119,8598,26773,2313,7844,11580,20697,7274,3498,1783,3591,13329,531,2930,27016,2611,331,521,81605,12040,6249,1189,1764,6449,54354,1160,15094,12507,1396,109570,1111,23652,1482,5812,13883,1923,7364,"Central West",5590,1514,1371,16257,3721,1383,4084,13652,17820,4066,867,1270,11564,1373,5943,1284,2655,"103",11313,55225,5972,13438,11515,906,8701,1533
1483,1798,2903,1717,4155,608,2214,8016,1816,1112,5139,2422,318,789,4851,1528,23361,2967,6618,565,4750,487,17629,6060,104,8834,8529,700,518,429,10810,58077,6994,2181,2526,318,644,530,2696,14732,112427,879,7437,3863,4052,5018,4079,4630,1141,5451,12753,2582,5454,1936,9604,1409,3131,1367,7295,5360,21286,1199,6401,6218,13264,6061,2658,919,2325,10882,234,1755,18165,1434,171,268,54349,7695,3425,692,843,4838,39448,786,10125,9702,737,78256,841,14690,711,4559,11519,945,5106,"Coffs Harbour - Grafton",2963,1031,933,10095,2059,553,2038,9637,12679,3272,434,1111,6135,799,4513,796,1603,"104",8799,38803,3173,10403,6535,484,5663,631
1097,1248,1968,1672,3333,802,2337,6502,1385,1762,3652,2381,488,534,5041,1033,19504,2308,4718,290,4799,496,11821,4797,110,5769,7369,527,511,422,11364,46226,6213,1550,1708,205,493,651,2138,10270,91150,492,4974,3171,2741,3953,3741,4720,1456,6070,14006,1639,3406,1263,9839,1651,2066,1453,5297,5298,15305,1416,4262,6823,10983,4011,1811,915,2064,7581,328,1683,14907,1139,174,282,44921,6444,3366,760,998,3357,29946,795,7836,6744,613,60281,598,12659,892,3100,7413,915,3886,"Far West and Orana",3184,852,878,8517,1908,823,2408,7539,9518,2195,401,720,6453,781,2907,722,1507,"105",6055,30332,3277,7720,7181,732,4446,1027
1979,2511,3897,2526,8419,1473,5890,16410,2292,2657,7261,6096,731,1018,12423,1877,36915,6493,12843,595,12184,825,27320,12778,161,13703,17085,1103,1065,759,18586,106875,16132,2714,3341,333,912,1007,5889,24887,210150,929,12359,7993,5219,11943,6590,11982,2483,9853,31603,3243,9122,2692,24612,2574,4481,2717,12524,8732,33575,2548,9401,15527,20993,9612,3446,1583,3691,17015,478,2897,34777,2448,236,392,103276,16340,6856,1163,1790,6162,77147,1209,23143,13680,1343,154647,1070,32481,1410,6416,18733,1896,11196,"Hunter Valley exc Newcastle",7437,1278,1314,15921,4142,1210,4337,17691,25618,4917,827,1385,15088,1306,5940,1342,2650,"106",13615,77501,7650,16557,16078,1106,12384,1555
2089,3544,5662,2112,9720,1014,7327,18979,2373,2084,9355,8617,620,1053,14096,2721,43809,7358,14426,804,14404,656,28043,14237,180,14464,18897,1702,2074,635,16294,122829,18022,3106,4612,426,911,869,6620,27425,239730,1225,14092,9264,7332,13728,7742,15952,1886,8007,35895,3224,10029,2710,28507,2116,5745,3274,13339,8289,36239,2968,12601,17870,24285,9806,3591,1292,4202,18721,588,3539,38525,3715,260,439,116898,18770,7905,996,2345,6692,90261,1042,27008,17066,2008,179628,1179,36792,1120,7707,19836,3700,13277,"Illawarra",9989,1322,1072,19528,4630,1204,5308,19629,28666,6859,1624,2116,20855,1065,5929,1223,2283,"107",13576,89359,10863,17511,18027,967,13978,1120
2734,3400,5547,2557,5993,842,3167,11701,3345,1545,9547,3341,448,1453,6703,3030,36461,4217,9769,1002,6266,768,32942,9240,259,16619,13038,1014,689,675,17639,91932,9892,3259,4718,620,1243,727,3823,23186,177488,1624,11820,5706,7749,7075,6039,6505,1563,8875,17264,4434,10575,3559,12970,2190,6013,1968,11369,8762,33119,1608,12183,8293,20612,11178,4117,1442,3380,17167,336,2654,27232,2218,317,582,85557,10824,4938,1045,1139,7371,62559,1224,14207,18262,1204,123393,1490,20710,1148,8711,21755,1230,7130,"Mid North Coast",4197,1886,1329,15844,2965,790,2748,14187,19002,6171,540,2148,8522,1588,7996,1602,3188,"108",16324,60843,4327,15954,8973,664,8038,887
1316,1379,2246,1482,3514,534,2199,6902,1653,1105,4140,2323,316,705,4360,1264,23564,2257,4650,381,4392,446,13722,4599,126,6811,7264,804,634,365,9786,48220,6199,1935,1939,274,592,513,2075,10651,94353,654,5256,3393,3208,4024,4374,4518,1049,4917,12415,2026,4034,1605,8750,1224,2351,1643,5395,4871,16327,1460,4817,6053,13087,4520,2255,810,2351,8236,290,2023,14843,1753,182,308,46131,6635,3921,583,1095,4191,30259,728,7876,7784,948,61001,722,12838,646,3652,8553,1185,3850,"Murray",3128,950,753,10478,2278,609,2558,7578,9245,2460,549,865,6312,791,3629,750,1541,"109",6909,30736,3184,8087,6358,539,4337,563
1862,1920,2926,2412,5990,1041,3682,11589,2563,1929,6054,3828,529,1090,7103,1470,35530,3931,7445,586,7112,872,19976,7451,173,9993,11444,1190,1059,758,16213,74766,9806,2757,2780,282,824,874,3485,15940,145922,868,7819,5599,4248,6329,6339,7507,1918,8192,20212,3165,5684,2543,14216,2159,3309,2438,8120,8023,24436,2361,6857,9850,19869,6217,3322,1626,3457,12279,528,2885,23405,2554,281,454,71154,10454,5815,1051,1705,6079,46882,1140,12526,11283,1364,94185,1034,20263,1104,5229,11902,1938,6205,"New England and North West",5270,1468,1275,15658,3381,1059,4068,11957,14901,3549,878,1008,10511,1225,5703,1145,2375,"110",9980,47302,5234,12152,10370,898,7407,1035
