p_85y_ov_total, sa4_code16, p_tot_no_udw, p_tot_udw_notstated, sa4_name16, p_tot_total, p_85y_ov_udw_notstated, p_85y_ov_no_udw, p_tot_udw_5_14_hrs, p_tot_udw_15_29_hrs, p_tot_udw_5_hrs_less, p_tot_udw_30_hrs_more
5265,"101",32455,19660,"Capital Region",180076,1303,2092,49475,24518,35147,18822
10278,"102",57006,22510,"Central Coast",267307,2462,4363,70415,33906,56414,27056
5075,"103",33323,20324,"Central West",165251,1062,2299,41613,20801,31161,18024
4052,"104",22245,11858,"Coffs Harbour - Grafton",112427,962,1740,29523,15488,20288,13018
2741,"105",20802,12228,"Far West and Orana",91150,559,1319,22003,10650,16114,9349
5219,"106",43091,20220,"Hunter Valley exc Newcastle",210150,1077,2398,54660,27759,40368,24045
7332,"107",53196,17828,"Illawarra",239730,1350,3393,63073,30086,52625,22922
7749,"108",37674,19474,"Mid North Coast",177488,1816,3421,44458,24987,29888,21013
3208,"109",19964,10718,"Murray",94353,739,1485,23972,11817,18433,9448
4248,"110",30172,17723,"New England and North West",145922,962,1848,36683,18389,27241,15719
9928,"111",60884,21316,"Newcastle and Lake Macquarie",295691,2578,3823,81499,37986,66145,27865
8042,"112",38575,22252,"Richmond - Tweed",198521,1949,3481,52489,26518,38410,20273
3951,"113",26575,14549,"Riverina",124846,909,1725,31225,15207,24558,12738
4588,"114",23725,12920,"Southern Highlands and Shoalhaven",122671,1103,1881,32210,17355,22526,13936
4003,"115",35319,9226,"Sydney - Baulkham Hills and Hawkesbury",180785,823,1677,49553,24162,44280,18251
3575,"116",73968,19213,"Sydney - Blacktown",262316,492,2035,62022,26763,56068,24287
3426,"117",72585,34846,"Sydney - City and Inner South",285297,776,1532,66045,17420,84219,10183
6342,"118",49576,24319,"Sydney - Eastern Suburbs",226282,1238,2773,55566,18870,65949,12004
13419,"119",145999,34776,"Sydney - Inner South West",464334,2084,6771,100300,44449,100207,38602
6153,"120",60858,18999,"Sydney - Inner West",247072,728,3294,63432,24004,63583,16192
10139,"121",60724,20008,"Sydney - North Sydney and Hornsby",330375,1553,4261,93828,39846,89461,26524
6945,"122",36800,13934,"Sydney - Northern Beaches",203023,1420,2838,57932,24645,53918,15787
3174,"123",48751,15274,"Sydney - Outer South West",204085,863,1371,51745,23273,45148,19882
4571,"124",51994,18469,"Sydney - Outer West and Blue Mountains",244791,697,2316,66450,29305,54861,23705
7583,"125",112523,30384,"Sydney - Parramatta",359916,1158,4009,77273,34117,74717,30906
