sa4_code16, num_mvs_ns, num_mvs_per_dweling_2_mvs, num_mvs_per_dweling_1_mvs, num_mvs_per_dweling_3_mvs, sa4_name16, total_dwelings, num_mvs_per_dweling_tot, num_mvs_per_dweling_0_mvs, num_mvs_per_dweling_4mo_mvs
"101",3492,30175,27501,11044,"Capital Region",82309,78820,3913,6178
"102",4810,42414,44315,13703,"Central Coast",121048,116232,8388,7415
"103",3471,27034,24317,9797,"Central West",74746,71274,4604,5520
"104",2237,18526,19581,5608,"Coffs Harbour - Grafton",51614,49376,2995,2664
"105",2191,13883,14203,5050,"Far West and Orana",41240,39053,3252,2665
"106",3695,35917,30351,12529,"Hunter Valley exc Newcastle",93894,90197,4411,6993
"107",3924,37591,36203,12458,"Illawarra",105288,101370,8319,6796
"108",3897,28886,32622,8827,"Mid North Coast",83341,79444,5027,4075
"109",2008,16012,15177,5214,"Murray",43846,41834,2761,2666
"110",3240,23423,22278,8435,"New England and North West",66307,63064,4165,4762
"111",4578,50064,47647,15654,"Newcastle and Lake Macquarie",135506,130923,9874,7693
"112",3969,32864,34412,9787,"Richmond - Tweed",90951,86985,5192,4731
"113",2526,20478,18079,7267,"Riverina",55512,52990,3112,4050
"114",2381,20362,20713,6463,"Southern Highlands and Shoalhaven",55891,53513,2510,3468
"115",1426,30342,15907,12031,"Sydney - Baulkham Hills and Hawkesbury",69816,68386,1647,8461
"116",3693,38708,33106,12916,"Sydney - Blacktown",101918,98224,7155,6337
"117",5120,19338,55161,3315,"Sydney - City and Inner South",124676,119555,40413,1319
"118",3697,26576,43328,5764,"Sydney - Eastern Suburbs",98825,95119,17118,2340
"119",6774,56834,71909,17849,"Sydney - Inner South West",184401,177632,21770,9278
"120",3396,29652,47204,6776,"Sydney - Inner West",104952,101565,14870,3065
"121",3201,48782,62556,12150,"Sydney - North Sydney and Hornsby",146713,143515,14867,5157
"122",2508,34013,30833,9849,"Sydney - Northern Beaches",87940,85428,5764,4975
"123",2625,30961,25026,11922,"Sydney - Outer South West",82721,80097,4611,7580
"124",3282,38329,34183,13513,"Sydney - Outer West and Blue Mountains",104168,100884,6411,8451
"125",5295,44517,55189,13065,"Sydney - Parramatta",140867,135572,15991,6806
"126",1607,21192,25503,5608,"Sydney - Ryde",62777,61168,6245,2630
"127",4610,40562,34870,16848,"Sydney - South West",116885,112275,9931,10069
"128",1974,30415,23976,9607,"Sydney - Sutherland",76169,74188,4324,5867
"201",2515,21933,19839,7561,"Ballarat",59743,57232,3367,4526
"202",2348,21558,18726,7600,"Bendigo",57513,55169,3004,4279
"203",3641,40246,34451,12190,"Geelong",102631,98988,5754,6357
"204",2855,24014,20363,8691,"Hume",64101,61243,2952,5225
"205",4599,37970,34583,13341,"Latrobe - Gippsland",103488,98886,5437,7555
"206",8289,53364,111376,10323,"Melbourne - Inner",246911,238614,59472,4075
"207",3304,49528,45869,13719,"Melbourne - Inner East",128334,125029,9547,6366
"208",4123,57897,56179,14006,"Melbourne - Inner South",149732,145608,11214,6309
"209",5192,65885,54499,21034,"Melbourne - North East",168667,163480,10323,11742
"210",4140,45762,37564,15487,"Melbourne - North West",118615,114476,6795,8872
"211",4656,72361,51914,24769,"Melbourne - Outer East",175298,170637,6832,14770
"212",8025,97305,74142,32891,"Melbourne - South East",243018,234994,13023,17630
"213",8293,91548,79285,28333,"Melbourne - West",236425,228134,14835,14133
"214",4168,42496,35924,12861,"Mornington Peninsula",107477,103307,5279,6752
"215",2822,20057,18192,7546,"North West",56900,54078,3471,4810
"216",2242,17355,14861,6499,"Shepparton",47321,45073,2471,3892
"217",2048,17003,14908,6281,"Warrnambool and South West",46541,44493,2298,4004
"301",2337,31507,24415,11258,"Brisbane - East",79234,76897,3705,6016
"302",2255,28784,29183,8256,"Brisbane - North",78039,75782,5866,3695
"303",3346,44664,40802,13717,"Brisbane - South",116823,113478,7928,6372
"304",1233,24661,20672,7462,"Brisbane - West",61200,59962,3783,3397
"305",2847,29458,42016,7237,"Brisbane Inner City",96989,94144,12397,3026
"306",3694,31551,31115,9581,"Cairns",86040,82345,5771,4337
"307",1883,16177,13708,6777,"Darling Downs - Maranoa",45103,43220,2053,4504
"308",2925,29190,24123,10746,"Central Queensland",76527,73605,3925,5615
"309",7009,78552,70239,25003,"Gold Coast",203602,196591,10128,12669
"310",3747,39995,33814,14549,"Ipswich",105456,101704,5526,7824
"311",3398,38033,30683,15345,"Logan - Beaudesert",102085,98688,5031,9592
"312",2529,22705,18214,8042,"Mackay - Isaac - Whitsunday",58112,55584,2814,3802
"313",2975,29404,29673,10778,"Moreton Bay - North",84548,81570,5163,6559
"314",1337,28306,18644,9626,"Moreton Bay - South",65103,63760,1991,5199
"315",1513,7617,7917,2904,"Queensland - Outback",25011,23499,3198,1863
"316",3989,50109,44964,16115,"Sunshine Coast",128735,124739,5492,8051
"317",1792,19990,18264,6822,"Toowoomba",53834,52039,3244,3726
"318",2802,31481,26980,10226,"Townsville",81043,78243,4713,4837
"319",4660,37903,40805,12902,"Wide Bay",109362,104700,6417,6675
"401",2929,39627,40160,12130,"Adelaide - Central and Hills",110763,107835,9779,6128
"402",4793,56225,55400,17579,"Adelaide - North",154138,149343,11449,8696
"403",3837,51582,49271,15886,"Adelaide - South",136899,133068,9061,7267
"404",2946,30267,35412,8898,"Adelaide - West",90651,87704,9192,3940
"405",1484,15732,14002,6169,"Barossa - Yorke - Mid North",43454,41974,2054,4030
"406",1346,10566,10441,3809,"South Australia - Outback",30781,29435,2699,1918
"407",2689,25942,24254,9782,"South Australia - South East",72101,69414,3620,5824
"501",2065,24986,18870,9562,"Bunbury",63149,61076,2322,5349
"502",1188,13330,13061,4569,"Mandurah",36196,35010,1533,2514
"503",1759,22231,26025,5847,"Perth - Inner",64349,62591,5788,2707
"504",2372,34388,26586,12723,"Perth - North East",87895,85525,4055,7770
"505",4786,78471,58450,26441,"Perth - North West",189599,184812,7661,13790
"506",4844,65729,53493,23636,"Perth - South East",170129,165287,8151,14272
