r_75_99_lt_ste_terr_hsg_auth, r_450_549_lt_other_lld_type, r_275_349_lt_psn_not_sme_hhd, r_75_99_tot, r_550_649_lt_real_este_agent, r_150_199_lt_psn_not_sme_hhd, r_0_74_lt_ste_terr_hsg_auth, r_275_349_lt_ste_ter_hsg_aut, r_850_949_tot, r_200_224_lt_lld_type_ns, r_350_449_lt_other_lld_type, tot_lt_lld_type_ns, r_275_349_lt_lld_type_ns, r_100_149_tot, r_750_849_lt_ste_ter_hsg_aut, r_150_199_lt_real_este_agent, r_350_449_lt_ste_ter_hsg_aut, r_950_over_tot, r_750_849_lt_psn_not_sme_hhd, r_275_349_tot, r_550_649_lt_lld_type_ns, r_75_99_lt_lld_type_ns, r_950_over_lt_psn_not_sme_hhd, r_650_749_lt_ste_ter_hsg_aut, r_225_274_tot, r_100_149_lt_lld_type_ns, rent_ns_lt_hs_coop_com_ch_g, r_750_849_lt_real_este_agent, r_0_74_lt_other_lld_type, r_850_949_lt_lld_type_ns, r_150_199_tot, r_450_549_lt_psn_not_sme_hhd, r_950_over_lt_other_lld_type, r_0_74_lt_hs_coop_com_ch_g, r_150_199_lt_ste_ter_hsg_aut, r_450_549_lt_ste_ter_hsg_aut, r_550_649_lt_other_lld_type, r_225_274_lt_lld_type_ns, r_100_149_lt_hs_coop_com_ch_g, r_150_199_lt_other_lld_type, r_350_449_lt_real_este_agent, r_75_99_lt_hs_coop_com_ch_g, r_100_149_lt_psn_not_sme_hhd, r_225_274_lt_psn_not_sme_hhd, tot_tot, r_100_149_lt_st_ter_hsg_aut, r_450_549_lt_hs_coop_com_ch_g, r_0_74_lt_lld_type_ns, r_150_199_lt_lld_type_ns, rent_ns_lt_psn_not_sme_hhd, r_200_224_lt_ste_ter_hsg_aut, rent_ns_lt_ste_ter_hsg_auth, r_750_849_lt_lld_type_ns, r_350_449_tot, tot_lt_real_este_agent, r_75_99_lt_other_lld_type, r_75_99_lt_psn_not_sme_hhd, r_75_99_lt_real_estate_agent, r_0_74_lt_real_estate_agent, r_750_849_tot, r_0_74_tot, r_650_749_lt_lld_type_ns, rent_ns_lt_real_este_agent, r_950_over_lt_ste_ter_hsg_aut, r_850_949_lt_psn_not_sme_hhd, r_750_849_lt_hs_coop_com_ch_g, r_950_ovr_lt_hs_coop_com_ch_g, r_200_224_lt_real_este_agent, tot_lt_psn_not_sme_hhd, r_200_224_lt_hs_coop_com_ch_g, r_275_349_lt_hs_coop_com_ch_g, r_350_449_lt_psn_not_sme_hhd, r_650_749_tot, r_650_749_lt_hs_coop_com_ch_g, r_225_274_lt_ste_ter_hsg_aut, r_200_224_lt_psn_not_sme_hhd, r_450_549_tot, r_850_949_lt_ste_ter_hsg_aut, r_100_149_lt_real_este_agent, r_550_649_lt_psn_not_sme_hhd, r_850_949_lt_hs_coop_com_ch_g, r_950_over_lt_lld_type_ns, r_450_549_lt_lld_type_ns, tot_lt_ste_ter_hsg_auth, tot_lt_other_lld_type, r_275_349_lt_other_lld_type, r_275_349_lt_real_este_agent, r_850_949_lt_real_estat_agent, rent_ns_lt_lld_type_ns, rent_ns_tot, r_650_749_lt_real_este_agent, sa4_name16, r_550_649_lt_ste_ter_hsg_aut, r_100_149_lt_other_lld_type, r_200_224_tot, r_650_749_lt_other_lld_type, r_450_549_lt_real_este_agent, r_650_749_lt_psn_not_sme_hhd, rent_ns_lt_other_lld_type, r_550_649_tot, r_750_849_lt_other_lld_type, r_350_449_lt_hs_coop_com_ch_g, r_225_274_lt_hs_coop_com_ch_g, r_200_224_lt_other_lld_type, sa4_code16, r_0_74_lt_psn_not_sme_hhd, r_950_over_lt_real_este_agent, tot_lt_hs_coop_com_ch_g, r_225_274_lt_real_este_agent, r_550_649_lt_hs_coop_com_ch_g, r_225_274_lt_other_lld_type, r_850_949_lt_other_lld_type, r_150_199_lt_hs_coop_com_ch_g, r_350_449_lt_lld_type_ns
96,22,966,264,216,665,99,190,24,22,101,654,18,1548,0,1026,87,72,17,4248,4,6,27,0,3450,23,47,29,250,0,2508,220,9,21,490,8,9,19,132,128,2353,50,404,827,20814,669,3,491,33,229,202,117,0,3225,10742,39,52,17,35,53,1442,3,166,0,3,0,0,1041,5378,47,23,668,123,0,228,656,818,0,225,66,0,3,3,2195,1307,234,2815,12,23,706,79,"Capital Region",0,100,2049,4,556,31,119,303,4,10,34,85,"101",556,32,530,2151,0,188,6,168,9
135,33,1385,229,924,346,148,344,55,15,95,551,40,1776,0,348,141,81,25,6700,3,7,19,4,2423,23,63,113,66,0,1854,505,4,35,658,9,7,20,96,264,8586,38,156,672,32423,1364,9,322,24,249,305,212,0,10394,20722,11,25,8,25,139,989,0,251,0,13,0,0,487,5941,56,43,1520,347,0,248,452,4034,0,54,145,0,4,10,3583,956,108,4781,45,42,891,303,"Central Coast",10,89,1409,4,3468,41,65,1092,0,21,89,97,"102",391,57,669,1276,0,120,0,211,35
135,5,707,331,36,797,152,182,6,15,32,636,19,2105,0,1361,46,35,4,4094,0,0,21,0,3501,28,60,4,324,0,3066,51,3,82,639,4,4,21,111,116,2139,55,495,758,20854,939,7,473,41,231,283,166,0,2586,11075,32,84,26,42,11,1703,0,160,0,0,0,0,1136,4830,26,26,340,15,0,220,694,333,0,430,19,0,0,0,2778,1003,79,3079,0,34,790,9,"Central West",7,107,2223,0,266,6,136,58,3,23,32,71,"103",630,13,531,2388,0,88,0,113,9
49,18,855,122,121,370,55,151,5,4,57,320,31,1100,0,334,34,25,5,3515,0,0,9,3,2213,14,44,5,55,0,1242,121,0,51,302,4,4,15,78,99,2406,17,231,610,14516,596,4,188,18,117,145,94,0,3126,7877,18,29,8,10,16,631,0,114,0,0,0,0,421,3640,36,47,591,44,0,133,403,812,0,71,26,0,0,3,1576,653,93,2352,0,21,433,36,"Coffs Harbour - Grafton",0,108,1072,0,652,10,41,155,3,10,36,62,"104",269,13,446,1325,0,88,3,118,22
107,9,380,443,14,616,143,74,6,15,22,530,3,1660,0,901,21,30,3,1663,0,17,20,0,1649,36,38,4,591,0,2428,23,8,75,444,3,0,13,222,229,713,140,440,410,12503,538,0,384,25,186,192,86,0,896,4864,103,69,12,28,6,1614,0,69,0,3,0,0,632,3152,43,13,137,14,0,144,453,118,0,257,7,0,5,0,1755,1433,46,1145,0,31,541,6,"Far West and Orana",0,173,1409,0,93,8,126,27,0,3,31,78,"105",395,4,771,980,0,64,0,205,3
143,22,1079,263,159,403,143,259,17,15,65,516,21,1686,0,857,28,37,5,7088,0,0,12,7,4048,18,47,13,202,0,2292,146,5,19,762,3,8,28,64,130,5392,40,244,725,26583,1082,0,350,26,196,295,175,0,6196,16419,13,44,17,34,21,1160,0,216,0,3,0,0,808,4465,28,19,684,63,0,360,445,1014,4,194,47,0,0,3,3253,1555,193,5507,6,32,798,40,"Hunter Valley exc Newcastle",3,86,1686,7,842,15,133,214,0,8,31,94,"106",413,15,377,2314,0,596,0,124,18
262,30,941,350,1176,330,337,611,70,19,100,436,26,3120,3,397,411,77,25,4977,0,5,22,0,2497,42,50,114,51,0,2219,488,7,27,1298,42,13,22,86,59,5755,40,160,554,30129,2674,7,232,25,195,559,370,0,7661,16606,9,22,7,46,143,1045,3,216,3,12,0,0,465,5017,54,47,1342,452,3,402,332,3793,0,90,164,0,0,8,6981,573,81,3273,58,40,908,364,"Illawarra",5,71,1468,9,3211,76,41,1360,0,29,49,41,"107",353,45,507,1395,7,66,0,112,25
75,3,957,196,176,592,85,180,12,18,52,552,35,1668,0,866,37,45,6,5015,7,3,14,4,3491,19,64,10,115,0,2465,135,6,25,548,0,3,27,110,169,3169,42,362,809,21601,885,8,362,25,187,240,123,0,3935,12349,25,36,9,28,24,1009,0,168,3,0,0,0,900,4752,73,43,641,52,0,219,572,945,0,160,27,0,0,3,2403,845,91,3713,6,41,646,31,"Mid North Coast",0,130,1891,3,797,11,61,213,0,18,56,90,"108",400,18,698,2288,0,89,3,264,13
61,4,278,270,14,600,48,29,0,9,15,366,5,1616,0,1470,6,37,4,1838,0,6,19,0,2091,18,27,3,287,0,2505,24,0,53,239,0,0,13,91,100,780,54,425,420,12365,375,0,257,31,133,96,61,0,918,7026,44,56,49,34,9,1024,0,111,0,0,0,0,840,2831,24,4,117,10,0,94,408,146,0,606,3,0,0,0,1001,804,33,1496,0,15,450,3,"Murray",0,107,1427,0,114,3,111,18,0,3,17,51,"109",337,11,340,1502,0,52,0,67,3
124,15,734,371,47,765,105,99,7,20,44,849,25,2026,0,1440,27,46,3,3818,0,14,27,0,3274,37,32,6,629,0,3283,72,3,106,639,4,6,23,154,171,1791,45,572,676,20696,629,0,639,50,234,238,148,0,2211,10418,50,78,52,40,11,2124,0,153,0,0,0,0,1089,4790,57,24,345,17,0,270,643,419,3,446,23,0,0,0,2285,1644,93,2854,3,37,862,9,"New England and North West",0,187,2145,0,329,8,254,75,0,3,59,97,"110",609,16,707,2150,0,100,0,224,5
291,29,1723,419,910,529,401,603,60,10,134,514,38,3439,4,602,162,110,36,7693,0,6,33,10,2997,21,90,113,57,0,2739,607,6,63,1240,25,15,18,141,113,8692,61,291,778,38636,2756,6,307,26,270,504,372,0,11099,21933,18,35,8,23,159,1273,3,273,5,16,3,0,649,7578,102,53,2054,347,0,481,531,4226,3,145,171,0,0,9,6856,910,182,5095,41,36,1101,260,"Newcastle and Lake Macquarie",3,83,1881,8,3548,67,52,1097,4,27,80,79,"111",426,61,848,1508,0,127,0,217,29
