i_1250_1499_1eft_othaw, i_1500_1749_1eft_othaw, i_1750_1999_1ept_othnw, negnil_inc_1aw_othnw, i_3000_3499_lfsta_ns, i_300_399_tot, i_500_649_1eft_othaw, i_800_999_1eft_othaw, negnil_inc_be_wpt, negnil_inc_be_baw, i_1250_1499_lfsta_ns, i_650_799_1eft_othpt, i_2500_2999_1eft_othaw, i_150_299_1aw_othnw, i_1500_1749_1ept_othnw, i_1000_1249_1aw_othnw, i_500_649_1eft_othpt, i_1750_1999_1eft_othaw, i_3500_3999_1aw_othnw, i_650_799_be_baw, i_400_499_1eft_othpt, i_2500_2999_1aw_othnw, i_1250_1499_1eft_othpt, i_1500_1749_1ept_othaw, i_650_799_tot, i_300_399_lfsta_ns, i_800_999_tot, i_3500_3999_1ept_othaw, i_800_999_1aw_othnw, i_1_149_tot, i_400_499_1aw_othnw, i_1250_1499_tot, i_300_399_1aw_othnw, i_500_649_be_wpt, i_1000_1249_lfsta_ns, i_1500_1749_1eft_othnw, i_650_799_1eft_othnw, i_2500_2999_be_baw, i_2000_2499_1aw_othnw, i_150_299_lfsta_ns, i_1_149_be_wft, i_1000_1249_tot, i_400_499_be_baw, i_3000_3499_1ept_othaw, i_400_499_1eft_othnw, i_1000_1249_bnw, i_3500_3999_be_wft, i_4000more_1eft_othaw, i_1750_1999_1eft_othnw, i_3000_3499_1ept_othnw, i_1_149_1eft_othpt, i_1250_1499_1eft_othnw, i_1500_1749_be_wpt, i_300_399_1eft_othpt, i_2000_2499_1eft_othnw, i_800_999_be_wpt, i_1750_1999_tot, i_650_799_be_wft, i_3000_3499_tot, i_1500_1749_1eft_othpt, i_3000_3499_be_wft, i_650_799_1ept_othnw, i_1_149_1eft_othaw, i_300_399_1ept_othnw, i_400_499_be_wft, i_4000more_1eft_othnw, i_500_649_tot, i_3500_3999_lfsta_ns, i_800_999_1ept_othnw, i_300_399_1eft_othaw, i_150_299_be_wft, i_1250_1499_be_wpt, i_2500_2999_be_wft, i_1750_1999_1eft_othpt, i_4000more_be_wft, i_1_149_lfsta_ns, sa4_name16, i_1_149_1eft_othnw, i_1500_1749_bnw, i_4000more_be_wpt, i_1500_1749_tot, negnil_inc_tot, i_1000_1249_be_wpt, i_1750_1999_1aw_othnw, i_1_149_1ept_othnw, i_500_649_bnw, i_150_299_1ept_othaw, i_1500_1749_be_baw, i_500_649_lfsta_ns, i_4000more_1ept_othnw, i_300_399_be_wft, i_2000_2499_1ept_othaw, i_3000_3499_be_baw, i_800_999_bnw, i_2000_2499_be_wft, i_500_649_1eft_othnw, i_4000more_be_baw, i_1750_1999_be_wft, i_4000more_1eft_othpt, i_1500_1749_1aw_othnw, i_3500_3999_1ept_othnw, i_1000_1249_1ept_othnw, i_1250_1499_be_baw, i_2000_2499_1ept_othnw, i_400_499_1eft_othaw, i_400_499_bnw, i_2000_2499_1eft_othpt, i_500_649_1ept_othaw, i_2500_2999_1ept_othaw, i_2000_2499_lfsta_ns, i_2500_2999_lfsta_ns, i_3500_3999_bnw, i_800_999_1ept_othaw, negnil_inc_1eft_othaw, i_300_399_bnw, i_1000_1249_1eft_othnw, negnil_inc_be_wft, i_2000_2499_bnw, i_2000_2499_be_baw, i_300_399_1ept_othaw, i_3500_3999_be_wpt, i_3500_3999_1eft_othnw, i_500_649_be_wft, i_3500_3999_be_baw, i_1750_1999_be_baw, i_800_999_1eft_othnw, i_400_499_1ept_othaw, i_3000_3499_1aw_othnw, i_400_499_1ept_othnw, i_650_799_be_wpt, i_1250_1499_bnw, i_2000_2499_1eft_othaw, i_650_799_bnw, i_3000_3499_1eft_othpt, i_1750_1999_lfsta_ns, i_800_999_be_wft, i_800_999_be_baw, negnil_inc_1eft_othpt, i_650_799_1aw_othnw, i_4000more_1ept_othaw, i_150_299_1ept_othnw, i_500_649_1aw_othnw, i_500_649_be_baw, i_400_499_lfsta_ns, i_300_399_1eft_othnw, i_1_149_be_baw, i_400_499_be_wpt, negnil_inc_1ept_othnw, i_800_999_1eft_othpt, negnil_inc_1ept_othaw, i_3000_3499_1eft_othaw, i_2500_2999_be_wpt, i_3000_3499_1eft_othnw, i_1250_1499_1ept_othaw, i_2500_2999_1eft_othpt, negnil_inc_1eft_othnw, i_150_299_be_baw, i_300_399_be_wpt, i_1250_1499_1aw_othnw, negnil_inc_bnw, i_2500_2999_bnw, i_1000_1249_be_wft, i_3000_3499_be_wpt, i_500_649_1ept_othnw, i_3500_3999_tot, i_400_499_tot, i_1000_1249_be_baw, i_650_799_1ept_othaw, i_1000_1249_1eft_othaw, i_1750_1999_1ept_othaw, i_150_299_1eft_othaw, negnil_inc_lfsta_ns, i_2500_2999_tot, i_1750_1999_bnw, i_150_299_1eft_othnw, i_1_149_be_wpt, i_2000_2499_tot, i_2000_2499_be_wpt, i_2500_2999_1eft_othnw, i_1_149_1aw_othnw, i_1_149_bnw, i_150_299_be_wpt, i_150_299_tot, i_1250_1499_1ept_othnw, i_1500_1749_lfsta_ns, i_300_399_be_baw, i_3500_3999_1eft_othpt, i_1000_1249_1eft_othpt, i_1_149_1ept_othaw, i_150_299_bnw, i_3000_3499_bnw, i_1750_1999_be_wpt, i_650_799_1eft_othaw, i_1500_1749_be_wft, i_3500_3999_1eft_othaw, sa4_code16, i_650_799_lfsta_ns, i_150_299_1eft_othpt, i_1000_1249_1ept_othaw, i_1250_1499_be_wft, i_2500_2999_1ept_othnw, i_800_999_lfsta_ns
48,45,63,4,3,38,3,11,3,0,13,34,144,0,73,27,14,67,14,0,19,19,584,16,424,0,783,12,20,32,4,1664,0,13,9,334,71,37,36,0,0,1391,3,16,10,246,630,116,294,27,3,370,102,3,506,64,1637,19,1764,605,711,93,0,11,14,230,233,0,134,0,3,135,837,656,1378,0,"Capital Region",5,110,52,1535,67,122,22,4,83,0,14,0,28,6,46,21,170,913,37,33,325,713,22,12,133,13,78,0,80,1135,4,46,6,4,8,17,0,17,390,6,116,41,0,26,148,17,14,15,206,0,7,29,37,142,158,147,639,9,36,10,3,11,23,9,8,3,0,10,0,5,0,104,3,135,87,122,27,942,3,0,0,25,45,59,94,52,54,1188,159,12,0,22,21,3,0,2418,84,3,0,3134,109,200,3,16,7,51,119,3,0,273,306,0,25,37,74,4,203,55,"101",7,8,23,184,48,3
79,79,121,4,5,51,0,17,0,3,10,37,227,3,162,61,21,111,17,0,12,24,866,33,576,0,1142,11,23,55,3,2774,3,14,14,859,119,39,65,0,4,2128,0,27,19,408,730,140,750,50,8,800,158,3,1147,84,2997,23,2815,1038,1040,117,0,15,3,366,280,0,206,0,0,180,1247,1156,1290,0,"Central Coast",7,261,72,2893,83,162,44,10,105,0,16,6,47,0,80,35,276,1206,46,29,438,1188,43,33,261,16,172,4,114,2530,0,69,11,6,29,23,0,25,659,13,242,52,0,42,354,3,17,24,338,0,19,28,37,324,246,212,1158,12,36,6,3,17,21,23,7,0,4,8,5,3,3,131,0,133,139,190,25,2002,5,0,0,51,57,135,71,91,74,1825,181,13,14,30,28,0,0,4430,197,9,5,5978,224,460,0,22,3,74,239,6,0,487,417,0,35,65,124,6,243,99,"102",3,3,30,180,75,6
57,65,42,0,3,44,5,14,0,4,7,47,136,3,67,46,23,48,8,6,9,9,600,16,487,0,798,7,22,34,5,1681,3,7,10,380,85,30,30,0,8,1460,0,23,17,251,423,85,337,15,3,439,75,0,583,42,1598,20,1551,606,686,85,3,5,12,146,245,0,131,0,6,84,788,667,747,0,"Central West",0,100,20,1588,73,94,23,0,98,0,26,0,12,6,38,16,203,794,39,18,292,623,21,11,126,11,65,0,95,1326,4,30,15,4,6,9,0,18,409,14,74,32,0,10,149,8,9,10,203,0,6,27,24,152,130,199,597,8,43,15,10,11,21,12,7,0,0,7,3,13,0,115,0,95,53,67,11,1017,4,0,0,18,40,37,98,30,46,924,178,17,0,36,23,0,0,2346,67,9,0,3186,106,199,0,11,10,71,97,9,0,226,355,0,32,20,80,4,219,65,"103",0,6,16,199,30,4
38,34,52,0,5,16,5,4,0,0,3,25,46,3,96,30,16,41,5,0,13,6,378,13,410,0,651,5,11,35,6,1268,3,13,7,232,76,11,18,0,3,1164,0,8,3,199,168,12,184,10,4,309,77,0,274,59,1065,17,686,437,271,83,0,6,3,49,176,0,109,0,0,117,418,417,245,0,"Coffs Harbour - Grafton",6,104,21,1161,59,125,11,4,70,0,6,3,7,0,25,6,184,488,25,5,206,214,16,5,130,6,42,0,66,710,0,20,3,6,6,12,0,6,317,10,68,16,0,13,87,4,7,7,154,0,5,37,42,154,77,146,257,0,27,0,3,11,10,12,3,0,0,3,0,9,4,75,0,25,45,45,13,435,3,0,0,18,34,28,45,31,39,420,133,10,3,24,15,0,3,1157,61,0,0,1820,100,104,0,13,7,49,107,4,0,106,253,0,29,18,69,3,136,22,"104",0,3,23,123,23,9
28,30,17,0,0,17,0,4,0,0,4,21,62,0,30,16,16,43,0,3,8,8,261,13,286,0,459,0,13,24,3,834,0,8,4,188,51,7,14,0,6,755,0,8,10,133,204,33,178,5,3,175,36,0,219,18,800,16,691,305,335,39,0,3,10,32,141,0,73,0,5,57,444,288,344,0,"Far West and Orana",6,50,9,785,35,42,13,0,52,0,6,0,13,3,17,7,119,464,22,10,189,191,21,6,64,7,25,0,73,514,3,25,0,3,0,9,0,11,215,9,27,17,0,3,58,14,7,4,113,0,0,7,12,95,69,124,221,4,47,0,3,7,7,9,3,0,3,0,0,3,0,57,0,50,24,37,11,430,4,0,0,7,15,15,68,11,29,403,112,8,3,15,7,0,0,1116,36,7,0,1417,52,88,0,12,7,35,51,3,0,94,177,0,13,7,25,0,98,25,"105",0,3,6,137,8,0
66,62,109,3,5,49,0,14,0,0,9,39,176,5,130,43,22,85,24,4,8,31,665,20,569,0,973,9,37,25,5,2241,4,21,6,675,78,37,66,0,0,1796,0,30,15,400,575,127,628,25,4,701,107,3,1094,58,2312,13,2157,857,826,103,0,14,8,305,270,3,168,0,0,133,964,889,1086,0,"Hunter Valley exc Newcastle",4,176,46,2308,76,107,39,0,108,0,19,3,37,0,63,26,290,1006,28,50,297,994,30,19,195,25,133,0,98,1789,4,51,22,7,27,6,3,19,583,11,172,37,0,27,289,6,17,13,269,0,11,32,25,279,178,273,856,3,31,8,3,14,30,12,10,0,3,3,0,9,7,89,0,121,121,154,22,1702,3,0,4,32,37,94,75,59,71,1377,165,12,11,34,25,0,3,3599,120,0,0,4735,168,367,0,12,7,75,154,4,0,344,319,0,33,44,98,3,226,51,"106",0,10,23,151,59,4
54,82,123,6,0,49,0,10,0,4,10,32,211,0,122,52,15,89,32,3,10,33,666,29,643,0,1031,15,30,44,4,2302,0,14,12,681,106,47,55,0,3,1813,0,45,18,429,770,182,640,69,3,611,108,0,1132,62,2666,13,2948,848,931,152,0,9,4,414,326,0,192,0,8,152,1121,1046,1534,0,"Illawarra",3,274,103,2390,106,118,22,11,151,0,11,0,60,0,58,31,346,1012,42,38,320,1489,24,38,224,18,178,0,171,2274,6,59,11,5,34,4,0,26,559,12,291,28,0,32,364,5,25,19,258,3,11,49,37,403,219,269,1262,3,12,0,5,17,45,11,12,3,3,7,0,6,9,103,0,162,126,258,30,2095,3,0,0,38,74,144,49,85,80,1970,261,5,9,31,41,0,3,4415,227,13,0,5463,214,471,3,23,4,79,192,4,0,552,322,0,44,92,132,0,204,115,"107",3,0,11,138,108,3
50,59,64,0,0,25,3,14,4,0,10,40,67,0,125,34,19,58,3,0,9,7,601,33,606,0,1041,10,42,36,0,1912,0,11,19,319,90,24,25,0,5,1736,0,14,9,416,248,32,272,15,0,409,122,0,376,88,1452,22,896,578,404,121,0,3,12,77,242,3,207,0,3,146,572,552,348,0,"Mid North Coast",3,153,37,1672,61,152,10,3,85,0,9,3,14,3,36,12,281,691,37,9,282,269,38,3,235,18,79,0,113,1002,3,25,7,3,4,9,0,16,379,8,124,27,0,4,76,9,8,9,238,3,0,43,33,277,86,276,317,3,40,8,3,13,6,12,8,0,0,5,0,9,3,115,0,45,61,50,39,709,7,0,0,39,35,48,97,28,68,476,204,15,12,17,22,0,3,1671,104,3,0,2592,129,130,0,19,0,54,163,4,0,98,349,0,32,22,82,0,223,19,"108",6,0,28,162,29,10
34,43,33,0,0,10,4,6,0,0,11,29,84,0,39,12,17,43,0,0,14,3,434,21,265,0,488,3,17,22,0,1081,0,4,4,195,49,12,11,0,4,837,0,9,12,106,183,25,155,8,0,243,45,3,211,30,925,16,751,399,286,41,0,0,5,62,161,0,69,0,3,49,414,409,294,0,"Murray",5,50,22,946,43,58,7,0,57,0,8,0,6,0,32,11,105,484,26,11,179,242,15,3,71,10,43,0,36,779,0,14,9,3,3,5,0,3,238,11,40,20,0,10,44,3,13,5,146,0,0,18,15,86,88,92,329,4,30,0,5,10,10,4,5,0,0,0,0,0,0,75,0,36,39,44,19,498,0,0,0,16,21,25,73,22,40,386,90,9,5,21,19,0,0,1189,33,13,0,1794,73,94,0,4,3,32,58,0,0,102,235,0,5,9,41,9,138,17,"109",0,0,13,125,9,0
59,61,38,0,0,33,3,13,0,3,5,33,74,3,64,21,19,73,5,3,11,10,548,21,453,3,796,6,26,61,3,1626,3,10,6,321,93,18,18,0,8,1357,0,14,13,203,293,45,243,3,6,400,59,0,359,42,1400,25,1045,576,464,64,0,4,21,81,228,0,110,0,6,83,666,573,513,0,"New England and North West",5,86,31,1452,78,87,12,6,89,0,15,0,3,3,38,12,170,782,40,9,302,331,15,7,130,15,53,3,116,989,3,22,8,0,9,3,0,18,394,19,66,26,0,3,92,15,9,14,242,0,4,28,24,154,126,190,400,6,48,6,7,7,8,10,6,3,0,0,3,9,0,129,0,45,43,56,16,658,7,3,3,24,35,33,114,20,41,598,197,12,3,17,27,0,6,1666,51,9,3,2552,96,117,0,20,0,51,80,7,0,150,342,0,19,12,64,3,229,23,"110",3,4,22,240,14,3
