median_tot_hhd_inc_weekly, sa4_code16, median_age_persons, median_mortgage_repay_monthly, sa4_name16, median_rent_weekly, average_num_psns_per_bedroom, median_tot_fam_inc_weekly, average_household_size, median_tot_prsnl_inc_weekly
1235,"101",44,1625,"Capital Region",255,0.8,1561,2.4,676
1256,"102",42,1750,"Central Coast",350,0.8,1560,2.5,599
1167,"103",41,1500,"Central West",235,0.8,1473,2.4,596
1013,"104",46,1500,"Coffs Harbour - Grafton",290,0.8,1249,2.4,520
1106,"105",41,1277,"Far West and Orana",190,0.8,1386,2.4,594
1284,"106",39,1733,"Hunter Valley exc Newcastle",290,0.8,1548,2.6,600
1349,"107",39,1950,"Illawarra",330,0.8,1679,2.6,587
939,"108",50,1450,"Mid North Coast",270,0.8,1174,2.3,492
1115,"109",43,1300,"Murray",200,0.8,1422,2.3,607
1104,"110",41,1307,"New England and North West",220,0.8,1378,2.4,581
1328,"111",40,1733,"Newcastle and Lake Macquarie",330,0.8,1670,2.5,624
1064,"112",46,1600,"Richmond - Tweed",300,0.8,1333,2.4,547
1230,"113",38,1365,"Riverina",220,0.8,1517,2.5,646
1091,"114",47,1625,"Southern Highlands and Shoalhaven",295,0.7,1340,2.4,552
2265,"115",39,2500,"Sydney - Baulkham Hills and Hawkesbury",550,0.8,2397,3.1,797
1710,"116",33,2150,"Sydney - Blacktown",380,0.9,1818,3.2,670
1886,"117",33,2500,"Sydney - City and Inner South",550,1.1,2369,2.2,915
2157,"118",35,2900,"Sydney - Eastern Suburbs",580,1.0,2756,2.4,1011
1429,"119",35,2167,"Sydney - Inner South West",415,1.1,1576,2.9,565
1959,"120",36,2500,"Sydney - Inner West",500,1.0,2282,2.6,820
2329,"121",38,2600,"Sydney - North Sydney and Hornsby",556,1.0,2814,2.6,1022
2173,"122",40,2800,"Sydney - Northern Beaches",565,0.9,2528,2.7,910
1634,"123",34,2000,"Sydney - Outer South West",360,0.9,1794,3.0,684
1585,"124",36,1950,"Sydney - Outer West and Blue Mountains",365,0.8,1852,2.7,713
1517,"125",33,2037,"Sydney - Parramatta",410,1.1,1631,3.0,586
1913,"126",37,2383,"Sydney - Ryde",470,1.0,2236,2.7,758
1427,"127",35,2000,"Sydney - South West",365,1.0,1489,3.3,500
1975,"128",40,2427,"Sydney - Sutherland",450,0.9,2312,2.7,831
1097,"201",41,1300,"Ballarat",240,0.8,1409,2.4,558
1158,"202",41,1383,"Bendigo",250,0.8,1443,2.4,591
1285,"203",40,1560,"Geelong",288,0.8,1615,2.5,615
1132,"204",43,1300,"Hume",230,0.8,1417,2.4,618
1050,"205",44,1300,"Latrobe - Gippsland",220,0.7,1338,2.3,543
1694,"206",33,2100,"Melbourne - Inner",401,1.0,2323,2.1,882
1752,"207",39,2167,"Melbourne - Inner East",400,0.9,2183,2.6,701
1787,"208",39,2167,"Melbourne - Inner South",386,0.9,2309,2.5,796
1521,"209",36,1824,"Melbourne - North East",331,0.9,1767,2.8,642
1420,"210",35,1733,"Melbourne - North West",330,0.9,1598,2.9,578
1556,"211",39,1766,"Melbourne - Outer East",350,0.8,1851,2.7,673
1442,"212",35,1733,"Melbourne - South East",336,0.9,1593,2.9,585
1483,"213",34,1733,"Melbourne - West",315,0.9,1644,2.9,624
1301,"214",42,1700,"Mornington Peninsula",310,0.8,1635,2.5,643
1016,"215",43,1083,"North West",185,0.8,1306,2.3,553
1102,"216",42,1300,"Shepparton",210,0.8,1364,2.4,568
1103,"217",43,1300,"Warrnambool and South West",202,0.8,1411,2.4,586
1599,"301",40,2000,"Brisbane - East",395,0.8,1902,2.7,712
1619,"302",37,1950,"Brisbane - North",370,0.8,1977,2.5,764
1674,"303",34,2000,"Brisbane - South",390,0.8,1930,2.7,694
1967,"304",36,2127,"Brisbane - West",400,0.8,2322,2.7,766
1916,"305",33,2200,"Brisbane Inner City",420,0.9,2495,2.3,924
1216,"306",41,1590,"Cairns",280,0.8,1475,2.5,642
1127,"307",41,1300,"Darling Downs - Maranoa",210,0.8,1366,2.5,598
1398,"308",37,1733,"Central Queensland",250,0.8,1740,2.6,659
1397,"309",39,1950,"Gold Coast",390,0.8,1655,2.6,661
1360,"310",34,1603,"Ipswich",310,0.8,1523,2.8,623
1397,"311",34,1733,"Logan - Beaudesert",330,0.8,1531,2.9,626
1436,"312",38,1863,"Mackay - Isaac - Whitsunday",250,0.8,1793,2.5,724
1185,"313",41,1712,"Moreton Bay - North",315,0.8,1407,2.6,568
1737,"314",35,1928,"Moreton Bay - South",360,0.8,1921,2.9,750
1302,"315",37,1500,"Queensland - Outback",140,0.9,1540,2.7,662
1254,"316",44,1777,"Sunshine Coast",375,0.8,1478,2.5,608
1295,"317",37,1560,"Toowoomba",285,0.8,1583,2.5,643
1346,"318",36,1660,"Townsville",280,0.8,1640,2.5,654
935,"319",47,1300,"Wide Bay",250,0.8,1133,2.4,478
1467,"401",40,1733,"Adelaide - Central and Hills",315,0.8,1967,2.4,698
1178,"402",36,1413,"Adelaide - North",268,0.8,1407,2.6,560
1281,"403",40,1517,"Adelaide - South",295,0.8,1622,2.4,631
1192,"404",40,1625,"Adelaide - West",280,0.8,1554,2.4,592
1025,"405",46,1170,"Barossa - Yorke - Mid North",200,0.7,1318,2.3,536
1122,"406",41,1248,"South Australia - Outback",175,0.8,1418,2.3,624
997,"407",45,1127,"South Australia - South East",195,0.7,1266,2.3,545
1316,"501",40,1733,"Bunbury",300,0.7,1606,2.5,629
1167,"502",43,1826,"Mandurah",320,0.7,1437,2.4,539
2023,"503",36,2432,"Perth - Inner",400,0.9,2769,2.3,941
1585,"504",36,2000,"Perth - North East",350,0.8,1851,2.6,703
1707,"505",36,2037,"Perth - North West",380,0.8,2018,2.7,734
1558,"506",34,1950,"Perth - South East",350,0.8,1818,2.7,681
1662,"507",36,2000,"Perth - South West",360,0.8,1997,2.6,716
1191,"509",44,1400,"Western Australia - Wheat Belt",200,0.8,1481,2.4,630
2036,"510",37,2383,"Western Australia - Outback (North)",165,1.0,2416,2.8,1396
1423,"511",39,1700,"Western Australia - Outback (South)",245,0.8,1836,2.5,754
1232,"601",40,1400,"Hobart",260,0.8,1569,2.4,638
1015,"602",42,1260,"Launceston and North East",212,0.8,1319,2.3,538
966,"603",47,1192,"South East",200,0.8,1210,2.3,502
991,"604",43,1165,"West and North West",200,0.8,1274,2.3,527
2145,"701",35,2200,"Darwin",420,1.0,2386,2.7,1041
1498,"702",33,1800,"Northern Territory - Outback",92,1.2,1352,3.2,576
2067,"801",35,2058,"Australian Capital Territory",380,0.8,2445,2.5,997
1398,"901",44,1394,"Other Territories",140,0.9,1568,2.6,758
