m85ovr_c_own_chld_childr, f55_64_ca_ow_ch_ch_oth_ch_ch, f55_64_c_own_chld_childr, f15_19_u_ch_care_ns, p45_54_u_ch_care_ns, p20_24_ca_ow_ch_ch_oth_ch_ch, f55_64_c_oth_ch_chiln, f35_44_yr_t, mt_u_ch_care_ns, p20_24_d_not_prov_ch_care, mt_c_oth_ch_chiln, p45_54_yr_t, f15_19_os_v, p15_19_yr_t, f75_84_os_v, m15_19_yr_c_for_t, ft_os_v, f20_24_ca_ow_ch_ch_oth_ch_ch, m85ovr_t, f20_24_d_not_prov_ch_care, m25_34_os_v, m45_54_c_own_chld_childr, f65_74_c_own_chld_childr, f15_19_d_not_prov_ch_care, p15_19_u_ch_care_ns, f55_64_os_v, f45_54_os_v, p25_34_ca_ow_ch_ch_oth_ch_ch, f75_84_d_not_prov_ch_care, m85ovr_u_ch_care_ns, m55_64_d_not_prov_ch_care, m35_44_yr_c_for_t, m45_54_yr_c_for_t, f20_24_yr_t, p35_44_c_own_chld_childr, m55_64_c_own_chld_childr, p15_19_yr_c_for_t, p20_24_u_ch_care_ns, m85ovr_d_not_prov_ch_care, f15_19_yr_c_for_t, f45_54_c_oth_ch_chiln, m25_34_c_own_chld_childr, f55_64_yr_c_for_t, f65_74_d_not_prov_ch_care, m20_24_u_ch_care_ns, m35_44_c_own_chld_childr, m55_64_c_oth_ch_chiln, f45_54_u_ch_care_ns, f20_24_yr_c_for_t, p15_19_d_not_prov_ch_care, m25_34_yr_c_for_t, m15_19_c_oth_ch_chiln, m45_54_yr_t, m45_54_u_ch_care_ns, p35_44_yr_t, m85ovr_c_for_t, mt_os_v, m35_44_ca_ow_ch_ch_oth_ch_ch, mt_c_for_t, p35_44_yr_c_for_t, m75_84_c_own_chld_childr, f55_64_u_ch_care_ns, m45_54_d_not_prov_ch_care, m15_19_c_own_chld_childr, f15_19_yr_t, m25_34_u_ch_care_ns, p20_24_yr_t, f75_84_yr_t, f55_64_yr_t, m75_84_yr_c_for_t, p20_24_c_oth_ch_chiln, mt_ca_ow_ch_ch_oth_ch_ch, p35_44_c_oth_ch_chiln, m45_54_c_oth_ch_chiln, p25_34_os_v, sa4_name16, m55_64_yr_t, ft_u_ch_care_ns, f25_34_yr_c_for_t, p20_24_os_v, f75_84_c_own_chld_childr, m65_74_yr_t, m65_74_os_v, p15_19_os_v, p25_34_c_oth_ch_chiln, m25_34_d_not_prov_ch_care, f20_24_u_ch_care_ns, m85ovr_os_v, m20_24_d_not_prov_ch_care, ft_c_own_chld_childrn, ft_ca_ow_ch_ch_oth_ch_ch, mt_t, p20_24_yr_c_for_t, m75_84_os_v, f75_84_ca_ow_ch_ch_oth_ch_ch, f25_34_ca_ow_ch_ch_oth_ch_ch, p45_54_ca_ow_ch_ch_oth_ch_ch, m55_64_ca_ow_ch_ch_oth_ch_ch, m15_19_u_ch_care_ns, f35_44_c_oth_ch_chiln, f55_64_d_not_prov_ch_care, p35_44_u_ch_care_ns, p45_54_c_own_chld_childr, f15_19_c_oth_ch_chiln, m75_84_ca_ow_ch_ch_oth_ch_ch, f45_54_d_not_prov_ch_care, ft_c_oth_ch_chiln, f75_84_c_oth_ch_chiln, p25_34_yr_t, m35_44_c_oth_ch_chiln, m15_19_ca_ow_ch_ch_oth_ch_ch, m35_44_yr_t, m35_44_u_ch_care_ns, m65_74_c_own_chld_childr, f45_54_ca_ow_ch_ch_oth_ch_ch, p45_54_os_v, f20_24_c_oth_ch_chiln, p45_54_yr_c_for_t, f85ov_ca_ow_ch_ch_oth_ch_ch, f75_84_yr_c_for_t, p20_24_c_own_chld_childr, f35_44_u_ch_care_ns, f25_34_c_oth_ch_chiln, f65_74_u_ch_care_ns, p35_44_os_v, f15_19_c_own_chld_childr, m65_74_yr_c_for_t, f45_54_c_own_chld_childr, m85ov_ca_ow_ch_ch_oth_ch_ch, p35_44_d_not_prov_ch_care, f20_24_c_own_chld_childr, f25_34_yr_t, m15_19_d_not_prov_ch_care, ft_c_for_t, m85ovr_c_oth_ch_chiln, mt_c_own_chld_childrn, p25_34_d_not_prov_ch_care, m45_54_os_v, m65_74_ca_ow_ch_ch_oth_ch_ch, f65_74_os_v, f15_19_ca_ow_ch_ch_oth_ch_ch, m55_64_os_v, f25_34_c_own_chld_childr, m75_84_d_not_prov_ch_care, f35_44_yr_c_for_t, m55_64_u_ch_care_ns, m65_74_d_not_prov_ch_care, f65_74_c_oth_ch_chiln, f85ovr_t, f85ovr_c_for_t, f35_44_ca_ow_ch_ch_oth_ch_ch, p35_44_ca_ow_ch_ch_oth_ch_ch, m35_44_d_not_prov_ch_care, m25_34_c_oth_ch_chiln, ft_t, m20_24_c_oth_ch_chiln, p25_34_u_ch_care_ns, p45_54_c_oth_ch_chiln, m45_54_ca_ow_ch_ch_oth_ch_ch, f45_54_yr_t, f85ovr_u_ch_care_ns, p15_19_c_oth_ch_chiln, m15_19_yr_t, f85ovr_os_v, f35_44_c_own_chld_childr, m20_24_yr_t, m75_84_u_ch_care_ns, f20_24_os_v, m20_24_os_v, ft_d_not_prov_ch_care, m75_84_yr_t, mt_d_not_prov_ch_care, m20_24_c_own_chld_childr, f25_34_os_v, m75_84_c_oth_ch_chiln, f65_74_ca_ow_ch_ch_oth_ch_ch, f25_34_u_ch_care_ns, f35_44_os_v, f25_34_d_not_prov_ch_care, m25_34_ca_ow_ch_ch_oth_ch_ch, p25_34_c_own_chld_childr, p15_19_c_own_chld_childr, f75_84_u_ch_care_ns, f35_44_d_not_prov_ch_care, f85ovr_c_oth_ch_chiln, m20_24_ca_ow_ch_ch_oth_ch_ch, m55_64_yr_c_for_t, f65_74_yr_c_for_t, m65_74_c_oth_ch_chiln, f85ovr_c_own_chld_childr, m65_74_u_ch_care_ns, p15_19_ca_ow_ch_ch_oth_ch_ch, p25_34_yr_c_for_t, m20_24_yr_c_for_t, f45_54_yr_c_for_t, m25_34_yr_t, p45_54_d_not_prov_ch_care, f65_74_yr_t, m35_44_os_v, m15_19_os_v, sa4_code16, f85ovr_d_not_prov_ch_care
14,21,286,743,3032,38,3002,13916,11111,8530,4738,33198,85,13171,18,335,704,31,1996,3856,241,4227,94,4913,1655,85,68,391,5314,414,13284,7111,4888,5593,14477,848,950,1223,1545,619,1355,3413,3311,9587,703,6568,1315,1319,1101,10383,3864,287,16473,1714,27664,30,719,223,20743,15908,26,1383,9809,42,6365,1483,11655,6856,16983,307,624,434,793,562,462,"Capital Region",17182,9508,6124,277,20,13990,42,176,979,6966,519,3,4675,18072,957,95343,1624,5,3,303,255,23,911,471,12196,2661,8013,518,0,10033,8809,309,24969,322,4,13743,1567,149,159,133,397,10185,0,337,963,1096,608,1391,118,91,1511,3784,0,8972,671,12410,5473,27839,18,15567,11978,67,4,41,7,56,5207,5183,8796,1654,10816,2123,3294,31,419,639,5008,366,95392,231,2546,1914,94,16724,804,806,6805,9,7905,6061,1041,121,152,57333,6538,62770,289,215,277,8,1056,57,5007,83,8617,135,1193,3965,25,5,2187,2230,1358,8,1625,10,9984,528,5302,12557,19841,13249,59,90,"101",2454
8,51,479,778,2440,68,5188,20296,9468,14321,7556,43184,71,19954,43,558,613,57,3809,6502,71,5883,114,8024,1629,112,93,668,9322,766,15145,11054,6895,8868,22952,1030,1514,1145,3005,956,2029,5376,5716,13385,604,10226,2176,1221,1763,16691,6127,504,20736,1227,39191,36,428,373,31559,25298,33,1253,12568,41,9834,1046,18072,11794,21928,488,997,789,1189,836,161,"Central Coast",19756,10680,9779,92,31,16705,60,120,1511,9903,542,3,7815,28615,1735,125872,2515,22,0,495,493,28,850,739,14851,2088,11663,846,4,13007,14625,582,35224,450,8,18894,1071,179,319,144,687,15024,0,617,1454,1017,924,1616,122,104,2420,5786,0,11681,1014,18075,8671,44979,21,23215,17182,52,17,77,8,77,8358,7757,14250,1303,12834,3586,6392,49,786,1158,6713,580,138432,307,1981,2868,179,22446,1500,1348,10126,13,12724,9206,1221,58,34,82158,9488,84414,436,89,448,16,932,64,7277,166,13729,146,1819,4972,39,15,3232,3717,2228,15,1383,15,15907,758,8130,17148,25571,18799,61,47,"102",4825
20,17,249,909,2618,74,2805,11997,10187,8167,4405,26999,25,13103,11,360,260,58,1813,3677,38,3263,92,4843,1833,44,20,473,5135,367,10034,6318,3951,5695,12887,605,1029,1427,1409,673,1464,3935,3067,7801,881,5859,1282,1137,1422,10198,4455,300,13449,1481,23708,32,212,182,19119,14207,25,1156,7999,57,6444,1564,11778,6602,13175,242,731,435,754,591,90,"Central West",13327,8537,6692,78,20,11036,21,45,1028,5704,541,0,4485,17101,983,81516,2106,11,4,364,233,9,926,475,8906,2251,6247,557,3,7810,8376,271,23302,279,3,11711,1334,101,138,49,467,8534,0,299,1304,917,623,1246,57,112,1185,2991,0,7193,894,11542,5361,26462,12,14272,9626,23,12,27,5,36,5702,4508,7893,1360,8465,1684,3223,49,386,571,4032,404,83088,258,2433,2049,100,13546,598,855,6655,0,7028,6083,919,48,31,47831,5679,52003,412,56,211,8,873,28,3923,108,9639,167,1156,3160,34,17,1894,1783,1070,18,1366,5,11150,690,4588,11763,15806,10858,32,18,"103",2579
4,24,205,456,1440,22,1928,7802,5709,4552,2886,18342,34,8064,14,228,468,19,1562,2024,99,2186,56,3033,945,64,46,279,4184,332,8233,3771,2618,3101,8049,510,609,540,1211,385,873,2051,2160,7244,304,3474,834,705,751,6453,2343,207,8636,742,14868,18,370,128,11752,8919,20,834,5251,22,3902,601,6355,5343,11227,184,400,308,468,354,230,"Coffs Harbour - Grafton",10616,5707,3756,153,11,9453,45,65,574,3377,230,0,2522,10758,659,56046,1116,20,0,214,191,29,492,298,8162,1101,4374,327,5,5792,5454,196,13259,169,3,7064,598,83,116,74,251,5786,0,210,694,509,351,962,87,50,856,2184,0,4763,481,6841,3413,16880,8,8558,5844,25,5,43,4,46,3192,3931,5144,957,7612,1215,2551,21,276,407,2651,225,60006,147,1095,1228,75,9711,587,530,4165,0,4575,3254,755,92,63,36951,4896,38218,206,126,161,7,492,47,2462,64,5239,66,930,2109,13,3,1377,1273,774,7,941,11,6093,361,3175,6414,11038,9518,42,33,"104",1937
8,8,158,448,1745,35,1474,6483,6551,4307,2234,15217,23,6366,3,162,225,23,1021,1952,37,1547,31,2286,945,42,30,226,2846,204,6144,3163,1906,3259,6375,295,494,874,797,335,847,2046,1635,4492,504,2932,670,796,896,4892,2294,142,7562,954,12829,14,157,80,9605,7104,9,835,4686,18,3086,1067,6568,3674,7867,115,386,197,447,314,92,"Far West and Orana",8117,5653,3778,68,7,6539,18,33,586,3580,365,3,2349,8986,479,46413,1325,8,4,174,109,5,503,299,5350,1489,2955,258,0,4507,4449,152,14309,144,3,6348,855,43,65,52,249,4228,0,167,904,635,386,852,27,72,556,1417,0,4217,624,7330,2606,13918,6,7175,6310,17,0,17,3,29,3217,2571,3943,981,5042,772,1701,22,197,282,2324,197,47222,144,1832,1158,48,7656,302,401,3272,0,3448,3308,561,43,23,27430,3252,30099,279,53,106,0,761,17,2732,51,5263,88,658,1890,15,8,973,810,510,7,930,5,6076,426,2322,6976,9195,6169,13,9,"105",1367
11,26,290,726,2514,75,4265,16306,9638,11208,6278,34604,54,16481,15,459,464,57,1868,5024,83,4386,85,6306,1545,71,46,694,5810,328,12382,9097,5278,7434,18392,683,1368,1153,1514,906,2109,5584,4580,9631,690,8438,1988,1145,1874,13485,6281,408,16954,1367,32311,24,325,254,26740,20262,27,1166,10276,48,7993,1526,15189,7257,16836,305,892,615,1047,763,182,"Hunter Valley exc Newcastle",16414,8589,9433,113,31,13302,41,87,1307,7710,465,3,6182,23700,1377,102765,2717,19,3,510,310,25,818,638,11016,2391,8236,764,0,10317,11844,297,31802,407,5,16004,1402,135,184,78,596,11418,0,331,1748,986,789,1325,62,134,1755,3845,0,9601,1219,16194,7180,36923,16,19848,13296,35,5,61,8,39,8133,5132,11164,1288,10213,2365,3348,29,570,823,5475,513,106483,290,2611,2870,126,17648,604,1170,8491,9,9957,7752,922,67,45,60507,6376,66068,531,99,277,13,1079,34,5580,186,13718,185,1098,4127,14,14,2693,2460,1614,16,1294,13,15716,840,6145,15605,20589,13480,30,26,"106",2702
5,46,441,637,2013,53,4893,18750,7705,17459,7475,38248,134,19273,26,489,998,40,2701,7958,142,5368,96,7776,1327,148,108,582,7438,438,12977,10499,6190,10216,21479,889,1361,1151,2218,874,1892,4767,5377,9305,605,9780,2145,971,1445,16354,5387,440,18671,1047,36629,48,798,303,29512,23597,37,1000,11361,44,9425,1064,21256,9275,18452,555,1033,659,1116,674,302,"Illawarra",17131,8089,8834,495,37,13170,54,230,1474,11309,545,5,9500,25462,1531,115933,2151,25,3,448,414,40,686,697,11935,1762,10326,762,3,11382,13920,563,35966,417,7,17878,944,163,267,184,673,13303,0,604,1061,813,991,1185,167,98,2561,4955,0,11108,733,18071,8576,40912,39,21384,19455,70,9,78,11,79,7394,6108,13095,992,9521,3406,4609,54,700,1002,6344,488,122457,367,1995,2561,149,19571,798,1199,9850,3,11700,11045,899,264,233,72457,7586,77918,328,164,517,20,924,72,8144,136,12163,148,1211,4766,49,13,3083,3523,2387,9,1028,12,14215,709,7110,17900,22744,14089,89,99,"107",3750
8,28,293,670,2071,37,2895,10882,8721,6154,4358,27239,46,11603,22,305,396,30,3037,2779,67,3131,69,4369,1444,66,55,350,7729,631,12601,5327,3740,4275,11353,642,880,758,2383,574,1365,2801,3216,13076,437,4904,1342,964,1115,9206,3180,256,13050,1109,20840,24,317,165,16757,12484,21,1196,8154,50,5650,850,8653,9613,17242,245,503,386,655,525,144,"Mid North Coast",15915,8702,5285,88,22,16381,47,72,764,4392,325,3,3374,15291,787,86001,1648,24,0,261,221,27,773,401,12765,1480,6159,456,0,8648,8043,264,17661,258,3,9955,798,133,134,104,311,8259,0,283,1104,682,474,1613,57,101,1399,3024,0,6812,770,9174,4839,24124,16,12019,7562,48,8,36,6,33,4547,7290,7162,1276,13360,1856,4759,31,315,482,3813,293,92450,189,1500,1886,89,14190,1036,715,5949,12,6447,4380,1277,49,39,59224,8833,60203,335,72,228,7,645,36,3170,89,7349,153,1572,3006,25,11,2001,1942,1259,4,1571,14,8465,529,4519,8487,16806,16667,21,28,"108",3688
5,9,156,364,1242,22,1656,6636,5130,4765,2361,15059,26,6827,7,177,244,21,1237,2208,74,1926,41,2638,810,41,27,245,3082,284,6313,3533,2280,3235,7223,352,529,622,950,356,751,1988,1821,4741,329,3298,716,591,687,5448,2236,147,7445,656,13041,9,255,78,10414,7917,13,702,4478,33,3378,582,6479,4033,8231,127,402,213,411,304,126,"Murray",8241,4918,3427,96,18,6846,21,41,531,3364,292,0,2559,9228,513,46641,996,4,0,180,128,11,446,258,5663,1085,3664,300,0,4433,4760,146,12733,155,0,6397,583,60,78,56,274,4844,0,166,569,501,354,746,48,51,675,1736,0,3986,394,6481,2810,14495,3,7840,5811,27,3,17,6,37,2901,2789,4391,817,5322,1006,1925,22,206,289,2262,184,48108,129,1134,1051,50,7613,392,444,3446,0,3923,3239,607,50,52,28445,3530,30838,175,54,114,7,546,24,2448,64,4889,81,778,1725,16,0,1076,1059,613,6,825,6,5667,308,2568,6256,8914,6567,26,12,"109",1508
9,19,239,733,2190,51,2292,10456,8551,7768,3520,23563,51,11632,11,276,444,43,1460,3545,129,2736,85,4233,1620,60,44,391,4642,280,9354,5230,3306,5479,10701,486,871,1113,1154,595,1162,3251,2545,7262,555,4851,1021,1031,1299,9039,3638,229,11643,1161,20490,17,434,154,15722,11809,18,1182,7140,43,5611,1092,10932,5989,12290,195,609,343,664,496,251,"New England and North West",12207,8150,5712,174,31,10057,23,103,802,5312,558,0,4222,14557,810,72259,1876,11,0,306,198,14,880,436,8500,1936,5177,446,0,7112,6837,236,20708,226,5,10030,1077,97,130,76,402,7041,0,266,1220,862,501,1252,93,139,953,2442,0,6643,850,10538,4811,22204,11,11859,9143,33,5,34,9,36,4907,4155,6582,1297,7754,1336,2735,45,292,441,3663,301,75003,203,1963,1660,66,11922,592,683,6022,0,5851,5446,875,82,94,44211,5235,47554,366,117,178,8,873,39,3831,86,8159,180,1068,2984,23,10,1528,1432,849,16,1327,10,9354,576,3732,10170,14257,9971,62,50,"110",2098
