p_vis_within_aus_tot, f_os_v_55_64_yr, f_grp_hsehld_mem_55_64, f_unreltd_pers_in_hsehld_25_34, p_lonepnt_tot, p_os_v_45_54_yr, p_os_v_85_yr_over, p_non_dep_child_55_64, p_grp_hsehld_mem_85ov, f_lonepsn_tot, f_os_v_0_14_yr, p_tot_45_54, p_overseas_v_total, f_lonepsn_25_34, p_lonepnt_85ov, p_lonepsn_55_64, p_tot_85ov, p_h_or_w_in_reg_marr_25_34, p_h_or_w_in_reg_marr_65_74, f_lonepsn_35_44, f_grp_hsehld_mem_15_24, f_lonepsn_45_54, f_unreltd_pers_in_hsehld_85ov, p_lonepnt_75_84, p_grp_hsehld_mem_35_44, p_non_dep_child_45_54, p_h_or_w_in_reg_marr_tot, p_tot_65_74, f_tot_0_14, p_unreltd_pers_in_hsehld_45_54, p_oth_related_pers_25_34, p_vis_within_aus_45_54, f_grp_hsehld_mem_65_74, p_lonepnt_15_24, f_vis_within_aus_35_44, p_lonepnt_55_64, p_tot_0_14, p_grp_hsehld_mem_75_84, p_ptn_in_defacto_marr_25_34, f_tot_tot, p_os_v_35_44_yr, p_oth_related_pers_tot, f_lonepsn_55_64, f_vis_within_aus_25_34, f_vis_within_aus_15_24, p_tot_55_64, p_lonepsn_75_84, p_unreltd_pers_in_hsehld_55_64, f_unreltd_pers_in_hsehld_45_54, f_tot_75_84, p_lonepsn_45_54, p_tot_75_84, p_grp_hsehld_mem_55_64, p_unreltd_pers_in_hsehld_85ov, f_os_v_85_yr_over, p_tot_tot, p_ptn_in_defacto_marr_45_54, p_unreltd_pers_in_hsehld_65_74, p_non_dep_child_65_74, p_oth_related_pers_85ov, f_vis_within_aus_55_64, f_os_v_75_84_yr, p_lonepsn_tot, f_overseas_v_total, p_vis_within_aus_65_74, p_unreltd_pers_in_hsehld_tot, f_vis_within_aus_85ov, p_lonepnt_45_54, p_tot_35_44, f_unreltd_pers_in_hsehld_55_64, p_unreltd_pers_in_hsehld_75_84, p_non_dep_child_25_34, p_vis_within_aus_55_64, p_tot_15_24, f_tot_45_54, f_grp_hsehld_mem_25_34, f_lonepsn_65_74, p_vis_within_aus_85ov, p_unreltd_pers_in_hsehld_25_34, f_grp_hsehld_mem_45_54, f_unreltd_pers_in_hsehld_35_44, f_tot_55_64, p_os_v_55_64_yr, p_h_or_w_in_reg_marr_45_54, p_oth_related_pers_55_64, p_oth_related_pers_35_44, p_non_dep_child_tot, p_oth_related_pers_15_24, p_child_under_15, f_os_v_15_24_yr, f_tot_65_74, p_os_v_0_14_yr, p_lonepnt_35_44, p_grp_hsehld_mem_65_74, p_lonepsn_65_74, f_unreltd_pers_in_hsehld_tot, p_lonepsn_85ov, f_lonepsn_85ov, f_os_v_45_54_yr, p_oth_related_pers_75_84, f_grp_hsehld_mem_tot, f_grp_hsehld_mem_35_44, f_grp_hsehld_mem_85ov, p_non_dep_child_35_44, p_grp_hsehld_mem_45_54, f_unreltd_pers_in_hsehld_65_74, f_unreltd_pers_in_hsehld_75_84, f_vis_within_aus_45_54, p_lonepsn_15_24, p_vis_within_aus_0_14, p_tot_25_34, p_grp_hsehld_mem_25_34, p_ptn_in_defacto_marr_75_84, f_tot_25_34, f_grp_hsehld_mem_75_84, p_vis_within_aus_15_24, p_ptn_in_defacto_marr_35_44, f_vis_within_aus_tot, p_ptn_in_defacto_marr_15_24, p_non_dep_child_85ov, f_vis_within_aus_75_84, p_vis_within_aus_35_44, p_oth_related_pers_45_54, f_os_v_25_34_yr, p_grp_hsehld_mem_tot, sa4_name16, p_lonepsn_25_34, f_os_v_35_44_yr, p_os_v_65_74_yr, p_unreltd_pers_in_hsehld_15_24, p_h_or_w_in_reg_marr_75_84, p_h_or_w_in_reg_marr_15_24, p_grp_hsehld_mem_15_24, p_vis_within_aus_75_84, p_non_dep_child_75_84, p_unreltd_pers_in_hsehld_35_44, p_h_or_w_in_reg_marr_55_64, p_os_v_25_34_yr, f_tot_15_24, p_lonepnt_65_74, p_os_v_75_84_yr, f_unreltd_pers_in_hsehld_15_24, p_lonepsn_35_44, p_ptn_in_defacto_marr_85ov, f_lonepsn_75_84, f_vis_within_aus_65_74, p_dep_stud_15_24, p_os_v_15_24_yr, sa4_code16, p_h_or_w_in_reg_marr_35_44, f_tot_35_44, p_ptn_in_defacto_marr_65_74, p_ptn_in_defacto_marr_55_64, p_vis_within_aus_25_34, p_ptn_in_defacto_marr_tot, f_os_v_65_74_yr, p_oth_related_pers_65_74, p_lonepnt_25_34, f_tot_85ov, f_vis_within_aus_0_14, p_non_dep_child_15_24, p_h_or_w_in_reg_marr_85ov, f_lonepsn_15_24
11673,72,359,157,8587,69,6,438,33,12099,37,29182,897,738,347,5293,3692,7607,14757,703,349,1452,3,477,396,784,77529,24080,17957,163,350,1383,198,360,593,1147,37321,221,4333,102083,65,3181,2585,790,858,30239,3499,132,44,5916,3503,11558,750,9,3,202824,3509,61,79,230,899,17,23447,490,1443,1495,90,2399,23876,40,22,2443,1776,21796,15029,349,2742,143,413,288,51,15270,124,16421,473,181,10890,734,35720,139,11850,77,1997,446,4923,589,1735,1263,41,330,1833,170,14,929,615,17,9,659,678,1528,21092,900,278,10821,107,1762,3298,5556,1910,0,250,1391,340,112,4164,"Capital Region",1806,30,68,520,6195,472,811,510,3,170,17512,224,10664,586,19,258,2009,47,2292,702,8082,245,"101",13435,12358,1188,2606,1737,17161,36,534,1277,2207,726,6214,1140,326
9150,98,665,326,16864,113,19,825,128,18331,56,41216,1035,682,637,6156,7544,12307,20007,806,592,1667,23,864,813,1434,112998,33517,28220,480,762,1064,475,604,396,2605,58269,415,6882,158164,111,6637,3407,684,826,39644,6037,337,163,10653,4002,19357,1413,33,14,306762,4482,173,168,533,583,38,31958,595,952,3549,131,4673,37386,132,76,5537,1147,36285,21452,602,4711,183,871,582,138,20936,171,23047,1084,359,21811,1301,56903,110,17799,125,4074,980,7512,1447,3528,2529,72,842,3471,288,60,1803,1277,64,38,458,540,1241,33536,1511,381,17277,204,1575,5095,4457,2462,0,254,1056,637,80,7759,"Central Coast",1797,61,127,1115,10238,656,1224,443,4,465,23114,141,17888,1153,56,569,2388,85,4271,516,14593,176,"102",21230,19411,1335,2791,1481,23511,74,1120,2244,4528,602,12042,2396,260
6850,40,278,101,8884,41,4,448,30,11176,36,24446,447,713,338,4310,3487,8106,11970,533,589,1192,5,525,386,812,68389,19840,18492,181,336,779,193,554,261,995,38189,155,4439,93019,49,3036,2160,421,611,24150,3628,124,49,5703,3001,10672,576,12,0,184119,2541,58,66,208,487,11,21521,257,823,1443,76,2146,21374,40,17,2121,926,21136,12504,417,2580,109,326,238,49,12130,69,14144,470,157,10106,793,37256,58,9917,58,2159,421,4640,542,1677,1235,20,335,1943,144,16,932,517,19,8,323,774,868,20823,979,174,10680,66,1221,2728,3215,2294,0,190,736,288,41,4339,"Central West",1808,26,45,559,5498,554,1282,319,3,167,14656,68,10392,592,17,264,1681,23,2405,424,7294,97,"103",12378,11085,774,1582,1070,14561,21,452,1571,2116,431,5719,1082,359
7719,53,360,113,6804,58,0,393,50,7963,29,16931,676,282,255,3467,2915,4077,9640,321,335,886,4,387,351,566,46176,17250,11105,204,228,690,198,283,218,908,22814,196,2424,65644,69,2472,1753,375,455,20050,2523,166,68,4699,1931,9023,769,8,0,128082,2067,67,67,216,759,8,14456,382,1902,1484,76,1801,13695,55,27,1590,1357,13296,9014,314,1963,133,335,262,62,10401,90,8846,428,136,7062,576,22055,88,8650,63,1734,457,3385,589,1232,923,36,282,1712,130,28,713,549,20,6,321,270,702,12120,714,225,6312,87,877,2083,3776,1033,0,306,534,220,106,3754,"Coffs Harbour - Grafton",702,37,61,506,4660,287,677,694,6,179,10716,179,6468,408,20,263,941,34,1712,946,4924,138,"104",6959,7278,877,1758,833,10497,34,387,1031,1715,325,3724,984,121
6246,31,171,102,5788,39,5,246,27,6156,9,13383,265,487,160,2564,1833,4226,5926,364,257,711,0,333,202,481,34136,11119,10276,121,300,706,106,434,174,714,21012,114,2598,51897,10,2428,1147,318,405,14106,1945,76,36,3122,1788,5891,356,3,0,102440,1528,54,37,90,554,3,12392,153,1217,1055,46,1271,11260,25,22,1260,1095,11506,6859,222,1321,78,253,150,45,7051,50,6862,391,147,5688,724,20308,27,5438,21,1371,232,2559,409,888,623,25,174,1064,80,12,528,328,13,5,351,490,683,12321,504,106,6511,59,857,1592,2918,1343,0,164,495,264,39,2267,"Far West and Orana",1199,5,24,390,2830,284,505,363,0,137,7623,61,5715,349,6,189,955,14,1276,568,3307,54,"105",5824,5855,398,988,752,8568,11,333,1160,1069,323,3128,565,226
8409,63,368,198,12347,57,7,489,28,11772,36,32160,621,709,346,4718,3686,11485,15837,647,429,1246,7,586,518,980,91384,24690,24591,284,479,895,256,713,319,1437,50585,187,6387,123040,47,4434,2396,566,760,30957,3494,156,90,6382,3196,12047,767,6,9,242350,3430,73,84,273,606,14,22692,378,951,2177,92,3167,29994,61,30,3411,1202,29229,16586,367,2787,130,535,357,75,15781,93,18906,691,242,15417,1135,49389,95,12453,69,3121,552,4765,844,1708,1254,38,460,2050,174,17,1377,782,20,8,384,704,1130,28989,970,188,15074,77,1475,4103,4048,2959,0,249,833,468,63,4758,"Hunter Valley exc Newcastle",1992,24,69,783,6655,687,948,425,0,303,19364,114,14542,721,20,378,2121,46,2434,511,10625,146,"106",17326,15390,942,2053,1370,20102,44,688,2262,2249,565,9075,1128,307
7721,130,362,282,13577,131,7,723,58,13998,70,36500,1359,861,551,5111,5388,12856,16656,802,1723,1407,7,851,598,1441,105184,25536,25297,274,771,847,254,448,354,2021,51893,212,6053,139686,122,5595,2749,640,733,33902,4293,196,82,8333,3497,15213,765,8,3,274793,3264,71,115,377,455,20,25387,760,638,2769,113,3866,35072,64,26,5411,906,37334,18755,868,3035,164,773,316,85,17653,196,22006,772,307,20030,1513,50774,209,13229,132,3226,521,4949,1154,2393,1783,81,631,3899,229,37,1863,710,36,8,347,677,986,33952,2553,238,17123,105,1461,3974,3678,2286,0,238,905,467,120,9265,"Illawarra",2163,57,110,1141,8526,690,3839,385,4,279,21157,216,18032,904,48,588,2304,37,3053,327,14407,387,"107",21490,18014,813,2046,1437,18727,64,760,1715,3249,467,10474,1789,310
9629,46,562,130,10378,77,10,564,91,13618,37,25374,623,410,423,5378,5633,5383,18525,457,432,1282,7,593,376,1046,75590,30452,16234,254,289,1060,366,524,302,1399,33216,351,3189,101038,53,3867,2674,477,581,30884,4803,218,78,8542,2931,16446,1108,9,8,196623,2973,112,111,327,903,24,24573,355,1968,1873,146,2648,19450,73,38,2265,1721,18957,13339,326,3494,210,419,395,66,16118,75,13078,713,176,10487,845,32255,74,15390,73,2459,782,6097,714,2541,1867,41,449,2450,151,46,1211,881,54,9,501,456,893,16203,781,406,8547,163,1197,2790,4642,1546,0,318,800,416,65,5173,"Mid North Coast",1042,29,68,591,9084,376,800,671,4,236,17146,120,9315,709,39,298,1318,54,3192,989,7226,115,"108",10037,10263,1442,2565,1113,14951,30,647,1618,3290,425,5283,1962,229
4775,36,160,49,4552,27,0,212,29,6873,11,13676,329,512,168,2700,2135,4360,7458,396,525,707,0,226,205,361,39841,12100,9866,83,160,543,101,235,146,525,20165,106,2415,53093,34,1445,1340,312,394,14872,2197,61,19,3467,1785,6513,324,4,0,104752,1425,24,32,89,425,4,13259,183,731,672,44,1248,11878,19,7,990,795,11972,7043,250,1452,67,160,149,12,7532,52,7795,220,78,5099,424,19629,39,5977,22,1168,245,2645,230,1062,748,19,147,1327,71,16,419,279,7,0,230,558,509,11443,657,122,5924,56,764,1487,2296,1236,0,145,417,121,33,2858,"Murray",1219,22,30,280,3436,259,1012,265,0,65,8921,70,5913,251,12,131,1093,16,1468,350,4043,67,"109",6910,6171,476,1073,681,8244,15,208,726,1211,246,3090,698,254
7529,48,291,149,8277,54,0,396,27,10063,36,21419,661,664,269,3909,2912,6639,10748,565,646,1061,4,446,384,739,59169,18075,16208,173,360,827,187,573,251,984,32965,149,3850,82821,67,3210,1906,465,595,22202,3142,112,54,5173,2623,9761,590,4,0,163002,2186,52,62,184,579,6,19097,335,1137,1499,48,1905,18525,32,17,1763,1108,18574,10986,377,2298,79,421,236,48,11239,73,12056,539,190,8592,855,31949,67,9064,69,1999,410,4070,573,1451,1111,33,318,1993,166,15,837,515,18,3,348,737,955,18575,997,148,9591,69,1230,2400,3530,2166,0,226,644,344,86,4454,"New England and North West",1643,25,46,544,5084,457,1379,440,3,171,13017,187,9111,515,19,260,1534,25,2136,563,5696,142,"110",10296,9645,624,1471,1120,12868,27,415,1592,1818,462,4797,866,335
9872,117,589,393,17104,128,18,925,96,19868,58,43943,1343,1333,714,7027,7146,15510,20954,1196,2427,1970,6,1059,1064,1714,123780,33357,29804,370,988,1091,343,580,407,2508,61618,324,9420,171756,119,6724,3768,815,993,42224,5667,230,118,10322,4819,18632,1294,16,12,336308,4446,121,159,402,596,27,35714,786,820,3487,107,4702,42196,82,33,5274,1129,43326,22679,1671,4490,177,1029,504,122,21849,193,24908,895,373,21619,1862,60249,241,17512,117,4206,726,7150,1430,3440,2546,73,680,6169,412,53,2030,1187,37,22,473,1056,1251,43868,4139,333,22172,163,1978,5482,4697,3309,0,268,1152,581,130,13778,"Newcastle and Lake Macquarie",3232,70,117,1307,10070,759,4953,424,5,377,25249,241,21166,1159,39,652,3326,37,4063,447,15653,371,"111",24071,21890,1205,2769,1845,26999,64,942,2177,4360,593,11511,2255,502
12603,75,821,312,11885,102,9,621,115,14843,50,30555,1240,493,499,6243,5737,6592,15428,736,650,1601,7,632,980,1054,77551,28094,18896,405,436,1342,396,351,489,1787,38951,350,4341,114937,120,4330,3322,702,802,34654,4474,330,155,8175,3568,15204,1658,16,4,223018,3925,151,124,358,1194,37,26233,684,2510,2838,158,3361,25877,121,35,2801,2189,23044,16173,755,3504,250,693,614,116,18031,135,15049,802,225,12205,910,37664,170,14160,134,3011,916,5945,1204,2611,1898,58,510,3885,405,59,1274,1317,56,6,652,473,1158,20897,1695,345,10958,182,1513,4227,6308,1583,0,484,1159,422,156,8266,"Richmond - Tweed",1136,71,109,831,7787,383,1242,993,3,384,17754,268,11368,797,61,436,1780,47,3053,1267,9134,295,"112",12718,13783,1458,3136,1483,19060,60,663,1447,3392,553,6327,1832,233
4754,59,179,110,6351,51,8,272,21,7933,39,18085,617,595,226,2958,2624,6697,8375,450,733,823,3,331,346,530,52611,13177,14234,95,330,489,107,403,170,782,29132,79,3416,70618,40,2504,1432,390,474,17797,2480,64,31,4160,2035,7710,412,6,0,139358,1635,33,51,127,286,3,15051,368,477,1084,66,1556,16407,21,26,1762,570,17219,9253,484,1638,91,291,148,29,8918,95,11068,355,115,7997,744,28453,84,6710,54,1557,249,2835,429,1280,968,33,243,1811,102,15,713,367,15,11,207,671,624,17208,1186,107,8893,41,951,1883,2277,1929,0,133,465,257,91,4017,"Riverina",1432,24,41,449,4211,408,1364,233,0,125,11217,169,8463,392,14,197,1364,18,1719,247,5478,147,"113",9798,8391,406,1073,850,10457,21,322,1089,1594,304,4671,839,314
5392,35,309,112,6331,70,6,362,42,8666,32,17300,464,260,272,3348,3272,4551,12674,308,189,772,3,378,232,570,54201,19893,11416,136,199,624,243,238,190,854,23431,176,2527,68884,39,2352,1737,344,419,20078,2989,127,44,5448,1831,10582,608,7,4,134063,1979,67,67,231,444,8,15538,253,776,1209,81,1771,13920,42,24,1751,839,13438,9161,171,2474,117,306,212,37,10540,58,9653,394,123,7749,451,22744,56,10284,75,1500,468,4046,487,1400,1005,39,321,1316,92,17,755,435,24,7,307,273,613,12154,446,232,6247,83,818,1916,2655,1182,0,167,559,232,26,2760,"Southern Highlands and Shoalhaven",727,27,38,412,6136,336,352,305,0,135,11956,59,6600,462,23,218,912,48,1988,404,5036,93,"114",7749,7307,878,1532,747,10293,25,408,842,1885,300,4249,1146,121
3839,444,146,271,6438,219,13,275,29,5320,93,32632,2272,222,219,1557,2843,9937,14090,289,318,435,4,349,264,691,101444,19440,22304,216,622,409,121,113,160,1306,46029,86,2025,111603,165,4721,882,372,313,27253,1558,157,73,4362,1076,8296,288,4,9,220031,1782,92,53,439,224,64,8899,1338,446,1879,82,2140,31164,62,18,6556,398,30084,16849,281,1535,116,591,122,70,14093,665,25516,702,242,18010,926,45387,156,9926,193,1329,258,2186,847,972,729,134,710,1167,112,15,1425,294,38,6,183,223,446,22297,678,89,11392,47,619,1790,1988,606,0,167,407,294,82,2509,"Sydney - Baulkham Hills and Hawkesbury",586,102,492,589,5118,348,617,262,3,217,20823,161,14439,587,107,313,751,16,1134,252,16785,267,"115",24577,16528,443,1090,741,7841,266,788,400,1701,239,9000,1039,92
6473,763,362,504,16066,409,18,545,27,8121,103,40701,3547,584,374,3313,2535,24702,12879,629,403,944,10,789,756,1397,126780,21210,36194,471,2226,701,211,745,319,2518,74625,125,4836,164613,201,11285,1746,600,580,33353,2064,303,151,4869,2399,8910,797,19,12,326078,2586,130,96,435,311,100,15484,2173,479,4213,50,4123,49659,118,52,9919,578,44687,20765,508,2019,74,1423,320,189,17382,1130,26777,1659,740,28311,2708,73393,173,11004,208,3733,472,3117,1541,814,590,313,1015,2145,268,9,2741,844,41,20,281,414,1017,50404,1583,75,26244,66,1121,3367,3042,1623,0,153,888,991,191,5729,"Sydney - Blacktown",1571,95,773,1183,4382,1257,1122,233,4,635,21236,345,21708,1359,170,506,1802,15,1451,271,20599,302,"116",34795,24893,409,1282,1377,14191,423,1505,2424,1553,478,13613,759,165
8628,408,487,2118,8053,553,12,381,49,20426,118,31712,7092,4149,290,6103,2467,17028,6678,3516,8607,2809,5,588,4518,895,67932,15418,13749,298,2518,1172,278,105,482,1669,28110,203,19708,139076,534,8226,2922,1143,727,23789,2722,183,92,4137,6750,7690,1257,16,9,280077,5396,63,53,239,493,46,41705,4002,644,8751,56,2374,46194,64,23,3301,1021,43382,14747,9743,2573,84,4334,658,424,11786,690,11822,659,670,9136,2641,27410,1592,7856,256,1658,724,4686,4288,1088,774,336,390,21783,1903,24,1293,1944,26,14,446,3651,446,81324,20624,159,40325,94,1397,9218,4029,3732,0,137,1212,507,1025,45024,"Sydney - City and Inner South",8826,280,326,2932,3283,862,15691,238,3,901,9264,1967,23332,769,75,1548,7875,17,1705,337,6468,2684,"117",18312,21682,871,2557,2422,41656,192,598,593,1469,214,3207,683,1972
5876,282,360,848,8013,346,23,472,95,15959,139,30025,4279,2030,422,4124,4454,10582,10051,2216,4086,1868,5,540,2409,823,77261,18202,18710,185,1415,638,285,82,371,1671,38109,222,11622,124988,333,5476,2316,707,494,23102,3307,126,77,5695,3756,10134,761,10,13,240004,3304,63,73,350,338,46,27182,2466,539,4165,93,2607,37539,58,27,3689,614,30919,15565,5995,2960,127,1870,447,136,12239,428,17022,492,363,9999,1525,37239,893,9797,253,1549,596,4478,2012,2003,1504,209,455,12516,1183,57,1118,1019,22,22,283,1282,617,47507,11608,210,25047,100,946,6063,3056,1561,0,152,774,310,556,24664,"Sydney - Eastern Suburbs",3947,182,281,1541,5009,221,7956,261,3,338,12679,1010,15841,731,80,848,4282,51,2413,308,10469,1518,"118",20316,19374,830,1742,1363,25389,152,565,401,2713,298,3819,1373,659
11591,1081,713,2106,24620,893,34,1482,111,20699,230,69124,6950,1598,1225,6722,9609,39774,25111,1654,1849,2191,17,1767,2175,3251,213504,40688,49964,1013,4169,1343,412,409,676,4629,103182,337,7659,275872,581,19972,3672,1243,834,59500,5845,747,385,13392,5036,24581,1657,29,20,545736,3513,277,263,1099,613,133,37026,4051,903,12253,153,6788,74347,267,92,16672,1211,73722,35691,2677,4249,231,5015,734,494,31025,1678,43813,2761,1342,45018,4743,101202,589,20847,516,5111,919,6980,5219,3650,2664,607,1879,7344,737,55,5354,1794,89,52,574,1110,1475,90995,7821,196,45602,166,1647,4774,5659,1796,0,364,1555,1682,564,19581,"Sydney - Inner South West",3765,346,895,3713,13617,3442,4771,595,5,1365,36375,1018,35972,2226,250,1802,3909,25,4170,494,33024,1086,"119",48167,37719,801,2227,2632,20995,488,2301,2472,5657,713,17983,3200,502
