opf_no_chu15_a_dss_no_ndch_p, opf_no_chu15_a_total_f, cf_chu15_a_dss_a_no_ndch_f, opf_chu15_a_no_dss_no_ndch_f, cf_chu15_a_dss_a_ndch_p, cf_chu15_a_total_f, sa4_name16, cf_no_chu15_a_dss_a_ndch_p, opf_no_chu15_a_dss_a_ndch_p, cf_no_chu15_a_dss_a_no_ndch_p, cf_total_f, cf_no_chu15_a_dss_a_no_ndch_f, cf_chu15_a_dss_a_ndch_f, opf_no_chu15_a_total_p, cf_chu15_a_dss_a_no_ndch_p, opf_total_f, cf_no_chu15_a_dss_a_ndch_f, cf_chu15_a_total_p, opf_chu15_a_dss_a_ndch_p, opf_no_chu15_a_dss_a_ndch_f, opf_chu15_a_no_dss_a_ndch_p, other_family_f, opf_total_p, opf_chu15_a_no_dss_no_ndch_p, cf_total_p, cf_no_chu15_a_total_p, total_p, opf_chu15_a_dss_a_ndch_f, cf_chu15_a_no_dss_a_no_ndch_p, other_family_p, opf_chu15_a_total_f, cf_no_chu15_a_total_f, opf_no_chu15_no_dss_a_ndch_f, cf_no_chu15_a_no_dss_a_ndch_f, opf_chu15_a_no_dss_a_ndch_f, cf_no_children_f, cf_chu15_a_no_dss_a_no_ndch_f, sa4_code16, opf_chu15_a_total_p, opf_no_chu15_no_dss_a_ndch_p, cf_no_children_p, cf_chu15_a_no_dss_a_ndch_p, opf_chu15_a_dss_a_no_ndch_p, opf_no_chu15_a_dss_no_ndch_f, cf_no_chu15_a_no_dss_a_ndch_p, total_f, opf_chu15_a_dss_a_no_ndch_f, cf_chu15_a_no_dss_a_ndch_f
1673,4070,2308,3538,2098,15397,"Capital Region",3912,820,5724,22418,1779,376,8799,10680,8589,980,63131,471,268,1113,667,22073,9694,86039,22910,161152,104,47205,1376,4518,7024,3013,4265,313,26193,12024,"101",13273,6308,51665,3147,1997,784,13283,57863,570,691
3205,8538,3422,6265,3639,23961,"Central Coast",8482,2212,9242,36311,2742,656,19133,15903,16863,2039,98629,1055,703,2482,1195,43860,17179,140248,41619,253321,227,73365,2480,8326,12347,6370,7568,695,33499,18638,"102",24728,13715,66733,5724,4010,1460,23892,87869,1141,1249
1605,3897,2188,3893,2101,14940,"Central West",3385,762,4569,20978,1442,377,8486,10141,8879,830,62496,561,243,1166,684,23473,10898,82107,19612,149524,119,47187,1421,4989,6036,2909,3759,319,21493,11704,"103",14988,6119,42522,3058,2365,741,11661,52041,659,667
1219,3093,1332,2840,1270,8612,"Coffs Harbour - Grafton",2047,743,3068,12652,959,226,6818,6175,6800,502,35732,393,237,1016,426,17870,7783,48744,13013,99987,79,26301,891,3712,4041,2286,2584,275,16370,6615,"104",11057,4855,32482,1989,1866,572,7902,36253,513,438
764,2322,1028,2733,991,7429,"Far West and Orana",1543,448,1988,10463,672,189,5139,4705,5786,396,30730,402,139,995,518,15982,7988,40342,9612,80209,85,23396,1085,3462,3032,1818,1957,256,11538,5847,"105",10842,3934,22800,1640,1466,360,6081,28297,396,364
1984,5378,2950,5471,2997,20225,"Hunter Valley exc Newcastle",5887,1311,6591,29469,1998,538,11903,13696,12349,1429,83397,778,423,1805,868,32918,15445,114080,30682,203694,166,62027,1803,6972,9243,4037,5825,512,27694,15696,"106",21014,8608,54898,4676,2985,920,18197,70379,822,1040
3007,7145,3199,4845,3367,22367,"Illawarra",8639,1866,9956,34748,2911,602,16085,14829,13577,2065,91806,806,590,1745,1136,35028,13066,134013,42206,228294,174,69102,2366,6435,12381,5203,7404,477,28632,17572,"107",18946,11213,56885,4506,3333,1351,23613,78091,940,995
1887,4782,1993,4298,1822,12136,"Mid North Coast",2682,917,4588,18091,1437,329,10457,9299,10374,664,50690,612,298,1493,720,27486,12094,69758,19070,154748,130,36694,1510,5591,5950,3605,3858,400,28224,9181,"108",17031,7648,55998,2870,2833,877,11798,57414,766,631
831,1999,1177,2003,1123,8083,"Murray",2069,421,2714,11353,865,209,4307,5509,4548,512,33565,250,139,567,343,11755,5439,44156,10590,82854,54,25442,703,2555,3273,1462,1894,158,13324,6369,"109",7446,3060,26240,1490,1194,397,5801,29569,343,328
1261,3426,1759,3812,1782,12368,"New England and North West",2403,625,3843,17361,1239,324,7497,7955,8280,610,51218,537,203,1321,725,22391,10865,67080,15864,129758,114,38781,1523,4851,4993,2614,3140,346,19583,9695,"110",14895,5605,38759,2691,2170,608,9621,45946,573,587
