otr_cpl_fam_otr_chld_only_fam, intct_fam_othr_child_pres_fam, sa4_code16, blnd_fam_othr_child_pres_fam, blnd_fam_no_otr_chld_pre_fam, step_fam_no_otr_chld_pre_fam, sa4_name16, intct_fam_no_otr_chld_pre_fam, tot_families, step_fam_othr_child_pres_fam
167,217,"101",13,1121,1689,"Capital Region",19179,22418,31
263,389,"102",36,1875,2925,"Central Coast",30757,36311,66
210,211,"103",22,1115,1412,"Central West",17980,20978,29
108,203,"104",12,679,1002,"Coffs Harbour - Grafton",10633,12652,24
153,167,"105",19,562,676,"Far West and Orana",8864,10463,25
264,361,"106",25,1630,2278,"Hunter Valley exc Newcastle",24835,29469,65
210,340,"107",20,1437,2304,"Illawarra",30393,34748,53
213,263,"108",24,969,1481,"Mid North Coast",15103,18091,39
104,105,"109",6,522,733,"Murray",9862,11353,13
185,200,"110",31,838,1185,"New England and North West",14895,17361,30
260,412,"111",26,1679,2974,"Newcastle and Lake Macquarie",34294,39725,69
197,246,"112",17,1011,1683,"Richmond - Tweed",19406,22588,32
144,164,"113",12,758,945,"Riverina",14144,16193,21
153,166,"114",21,693,1146,"Southern Highlands and Shoalhaven",11691,13898,20
77,415,"115",16,950,1636,"Sydney - Baulkham Hills and Hawkesbury",33933,37064,37
204,977,"116",48,1623,2426,"Sydney - Blacktown",44193,49547,84
82,209,"117",9,378,1158,"Sydney - City and Inner South",18737,20590,17
57,160,"118",7,479,1243,"Sydney - Eastern Suburbs",25349,27306,8
216,1169,"119",33,1615,3037,"Sydney - Inner South West",68664,74823,81
71,306,"120",10,504,1449,"Sydney - Inner West",32126,34482,16
95,372,"121",20,835,2171,"Sydney - North Sydney and Hornsby",51976,55487,22
77,234,"122",9,765,1744,"Sydney - Northern Beaches",31939,34793,26
227,612,"123",41,1684,2255,"Sydney - Outer South West",30891,35779,67
225,486,"124",37,1848,2861,"Sydney - Outer West and Blue Mountains",33098,38652,81
161,895,"125",38,1096,2189,"Sydney - Parramatta",55694,60135,61
52,254,"126",4,349,878,"Sydney - Ryde",23285,24831,15
215,1069,"127",61,1593,2419,"Sydney - South West",51327,56770,87
65,210,"128",10,826,1625,"Sydney - Sutherland",28117,30866,9
84,123,"201",11,731,1156,"Ballarat",13951,16082,25
79,99,"202",7,700,1119,"Bendigo",13717,15748,21
129,179,"203",8,1110,2074,"Geelong",27822,31365,30
116,141,"204",7,806,1274,"Hume",14500,16859,18
203,214,"205",18,1320,2000,"Latrobe - Gippsland",22574,26368,34
88,226,"206",12,682,2243,"Melbourne - Inner",41759,45035,18
74,373,"207",15,673,1858,"Melbourne - Inner East",44444,47447,23
78,278,"208",5,933,2498,"Melbourne - Inner South",48931,52754,33
154,669,"209",17,1682,3144,"Melbourne - North East",61409,67140,57
128,531,"210",25,1273,2255,"Melbourne - North West",45130,49380,38
176,595,"211",23,2035,4107,"Melbourne - Outer East",60716,67726,72
332,1504,"212",65,3068,5453,"Melbourne - South East",92523,103089,135
344,1354,"213",88,2917,4954,"Melbourne - West",88120,97906,128
128,264,"214",16,1426,2649,"Mornington Peninsula",28145,32680,51
125,128,"215",12,705,994,"North West",12589,14580,25
78,119,"216",11,600,889,"Shepparton",11625,13343,19
79,74,"217",11,561,787,"Warrnambool and South West",10944,12462,9
105,236,"301",19,1300,2295,"Brisbane - East",24287,28290,51
68,263,"302",13,789,1683,"Brisbane - North",21527,24367,24
126,551,"303",26,1007,2197,"Brisbane - South",37241,41195,50
44,155,"304",4,589,1288,"Brisbane - West",21373,23466,13
38,106,"305",3,465,1343,"Brisbane Inner City",20259,22232,14
188,341,"306",30,1041,1782,"Cairns",19926,23355,54
107,143,"307",14,698,795,"Darling Downs - Maranoa",11128,12896,15
167,265,"308",23,1339,1717,"Central Queensland",21048,24595,40
254,647,"309",44,2823,5200,"Gold Coast",53426,62509,116
