m1_carasdriv_maopdv, m1_tram_inc_lr_tot, m2_trncaraspa_tot, m1_train_lab, m2_trncaraspa_mng, m1_train_maopdv, m1_wlkonly_claw, m1_tot_m1_mng, m2_trnoth_tot, m1_oth_tot, m1_caraspas_idns, m1_carasdriv_mng, m2_trnoth_lab, m1_taxi_idns, m2_trnoth_mng, m2_trntrm_inc_lr_mng, m2_trnfer_claw, m1_train_pro, m2_trnbus_claw, m2_trncarasdriv_mng, m1_wlkonly_idns, m2_trn_and_tot_lab, m1_ferry_swks, m1_truck_swks, m1_bicycle_mng, m2_trn_and_tot_pro, m1_tram_inc_lr_mng, m1_tram_inc_lr_claw, m2_trnoth_pro, m2_trncaraspa_copsw, m2_trnoth_tectw, m2_trnbus_idns, m1_ferry_copsw, m1_carasdriv_copsw, m1_train_tot, m2_trncaraspa_idns, m2_trnbus_maopdv, m1_caraspas_copsw, m2_trnfer_mng, m1_tot_m1_claw, m1_caraspas_tot, m1_taxi_maopdv, m1_bus_mng, m2_trncarasdriv_claw, m2_trn_and_tot_copsw, m1_carasdriv_pro, m1_bicycle_claw, m1_mbikescoot_copsw, m1_bicycle_idns, m1_ferry_tot, m2_trnbus_pro, m1_bicycle_maopdv, m2_trnoth_claw, m1_oth_lab, m1_tram_inc_lr_tectw, m1_ferry_lab, m1_taxi_tectw, m1_taxi_claw, m1_oth_pro, m1_train_mng, m2_trntrm_inc_lr_maopdv, m1_truck_tot, sa4_name16, m1_caraspas_mng, m1_wlkonly_pro, m1_oth_maopdv, m1_caraspas_swks, m2_trn_and_tot_maopdv, m1_caraspas_claw, m1_tram_inc_lr_copsw, m1_mbikescoot_claw, m1_wlkonly_lab, m1_train_idns, m1_tram_inc_lr_idns, m2_trn_and_tot_swks, m2_trncaraspa_tectw, m1_bus_lab, m2_trncaraspa_swks, m1_mbikescoot_tectw, m1_bicycle_copsw, m2_trnbus_tectw, m2_trn_and_tot_claw, m1_oth_claw, m2_trnfer_copsw, m1_bus_tot, m1_bus_idns, m1_truck_mng, m1_truck_claw, m2_trnbus_lab, m2_trntrm_inc_lr_lab, m2_trn_and_tot_tot, m2_trnfer_tectw, m2_trncaraspa_lab, m2_trntrm_inc_lr_idns, m2_trnbus_tot, m1_caraspas_pro, m2_trnfer_maopdv, m2_trntrm_inc_lr_tot, m1_bus_copsw, m2_trnfer_pro, m1_bus_claw, m1_oth_mng, m2_trnbus_swks, m2_trncaraspa_maopdv, m1_truck_maopdv, m1_wlkonly_tectw, m1_train_tectw, m1_bicycle_pro, m2_trncarasdriv_maopdv, m2_trnoth_swks, m1_carasdriv_idns, m1_wlkonly_swks, m1_carasdriv_lab, m2_trncarasdriv_copsw, m2_trncaraspa_pro, m2_trnoth_maopdv, m1_ferry_pro, m1_ferry_claw, m1_bus_maopdv, m2_trnfer_idns, m1_tot_m1_idns, m1_wlkonly_copsw, m1_carasdriv_tot, m1_tot_m1_tot, m1_train_claw, m1_tram_inc_lr_swks, m1_oth_tectw, m1_wlkonly_tot, m1_tot_m1_copsw, m1_mbikescoot_idns, m2_trncarasdriv_pro, m2_trntrm_inc_lr_copsw, m2_trnfer_tot, m2_trn_and_tot_idns, m1_tot_m1_tectw, m1_train_swks, m2_trntrm_inc_lr_pro, m1_ferry_tectw, m1_ferry_maopdv, m1_wlkonly_maopdv, m2_trncarasdriv_idns, m1_taxi_lab, m1_bicycle_swks, m1_bus_swks, m1_carasdriv_tectw, m2_trnfer_swks, m1_mbikescoot_lab, m1_taxi_pro, m1_mbikescoot_maopdv, m1_ferry_idns, m1_bicycle_tot, m1_caraspas_lab, m2_trncarasdriv_swks, m1_tot_m1_swks, m1_truck_copsw, m1_bicycle_lab, m1_mbikescoot_mng, m1_carasdriv_claw, m1_truck_idns, m1_mbikescoot_pro, m1_caraspas_maopdv, m1_train_copsw, m2_trntrm_inc_lr_swks, m1_mbikescoot_tot, m1_bus_pro, m1_oth_copsw, m1_tot_m1_maopdv, m1_tram_inc_lr_lab, m1_mbikescoot_swks, m1_tot_m1_pro, m1_taxi_swks, m2_trn_and_tot_tectw, m1_oth_idns, m2_trncarasdriv_tectw, m2_trncarasdriv_tot, m1_tram_inc_lr_pro, m2_trnbus_copsw, m1_ferry_mng, m2_trnfer_lab, m2_trnbus_mng, m2_trncarasdriv_lab, m1_oth_swks, m1_truck_lab, m1_tot_m1_lab, m1_bus_tectw, m1_caraspas_tectw, m2_trnoth_copsw, m1_carasdriv_swks, m1_truck_pro, m1_taxi_copsw, m1_bicycle_tectw, m1_tram_inc_lr_maopdv, m2_trn_and_tot_mng, m1_wlkonly_mng, m1_taxi_mng, m1_truck_tectw, m2_trnoth_idns, m2_trntrm_inc_lr_tectw, sa4_code16, m2_trntrm_inc_lr_claw, m2_trncaraspa_claw, m1_taxi_tot
3205,5,53,9,0,15,302,8079,3,626,63,6237,0,3,0,0,0,9,4,10,53,10,0,22,34,21,0,0,0,8,0,0,0,6086,101,0,4,564,0,6757,3767,18,17,8,47,7708,22,31,5,23,3,13,0,88,0,3,11,6,43,12,0,1039,"Capital Region",249,452,30,720,61,297,0,19,603,7,0,20,0,36,7,65,38,3,11,46,0,291,15,262,16,3,0,198,0,5,0,27,315,0,0,39,0,23,247,3,24,352,447,7,68,32,0,557,421,5191,31,0,0,4,0,56,0,733,684,47292,57910,7,0,70,4010,7534,0,14,0,0,0,9102,20,0,8,3,136,0,14,27,60,7733,0,56,5,30,0,299,853,11,5903,8,45,106,6003,20,29,218,18,0,354,25,54,4077,0,23,8681,13,17,9,13,122,0,0,3,0,0,6,26,145,7048,24,490,0,4571,6,23,41,0,15,901,7,207,0,0,"101",0,0,95
4598,3,62,63,8,26,186,8912,30,388,64,8014,4,3,3,0,0,230,27,38,29,69,0,33,34,159,0,0,13,4,4,7,0,9477,717,0,3,653,0,10868,4940,6,57,38,66,14655,32,62,6,16,49,27,5,41,0,3,9,4,65,62,0,893,"Central Coast",286,310,30,1066,9,425,0,71,334,24,0,68,9,266,9,103,41,41,80,57,0,1221,17,68,19,40,0,599,0,5,0,263,468,0,0,195,0,96,71,34,0,282,235,59,89,6,0,913,281,6764,24,11,0,3,0,46,0,1102,362,72756,83956,81,0,49,2107,10923,4,83,0,3,13,12174,95,0,3,0,90,5,9,25,330,10607,0,61,5,56,0,367,1128,21,9736,5,61,30,9898,24,52,190,69,0,467,108,36,5355,0,27,15990,15,69,22,11,245,0,36,7,0,23,17,18,165,8901,103,657,3,7836,7,13,57,0,69,276,8,284,0,0,"102",0,9,72
5063,4,7,9,0,0,333,8776,3,503,55,6923,0,4,0,0,0,20,0,5,40,5,3,16,32,8,0,0,0,0,0,0,0,6376,63,0,0,430,0,8023,4396,28,15,0,4,10413,22,28,5,15,0,21,0,46,3,6,14,8,46,9,0,983,"Central West",294,520,43,780,0,357,0,20,536,3,0,4,0,69,0,60,20,3,3,25,0,304,6,296,15,0,0,43,0,0,0,7,444,0,0,21,0,11,207,0,0,314,407,7,92,0,0,665,403,5957,0,0,0,0,0,96,0,808,493,56194,67051,7,0,47,3772,7467,3,9,0,0,0,10292,3,0,4,0,170,0,40,13,25,8833,0,40,15,25,0,319,974,0,6052,9,59,114,7222,12,32,415,4,0,338,25,65,6173,0,16,11617,23,8,13,4,22,0,4,0,0,0,0,12,121,7853,38,640,0,4754,11,14,56,0,6,867,16,188,0,0,"103",0,0,163
2094,3,3,0,0,0,147,4621,0,279,40,3762,0,0,0,0,0,4,0,0,15,0,0,18,37,4,0,0,0,0,0,0,0,4445,7,0,0,323,0,5161,2725,6,6,6,3,6541,34,35,13,9,0,33,0,47,0,3,5,3,32,0,0,505,"Coffs Harbour - Grafton",224,217,19,494,0,278,0,24,270,0,0,0,0,50,0,65,51,0,6,23,0,171,3,97,13,0,0,15,0,0,0,4,302,0,0,18,0,10,76,0,0,167,210,0,99,0,0,369,236,3566,0,0,0,3,0,11,0,465,246,33498,39785,6,0,26,1792,5152,9,0,0,0,0,5384,0,0,0,0,70,0,8,41,32,4669,0,44,7,44,0,434,734,0,4318,0,63,36,4617,11,41,107,0,0,323,21,34,2544,0,24,7272,8,3,5,0,13,0,0,0,0,0,0,24,81,4871,12,233,0,3442,7,5,63,0,0,384,0,113,0,0,"104",0,0,50
2376,6,0,3,0,0,194,5279,0,415,40,3962,0,0,0,0,0,6,0,0,27,3,0,13,21,0,0,0,0,0,0,0,0,3976,12,0,0,337,0,4318,2569,5,12,0,0,5442,16,21,3,12,0,13,0,51,0,0,10,3,37,0,0,550,"Far West and Orana",184,520,30,414,0,227,0,15,424,3,0,3,0,31,0,48,24,0,0,25,0,216,7,128,16,0,0,10,0,0,0,0,281,0,0,19,0,11,198,0,0,179,247,0,45,0,0,394,219,3146,0,0,0,0,0,69,0,497,373,30128,37300,0,0,39,2744,4794,7,0,0,0,0,5264,0,0,3,0,114,0,10,19,19,4403,0,70,13,31,0,223,589,0,3345,3,36,130,3809,13,12,167,3,0,358,23,29,2995,0,24,6387,13,0,4,0,9,0,0,0,0,0,3,8,82,4436,32,323,0,2623,6,7,43,0,0,626,4,112,0,0,"105",0,0,66
8474,3,12,29,0,6,207,8878,14,533,61,7693,0,0,3,0,0,32,5,7,40,16,0,22,41,31,0,0,11,0,0,0,3,7606,151,0,3,464,0,8674,4842,11,10,7,13,11355,20,40,3,11,3,32,0,61,0,3,4,11,33,9,0,874,"Hunter Valley exc Newcastle",252,287,33,935,8,293,0,42,380,3,0,11,0,105,3,138,25,3,9,34,0,370,0,106,17,9,4,128,0,6,0,36,367,0,3,63,0,21,126,5,0,311,300,20,62,5,0,949,253,7087,8,3,3,0,0,23,0,1100,559,71306,81657,10,0,49,2653,8945,6,16,0,0,0,15650,12,0,0,4,118,0,15,23,83,14006,0,68,6,62,0,314,1126,3,7511,4,37,107,8020,14,42,552,23,0,526,25,157,9625,0,31,12227,7,17,19,11,51,0,6,0,0,4,3,24,146,9049,33,794,0,6124,13,9,66,0,14,510,12,244,0,0,"106",0,0,73
5057,8,64,116,10,22,361,8781,46,392,66,7804,3,3,7,0,0,253,16,21,41,45,0,21,55,154,0,0,17,12,10,0,0,8647,837,0,8,649,0,11803,5165,16,71,19,52,15465,34,52,11,15,56,41,3,31,0,4,13,15,64,63,0,751,"Illawarra",278,772,48,1064,10,591,0,54,335,9,0,33,0,295,7,88,71,15,44,64,0,1667,28,69,32,26,0,428,0,9,0,173,684,0,0,275,0,239,51,18,0,223,289,95,250,0,3,880,424,5701,6,17,0,5,0,46,0,1075,488,71100,84275,113,0,67,3112,10333,9,68,0,0,5,12500,88,0,0,0,68,3,16,30,243,10817,0,45,12,71,3,631,1004,6,8338,0,61,53,10310,10,97,171,81,0,483,351,41,5760,0,24,17960,11,41,14,15,141,3,27,0,0,12,4,23,130,7730,130,662,3,6416,7,21,86,0,42,331,3,253,0,0,"107",0,9,116
2840,7,3,9,0,3,230,6164,3,379,44,5040,0,4,0,0,0,4,0,0,23,4,0,31,31,8,3,0,0,0,0,0,0,6368,32,0,3,462,0,6643,3534,8,9,3,0,9169,23,48,13,9,3,18,0,54,0,0,5,6,48,0,0,761,"Mid North Coast",232,315,25,728,3,342,0,29,387,0,0,0,0,66,0,68,51,0,5,51,0,225,5,96,20,3,0,29,0,0,0,9,410,0,0,29,0,18,106,0,0,311,272,6,78,0,0,489,289,5114,0,0,0,4,0,16,0,614,346,46610,55007,0,0,46,2526,7357,9,0,0,0,0,7813,3,0,0,0,80,0,12,35,55,6773,0,60,10,53,0,394,795,0,6092,3,84,71,5914,6,80,128,3,0,456,17,30,3483,0,32,10145,9,0,12,0,4,0,0,3,0,0,0,13,116,6695,5,391,0,4894,3,16,66,0,3,570,8,177,0,0,"108",0,0,83
2524,3,0,0,0,3,242,5728,0,367,30,4629,0,0,0,0,0,11,0,0,30,0,0,3,37,7,0,0,0,0,0,0,0,3907,24,0,0,233,0,5010,2271,3,5,0,3,5753,29,16,4,9,0,36,0,38,0,0,0,3,28,0,0,411,"Murray",165,302,36,438,0,177,0,10,316,0,3,0,0,55,0,36,36,0,0,20,0,197,4,95,5,0,0,12,0,0,0,3,181,0,0,27,0,28,176,0,0,189,258,0,79,0,0,436,212,3994,3,0,0,3,0,20,0,527,246,33708,39846,4,0,26,2257,4512,0,3,0,0,0,5758,4,0,3,0,96,0,4,28,29,4984,0,28,8,16,0,365,612,0,3721,0,49,63,4498,5,13,133,3,0,196,10,23,3061,0,11,6381,11,3,12,3,13,0,0,0,0,0,0,9,53,5158,24,305,0,2971,3,8,64,0,3,550,9,51,0,0,"109",0,0,43
3783,5,0,8,0,7,244,8235,0,554,73,6295,0,6,0,0,0,8,0,0,51,0,0,35,31,8,0,0,0,0,0,0,0,5275,36,0,0,362,0,6773,3996,28,10,0,3,9173,23,17,0,14,3,21,0,87,0,0,8,16,47,6,0,1142,"New England and North West",208,579,33,728,0,313,0,21,568,0,0,0,0,47,0,60,27,0,3,31,0,329,3,330,25,0,0,19,0,0,0,12,414,0,0,23,0,29,257,0,0,354,343,3,92,0,0,587,286,6156,3,0,0,0,0,100,0,764,395,48448,58997,3,0,29,3558,6168,6,3,0,0,3,7958,4,0,4,0,139,0,15,24,38,6776,0,116,14,33,3,304,1177,0,5487,0,45,133,6071,12,56,289,0,0,470,49,46,4787,0,27,10450,11,0,21,0,9,0,0,0,0,0,0,7,151,8369,31,434,0,4328,15,22,41,0,0,954,8,225,0,0,"110",0,0,132
