farm_mgmt_age_m_provr_avg_age_yrs, farm_mgmt_srcs_inc_off_farm_empy_bsns_activ_avg_perc_pr100_, sa4_name16, farm_mgmt_data_provrs_relp_bsns_cntr_employee_num_n, farm_mgmt_data_provrs_relp_bsns_oth_num_n, farm_mgmt_data_provrs_relp_bsns_owner_operator_num_n, farm_mgmt_sex_provr_f_num_n, farm_mgmt_sex_provr_oth_num_n, sa4_code16, farm_mgmt_srcs_inc_oth_fund_srcs_avg_perc_pr100_, farm_mgmt_yrs_involved_farming_avg_yrs_yrs, farm_mgmt_sex_provr_m_num_n, farm_mgmt_srcs_inc_genertd_by_agri_prod_holding_avg_perc_pr100_, farm_mgmt_srcs_inc_grants_gov_trfs_rlf_fund_avg_perc_pr100_, farm_mgmt_age_f_provr_avg_age_yrs, farm_mgmt_age_provr_avg_age_all_p_yrs
60,null,"Capital Region",null,60,2315,null,null,"101",6,37,1981,82,0,57,59
57,8,"Central Coast",null,null,null,100,null,"102",1,null,null,88,null,54,56
58,12,"Central West",null,null,3694,null,null,"103",null,39,3313,84,1,56,58
61,null,"Coffs Harbour - Grafton",8,5,null,183,null,"104",8,37,null,75,1,60,60
56,null,"Far West and Orana",null,89,2708,null,null,"105",null,38,2162,85,1,57,56
60,null,"Hunter Valley exc Newcastle",89,13,1053,null,null,"106",null,37,null,79,null,60,60
57,null,"Illawarra",null,null,29,48,null,"107",null,null,null,92,null,null,58
62,null,"Mid North Coast",19,13,null,null,null,"108",5,38,null,79,0,58,61
56,null,"Murray",null,null,2251,null,null,"109",null,37,2022,85,0,57,56
58,null,"New England and North West",null,176,3995,null,null,"110",null,39,3218,86,1,57,58
null,null,"Newcastle and Lake Macquarie",null,null,null,null,null,"111",null,32,null,null,null,null,50
62,null,"Richmond - Tweed",42,null,1389,null,null,"112",5,34,1120,79,2,57,61
58,12,"Riverina",null,null,3190,467,null,"113",null,39,2967,85,1,56,58
59,16,"Southern Highlands and Shoalhaven",22,4,null,92,null,"114",null,null,null,82,null,52,57
54,12,"Sydney - Baulkham Hills and Hawkesbury",null,13,null,101,null,"115",null,30,237,83,null,57,55
57,null,"Sydney - Blacktown",null,null,null,8,null,"116",null,null,48,null,null,48,56
null,null,"Sydney - Inner South West",null,null,null,null,null,"119",null,null,null,null,null,null,null
null,null,"Sydney - North Sydney and Hornsby",null,null,null,null,null,"121",null,null,null,null,null,null,null
63,null,"Sydney - Northern Beaches",null,null,13,null,null,"122",null,25,null,null,null,null,60
52,6,"Sydney - Outer South West",null,null,null,83,null,"123",null,28,null,88,null,58,54
46,7,"Sydney - Outer West and Blue Mountains",null,null,null,null,null,"124",null,23,null,78,null,42,44
