sa2_maincode_2016,sa2_name_2016,mean_income_1e,speak_chinese_total_1f,gini_index_2e,unemployment_rate_2f,total_businesses_num_3c,speak_other_lang_percentage_3d
118021568,Maroubra - West,66018.0,1951,0.487,6.8,927.0,48.0
117031331,Glebe - Forest Lodge,81210.0,1825,0.506,6.3,2146.0,26.5
127021514,Edensor Park,52390.0,501,0.402,8.0,733.0,67.1
127021515,Fairfield,45013.0,1252,0.402,14.5,1436.0,78.2
128011606,Woolaware - Burraneer,92947.0,61,0.549,2.5,1002.0,9.1
117031332,Newtown - Camperdown - Darlington,74012.0,2183,0.456,6.1,2415.0,22.7
127021516,Fairfield - West,46259.0,1004,0.413,10.5,1114.0,72.3
128021533,Heathcote - Waterfall,61434.0,40,0.431,3.9,428.0,4.6
127021519,Smithfield - Wetherill Park,50428.0,564,0.395,8.4,1510.0,60.0
125031480,Fairfield - East,43813.0,1217,0.401,11.3,1352.0,69.1
125031481,Granville - Clyde,45377.0,2423,0.423,10.7,2554.0,69.4
117031333,Potts Point - Woolloomooloo,92250.0,472,0.556,4.2,2946.0,18.3
125031482,Greystanes - Pemulwuy,59346.0,880,0.412,5.5,2145.0,38.9
125031483,Guildford - South Granville,44069.0,1178,0.43,11.2,2047.0,67.8
128021534,Illawong - Alfords Point,71601.0,333,0.476,3.6,1163.0,24.9
128021535,Menai - Lucas Heights - Woronora,68434.0,506,0.444,3.7,1590.0,13.8
117031334,Pyrmont - Ultimo,74505.0,5028,0.563,7.6,4306.0,50.9
128021536,Oyster Bay - Como - Jannali,75387.0,651,0.486,3.5,1606.0,11.6
128021537,Royal National Park,,0,,,,11.1
128021538,Sutherland - Kirrawee,63313.0,663,0.416,4.0,2198.0,15.7
128021607,Engadine,62667.0,137,0.417,3.0,1140.0,5.9
128021609,Woronora Heights,72948.0,21,0.442,2.4,248.0,4.8
203031051,Portarlington,47632.0,13,0.514,8.3,479.0,6.4
203031052,Point Lonsdale - Queenscliff,57128.0,12,0.554,3.8,503.0,3.4
117031335,Redfern - Chippendale,78275.0,3904,0.553,7.6,2550.0,39.4
201011001,Alfredton,57747.0,220,0.43,5.1,858.0,9.0
203031053,Torquay,64149.0,25,0.492,4.2,2041.0,4.5
118021569,Randwick - North,93305.0,671,0.508,3.8,1715.0,22.6
117031338,Waterloo - Beaconsfield,69070.0,7606,0.435,7.0,4335.0,46.0
118011339,Bondi - Tamarama - Bronte,105392.0,201,0.593,3.8,2326.0,20.0
118011341,Bondi Junction - Waverly,89840.0,576,0.549,4.1,4060.0,23.2
204011054,Alexandra,44044.0,14,0.526,4.9,796.0,2.6
