value_tot_resial_building_aud000, new_houses_num, gcc_code16, new_oth_resial_building_num, value_tot_building_aud000, value_new_oth_resial_building_aud000, value_new_houses_aud000, gcc_name16, tot_dwl_num, value_non_resial_building_aud000, value_alterations_additions_conversions_resial_building_aud000
1.3108841E7,14347,"1GSYD",18431,2.6971644E7,6138516.0,5155379.0,"Greater Sydney",33100,1.3862803E7,1814945.4
5384479.5,9667,"1RNSW",4745,8786428.0,1332072.1,3339384.2,"Rest of NSW",14542,3401949.0,713023.1
1.9698208E7,25261,"2GMEL",22635,3.2984654E7,8445216.0,9193404.0,"Greater Melbourne",48029,1.3286446E7,2059588.5
4506705.0,10898,"2RVIC",991,7284544.5,273501.4,3610172.2,"Rest of Vic.",11919,2777839.8,623031.1
5676349.5,11445,"3GBRI",5127,1.1135667E7,1381727.8,3413335.2,"Greater Brisbane",16616,5459317.5,881286.7
5230867.5,8590,"3RQLD",4179,8729568.0,1477747.8,2792082.2,"Rest of Qld",12890,3498700.8,961037.7
3037759.2,6786,"4GADE",3360,5342837.5,901416.8,1811837.2,"Greater Adelaide",10186,2305078.2,324505.4
512034.1,1495,"4RSAU",53,1395673.0,11277.7,413694.1,"Rest of SA",1561,883638.9,87062.3
4146960.0,9561,"5GPER",2940,7482466.0,913013.7,2833580.0,"Greater Perth",12527,3335506.2,400366.3
730251.2,1699,"5RWAU",113,1609831.1,38919.9,551862.5,"Rest of WA",1831,879579.9,139468.7
515710.8,1402,"6GHOB",172,783719.6,52178.0,396957.8,"Greater Hobart",1580,268008.8,66575.0
513711.7,1526,"6RTAS",48,760624.5,12540.0,434306.4,"Rest of Tas.",1606,246912.8,66865.3
213382.6,272,"7GDAR",125,435581.9,38997.9,92128.3,"Greater Darwin",411,222199.3,82256.5
132717.9,126,"7RNTE",52,218396.6,25811.9,56071.2,"Rest of NT",180,85678.7,50834.8
1574899.6,1233,"8ACTE",3689,2520226.5,1024027.0,453281.0,"Australian Capital Territory",4928,945326.9,97591.5
