p_2015_16_num_of_jobs_000, m_2011_12_median_employment_income_per_job_aud, m_2011_12_num_of_jobs_000, m_2016_17_num_of_jobs_000, p_2014_15_num_of_jobs_000, p_2011_12_median_employment_income_per_job_aud, p_2014_15_median_employment_income_per_job_aud, m_2012_13_median_employment_income_per_job_aud, p_2016_17_median_employment_income_per_job_aud, p_2012_13_num_of_jobs_000, m_2016_17_median_employment_income_per_job_aud, gcc_code16, m_2013_14_num_of_jobs_000, f_2013_14_num_of_jobs_000, p_2017_18_num_of_jobs_000, p_2013_14_median_employment_income_per_job_aud, f_2014_15_median_employment_income_per_job_aud, p_2017_18_median_employment_income_per_job_aud, gcc_name16, f_2012_13_num_of_jobs_000, f_2014_15_num_of_jobs_000, f_2012_13_median_employment_income_per_job_aud, m_2013_14_median_employment_income_per_job_aud, p_2013_14_num_of_jobs_000, m_2014_15_median_employment_income_per_job_aud, m_2015_16_num_of_jobs_000, f_2016_17_num_of_jobs_000, p_2012_13_median_employment_income_per_job_aud, f_2015_16_num_of_jobs_000, m_2015_16_median_employment_income_per_job_aud, m_2017_18_num_of_jobs_000, p_2015_16_median_employment_income_per_job_aud, m_2014_15_num_of_jobs_000, f_2011_12_num_of_jobs_000, p_2016_17_num_of_jobs_000, f_2015_16_median_employment_income_per_job_aud, f_2017_18_median_employment_income_per_job_aud, f_2011_12_median_employment_income_per_job_aud, m_2012_13_num_of_jobs_000, m_2017_18_median_employment_income_per_job_aud, f_2017_18_num_of_jobs_000, f_2016_17_median_employment_income_per_job_aud, f_2013_14_median_employment_income_per_job_aud, p_2011_12_num_of_jobs_000
1912.698,24476.5,1007.973,1033.382,1910.413,19455.0,21491.0,25171.0,22606,1950.34,27542.0,"1RNSW",994.282,925.427,2037.737,20438.0,17730.0,23546,"Rest of NSW",941.951,916.669,15288.0,25966.0,1919.708,26570,991.989,971.346,19624.0,920.711,27540.0,1049.584,22660.0,993.744,910.059,2004.728,18991.0,19782.0,15345.0,1008.394,28576.0,988.132,18867.5,16337.0,1918.036
3889.05,30338.0,1904.818,2129.615,3786.077,25084.0,26943.0,30854.0,27236,3717.531,32371.0,"1GSYD",1954.579,1790.364,4178.259,26022.0,22433.0,28135,"Greater Sydney",1780.323,1806.444,20433.0,31689.0,3744.947,32336,2034.03,1959.64,25135.0,1855.022,32699.0,2170.643,27584.0,1979.64,1721.095,4089.255,23272.0,23683.0,20569.0,1937.209,33500.0,2007.561,22846.0,21371.0,3625.908
1077.136,23357.0,551.757,569.179,1080.987,17835.0,20012.0,23818.0,20800,1067.42,26275.0,"2RVIC",549.659,520.729,1144.855,19273.0,15942.0,21927,"Rest of Vic.",517.486,528.924,14323.0,24749.0,1070.388,25561,547.155,552.251,18475.0,529.986,26055.0,582.881,20516.0,552.067,514.632,1121.43,16544.5,17928.0,13680.0,549.926,27540.0,561.97,16879.0,15032.0,1066.387
3555.686,29461.0,1726.665,1926.784,3477.164,23175.0,24829.0,30131.0,25304,3373.053,30905.0,"2GMEL",1757.497,1650.982,3869.159,24150.0,20226.0,26094,"Greater Melbourne",1627.94,1689.191,19000.0,30302.0,3408.479,30823,1829.385,1809.51,23842.0,1726.295,31398.0,1999.121,25433.0,1787.966,1598.482,3736.294,20800.0,21708.0,18274.0,1745.113,31701.0,1869.997,20889.0,19503.0,3325.151
1827.259,29035.0,932.35,989.045,1819.249,23272.0,24942.0,29937.0,26088,1783.987,30825.0,"3GBRI",934.956,843.894,1943.363,24999.0,20782.0,26872,"Greater Brisbane",840.5,866.192,20000.0,30995.0,1778.848,30133,953.495,906.929,24449.0,873.765,31016.0,1012.54,25934.0,953.056,840.818,1895.974,21846.0,23003.0,18671.0,943.489,31645.0,930.8,22188.0,20278.0,1773.161
1901.157,23422.0,1039.787,1032.237,1930.898,18145.0,20522.0,24973.0,21280,1952.248,25628.0,"3RQLD",1026.91,909.868,2017.947,20110.0,16564.0,22106,"Rest of Qld",908.572,914.004,15165.0,25717.0,1936.779,25766,996.658,941.606,19606.0,904.5,26027.0,1055.935,21336.0,1016.895,914.559,1973.843,17883.0,18727.0,13877.0,1043.68,26326.0,961.993,17959.0,15769.0,1954.352
270.301,21994.0,152.297,147.808,278.804,17602.0,19597.0,22318.0,20622,282.549,24699.0,"4RSAU",150.853,132.69,285.189,18449.0,16221.0,20899,"Rest of SA",131.075,130.601,14801.0,22842.0,283.542,23850,143.29,131.211,18086.0,127.009,24436.0,151.26,20156.0,148.2,131.69,279.019,16948.0,17783.0,14075.5,151.474,24985.0,133.924,17538.0,14983.0,283.988
939.318,29904.0,491.157,492.513,947.269,23668.0,26097.0,30900.0,27116,959.059,32540.0,"4GADE",491.757,466.237,994.661,25101.0,21574.0,27539,"Greater Adelaide",464.093,463.307,20336.0,31241.0,957.994,32375,478.639,473.176,24958.0,460.674,33124.0,507.978,27194.5,483.961,462.271,965.689,22833.0,23420.0,19014.0,494.966,32900.0,486.671,23000.0,20544.0,953.425
1646.554,31268.0,908.482,885.737,1690.597,23311.0,26400.0,33576.0,26638,1716.483,33423.0,"5GPER",921.022,772.947,1662.888,26000.0,20276.0,27590,"Greater Perth",783.01,774.139,18141.0,34561.0,1693.964,34638,885.938,769.16,24810.0,760.613,34966.0,893.482,27340.0,916.458,758.902,1654.897,21499.0,22365.0,17055.0,933.478,34177.0,769.384,21346.0,19539.0,1667.382
428.32,26551.0,245.731,232.858,444.438,18701.0,21349.5,28630.0,21492,455.124,28903.0,"5RWAU",243.02,205.069,435.288,20940.0,15331.5,22373,"Rest of WA",207.32,204.305,13800.0,29580.5,448.095,29844,229.725,203.332,20143.0,198.594,29878.0,233.321,21802.0,240.136,205.257,436.19,16062.0,16969.5,12840.5,247.81,29659.0,201.966,16021.0,14782.0,450.985
