german_birthplace_notstated, english_bth_parents_brn_overseas, turkish_birthplace_notstated, sth_african_fath_only_brn_overseas, welsh_moth_only_brn_overseas, sri_lankan_birthplace_notstated, korean_moth_only_brn_overseas, french_fath_only_brn_overseas, maltese_birthplace_notstated, korean_fath_only_brn_overseas, russian_birthplace_notstated, macdonian_fath_only_brn_overseas, spanish_moth_only_brn_overseas, maltese_tot_responses, russian_moth_only_brn_overseas, scottish_moth_only_brn_overseas, other_birthplace_notstated, italian_bth_parents_brn_aus, macedonian_tot_responses, polish_bth_parents_brn_overseas, scottish_bth_parents_brn_aus, english_moth_only_brn_overseas, lebanese_bth_parents_brn_overseas, nz_birthplace_notstated, chinese_bth_parents_brn_aus, french_moth_only_brn_overseas, filipino_moth_only_brn_overseas, spanish_fath_only_brn_overseas, greek_fath_only_brn_overseas, serbian_birthplace_notstated, greek_bth_parents_brn_overseas, serbian_bth_parents_brn_aus, korean_tot_responses, russian_bth_parents_brn_overseas, lebanese_moth_only_brn_overseas, french_tot_responses, turkish_bth_parents_brn_aus, croatian_moth_only_brn_overseas, chinese_birthplace_notstated, sri_lankan_moth_only_brn_overseas, russian_bth_parents_brn_aus, greek_moth_only_brn_overseas, ancestry_notstated_fath_only_brn_overseas, dutch_moth_only_brn_overseas, german_bth_parents_brn_aus, other_bth_parents_brn_overseas, italian_birthplace_notstated, aust_abor_fath_only_brn_overseas, aust_tot_responses, irish_tot_responses, hungarian_fath_only_brn_overseas, chinese_fath_only_brn_overseas, polish_birthplace_notstated, irish_moth_only_brn_overseas, dutch_tot_responses, maltese_moth_only_brn_overseas, indian_birthplace_notstated, greek_tot_responses, polish_bth_parents_brn_aus, sri_lankan_bth_parents_brn_aus, welsh_bth_parents_brn_overseas, indian_bth_parents_brn_overseas, hungarian_tot_responses, english_bth_parents_brn_aus, scottish_birthplace_notstated, tot_p_tot_responses, korean_bth_parents_brn_aus, other_bth_parents_brn_aus, vietnamese_birthplace_notstated, welsh_tot_responses, ancestry_notstated_bth_parents_brn_overseas, maltese_bth_parents_brn_aus, sth_african_tot_responses, dutch_bth_parents_brn_aus, indian_bth_parents_brn_aus, aust_abor_bth_parents_brn_overseas, sth_african_moth_only_brn_overseas, sth_afrcan_bth_parents_brn_aus, german_fath_only_brn_overseas, aust_birthplace_not_stated, maori_birthplace_notstated, polish_fath_only_brn_overseas, russian_fath_only_brn_overseas, indian_tot_responses, chinese_tot_responses, aust_abor_tot_responses, english_tot_responses, irish_bth_parents_brn_overseas, lebanese_birthplace_notstated, korean_bth_parents_brn_overseas, sth_african_bth_parents_brn_overseas, aust_both_parents_born_aust, macdonian_birthplace_notstated, hungarian_moth_only_brn_overseas, dutch_bth_parents_brn_overseas, other_tot_responses, spanish_tot_responses, aust_fath_only_brn_overseas, vietnamese_fath_only_brn_overseas, welsh_birthplace_notstated, italian_moth_only_brn_overseas, french_bth_parents_brn_overseas, dutch_fath_only_brn_overseas, chinese_bth_parents_brn_overseas, vietnamese_moth_only_brn_overseas, filipino_birthplace_notstated, nz_tot_responses, gcc_name16, turkish_fath_only_brn_overseas, ancestry_notstated_tot_responses, tot_p_birthplace_notstated, scottish_bth_parents_brn_overseas, lebanese_fath_only_brn_overseas, hungarian_bth_parents_brn_aus, filipino_tot_responses, french_birthplace_notstated, spanish_bth_parents_brn_overseas, maori_bth_parents_brn_overseas, german_tot_responses, ancestry_notstated_moth_only_brn_overseas, turkish_tot_responses, welsh_bth_parents_brn_aus, other_fath_only_brn_overseas, sri_lankan_bth_parents_brn_overseas, german_bth_parents_brn_overseas, vietnamese_bth_parents_brn_overseas, english_fath_only_brn_overseas, indian_fath_only_brn_overseas, maori_fath_only_brn_overseas, polish_moth_only_brn_overseas, spanish_birthplace_notstated, maori_moth_only_brn_overseas, tot_p_moth_only_brn_overseas, dutch_birthplace_notstated, spanish_bth_parents_brn_aus, chinese_moth_only_brn_overseas, french_bth_parents_brn_aus, italian_fath_only_brn_overseas, polish_tot_responses, croatian_fath_only_brn_overseas, maori_bth_parents_brn_aus, sri_lankan_tot_responses, english_birthplace_notstated, macedonian_bth_parents_brn_overseas, maori_tot_responses, croatian_birthplace_notstated, turkish_moth_only_brn_overseas, vietnamese_tot_responses, nz_bth_parents_brn_aus, lebanese_bth_parents_brn_aus, macdonian_bth_parents_brn_aus, greek_birthplace_notstated, nz_bth_parents_brn_overseas, russian_tot_responses, other_moth_only_brn_overseas, gcc_code16, scottish_tot_responses, sri_lankan_fath_only_brn_overseas, irish_birthplace_notstated, aust_abor_moth_only_brn_overseas, ancestry_notstated_birthplace_notstated, filipino_bth_parents_brn_overseas, indian_moth_only_brn_overseas, italian_tot_responses, croatian_bth_parents_brn_overseas, maltese_bth_parents_brn_overseas, aust_bth_parents_brn_overseas, tot_p_bth_parents_brn_overseas, filipino_bth_parents_brn_aus, serbian_moth_only_brn_overseas, irish_fath_only_brn_overseas, croatian_tot_responses, aust_moth_only_brn_overseas, greek_bth_parents_brn_aus, german_moth_only_brn_overseas, serbian_tot_responses, irish_bth_parents_brn_aus, macdonian_moth_only_brn_overseas, welsh_fath_only_brn_overseas, korean_birthplace_notstated, scottish_fath_only_brn_overseas, tot_p_bth_parents_brn_aus, croatian_bth_parents_brn_aus, maltese_fath_only_brn_overseas, serbian_fath_only_brn_overseas, sth_african_birthplace_notstated, vietnamese_bth_parents_brn_aus, filipino_fath_only_brn_overseas, nz_moth_only_brn_overseas, serbian_bth_parents_brn_overseas, tot_p_fath_only_brn_overseas, aust_abor_bth_parents_brn_aus, italian_bth_parents_brn_overseas, turkish_bth_parents_brn_overseas, lebanese_tot_responses, aust_abor_birthplace_notstated, hungarian_bth_parents_brn_overseas, ancestry_notstated_bth_parents_brn_aus, nz_fath_only_brn_overseas
1621,124467,32,818,1295,35,187,997,151,62,49,1193,517,12369,451,14591,1732,33410,13628,7473,207827,54630,2716,204,5303,792,2705,705,1944,62,6409,601,2878,2720,411,12757,167,453,313,166,1448,763,1265,3239,77502,74997,917,641,1125558,324545,790,1007,165,11606,33528,909,139,15238,4558,186,5648,15667,5736,808056,3904,2650335,138,25731,41,18522,4078,4738,6219,10055,924,71,646,497,7740,20426,149,1619,535,17999,26643,19886,1081342,24950,82,2459,4199,956306,153,351,14925,128139,9184,80445,154,204,3083,4229,4962,18651,264,266,16587,"Rest of NSW",295,201910,215607,32856,838,1304,14946,154,5236,4841,113378,898,2499,9283,14792,1898,21108,3574,74875,732,1486,1070,134,1000,105689,347,2588,1361,6583,7876,14889,942,1380,2460,19306,9422,8853,91,127,4157,2354,2101,2261,192,7150,5200,10888,"1RNSW",279325,178,4741,269,171709,11020,538,68069,4705,4933,10319,379493,552,262,17068,7921,58061,5923,5412,4596,266183,599,2093,30,20159,1801018,1726,1638,395,58,118,400,2933,3282,148526,18401,22777,1873,6147,504,3211,23961,3948
1372,300813,233,2578,1744,123,1207,2550,556,391,318,2155,1590,56987,1506,21300,7088,63545,25980,24985,185742,87332,107790,323,10322,1746,6897,1877,11527,285,68492,1881,63668,20147,9520,31385,1378,1972,3779,646,2873,6123,2392,4058,57184,649811,2105,937,1129997,415199,2184,6722,269,23276,44759,3917,1090,117588,6280,431,10161,185885,18893,688428,3265,4815419,410,42615,1222,23926,25534,17771,27074,10700,1534,226,1945,818,11209,15663,410,3460,1550,193831,487419,10959,1215292,76384,1680,61374,21581,795949,196,1153,22782,780188,39365,149628,1218,173,11386,19052,6853,455360,2361,934,37951,"Greater Sydney",2011,307295,315860,66683,20966,2844,102388,314,32604,18154,122652,1835,24999,9167,45257,21772,45047,99641,122535,2868,2801,2624,359,1768,219359,366,2940,11240,7720,24706,37619,3278,1191,23794,16184,19187,24320,320,1162,105454,2962,20332,3216,1189,22037,26395,35408,"1GSYD",306149,823,4409,433,263552,91210,2448,203752,25040,27790,60315,2381511,1161,1032,33903,37372,108446,30256,7842,24035,277223,1231,2682,290,29170,1589631,6757,6949,1641,152,1010,2188,5352,19197,309058,9143,102005,20210,160282,222,12553,13987,7278
1006,62206,21,324,496,18,41,419,107,9,36,260,237,7861,161,7360,939,26404,2590,4196,123477,27387,525,88,3146,282,1173,289,1021,52,3927,272,843,1327,73,5830,170,348,177,128,598,366,682,2883,45367,40144,893,163,567408,183632,432,380,119,5948,30431,518,86,8402,2459,189,2349,9728,3591,428060,2449,1413908,36,13499,38,7786,2608,2700,2513,9611,401,30,227,243,4335,10843,44,870,214,10803,14245,2910,566137,13003,8,746,1692,482520,39,222,13013,65773,3587,40055,87,86,2180,1699,4581,9908,145,150,7217,"Rest of Vic.",229,109706,115954,16651,188,811,7818,89,1820,1996,65058,565,1966,4079,6355,1682,11455,1907,37693,371,462,535,46,320,53222,349,1191,628,3344,5298,8175,706,406,2225,10790,1623,3241,89,80,2217,887,431,549,126,3239,2351,4832,"2RVIC",160175,207,2769,44,91360,6115,209,52099,4424,3482,5777,208688,214,109,9442,7095,28216,2962,2891,2138,152474,119,772,5,10242,959828,1533,1052,207,29,49,169,1332,1504,76216,2595,17325,1469,1220,83,2066,14484,1676
1526,266735,344,2064,1580,315,421,2034,597,133,212,3439,1103,65586,1295,22064,6390,95979,40917,30619,207017,85826,31094,299,7592,1563,4737,1340,14678,245,100833,1591,17029,17125,2726,26738,2059,1811,2590,1553,2264,7631,2247,6129,67376,516164,3654,338,1069025,406604,2093,4383,404,21500,66036,4617,1225,161599,8841,1475,8278,189599,19400,698425,3543,4458678,181,40767,1270,21180,24487,17237,19347,17831,1674,268,1464,719,12947,14241,314,4652,1310,198184,356077,4173,1183021,63242,589,16223,14976,773489,436,1248,31696,628781,23336,135623,1198,165,16033,15333,9806,333918,2355,567,32169,"Greater Melbourne",3238,274813,281113,64266,6038,3235,60465,259,17942,14021,134857,1757,35623,8866,36092,50569,44164,100226,116230,3296,1481,3422,229,1121,204985,576,2723,7604,7543,33028,47931,3291,733,56210,15806,29235,17669,354,1543,105841,2048,4675,5842,1799,19600,22212,29364,"2GMEL",325894,2294,4499,165,230727,53337,2389,298945,24769,35719,47074,2065167,738,861,32006,35922,98599,36658,8838,21376,285350,1961,2291,73,29004,1620646,5695,7418,1479,128,796,1079,4416,17203,286766,3316,150251,28432,45114,80,12601,15597,5802
1532,197834,18,1157,1045,38,400,1259,53,66,69,165,635,6514,574,14658,2506,27365,1577,8015,144881,57654,2177,290,5480,931,3746,796,2546,47,7172,373,14521,4973,333,14756,93,375,703,291,1864,1131,1212,3330,93116,181334,614,495,729096,277434,810,2043,148,14137,35150,566,347,17900,4169,299,6407,50457,6515,492466,2390,2251858,133,26236,222,15811,7911,2626,14654,9023,974,101,931,404,9381,9618,449,1595,651,54139,99434,7130,836501,44445,36,13876,12097,550357,10,384,17080,243291,12518,85156,482,108,3319,7829,5422,87824,740,261,35192,"Greater Brisbane",242,141723,145719,51067,698,1172,28484,113,8944,24961,135336,968,1969,6701,17605,6442,24714,22676,77672,1346,2599,1086,98,1848,119922,295,2045,3384,4617,7462,15003,776,938,7447,10875,1101,30789,56,93,24468,2044,1561,189,215,21476,8136,15608,"3GBRI",232830,376,2909,249,119659,23278,1019,58679,4009,2250,18104,719873,541,245,20262,6427,65864,6824,6594,4711,195673,104,1545,56,19833,1108433,1197,1021,367,65,352,657,5037,3686,157917,6155,19917,1524,4804,124,4108,11971,6344
2152,198074,13,901,992,22,242,1072,118,41,58,109,525,11962,453,14114,2151,39174,1042,6479,174089,57140,1178,289,7772,915,3683,773,1702,31,4480,327,7334,3617,221,14947,135,320,406,129,1566,768,1317,3415,117839,103315,947,721,938540,292965,706,1243,122,12514,36582,907,140,12153,3692,281,6527,17955,5742,637104,3264,2506761,105,43178,45,16025,5951,5271,12130,9168,841,105,772,436,9123,14838,295,1169,532,20142,37524,29837,980255,39378,19,6897,9959,764813,6,304,18768,177366,10295,80078,123,198,3899,7373,4883,26403,237,334,32654,"Rest of Qld",190,221740,228302,49513,417,984,24315,194,6051,17409,162644,1105,1498,6829,14715,2427,26659,3415,72935,718,2189,823,108,1657,115916,340,2835,1704,5393,8507,12290,689,1141,3048,14999,654,22692,62,65,3905,2227,1144,213,127,19590,6230,14019,"3RQLD",259556,195,3845,321,193514,19052,485,74694,3502,4109,14099,516347,771,120,16828,5846,64705,5080,6876,2518,220403,69,1477,50,18572,1498657,1267,1552,251,61,87,470,4527,1788,147540,28301,22166,1089,2984,390,3677,19853,6028
626,24362,4,45,161,6,26,81,8,4,4,6,32,700,44,1753,171,3888,74,859,24177,8087,84,18,403,78,353,68,269,4,1487,53,186,264,11,1422,18,42,19,10,132,136,161,614,33446,7696,133,90,158413,29900,110,50,36,1104,6130,61,18,2994,823,10,849,1426,699,110010,467,377955,22,3072,7,2235,658,291,665,1635,83,14,59,16,1752,3129,24,185,28,1653,2077,4620,155069,3391,3,138,539,135919,0,27,3024,13092,739,10030,26,18,386,514,783,1519,33,44,1335,"Rest of SA",13,28965,30988,5336,32,160,2680,15,406,690,40747,158,174,976,1258,180,3667,408,9738,68,116,129,12,127,14059,69,221,82,735,990,2039,121,122,229,2871,45,1069,13,11,493,146,130,12,72,688,469,900,"4RSAU",33874,17,488,29,24376,2190,52,8224,630,243,1561,55488,60,20,1524,1125,7779,1033,1261,277,23402,9,229,5,2144,259329,319,98,23,6,14,39,188,175,18091,4408,2834,127,265,77,387,3611,288
1053,120466,12,360,697,25,156,515,74,50,50,130,249,6094,319,7387,1215,30232,1519,10262,62294,35754,2810,44,1410,377,1380,319,3625,54,19386,536,4193,4090,322,6077,71,363,325,143,817,1605,518,2003,59495,96942,1071,243,397432,103760,603,831,163,5509,20050,499,185,35048,3551,101,4668,29856,4893,269628,1217,1282251,149,12161,189,9759,4217,1887,4037,4966,402,40,326,156,6500,6061,40,1570,378,31428,50070,3533,478136,19637,55,3807,3169,301289,15,253,9793,124965,4662,45845,535,93,4251,2645,3134,46235,539,151,5456,"Greater Adelaide",101,64608,70063,24784,677,944,13147,60,3256,1199,87633,469,1039,3286,8477,3182,16117,18250,45706,574,407,984,48,238,64897,151,790,1265,2474,9965,16528,712,226,3601,6577,952,2110,57,42,19775,487,1097,337,354,2717,5653,6169,"4GADE",105234,156,1252,107,53654,11065,412,87468,4429,2846,10710,454909,259,225,8154,7010,33536,10084,4477,5571,69209,94,1018,25,9546,601960,1442,794,423,24,263,293,863,4333,90415,3051,41948,812,4965,90,3036,5753,1346
625,284828,18,1432,1224,32,247,840,45,90,28,868,479,3876,373,12470,2114,37724,9125,11273,69338,60107,1948,229,2412,680,1773,572,1888,61,6096,326,7685,3835,221,12857,84,1016,660,257,607,925,981,3294,22926,191324,1132,338,542486,175377,452,1833,157,11079,36772,318,359,13436,3027,192,11146,60077,4292,282430,1677,1911733,77,14875,154,18025,8054,999,24651,7954,1220,101,1289,363,4926,7391,289,1513,296,64572,98729,4593,711615,63288,32,7238,21425,364591,82,296,20239,236334,9740,83782,316,162,6401,8908,5016,90786,613,243,24748,"Greater Perth",179,123953,129574,64750,353,612,28142,114,7172,16985,54489,766,2268,3775,14379,6598,22096,19445,75529,1691,1478,1218,81,1022,114434,271,1437,3030,2307,13315,17198,1948,454,7464,8718,5931,20227,146,108,20713,1064,345,1702,159,15709,5140,13640,"5GPER",164481,384,1905,187,108313,25562,1220,102739,8501,1892,20459,872293,214,249,15076,16652,66268,4367,3918,6095,84033,544,1724,42,16240,648182,5050,617,382,144,196,346,3064,5074,147250,3883,44174,1885,2907,84,2893,5836,4680
274,56398,0,233,288,6,44,181,15,12,17,75,88,770,75,3523,356,10749,713,1862,28669,16522,158,104,728,176,558,99,263,10,558,60,660,531,19,2762,22,120,53,36,180,107,313,1043,10902,19322,299,233,221340,50367,95,180,33,2791,10409,78,41,1741,1037,35,1942,3556,711,125882,667,571201,15,5600,15,4094,1419,242,4228,2472,239,24,270,108,1439,3734,159,361,61,4154,4880,16099,222707,11154,5,586,3580,174290,11,55,5326,30583,1640,22059,21,50,1005,1590,1478,3667,42,89,7055,"Rest of WA",21,65440,67784,13438,27,142,7316,33,950,5841,19278,294,154,1380,2737,482,5380,846,20279,174,549,276,23,445,29853,94,479,254,790,2442,3572,248,264,592,3628,363,7260,19,9,944,419,50,232,19,4279,871,2571,"5RWAU",50752,30,726,104,59460,6443,143,20093,793,302,3591,128258,162,22,3532,1893,17662,796,1280,399,32162,42,443,4,4447,307429,716,133,29,29,17,68,884,278,37877,15492,5597,111,261,247,413,3953,1381
