m_2013_14_median_employment_income_per_employed_person_aud, m_2017_18_median_employment_income_per_employed_person_aud, f_2012_13_median_employment_income_per_employed_person_aud, p_2012_13_median_employment_income_per_employed_person_aud, m_2017_18_employed_persons_000, f_2013_14_employed_persons_000, f_2011_12_employed_persons_000, m_2012_13_employed_persons_000, sa2_name16, p_2015_16_employed_persons_000, p_2011_12_median_employment_income_per_employed_person_aud, m_2011_12_employed_persons_000, p_2016_17_employed_persons_000, p_2012_13_employed_persons_000, f_2016_17_median_employment_income_per_employed_person_aud, m_2016_17_median_employment_income_per_employed_person_aud, m_2011_12_median_employment_income_per_employed_person_aud, p_2017_18_employed_persons_000, f_2016_17_employed_persons_000, f_2017_18_employed_persons_000, f_2012_13_employed_persons_000, f_2015_16_employed_persons_000, f_2013_14_median_employment_income_per_employed_person_aud, f_2011_12_median_employment_income_per_employed_person_aud, f_2017_18_median_employment_income_per_employed_person_aud, m_2012_13_median_employment_income_per_employed_person_aud, p_2013_14_median_employment_income_per_employed_person_aud, m_2015_16_employed_persons_000, m_2014_15_median_employment_income_per_employed_person_aud, p_2015_16_median_employment_income_per_employed_person_aud, f_2015_16_median_employment_income_per_employed_person_aud, p_2014_15_median_employment_income_per_employed_person_aud, p_2013_14_employed_persons_000, f_2014_15_employed_persons_000, p_2014_15_employed_persons_000, m_2016_17_employed_persons_000, p_2011_12_employed_persons_000, m_2015_16_median_employment_income_per_employed_person_aud, p_2016_17_median_employment_income_per_employed_person_aud, f_2014_15_median_employment_income_per_employed_person_aud, p_2017_18_median_employment_income_per_employed_person_aud, sa2_main16, m_2013_14_employed_persons_000, m_2014_15_employed_persons_000
46908.0,54999.0,41800.0,44038.5,9.636,8.803,8.397,8.566,"Brunswick",18.258,42827.0,8.394,19.01,17.306,47203.0,51761.0,45599.5,19.442,9.546,9.805,8.742,9.171,42625.5,40513.0,50223.0,46590.0,44695.0,9.085,49689.5,49116.0,46570.0,46752.0,17.453,9.036,17.872,9.462,16.792,51987.0,49512.0,44375.0,52323.5,206011105,8.649,8.832
50637.0,58876.0,42590.0,46978.0,4.156,3.58,3.145,3.102,"Brunswick East",7.8,45267.0,3.033,8.432,6.372,50032.0,56536.0,47864.0,8.751,4.41,4.595,3.277,4.078,42056.5,42732.5,52078.5,51216.5,45825.0,3.719,53148.5,50497.0,46791.0,48753.5,6.869,3.732,7.131,4.02,6.182,54795.5,53034.0,45062.0,55320.0,206011106,3.285,3.394
49267.0,54681.0,41940.0,45139.0,4.703,4.335,4.202,4.384,"Brunswick West",8.907,44279.0,4.354,9.333,8.654,47107.0,52142.0,47016.0,9.539,4.698,4.831,4.274,4.47,42785.0,41478.0,49317.0,48573.0,45837.0,4.431,50776.0,49208.0,46392.0,47460.0,8.678,4.378,8.7,4.634,8.56,52025.0,49626.0,44634.5,51908.0,206011107,4.342,4.324
47842.0,55294.0,39629.5,43070.5,8.577,7.691,7.496,8.358,"Coburg",16.173,42223.5,8.282,16.51,15.971,45964.0,53502.0,45631.0,16.963,8.139,8.384,7.611,7.906,40050.0,38900.0,47338.0,46783.5,43899.0,8.272,49683.0,47728.0,44187.0,45678.0,15.897,7.756,15.996,8.372,15.785,52000.0,49462.5,42179.5,51210.0,206011108,8.211,8.239
58279.5,66774.0,38064.0,46279.0,3.097,2.779,2.693,2.792,"Pascoe Vale South",5.701,44807.0,2.838,6.083,5.546,45885.5,64859.0,54573.0,6.193,3.066,3.098,2.752,2.844,40104.0,37212.0,47489.0,56885.5,47038.0,2.853,60501.5,52546.0,44425.0,48841.5,5.565,2.761,5.563,3.018,5.535,64090.0,53486.5,41674.0,55584.0,206011109,2.785,2.795
56237.0,64895.0,43353.0,48301.0,2.872,2.629,2.627,2.732,"Alphington - Fairfield",5.53,48022.5,2.664,5.766,5.397,50321.0,62684.0,55739.0,5.826,2.918,2.96,2.669,2.772,45000.0,42564.0,52768.5,55004.0,50416.0,2.757,58590.0,54050.0,49028.5,52000.0,5.366,2.697,5.396,2.852,5.294,60326.0,56011.0,47306.0,58428.0,206021110,2.741,2.699
56334.0,64833.0,45011.0,49379.0,7.955,8.134,7.773,7.379,"Northcote",16.187,48134.0,7.29,16.668,15.303,51685.0,63013.0,53783.5,17.037,8.871,9.081,7.923,8.587,46313.0,43989.5,53983.0,54497.5,50753.0,7.602,58450.0,54447.0,49853.5,52521.5,15.59,8.342,15.928,7.798,15.066,61166.0,56489.0,48181.0,58602.0,206021111,7.458,7.578
51603.0,58764.0,42293.0,45408.5,5.942,5.811,5.631,5.482,"Thornbury",11.635,44324.5,5.564,11.92,11.25,48911.5,55479.5,48238.0,12.326,6.179,6.386,5.768,6.009,43815.5,41115.0,51149.0,48998.0,47341.0,5.635,52784.0,50679.5,47308.0,48734.5,11.194,5.834,11.242,5.74,11.192,54311.5,51908.0,45273.0,54567.0,206021112,5.381,5.406
56723.0,64589.0,44323.5,49817.0,4.898,4.293,4.222,4.336,"Ascot Vale",9.151,47878.0,4.431,9.419,8.548,51998.0,62027.5,53676.5,9.643,4.621,4.745,4.21,4.499,46225.5,43043.0,54505.5,56067.0,51027.0,4.655,58785.5,53992.5,48953.0,52580.0,8.72,4.393,8.932,4.796,8.653,59962.0,56571.0,48126.5,58853.0,206031113,4.424,4.541
57968.0,64892.5,41036.0,48449.0,8.972,8.06,7.886,8.156,"Essendon - Aberfeldie",17.145,47242.5,8.043,17.61,16.112,48002.0,62656.0,56603.0,17.932,8.814,8.961,7.953,8.623,42811.0,39984.5,49735.0,57984.0,49538.0,8.525,60284.0,52605.0,46490.0,51025.0,16.269,8.353,16.624,8.794,15.927,60633.0,54243.5,44231.5,56034.0,206031114,8.207,8.27
46682.0,51598.0,39189.0,43952.5,3.183,2.83,2.639,2.941,"Flemington",5.821,43715.0,2.82,5.972,5.767,44428.0,48500.0,46199.5,6.287,2.951,3.104,2.83,2.852,38466.0,40298.0,46773.0,49061.0,42789.0,2.969,47483.0,45108.0,42137.0,45163.0,5.776,2.78,5.692,3.017,5.464,48354.0,46854.0,42262.5,49398.0,206031115,2.948,2.911
61177.5,66960.5,45627.0,52457.0,4.696,4.366,4.316,4.342,"Moonee Ponds",9.014,51883.5,4.333,9.195,8.656,49827.0,65575.0,60206.0,9.441,4.607,4.738,4.314,4.583,46065.0,44566.0,51578.0,61612.0,52879.0,4.43,62733.0,55964.0,47983.0,54458.0,8.698,4.389,8.749,4.588,8.655,65917.0,57039.0,47716.0,58346.5,206031116,4.333,4.36
31515.0,33800.0,24574.5,26500.0,5.012,4.127,4.004,4.212,"Carlton",9.243,27306.0,4.011,9.53,8.423,24199.5,30754.0,30591.0,10.002,4.757,4.993,4.203,4.685,27085.5,24684.0,27360.0,29103.0,29097.0,4.561,30986.5,28863.0,25244.0,28755.0,8.403,4.423,8.849,4.779,8.017,32129.0,27958.5,25650.0,30628.5,206041117,4.271,4.426
55470.0,60962.5,39268.5,47721.0,5.902,2.933,2.279,3.672,"Docklands",8.005,48228.0,2.975,9.378,6.356,38017.0,56083.0,53474.5,10.617,4.072,4.715,2.675,3.502,39274.0,41130.0,38645.0,54149.0,48035.0,4.5,58243.5,49859.0,39334.0,50059.5,6.879,3.086,7.31,5.3,5.254,59188.0,47768.0,40687.0,50228.0,206041118,3.944,4.226
64608.0,69819.0,52885.0,58164.0,1.859,1.774,1.822,1.954,"East Melbourne",3.596,56000.0,1.942,3.639,3.722,57453.5,68076.0,61674.0,3.621,1.784,1.769,1.771,1.773,54114.0,50968.5,59289.0,62742.5,59452.0,1.815,67205.5,62190.0,56912.0,60000.0,3.641,1.74,3.535,1.852,3.766,69218.5,62317.0,53255.0,64021.5,206041119,1.873,1.798
60349.0,31473.5,40693.0,51716.0,0.039,0.028,0.028,0.034,"Flemington Racecourse",0.051,49601.0,0.041,0.058,0.065,22005.5,54356.0,54516.0,0.065,0.028,0.024,0.038,0.026,55062.5,48740.0,40675.0,56923.0,57578.0,0.022,66650.0,34019.0,28361.0,53251.0,0.055,0.03,0.061,0.031,0.07,54999.0,34014.0,36255.0,33804.5,206041120,0.025,0.028
63497.0,69920.0,51019.0,56116.0,3.72,3.625,3.468,3.597,"Kensington (Vic.)",7.363,54940.5,3.52,7.446,7.133,57390.0,67744.0,60485.5,7.544,3.772,3.824,3.536,3.758,51148.0,50458.5,59802.0,61749.0,56542.0,3.612,64744.0,59603.0,55009.0,58204.0,7.246,3.651,7.269,3.672,6.985,65078.0,62463.0,52621.5,64666.0,206041121,3.62,3.621
