utility_median_emply_inc_job, fin_insur_num_jobs_000, pro_tech_servc_median_emply_inc_job, tot_num_jobs_000, whsl_trade_median_emply_inc_job, pro_tech_servc_num_jobs_000, agri_frsty_fish_median_emply_inc_job, admt_supp_num_jobs_000, arts_rec_num_jobs_000, oth_median_emply_inc_job, tot_median_emply_inc_job, cons_median_emply_inc_job, rtl_trade_num_jobs_000, fin_insur_median_emply_inc_job, agri_frsty_fish_num_jobs_000, hlth_care_soc_asst_num_jobs_000, pub_admt_safety_num_jobs_000, utility_num_jobs_000, info_med_telecommunications_num_jobs_000, whsl_trade_num_jobs_000, trns_pstl_whse_num_jobs_000, mining_num_jobs_000, accom_food_median_emply_inc_job, sa2_name, accom_food_num_jobs_000, trns_pstl_whse_median_emply_inc_job, admt_supp_median_emply_inc_job, rent_hiring_rlst_median_emply_inc_job, hlth_care_soc_asst_median_emply_inc_job, mining_median_emply_inc_job, arts_rec_median_emply_inc_job, edu_training_median_emply_inc_job, rtl_trade_median_emply_inc_job, info_med_telecommunications_median_emply_inc_job, cons_num_jobs_000, sa2_main16, manu_num_jobs_000, pub_admt_safety_median_emply_inc_job, oth_num_jobs_000, manu_median_emply_inc_job, rent_hiring_rlst_num_jobs_000, edu_training_num_jobs_000
73833.0,1.098,42810.0,27.248,44303.0,3.312,4200.0,3.081,0.848,26978.0,23693.0,39777.5,1.903,60000.0,0.253,2.697,1.469,0.196,1.028,0.798,0.441,0.025,7178.5,"Brunswick",2.914,57102.0,8615.5,23200.0,42703.0,44222.5,11452.0,24220.0,15805.0,23709.0,0.777,206011105,0.873,63723.0,0.854,29997.0,0.389,3.635
79096.0,0.506,44256.0,12.335,40509.5,1.642,3252.5,1.238,0.347,28971.5,25708.0,45530.0,0.867,57044.0,0.095,1.268,0.663,0.089,0.51,0.414,0.232,0.024,7657.5,"Brunswick East",1.311,51808.0,9818.0,23631.0,41774.0,121959.0,15315.0,26312.0,16923.5,28100.0,0.318,206011106,0.374,66146.0,0.376,29615.0,0.19,1.602
61096.0,0.586,44308.5,13.3,41810.0,1.359,4990.0,1.513,0.422,26169.5,24599.0,36660.0,1.04,48580.0,0.083,1.522,0.685,0.074,0.41,0.45,0.314,0.018,7700.0,"Brunswick West",1.216,50822.5,9234.5,22518.5,42589.5,77784.0,12995.0,22619.0,18527.0,27534.5,0.473,206011107,0.458,64505.0,0.377,39616.0,0.194,1.779
70783.5,0.975,46276.0,22.477,42241.5,2.151,4862.0,2.285,0.556,30754.0,26730.0,42706.0,1.897,52342.5,0.156,2.462,1.348,0.138,0.718,0.785,0.557,0.02,7672.0,"Coburg",2.116,57972.0,10204.5,24401.5,41341.0,141741.0,11274.0,27703.0,17462.5,24837.5,0.876,206011108,0.924,66571.0,0.686,37715.0,0.342,2.845
72211.0,0.441,53305.0,7.923,51014.0,0.803,5486.0,0.663,0.228,27739.0,34720.5,47106.0,0.771,63094.0,0.013,0.851,0.497,0.058,0.195,0.365,0.262,0.01,7823.0,"Pascoe Vale South",0.521,68353.0,11875.5,31730.0,43729.0,83936.0,9052.0,30156.0,18663.0,52321.5,0.439,206011109,0.368,66333.5,0.229,48892.0,0.152,0.882
81240.0,0.398,52859.0,7.764,50503.0,0.874,6852.0,0.699,0.267,30333.0,31792.0,36179.0,0.558,71350.0,0.054,1.006,0.505,0.066,0.216,0.279,0.151,0.01,6502.0,"Alphington - Fairfield",0.564,60193.0,11250.0,38822.0,46915.0,170105.0,10921.0,26805.0,20688.0,58225.0,0.278,206021110,0.299,68864.5,0.24,41992.0,0.114,1.016
73724.0,0.986,53249.0,22.866,46523.0,2.798,5220.5,1.883,0.704,31436.0,30564.5,44985.0,1.643,62125.5,0.142,2.839,1.554,0.171,0.98,0.655,0.383,0.031,6924.0,"Northcote",1.83,57855.5,10293.0,31328.0,47329.0,103335.5,12233.5,26129.0,17621.0,28211.0,0.668,206021111,0.786,66462.0,0.702,42234.0,0.343,3.191
69700.0,0.718,49697.5,16.379,46782.0,1.696,3954.5,1.612,0.415,32123.0,30140.0,42692.0,1.3,56365.0,0.096,1.98,1.011,0.102,0.611,0.561,0.349,0.024,9051.5,"Thornbury",1.407,61016.0,11935.5,33837.0,43863.5,140315.0,12539.0,28091.0,18968.0,34349.0,0.548,206021112,0.625,60754.0,0.488,40651.0,0.277,2.124
93100.0,0.686,53545.0,12.779,53410.0,1.429,6420.0,1.448,0.454,28746.0,32946.0,50683.0,0.931,68891.0,0.066,1.434,0.742,0.095,0.329,0.48,0.408,0.02,8187.5,"Ascot Vale",1.013,57202.5,11267.0,43076.0,46674.0,108071.0,16918.0,30477.0,16458.0,45806.0,0.472,206031113,0.512,71438.5,0.337,49218.0,0.224,1.296
74561.0,1.347,44521.5,23.343,48016.0,2.561,9413.5,2.132,0.743,24966.5,30781.0,47990.0,2.146,58700.0,0.073,2.432,1.303,0.136,0.574,0.949,0.928,0.027,6897.0,"Essendon - Aberfeldie",1.754,61882.0,12349.0,41061.0,42718.0,93589.0,9610.0,28623.0,15333.0,54735.0,1.174,206031114,1.011,70129.5,0.541,50020.0,0.516,2.302
