sex_ratio, sa2_name16, state_code, percentage_person_aged_15_64, persons_num, percentage_person_aged_0_14, females_num, sa2_main16, percentage_person_aged_65_plus, median_age, state_name, males_num
97.6,"Altona Meadows",2,68.0,20454,16.8,10350,213021342,15.2,38.6,"Victoria",10104
97.3,"Prahran - Windsor",2,79.9,22234,8.3,11268,206061136,11.9,33.7,"Victoria",10966
101.9,"Collingwood",2,82.0,10984,10.7,5440,206071141,7.3,32.3,"Victoria",5544
93.4,"Hadfield",2,61.1,6165,19.5,3187,210031440,19.4,37.9,"Victoria",2978
98.8,"Sunbury",2,67.0,13558,20.0,6819,210041240,13.1,38.6,"Victoria",6739
95.1,"Sunbury - South",2,66.6,30635,19.5,15702,210041241,14.0,36.3,"Victoria",14933
98.4,"Fitzroy",2,79.0,11903,10.9,5999,206071142,10.0,33.5,"Victoria",5904
93.8,"Hughesdale",2,70.4,8418,16.4,4344,208021180,13.2,35.0,"Victoria",4074
104.4,"Point Cook - South",2,65.0,19473,31.0,9527,213051466,4.0,32.5,"Victoria",9946
96.1,"Blackburn South",2,61.0,11498,18.6,5864,207031162,20.4,40.5,"Victoria",5634
94.0,"Surrey Hills (East) - Mont Albert",2,66.6,10674,16.8,5501,207031167,16.6,39.1,"Victoria",5173
95.0,"Brighton East",2,61.0,16955,20.1,8697,208011170,18.9,43.3,"Victoria",8258
90.3,"Cheltenham - Highett (West)",2,65.0,12353,20.6,6491,208011171,14.4,39.0,"Victoria",5862
93.7,"Hampton",2,64.7,19344,19.1,9987,208011172,16.2,42.1,"Victoria",9357
97.0,"Brunswick",2,80.0,29993,10.2,15222,206011105,9.8,33.1,"Victoria",14771
90.2,"Brunswick East",2,80.4,13765,10.7,7236,206011106,8.9,32.9,"Victoria",6529
98.1,"Pascoe Vale South",2,67.4,11081,19.3,5593,206011109,13.3,37.9,"Victoria",5488
106.4,"Docklands",2,85.9,15701,7.9,7608,206041118,6.2,31.2,"Victoria",8093
91.5,"East Melbourne",2,75.4,5918,6.5,3090,206041119,18.1,38.2,"Victoria",2828
85.7,"Flemington Racecourse",2,86.8,91,13.2,49,206041120,0.0,37.5,"Victoria",42
88.3,"South Yarra - West",2,74.7,7010,7.9,3722,206041125,17.4,35.8,"Victoria",3288
97.0,"Bentleigh East (South)",2,63.0,14422,20.4,7322,208021427,16.7,39.8,"Victoria",7100
95.6,"Bentleigh - McKinnon",2,66.8,25048,18.2,12806,208021174,15.0,38.9,"Victoria",12242
98.6,"Aspendale Gardens - Waterways",2,68.5,9496,18.5,4782,208031183,13.0,39.8,"Victoria",4714
98.8,"Murrumbeena",2,71.1,10100,16.3,5080,208021181,12.6,36.0,"Victoria",5020
81.8,"Braeside",2,95.0,60,5.0,33,208031184,0.0,16.8,"Victoria",27
102.7,"Southbank",2,87.4,26324,5.1,12984,206041126,7.4,31.6,"Victoria",13340
98.8,"Chelsea Heights",2,63.8,5621,19.5,2828,208031187,16.7,39.1,"Victoria",2793
94.4,"Carnegie",2,72.6,20562,14.5,10579,208021176,12.8,33.6,"Victoria",9983
95.9,"Coburg",2,71.4,29202,15.5,14905,206011108,13.1,35.8,"Victoria",14297
92.8,"Brunswick West",2,75.5,15543,12.6,8063,206011107,11.9,34.2,"Victoria",7480
90.2,"Alphington - Fairfield",2,72.3,10008,15.4,5261,206021110,12.3,36.1,"Victoria",4747
96.9,"Ormond - Glen Huntly",2,72.9,14727,15.6,7480,208021182,11.4,33.7,"Victoria",7247
88.3,"Northcote",2,72.1,27913,15.3,14821,206021111,12.6,36.4,"Victoria",13092
200.0,"West Melbourne",2,100.0,3,0.0,1,206041127,0.0,60.5,"Victoria",2
92.0,"Thornbury",2,72.5,20381,15.0,10616,206021112,12.5,36.0,"Victoria",9765
91.9,"Port Melbourne",2,70.8,18049,13.8,9404,206051130,15.5,40.5,"Victoria",8645
96.7,"Ascot Vale",2,70.9,16508,17.7,8393,206031113,11.4,35.7,"Victoria",8115
93.4,"Essendon - Aberfeldie",2,70.8,30927,15.4,15989,206031114,13.8,37.1,"Victoria",14938
96.3,"Flemington",2,76.6,11345,13.8,5778,206031115,9.6,32.3,"Victoria",5567
95.4,"Moonee Ponds",2,70.2,16051,15.3,8213,206031116,14.5,37.4,"Victoria",7838
88.4,"Carlton",2,90.4,24692,4.3,13107,206041117,5.4,24.7,"Victoria",11585
94.8,"Kensington (Vic.)",2,76.6,12173,13.9,6249,206041121,9.5,34.0,"Victoria",5924
97.7,"Melbourne",2,93.6,51894,3.0,26255,206041122,3.4,26.6,"Victoria",25639
88.2,"Armadale",2,69.1,10501,13.7,5581,206061135,17.2,36.7,"Victoria",4920
100.6,"North Melbourne",2,84.9,26459,8.8,13189,206041123,6.3,28.8,"Victoria",13270
90.1,"Parkville",2,82.5,8756,6.3,4606,206041124,11.1,26.5,"Victoria",4150
95.7,"Albert Park",2,68.7,17806,14.3,9098,206051128,17.1,39.5,"Victoria",8708
89.0,"Elwood",2,77.5,16754,13.2,8863,206051129,9.4,36.1,"Victoria",7891
121.2,"Port Melbourne Industrial",2,80.4,438,9.4,198,206051131,10.3,33.7,"Victoria",240
96.0,"South Melbourne",2,75.0,13509,10.9,6891,206051132,14.0,36.8,"Victoria",6618
103.3,"St Kilda",2,82.2,30447,7.6,14976,206051133,10.2,34.9,"Victoria",15471
99.0,"St Kilda East",2,78.3,18583,12.6,9337,206051134,9.1,33.4,"Victoria",9246
90.5,"South Yarra - East",2,82.5,25051,7.0,13151,206061137,10.5,32.2,"Victoria",11900
89.4,"Toorak",2,63.7,14271,10.6,7535,206061138,25.7,44.6,"Victoria",6736
103.9,"Abbotsford",2,83.8,10088,7.8,4947,206071139,8.4,32.3,"Victoria",5141
91.9,"Carlton North - Princes Hill",2,74.5,9207,11.0,4797,206071140,14.5,33.5,"Victoria",4410
88.8,"Fitzroy North",2,73.9,13929,12.4,7376,206071143,13.7,35.7,"Victoria",6553
98.1,"Richmond (Vic.)",2,79.9,35852,9.8,18096,206071144,10.3,33.6,"Victoria",17756
101.0,"Yarra - North",2,72.2,10290,15.4,5119,206071145,12.4,36.6,"Victoria",5171
