othr_rel_aust_abor_trad_rel_m, christianity_orintal_orthdx_p, othr_rel_aust_abor_trad_rel_p, christianity_orintal_orthdx_m, islam_m, sb_osb_nra_tot_f, islam_p, christianity_orintal_orthdx_f, islam_f, othr_rel_sikhism_f, othr_rel_aust_abor_trad_rel_f, othr_rel_sikhism_p, othr_rel_sikhism_m, sb_osb_nra_tot_p, sb_osb_nra_tot_m, other_religions_tot_p, other_religions_tot_m, other_religions_tot_f, christianity_uniting_church_f, tot_f, tot_m, tot_p, christianity_christian_nfd_p, christianity_eastrn_orthdox_m, christianity_eastrn_orthdox_p, christianity_salvation_army_p, othr_reln_other_reln_groups_f, christianity_christian_nfd_m, christianity_eastrn_orthdox_f, christianity_salvation_army_m, christianity_salvation_army_f, christianity_christian_nfd_f, os_visitors_p, christianity_othr_protestnt_p, othr_reln_other_reln_groups_m, christianity_othr_christian_f, othr_reln_other_reln_groups_p, os_visitors_f, christianity_church_christ_p, christianity_church_christ_m, christianity_othr_protestnt_m, os_visitors_m, christianity_othr_protestnt_f, christianity_church_christ_f, christianity_lutheran_p, christianity_lattr_day_snts_m, christianity_baptist_p, christianity_lattr_day_snts_f, christianity_baptist_m, christianity_baptist_f, christianity_pentecostal_f, christianity_othr_christian_m, christianity_tot_p, christianity_lattr_day_snts_p, christianity_othr_christian_p, christianity_catholic_f, christianity_lutheran_f, christianity_lutheran_m, christianity_asyrin_apstlic_p, christianity_anglican_f, sb_osb_nra_sb_m, christnty_sevnth_dy_advntst_f, sb_osb_nra_sb_p, christianity_brethren_f, christianity_brethren_p, christianity_catholic_m, hinduism_m, christianity_catholic_p, hinduism_p, christianity_brethren_m, christianity_tot_m, hinduism_f, christnty_sevnth_dy_advntst_p, christianity_tot_f, sb_osb_nra_sb_f, sa2_main16, christnty_sevnth_dy_advntst_m, christianity_anglican_m, christianity_anglican_p, religious_affiliation_ns_f, buddhism_f, christinty_prsbytrin_refrmd_f, christinty_jehvahs_witnses_f, buddhism_m, buddhism_p, christinty_jehvahs_witnses_m, sa2_name16, christinty_jehvahs_witnses_p, judaism_f, sb_osb_nra_nr_f, christianity_uniting_church_m, christianity_uniting_church_p, judaism_p, christinty_prsbytrin_refrmd_p, judaism_m, christinty_prsbytrin_refrmd_m, christianity_asyrin_apstlic_f, sb_osb_nra_nr_p, christianity_asyrin_apstlic_m, sb_osb_nra_nr_m, sb_osb_nra_osb_f, christianity_pentecostal_m, religious_affiliation_ns_p, sb_osb_nra_osb_m, christianity_pentecostal_p, religious_affiliation_ns_m, sb_osb_nra_osb_p
0,20,3,12,121,4184,233,13,108,6,0,21,12,8668,4480,82,44,45,162,10193,9579,19768,200,580,1269,10,33,80,691,0,9,124,300,56,31,6,62,168,9,5,25,124,33,7,58,3,87,6,32,52,42,3,6801,6,13,1729,38,21,0,801,51,3,104,0,0,1365,152,3092,282,0,2996,133,4,3807,51,"206061136",3,631,1432,1257,210,90,13,155,366,10,"Prahran - Windsor",21,276,4107,106,268,500,186,220,94,0,8514,0,4408,30,14,2545,22,53,1284,53
0,37,0,22,234,1951,487,13,259,0,0,0,0,4065,2116,32,13,18,37,4365,4251,8619,156,105,214,6,14,67,115,3,5,85,120,16,14,3,29,69,3,0,12,47,11,0,25,0,54,0,22,33,21,4,2106,0,11,599,21,8,0,153,31,3,65,0,0,511,12,1109,29,0,973,15,5,1131,30,"206071141",3,143,293,645,248,21,5,189,439,3,"Collingwood",12,26,1908,33,67,49,48,25,27,0,3982,0,2067,7,25,1293,11,41,645,22
0,0,0,0,598,438,1144,0,540,6,0,13,9,869,432,17,9,13,33,2894,2716,5613,97,152,313,5,4,45,159,3,3,49,21,14,0,0,4,15,4,0,3,7,8,0,17,4,22,3,6,12,16,0,2974,4,0,1110,9,3,0,133,4,0,3,0,0,998,34,2112,54,0,1386,23,3,1587,0,"210031440",0,98,227,237,32,35,16,28,65,10,"Hadfield",29,3,433,23,51,3,64,0,23,0,858,0,423,5,4,461,0,23,224,12
0,36,0,18,298,2548,586,13,290,0,0,0,0,5192,2646,29,15,11,59,5893,5662,11560,129,123,267,3,13,62,146,0,3,71,290,24,15,0,27,164,4,0,8,134,14,6,13,3,56,0,19,32,15,0,2719,4,0,829,10,10,0,231,24,7,61,0,0,680,16,1509,46,0,1245,21,14,1474,34,"206071142",7,212,446,1077,286,30,4,166,444,3,"Fitzroy",10,32,2504,53,113,63,56,31,28,0,5116,0,2616,13,16,2191,3,31,1115,12
0,9,0,4,71,1809,136,3,66,21,0,41,22,3871,2062,60,28,29,270,6405,6167,12576,297,88,170,15,12,133,82,4,10,160,52,24,9,3,21,31,29,12,11,21,13,11,72,18,130,17,60,67,48,0,7270,31,3,2144,37,38,0,802,24,5,42,30,56,1972,30,4119,57,27,3389,34,14,3881,20,"210041240",3,623,1427,518,49,134,25,47,95,25,"Sunbury",46,3,1775,217,490,4,252,0,115,0,3804,0,2025,9,39,1027,6,88,512,18
0,21,5,13,69,4219,112,7,48,35,3,83,45,8849,4629,160,81,80,554,13577,12760,26335,580,202,406,60,43,257,202,20,37,321,101,60,38,10,78,54,50,25,30,48,31,29,134,51,231,77,108,118,102,9,14671,125,19,4190,79,58,14,1765,29,10,57,45,91,3722,57,7913,118,45,6745,58,22,7927,30,"210041241",10,1457,3224,1022,157,285,51,91,255,35,"Sunbury - South",88,7,4168,390,946,15,500,5,217,4,8761,6,4585,19,89,2053,9,188,1030,30
0,25,0,11,38,1154,70,12,31,11,0,30,22,2369,1218,58,33,22,79,3932,3646,7578,120,509,1076,4,13,45,566,3,0,76,108,6,12,4,28,56,4,3,4,49,3,5,30,0,79,0,42,43,16,3,3607,6,7,828,18,18,0,247,19,6,30,0,0,676,250,1508,488,0,1647,233,4,1957,8,"208021180",3,187,434,314,126,43,11,88,213,6,"Hughesdale",18,34,1134,85,163,66,80,27,33,0,2328,0,1195,10,14,603,3,32,292,14
0,38,0,20,276,1963,527,20,256,119,0,277,157,4144,2172,345,190,157,103,7352,7365,14717,522,179,342,11,39,240,163,6,3,285,410,81,32,9,71,256,22,15,33,156,46,5,43,30,174,21,69,98,127,11,5450,50,22,1446,19,26,0,299,15,8,37,0,0,1422,1141,2869,2244,0,2646,1106,17,2809,21,"213051466",11,262,560,461,341,121,27,303,636,26,"Point Cook - South",56,6,1932,93,196,10,227,8,98,0,4081,0,2152,18,112,946,6,236,485,22
0,18,0,7,45,1717,100,11,49,25,0,42,18,3650,1929,81,42,46,238,5661,5098,10753,339,257,539,114,20,144,276,39,78,189,137,85,18,11,37,85,55,22,37,52,55,28,55,6,307,15,131,177,46,3,5229,20,13,1123,37,21,0,510,14,13,25,0,4,957,79,2074,157,4,2311,72,21,2917,17,"207031162",16,380,885,466,293,107,12,208,499,12,"Blackburn South",18,6,1698,164,402,22,191,13,76,0,3607,0,1908,8,39,878,6,87,412,18
0,5,0,3,23,1902,42,3,13,23,0,35,15,3810,1907,58,24,36,257,5256,4725,9983,215,132,262,16,11,103,128,10,6,118,183,47,10,6,21,93,20,6,16,87,25,14,60,4,233,4,106,121,40,4,4722,5,10,1107,38,19,0,600,22,0,49,0,0,932,92,2037,190,0,2123,103,4,2598,26,"207031167",3,436,1033,350,156,129,3,115,270,4,"Surrey Hills (East) - Mont Albert",5,11,1872,199,455,19,251,5,117,0,3751,0,1876,6,17,694,6,55,344,12
0,12,0,6,32,2457,72,9,39,9,0,26,19,5022,2565,64,36,27,288,8228,7468,15694,171,373,775,4,22,89,404,4,3,85,182,60,22,7,41,99,9,5,34,85,29,4,49,0,70,0,38,36,8,3,7391,3,12,1895,23,24,0,1084,22,0,38,0,0,1617,76,3513,156,0,3364,77,4,4026,19,"208011170",4,852,1931,667,147,136,8,100,248,4,"Brighton East",12,684,2428,200,492,1313,247,632,109,0,4962,0,2533,11,9,1259,9,22,592,20
0,5,0,5,44,2128,100,3,59,14,0,33,18,4311,2174,74,37,39,167,5715,5086,10797,149,250,513,4,25,65,264,3,3,89,70,30,17,0,42,50,14,4,11,24,13,6,55,3,72,3,37,42,29,3,5058,9,3,1347,35,20,0,690,13,3,22,0,3,1114,68,2459,127,3,2231,58,11,2825,11,"208011171",3,471,1164,419,75,114,4,50,128,0,"Cheltenham - Highett (West)",9,59,2109,119,288,114,201,54,85,0,4258,0,2150,19,24,824,7,56,410,25
0,48,7,25,486,6531,900,21,415,7,3,20,13,12890,6360,133,56,83,162,13042,12378,25424,243,739,1504,9,66,114,769,9,3,128,326,53,41,11,113,181,6,3,26,146,22,5,51,3,96,3,44,60,44,5,7599,9,11,2264,22,26,23,416,104,3,190,0,0,1997,276,4264,467,0,3548,188,5,4055,87,"206011105",0,343,755,1251,307,83,16,223,529,6,"Brunswick",28,36,6403,87,250,65,154,34,73,14,12631,10,6222,42,43,2511,33,86,1260,76
0,14,0,6,112,2941,225,8,107,10,0,13,12,5696,2757,71,38,35,70,5774,5156,10932,147,233,504,3,27,60,269,3,0,85,129,7,27,0,52,83,4,0,3,43,8,4,15,0,26,0,7,10,15,0,3308,0,0,1171,10,6,11,159,49,0,82,0,0,941,102,2113,181,0,1472,79,0,1837,34,"206011106",0,131,292,515,147,17,4,112,257,4,"Brunswick East",6,23,2888,28,98,33,37,14,25,5,5588,9,2699,14,11,1025,9,24,509,29
0,35,0,18,51,3166,96,16,42,10,0,31,23,6550,3387,63,38,29,312,8978,8360,17336,224,337,692,15,18,94,358,3,9,132,121,32,15,3,27,73,13,3,15,46,15,10,53,4,67,8,24,39,17,9,8439,10,7,2281,29,26,0,1185,25,3,47,0,0,1863,60,4148,122,0,3852,63,8,4584,22,"208011172",8,1013,2198,778,123,158,10,69,188,12,"Hampton",23,134,3122,252,573,270,316,138,157,0,6477,0,3355,19,15,1486,11,35,712,28
3,54,4,30,470,1899,879,23,414,353,0,723,375,3978,2073,793,410,384,154,7599,7530,15135,517,131,266,20,34,231,131,8,16,293,191,109,28,11,67,114,9,5,55,74,54,7,31,62,152,67,74,77,131,5,6391,135,13,1633,10,15,4,554,24,32,36,0,0,1499,540,3136,1064,0,3013,520,57,3376,16,"212031304",23,453,1005,541,344,155,26,321,671,20,"Cranbourne West",47,10,1876,133,289,12,289,3,133,0,3927,3,2050,10,115,1160,6,250,625,16
0,25,0,11,45,1898,80,14,37,14,0,27,11,3909,2016,76,34,44,181,6810,6400,13211,222,583,1165,11,30,107,588,5,6,111,97,21,17,14,45,54,15,7,9,43,12,6,43,0,70,3,36,35,33,10,6643,5,26,1811,25,16,0,548,22,8,37,0,0,1628,115,3439,222,0,3101,112,16,3549,15,"208021427",11,411,958,473,138,129,19,105,245,12,"Bentleigh East (South)",27,511,1873,124,303,1004,227,496,100,0,3855,0,1985,6,33,925,9,64,450,17
0,25,0,12,124,1280,246,6,126,11,0,23,14,2664,1383,59,21,31,132,5051,4833,9881,136,600,1179,8,25,58,582,3,3,87,57,10,11,0,34,27,3,0,3,28,7,3,15,10,52,0,21,37,22,0,5753,11,0,1827,3,9,6,252,20,0,36,0,0,1683,59,3509,98,0,2722,39,0,3029,20,"206011109",0,172,430,429,81,45,11,61,143,15,"Pascoe Vale South",31,3,1257,83,209,6,84,3,38,3,2622,3,1363,5,14,858,3,39,425,11
0,31,0,13,228,2164,399,15,179,20,0,44,22,4485,2322,114,56,57,92,6725,6955,13674,234,95,210,3,33,93,116,3,0,139,1189,38,30,8,69,616,5,3,10,573,25,3,35,3,91,4,42,50,42,3,3211,4,6,818,16,15,4,290,10,3,25,0,0,764,718,1582,1235,0,1506,511,4,1710,16,"206041118",3,266,556,1179,303,75,3,251,555,5,"Docklands",5,7,2143,81,176,15,143,13,66,3,4451,0,2304,7,33,2468,4,76,1291,11
