sa2_name16, availability_status, ogc_fid, state, sa2_code16, number_participants
"Burwood East","Available",668,"VIC","207031166",140
"Bentleigh East (North)","Available",672,"VIC","208021426",116
"Prahran - Windsor","Available",661,"VIC","206061136",165
"Collingwood","Available",875,"VIC","206071141",103
"Hadfield","Available",786,"VIC","210031440",91
"Sunbury","Available",930,"VIC","210041240",173
"Sunbury - South","Available",761,"VIC","210041241",410
"Fitzroy","Available",876,"VIC","206071142",97
"Hughesdale","Available",671,"VIC","208021180",56
"Point Cook - South","Available",613,"VIC","213051466",97
"Blackburn South","Available",592,"VIC","207031162",168
"Surrey Hills (East) - Mont Albert","Available",888,"VIC","207031167",85
"Brighton East","Available",890,"VIC","208011170",120
"Cheltenham - Highett (West)","Available",891,"VIC","208011171",116
"Hampton","Available",892,"VIC","208011172",197
"Brunswick","Available",653,"VIC","206011105",219
"Brunswick East","Available",654,"VIC","206011106",62
"Pascoe Vale South","Available",860,"VIC","206011109",107
"Docklands","Available",864,"VIC","206041118",36
"East Melbourne","Available",865,"VIC","206041119",null
"Fitzroy North","Available",877,"VIC","206071143",111
"Richmond (Vic.)","Available",662,"VIC","206071144",231
"Yarra - North","Available",878,"VIC","206071145",179
"South Yarra - West","Available",868,"VIC","206041125",null
"Bentleigh East (South)","Available",673,"VIC","208021427",108
"Bentleigh - McKinnon","Available",596,"VIC","208021174",222
"Aspendale Gardens - Waterways","Available",896,"VIC","208031183",82
"Murrumbeena","Available",894,"VIC","208021181",86
"Southbank","Available",585,"VIC","206041126",null
"Chelsea Heights","Available",898,"VIC","208031187",57
"Carnegie","Available",669,"VIC","208021176",166
"Coburg","Available",859,"VIC","206011108",281
"Brunswick West","Available",858,"VIC","206011107",164
"Alphington - Fairfield","Available",861,"VIC","206021110",147
"Ormond - Glen Huntly","Available",895,"VIC","208021182",129
"Northcote","Available",584,"VIC","206021111",247
"Cheltenham - Highett (East)","Available",899,"VIC","208031188",254
"Thornbury","Available",862,"VIC","206021112",221
