two_methods_bus_other_f, two_methods_bus_other_m, two_methods_trn_car_as_drvr_m, two_methods_train_other_p, two_methods_trn_car_as_drvr_p, two_methods_train_other_m, two_methods_train_other_f, two_methods_trn_car_as_drvr_f, one_method_tot_one_method_f, one_method_car_as_passenger_p, one_method_tot_one_method_m, one_method_car_as_passenger_m, three_meth_othr_three_meth_f, one_method_tot_one_method_p, three_meth_othr_three_meth_p, one_method_car_as_passenger_f, three_meth_othr_three_meth_m, tot_f, one_method_ferry_f, one_met_tram_incl_lt_rail_p, three_meth_trn_two_othr_met_f, tot_m, tot_p, three_meth_trn_two_othr_met_m, one_method_walked_only_m, two_methods_train_bus_m, one_method_walked_only_p, two_methods_bus_car_as_drvr_m, three_meth_trn_two_othr_met_p, two_methods_train_bus_f, two_methods_bus_car_as_drvr_p, one_method_walked_only_f, two_methods_train_bus_p, two_methods_bus_car_as_drvr_f, two_mt_trn_trm_incl_lt_rl_m, two_mt_trn_trm_incl_lt_rl_p, two_methods_bus_other_p, two_mt_trn_trm_incl_lt_rl_f, one_method_ferry_p, one_met_tram_incl_lt_rail_f, one_met_tram_incl_lt_rail_m, one_method_ferry_m, worked_home_p, worked_home_m, worked_home_f, did_not_go_to_work_f, two_methods_bus_car_as_pass_f, one_method_truck_m, one_method_bicycle_p, one_method_truck_p, one_method_bicycle_m, one_method_truck_f, did_not_go_to_work_m, did_not_go_to_work_p, one_method_bicycle_f, method_travel_to_work_ns_f, two_methods_tot_two_methods_f, one_method_other_f, two_methods_tot_two_methods_m, two_methods_trn_car_as_pass_f, one_method_car_as_driver_m, two_methods_tot_two_methods_p, one_method_other_p, one_method_car_as_driver_p, one_method_other_m, one_method_car_as_driver_f, two_methods_trn_car_as_pass_p, sa2_main16, two_methods_trn_car_as_pass_m, two_methods_bus_ferry_f, two_methds_othr_two_methds_f, two_methds_othr_two_methds_m, two_methods_train_tot_p, one_method_train_p, two_methods_train_tot_m, two_methods_bus_ferry_p, two_methds_othr_two_methds_p, two_methods_bus_ferry_m, one_method_train_m, one_method_motorbike_scootr_m, sa2_name16, two_methods_train_tot_f, one_method_train_f, one_method_motorbike_scootr_p, one_method_motorbike_scootr_f, two_mth_bu_trm_inc_lt_rl_m, three_meth_tot_three_meth_f, two_methods_bus_tot_p, two_mth_bu_trm_inc_lt_rl_p, method_travel_to_work_ns_m, method_travel_to_work_ns_p, one_method_bus_f, two_methods_bus_tot_m, one_method_bus_p, three_met_bs_2_ot_met_ex_tr_p, two_methods_bus_car_as_pass_p, two_methods_train_ferry_p, one_method_bus_m, two_methods_train_ferry_m, one_method_taxi_f, three_met_bs_2_ot_met_ex_tr_m, two_methods_bus_car_as_pass_m, two_methods_bus_tot_f, one_method_taxi_p, one_method_taxi_m, three_met_bs_2_ot_met_ex_tr_f, two_methods_train_ferry_f, three_meth_tot_three_meth_m, two_mth_bu_trm_inc_lt_rl_f, three_meth_tot_three_meth_p
0,0,19,7,34,3,3,16,719,80,1024,37,0,1744,0,44,0,949,0,6,10,1183,2136,12,10,19,20,0,23,9,0,12,26,0,0,0,0,0,0,0,0,0,65,25,41,115,0,19,16,19,6,0,53,171,3,14,47,3,60,5,847,109,12,1431,8,584,8,"210031440",0,0,8,7,77,125,45,0,13,0,69,3,"Hadfield",36,59,7,0,0,12,12,8,14,26,15,5,15,4,5,0,3,0,0,0,4,5,4,8,4,0,12,5,22
0,0,13,40,24,20,14,9,4885,245,5103,82,4,9985,10,164,3,6031,0,1228,41,6125,12157,41,557,35,1248,0,83,23,7,689,64,7,164,343,4,174,7,679,549,0,514,263,257,509,0,9,468,8,330,0,334,845,143,24,304,29,344,9,2436,652,62,4617,32,2177,20,"206061136",10,0,46,63,486,1902,249,0,113,0,973,56,"Prahran - Windsor",235,925,68,9,29,50,48,45,34,63,55,24,95,3,0,0,44,0,16,0,0,21,29,15,0,0,46,18,95
3,0,4,12,5,10,4,6,1799,84,2011,34,0,3807,7,49,7,2276,0,743,19,2444,4711,16,442,12,911,3,32,9,3,469,28,0,37,74,3,40,0,373,367,0,229,112,111,218,0,6,386,6,241,0,153,365,146,20,103,13,117,0,702,223,35,1249,16,549,3,"206071141",3,0,26,35,128,221,67,0,59,0,115,26,"Collingwood",58,105,35,5,12,20,34,25,24,50,68,12,121,0,3,0,49,0,7,0,0,21,23,13,0,0,24,14,44
0,0,107,16,210,6,4,104,4840,561,5888,281,0,10729,4,284,4,6388,0,3,53,6854,13240,38,62,31,136,7,92,30,17,74,67,8,15,30,0,16,3,0,0,3,415,140,277,932,10,101,16,105,11,0,490,1422,0,56,229,12,232,25,4929,462,43,8969,33,4036,36,"210041241",15,0,31,46,360,784,183,0,74,0,399,31,"Sunbury - South",180,390,35,5,0,54,34,0,61,111,33,11,59,4,15,0,24,0,3,0,0,22,13,8,3,0,42,0,96
0,0,3,20,3,14,6,0,2141,99,2248,35,3,4388,3,70,0,2706,4,943,20,2721,5427,21,605,10,1295,0,35,0,0,689,10,0,44,97,0,56,6,494,449,7,311,154,161,243,0,3,459,3,267,0,153,401,188,29,106,18,107,3,751,218,24,1336,14,587,0,"206071142",0,0,31,32,131,105,70,0,60,0,55,26,"Fitzroy",63,49,34,4,8,27,20,18,35,68,21,11,39,6,0,0,21,0,13,3,0,13,33,18,3,0,24,10,43
0,0,48,6,81,6,0,30,2301,267,2772,132,0,5074,0,135,0,3046,0,3,25,3249,6294,20,33,23,64,4,40,18,7,31,45,7,5,5,0,3,0,0,3,0,293,89,204,425,0,57,11,57,11,0,231,655,0,14,76,12,117,6,2346,191,26,4306,14,1960,15,"210041240",6,0,8,23,153,294,87,0,25,0,152,12,"Sunbury",62,141,11,3,0,29,13,0,22,32,19,8,34,0,4,0,14,0,3,0,0,7,4,3,0,0,20,0,46
0,0,20,18,29,11,0,15,1418,122,1651,51,0,3073,0,71,0,1847,0,5,25,1956,3805,20,37,25,104,3,44,26,3,62,58,0,24,55,0,29,3,3,4,3,157,60,90,218,3,8,41,8,31,0,106,324,11,6,89,7,98,7,1088,190,15,2005,8,914,14,"208021180",3,0,7,6,169,702,83,0,13,0,383,7,"Hughesdale",83,319,9,0,3,22,6,3,15,22,35,4,59,0,3,0,27,0,0,0,3,3,5,5,0,0,20,0,41
0,0,161,16,246,12,3,86,2182,361,3027,118,0,5203,0,250,0,3040,0,3,78,3846,6880,112,32,141,54,5,193,66,8,27,202,0,3,14,0,9,3,0,3,0,344,139,202,325,3,20,22,20,16,0,163,484,8,15,236,17,374,43,2426,611,40,4015,30,1587,66,"213051466",20,0,19,35,542,606,335,0,49,0,327,38,"Point Cook - South",207,276,38,0,0,82,14,0,26,38,17,7,35,3,6,0,21,0,0,0,3,9,10,10,0,0,113,0,200
0,0,61,7,93,4,0,35,1722,189,1915,70,0,3637,0,117,0,2318,0,16,23,2390,4705,37,34,68,67,3,61,50,3,34,119,0,3,9,0,0,0,8,5,0,235,103,134,303,3,23,26,23,26,0,156,457,0,12,125,3,166,23,1535,290,19,2925,16,1395,32,"207031162",9,0,9,16,252,278,144,0,18,0,157,13,"Blackburn South",112,118,8,0,4,23,19,7,15,24,44,7,71,0,4,0,32,0,0,0,3,8,7,3,0,0,37,3,63
0,0,36,16,67,12,6,31,1882,146,2095,49,0,3981,0,99,0,2537,0,84,20,2555,5098,17,74,10,147,0,40,12,0,73,17,0,34,69,0,30,0,38,40,0,327,140,188,317,0,15,54,15,43,0,179,500,4,20,115,7,113,20,1384,222,22,2652,10,1270,23,"207031167",6,0,12,9,188,815,94,0,23,0,445,24,"Surrey Hills (East) - Mont Albert",94,371,20,0,3,18,11,6,13,28,21,3,35,0,0,0,12,0,0,0,0,8,3,0,0,0,17,0,38
0,0,75,13,132,10,3,57,2614,249,3051,75,0,5664,4,172,4,3553,0,70,27,3771,7322,33,52,41,102,0,63,21,0,50,59,0,27,42,0,16,0,33,38,0,583,246,334,414,0,18,100,18,85,0,216,627,20,27,134,13,189,11,2335,322,48,4362,33,2027,17,"208011170",10,0,23,32,268,640,159,0,51,0,362,23,"Brighton East",113,273,28,0,0,28,5,0,25,52,18,3,31,4,3,0,18,0,9,0,3,3,18,14,0,0,47,0,75
4,0,15,32,26,15,13,11,1920,84,2041,37,3,3957,4,50,7,2583,0,97,33,2504,5084,22,99,20,235,0,50,15,4,136,36,3,44,95,3,51,0,44,58,0,318,142,178,305,3,9,518,9,324,0,139,450,194,12,128,6,141,5,1032,275,18,2035,18,1009,6,"206071145",6,0,19,32,193,835,102,0,53,0,405,29,"Yarra - North",94,429,37,10,5,37,21,9,9,28,45,6,77,0,3,0,32,0,4,0,0,14,11,6,0,0,25,3,62
0,0,65,12,124,8,0,56,3377,473,4578,225,0,7952,0,250,0,4369,0,3,54,5256,9624,46,30,27,77,3,99,18,3,51,41,0,21,39,0,22,0,3,0,0,247,84,166,576,0,74,7,79,10,3,320,893,0,60,137,19,176,23,3880,311,42,6613,30,2735,31,"213041357",11,0,19,37,248,565,131,0,55,0,286,17,"Melton South",117,286,17,0,0,59,9,0,54,114,26,10,53,0,10,0,25,0,6,0,9,3,12,7,0,0,46,0,102
0,4,50,3,94,3,0,42,2822,396,3605,204,0,6425,3,198,3,3520,0,0,26,4115,7637,24,33,18,67,8,52,16,6,35,33,0,0,8,4,5,4,0,0,4,180,77,107,433,5,65,7,65,8,0,252,681,0,36,100,14,112,13,3075,210,35,5450,25,2375,13,"213041358",0,0,7,26,156,327,72,0,39,0,155,14,"Melton West",80,174,21,3,0,26,18,0,48,82,32,13,48,0,12,0,13,0,0,0,7,9,4,3,0,0,25,0,53
0,0,48,16,109,7,6,56,2011,178,2248,63,3,4257,0,117,0,2700,0,0,22,2735,5435,14,50,48,114,0,38,22,0,67,67,0,10,25,0,11,0,0,0,0,330,144,189,344,3,9,71,9,64,0,163,502,12,15,132,4,149,8,1668,276,21,3176,20,1510,18,"208011171",14,0,19,15,238,601,128,0,34,0,326,28,"Cheltenham - Highett (West)",110,278,26,3,0,24,6,0,18,31,23,4,39,0,3,0,20,0,3,0,0,3,9,3,0,0,14,0,40
