f_cert_cert_nfd_mng, p_pode_doctde_mng, p_pode_masde_ttw, p_grdi_grcer_gradcer_pro, f_le_ns_mod, f_le_ns_ttw, p_grdi_grcer_gradcer_sal, p_advdi_di_advdi_di_nfd_sal, p_grdi_grcer_gradcer_lab, f_advdi_di_dip_cps, f_tot_mng, f_le_ns_mng, f_grdi_grcer_gradcer_tot, p_grdigrcer_grdigrcernfd_ca, f_bade_bade_tot, f_advdi_di_advdi_asde_sal, f_cert_cert_nfd_mod, p_pode_pode_nfd_cps, p_pode_pode_nfd_sal, p_pode_pode_nfd_idns, p_pode_doctde_ca, f_cert_cert_nfd_sal, p_grdi_grcer_grdi_mng, p_bade_bade_mng, p_bade_bade_tot, f_bade_bade_ca, f_tot_ca, p_pode_pode_nfd_lab, f_grdi_grcer_gradcer_idns, f_cert_certiii_iv_sal, f_le_id_ttw, p_grdi_grcer_gradcer_tot, f_bade_bade_mod, p_grdigrcer_grdigrcernfd_idns, p_pode_pode_nfd_mng, f_advdi_di_advdi_di_nfd_sal, p_advdi_di_advdi_di_nfd_mng, f_cert_cert_nfd_ca, f_tot_mod, f_bade_bade_mng, f_grdi_grcer_grdi_pro, p_advdi_di_advdi_di_nfd_ttw, f_grdi_grcer_grdi_tot, f_le_id_tot, f_advdi_di_advdi_di_nfd_lab, f_le_ns_pro, f_tot_ttw, p_pode_doctde_idns, f_grdi_grcer_gradcer_ttw, f_advdi_di_dip_ca, f_grdi_grcer_grdi_idns, f_grdi_grcer_gradcer_pro, p_advdi_di_advdi_di_nfd_mod, f_le_ns_sal, f_advdi_di_dip_pro, p_pode_pode_nfd_mod, f_grdi_grcer_grdi_cps, f_grdi_grcer_gradcer_lab, p_grdi_grcer_grdi_ca, p_bade_bade_pro, p_grdi_grcer_grdi_mod, f_le_ns_lab, f_le_id_lab, p_pode_pode_nfd_ca, f_cert_cert_nfd_ttw, p_advdi_di_advdi_di_nfd_lab, f_advdi_di_dip_sal, p_grdi_grcer_gradcer_ttw, f_le_id_pro, sa4_name16, f_le_ns_idns, f_tot_sal, f_advdi_di_advdi_asde_mng, f_cert_certi_ii_pro, f_cert_certiii_iv_mod, f_advdi_di_advdi_di_nfd_cps, p_pode_masde_sal, p_pode_doctde_tot, f_advdi_di_advdi_asde_mod, p_pode_pode_nfd_ttw, p_pode_doctde_mod, p_grdi_grcer_grdi_tot, p_pode_pode_nfd_pro, f_cert_certiii_iv_mng, f_le_ns_cps, p_advdi_di_advdi_di_nfd_pro, f_advdi_di_dip_ttw, p_grdi_grcer_grdi_idns, p_grdi_grcer_gradcer_idns, f_tot_cps, p_pode_masde_ca, p_grdigrcer_grdigrcernfd_ttw, f_cert_cert_nfd_lab, p_pode_masde_tot, f_le_ns_ca, f_grdi_grcer_grdi_lab, f_advdi_di_advdi_di_nfd_mng, f_advdi_di_advdi_di_nfd_idns, f_grdi_grcer_gradcer_mng, f_cert_cert_nfd_pro, f_cert_certiii_iv_ca, p_bade_bade_cps, p_pode_doctde_sal, f_cert_certi_ii_ca, f_advdi_di_advdi_asde_idns, f_advdi_di_advdi_asde_ca, f_cert_certiii_iv_cps, f_le_id_idns, p_pode_masde_idns, f_tot_lab, p_grdi_grcer_grdi_pro, f_grdi_grcer_grdi_ca, f_advdi_di_dip_idns, p_grdigrcer_grdigrcernfd_cps, p_bade_bade_ttw, f_grdi_grcer_gradcer_mod, p_grdi_grcer_grdi_sal, f_advdi_di_advdi_di_nfd_mod, f_tot_tot, f_le_id_mng, f_grdi_grcer_grdi_ttw, f_le_id_cps, f_cert_certi_ii_tot, f_advdi_di_advdi_asde_ttw, f_grdi_grcer_gradcer_ca, p_advdi_di_advdi_di_nfd_idns, f_grdi_grcer_grdi_mod, p_bade_bade_ca, f_advdi_di_dip_tot, p_advdi_di_advdi_di_nfd_tot, p_pode_pode_nfd_tot, f_bade_bade_cps, p_advdi_di_advdi_di_nfd_cps, p_grdigrcer_grdigrcernfd_lab, f_cert_cert_nfd_cps, p_bade_bade_sal, f_le_id_mod, f_grdi_grcer_gradcer_sal, f_bade_bade_sal, f_grdi_grcer_gradcer_cps, f_cert_certiii_iv_tot, p_bade_bade_lab, f_grdi_grcer_grdi_sal, f_advdi_di_advdi_di_nfd_tot, f_tot_pro, f_le_id_ca, f_bade_bade_idns, f_cert_certiii_iv_lab, f_bade_bade_ttw, p_pode_masde_mod, p_grdi_grcer_grdi_cps, p_grdi_grcer_gradcer_ca, f_advdi_di_dip_mod, p_pode_doctde_ttw, p_pode_masde_pro, p_bade_bade_mod, f_cert_certiii_iv_pro, f_le_id_sal, f_cert_certi_ii_mod, f_advdi_di_dip_lab, f_bade_bade_lab, f_grdi_grcer_grdi_mng, f_advdi_di_advdi_di_nfd_pro, f_le_ns_tot, p_grdigrcer_grdigrcernfd_pro, f_cert_certi_ii_sal, p_pode_doctde_cps, p_grdi_grcer_grdi_ttw, f_bade_bade_pro, p_grdigrcer_grdigrcernfd_mng, f_advdi_di_advdi_asde_cps, f_cert_certi_ii_cps, p_pode_masde_lab, f_advdi_di_dip_mng, p_grdi_grcer_gradcer_cps, f_cert_certi_ii_mng, p_pode_doctde_lab, p_bade_bade_idns, f_cert_cert_nfd_idns, f_cert_certi_ii_idns, p_advdi_di_advdi_di_nfd_ca, p_grdi_grcer_gradcer_mod, p_pode_masde_cps, p_grdigrcer_grdigrcernfd_mod, p_grdigrcer_grdigrcernfd_sal, f_cert_certiii_iv_ttw, f_advdi_di_advdi_asde_pro, f_advdi_di_advdi_di_nfd_ttw, f_cert_certi_ii_lab, f_cert_certiii_iv_idns, f_tot_idns, p_grdi_grcer_grdi_lab, f_cert_certi_ii_ttw, f_advdi_di_advdi_asde_tot, f_advdi_di_advdi_di_nfd_ca, f_advdi_di_advdi_asde_lab, p_pode_doctde_pro, p_grdigrcer_grdigrcernfd_tot, p_pode_masde_mng, sa4_code16, f_cert_cert_nfd_tot, p_grdi_grcer_gradcer_mng
195,179,72,268,10,55,12,5,0,954,4228,147,357,26,8650,124,12,3,0,0,37,190,353,2691,14238,1127,6324,0,3,751,20,563,29,6,16,3,20,548,180,1290,753,8,1270,356,0,139,1588,18,3,1001,10,199,0,145,606,0,139,0,182,7274,3,119,14,11,59,3,271,10,46,"Capital Region",94,2018,450,59,74,22,73,751,18,0,0,1884,54,681,216,17,145,17,8,5333,316,3,114,3651,247,11,9,0,78,104,1948,1119,7,349,31,597,2135,6,71,1254,1066,132,56,8,530,0,33,0,30564,59,11,49,1045,104,49,0,0,1500,3673,90,80,749,23,0,312,457,4,6,270,17,7633,382,22,59,9200,121,89,467,198,25,171,77,21,12,1811,111,577,36,15,108,187,185,14,1180,91,166,8,39,4710,32,462,175,42,508,43,101,12,181,17,11,10,0,173,3,0,921,637,3,120,82,445,23,46,2503,6,79,486,168,1064,"101",1548,147
156,65,99,363,23,73,4,16,4,1849,4018,104,391,17,11928,248,33,5,0,0,19,290,189,2629,20099,1313,8970,0,0,1347,27,589,28,0,14,13,16,808,346,1190,746,8,1186,654,6,217,2363,13,0,1473,12,274,3,211,986,0,151,0,149,11948,5,154,39,6,96,5,477,18,123,"Central Coast",137,3466,436,77,155,36,80,650,20,0,0,1763,96,837,281,31,279,19,3,8490,273,0,137,3967,353,14,12,0,46,187,3144,1512,9,438,37,828,3523,15,53,1603,1126,120,62,5,709,0,28,0,43985,53,17,86,1401,129,45,3,4,1763,5983,163,128,953,45,0,536,766,12,3,445,21,12357,400,16,118,14135,228,106,667,224,21,184,57,40,15,2460,163,1136,70,24,164,175,105,28,1550,112,310,8,42,7495,28,726,240,28,638,33,110,0,207,24,16,30,4,144,0,8,1413,1083,6,142,135,592,20,50,3600,23,94,518,173,802,"102",2279,102
163,61,45,243,16,50,4,3,3,947,3023,147,254,6,7712,106,24,0,0,0,20,164,192,1924,12146,801,5253,0,3,761,16,416,21,0,10,3,11,523,263,910,561,0,858,355,3,141,1419,8,9,722,0,177,0,154,459,0,84,0,79,7164,6,151,30,0,77,3,182,17,65,"Central West",77,1790,327,44,129,9,29,447,19,3,0,1235,31,611,212,12,127,4,3,4882,137,4,113,2035,233,11,7,4,23,113,1857,838,0,361,23,459,2057,9,24,1241,780,68,22,4,429,0,28,0,26902,35,11,61,1048,61,25,4,3,985,2950,52,51,564,11,0,307,306,14,3,178,11,7410,278,17,39,8717,96,62,508,153,9,106,35,23,13,1266,125,565,39,10,111,123,102,7,1171,70,176,5,31,4901,21,399,170,33,355,29,116,3,96,17,6,7,9,71,0,0,855,703,0,114,68,311,20,46,2161,7,56,333,100,425,"103",1493,79
84,36,22,141,4,31,3,3,6,649,1556,65,150,0,4734,87,11,0,0,0,13,131,101,978,7763,535,3391,0,0,542,3,218,7,3,10,3,14,288,103,417,334,8,537,224,3,98,884,3,0,533,7,114,0,104,330,0,60,0,61,4720,3,81,30,3,42,3,177,0,40,"Coffs Harbour - Grafton",50,1351,160,26,46,15,10,261,7,0,0,819,34,342,129,12,91,10,0,3415,68,0,70,1184,133,8,6,0,12,64,1200,564,3,204,5,308,1455,4,10,835,525,50,22,5,257,0,14,0,17248,21,14,35,647,40,11,0,0,703,2135,57,46,396,21,0,244,210,0,3,128,5,4876,213,10,48,5504,61,43,313,89,7,75,22,13,0,784,45,377,21,8,103,99,69,12,695,44,140,4,20,3023,4,279,115,16,215,8,45,0,73,11,4,4,0,52,0,0,546,472,3,73,54,210,15,22,1411,4,48,198,56,220,"104",954,38
97,10,28,113,3,30,3,10,0,592,1743,100,139,3,4094,43,11,0,0,0,4,78,87,1005,6211,332,2611,0,0,331,7,203,5,0,5,3,8,234,100,491,273,3,431,174,0,101,649,3,0,373,3,89,0,72,283,0,57,0,45,3722,5,84,10,0,29,0,79,0,35,"Far West and Orana",51,833,177,29,54,9,46,117,7,0,0,621,28,370,131,8,51,7,0,2946,72,0,43,1020,100,0,5,0,23,43,1069,500,0,170,11,191,1218,0,8,652,395,36,22,3,151,0,7,0,14337,26,8,30,586,19,12,0,0,413,1703,53,40,353,11,0,179,155,0,3,89,11,4057,174,3,35,4622,46,32,245,43,5,71,17,10,0,580,54,309,22,11,63,77,50,5,672,34,88,0,10,2671,11,223,121,46,232,20,65,4,41,7,5,3,0,44,0,0,431,318,0,74,31,178,3,27,1028,3,28,96,49,185,"105",711,45
133,48,63,210,30,57,3,6,7,1258,2951,120,253,9,7602,137,49,3,0,0,12,215,184,1728,12176,782,6900,0,0,1145,13,362,35,0,9,3,5,617,619,770,527,7,807,395,4,159,2087,0,3,1019,3,167,9,163,637,0,100,5,79,7226,16,181,34,4,90,5,320,12,78,"Hunter Valley exc Newcastle",75,2576,315,56,338,30,35,347,22,0,0,1185,51,688,244,16,196,8,0,6341,148,4,147,2219,229,10,3,0,34,112,2911,773,0,419,29,570,2929,7,17,1707,727,65,40,6,495,0,12,6,32617,26,6,56,1407,97,33,0,4,986,4102,94,71,562,35,0,359,402,14,0,248,14,11025,307,5,74,9085,128,49,773,166,23,113,40,67,5,1291,164,767,43,59,147,154,88,5,1262,72,280,11,34,4830,9,503,220,30,417,23,134,0,97,21,7,16,3,64,0,0,1371,774,3,169,97,340,13,62,2527,16,80,264,100,547,"106",1737,64
177,135,140,383,13,69,10,18,5,1717,3738,70,400,6,12291,212,19,10,0,0,31,273,234,2820,21695,1481,8600,0,4,1030,30,603,20,3,22,12,12,815,221,1182,1124,15,1600,539,0,175,2111,12,3,1360,8,295,3,184,835,0,157,0,164,12547,7,132,27,4,70,4,347,9,111,"Illawarra",97,2844,365,64,100,41,142,1579,21,3,4,2394,123,589,233,25,227,15,7,7802,389,0,137,5662,272,4,9,0,46,123,2800,1764,6,461,25,759,2956,5,59,1263,1667,130,60,11,819,0,41,3,41789,44,15,57,1199,88,32,0,0,2047,5201,138,161,1123,45,0,475,792,4,3,417,10,10130,440,30,95,14706,199,133,491,265,38,200,53,24,26,3431,220,792,60,17,125,141,127,20,1247,139,212,15,45,7529,32,667,201,84,508,25,84,7,248,31,8,21,8,239,0,7,1272,900,4,104,101,508,12,43,3104,14,75,1346,197,1140,"107",2110,104
136,28,30,201,16,64,0,3,3,1005,2138,92,217,4,5764,112,10,5,0,3,7,209,118,1110,9439,525,4603,0,0,848,14,313,3,0,6,3,9,454,133,495,486,4,740,299,4,138,1364,4,0,711,9,152,3,162,511,0,96,3,67,6217,6,129,15,0,71,3,248,8,61,"Mid North Coast",52,1983,252,46,61,28,20,265,12,0,0,1060,44,514,210,16,115,10,0,5121,83,3,108,1574,195,3,5,3,27,88,1747,635,0,301,10,424,2322,3,20,1102,705,57,37,3,249,0,24,0,24297,34,5,44,956,47,15,0,0,690,3058,80,60,409,31,0,390,230,0,0,140,11,7553,163,18,59,7584,104,48,467,103,4,101,22,15,3,1059,56,638,31,16,111,81,66,8,1054,53,198,0,24,3960,13,415,160,16,303,24,72,0,84,12,5,12,0,60,0,0,879,700,0,112,64,259,8,48,2030,10,56,220,79,283,"108",1490,53
80,31,19,141,12,36,0,8,3,589,1715,79,161,5,4284,60,10,0,0,3,11,92,105,1154,6832,481,2903,0,0,437,11,213,7,0,7,3,9,239,109,498,372,4,566,157,3,82,841,0,0,443,0,118,0,80,308,0,65,0,75,3937,3,114,9,0,21,3,112,0,20,"Murray",43,1003,173,27,50,16,18,218,3,0,3,816,36,364,131,8,88,0,0,2950,61,0,64,1052,104,3,3,0,16,45,1045,462,6,187,10,224,1214,5,5,827,515,58,12,3,210,0,8,0,15287,9,8,31,545,43,9,0,0,601,1893,58,48,320,19,0,193,168,4,0,115,8,4256,177,5,45,4791,48,22,336,79,7,82,19,8,3,605,61,253,15,5,85,82,59,12,674,52,71,3,21,2676,12,229,105,26,236,18,54,0,52,3,4,3,3,54,0,0,514,358,3,74,42,150,8,20,1153,3,45,171,72,250,"109",750,31
151,79,37,187,14,48,0,7,3,840,2753,166,216,7,6477,90,23,0,0,0,16,136,181,1791,10256,682,4485,3,0,609,12,296,16,0,5,7,12,410,208,851,498,6,795,296,3,129,1168,0,6,649,7,150,0,129,427,0,83,0,83,5840,3,161,39,3,62,6,159,12,54,"New England and North West",96,1460,303,48,94,18,32,810,17,0,0,1129,28,489,200,14,91,5,0,4235,100,0,135,1716,221,12,6,0,31,74,1605,712,0,286,20,359,1778,7,17,1285,702,67,33,4,305,0,17,0,23397,43,8,37,876,53,18,0,0,847,2670,88,43,465,23,0,271,242,7,0,141,11,6336,357,15,62,7504,78,42,476,119,3,93,19,28,7,1059,81,520,32,13,102,165,108,11,1167,56,133,8,14,3992,20,342,153,67,339,14,104,9,85,14,7,14,3,53,0,0,706,588,0,94,60,295,20,39,1829,17,58,686,86,331,"110",1283,53
