hi300_399_hhd_with_indig_psns, hi2000_2499_hh_with_indig_psn, hi150_299_other_households, tot_other_households, hi1250_1499_hh_with_indig_psn, hi1_149_hhd_with_indig_psns, hi500_649_tot_hhlds, tot_tot_hhlds, hi300_399_other_households, hi1000_1249_other_households, hi1500_1999_tot_hhlds, hi150_299_hhd_with_indig_psns, hi500_649_hhd_with_indig_psns, hi1500_1999_hh_with_indig_psn, hi1250_1499_other_households, hi3000_more_tot_hhlds, hi500_649_other_households, hi650_799_tot_hhlds, hi1_149_tot_hhlds, hi1250_1499_tot_hhlds, hi800_999_other_households, hi650_799_other_households, hi2500_2999_hh_with_indig_psn, hi1000_1249_hh_with_indig_psn, hi400_499_hhd_with_indig_psns, sa4_name16, hi650_799_hhd_with_indig_psns, hi2000_2499_other_households, hi1500_1999_other_households, partial_inc_stated_other_hhds, hi2500_2999_other_households, hi400_499_tot_hhlds, hi300_399_tot_hhlds, hi800_999_tot_hhlds, hi2500_2999_tot_hhlds, hi400_499_other_households, partial_inc_stated_tot_hhlds, hi3000_more_hh_with_indig_psn, hi1_149_other_households, all_inc_ns_hh_with_ind_psns, all_inc_ns_tot_hhlds, tot_household_with_indig_psns, hi150_299_tot_hhlds, sa4_code16, part_inc_st_hh_with_indig_psn, hi1000_1249_tot_hhlds, neg_nil_inc_hh_with_ind_psns, hi3000_more_other_households, neg_nil_inc_other_households, hi2000_2499_tot_hhlds, all_income_ns_other_household, neg_nil_income_tot_hhlds, hi800_999_hh_with_indig_psn
159,306,1666,78779,270,44,4166,82309,2671,6769,8695,113,198,338,5905,9688,3976,7038,686,6172,5871,6725,166,330,227,"Capital Region",312,7079,8354,5806,4218,6913,2833,6139,4379,6679,6123,316,643,123,2335,3531,1786,"101",315,7096,45,9378,826,7391,2209,874,266
195,596,2165,115223,487,32,6420,121048,3659,9413,13554,125,316,684,8477,12916,6103,10268,805,8959,8325,9822,376,522,303,"Central Coast",439,11155,12872,8458,6876,10023,3855,8778,7249,9720,8977,569,768,144,3826,5823,2292,"102",521,9935,67,12342,1389,11744,3680,1456,451
232,447,1777,69058,458,62,3902,74746,2708,5869,7970,198,375,605,5027,7098,3530,6574,662,5483,4933,6058,208,532,381,"Central West",523,6318,7357,4946,3704,6723,2940,5398,3909,6335,5440,373,598,250,2567,5690,1976,"103",495,6402,76,6728,852,6764,2321,931,470
119,235,1181,48451,285,19,3206,51614,1882,4566,5341,121,215,323,3750,3167,2985,5618,384,4032,4268,5339,142,304,237,"Coffs Harbour - Grafton",277,3636,5014,3475,1983,5231,2006,4557,2123,4989,3754,178,361,98,1571,3164,1301,"104",285,4870,42,2982,552,3872,1474,596,287
366,551,854,33933,536,77,2153,41240,1370,2835,4298,281,490,729,2378,3328,1663,3679,337,2913,2501,3018,291,646,553,"Far West and Orana",660,2962,3561,2704,1722,3803,1742,3116,2011,3251,3412,364,265,356,1816,7305,1138,"105",701,3480,84,2964,426,3516,1459,506,612
210,682,1694,87285,530,44,4461,93894,2686,7342,10778,176,352,816,6428,10077,4105,8102,636,6954,6316,7571,400,603,350,"Hunter Valley exc Newcastle",528,8856,9965,6476,5376,7347,2895,6821,5776,6992,7025,581,598,200,2604,6608,1871,"106",546,7942,86,9500,980,9539,2401,1063,502
150,405,2198,101288,304,41,4715,105288,3569,7946,11726,128,199,438,6922,13734,4518,8375,784,7223,6573,8064,274,310,226,"Illawarra",312,10228,11284,7572,6743,7992,3717,6849,7017,7772,7923,446,745,114,2628,3997,2324,"107",351,8254,40,13292,1354,10634,2515,1393,278
260,393,1971,77694,453,63,5375,83341,3252,7361,7767,196,408,579,5867,4385,4965,10114,738,6324,6964,9502,178,533,420,"Mid North Coast",613,5172,7183,5105,2823,9275,3516,7498,3007,8850,5562,246,675,235,3142,5643,2163,"108",455,7890,71,4141,952,5565,2900,1019,541
100,112,1045,42092,165,28,2420,43846,1550,3822,4705,93,115,160,3347,3217,2308,4051,373,3516,3406,3876,64,134,144,"Murray",183,3731,4542,2996,2068,3956,1655,3522,2133,3810,3122,71,353,100,1656,1749,1141,"109",131,3961,33,3151,532,3845,1559,562,118
362,496,1459,58799,609,83,3657,66307,2196,5173,7219,320,518,803,4492,5046,3140,6247,532,5095,4517,5568,256,681,565,"New England and North West",672,5213,6413,4339,2778,6048,2555,5202,3034,5485,4975,325,449,398,2466,7503,1776,"110",631,5858,101,4717,787,5707,2075,884,683
267,692,2642,128736,535,65,6291,135506,4292,10540,15172,188,398,817,9350,16784,5892,10922,813,9881,8786,10402,409,576,369,"Newcastle and Lake Macquarie",523,13014,14357,9185,8512,10729,4559,9304,8925,10359,9720,653,748,146,3259,6765,2828,"111",538,11115,74,16133,1421,13703,3105,1498,519
174,352,2047,86556,377,32,5746,90951,3309,8251,9646,128,275,506,6819,6331,5467,8988,678,7195,7093,8582,210,418,256,"Richmond - Tweed",406,6928,9149,6316,3810,8778,3480,7447,4020,8520,6730,275,646,172,2755,4399,2175,"112",412,8669,50,6054,980,7281,2590,1032,354
190,332,1127,51819,306,46,2723,55512,1747,4517,6470,144,268,418,4188,4836,2456,4658,404,4488,3861,4359,158,293,247,"Riverina",308,5143,6056,3974,2905,4388,1932,4181,3060,4146,4254,184,359,158,1922,3693,1269,"113",283,4808,54,4651,585,5472,1761,634,319
112,241,1178,53026,273,22,3132,55891,1939,4803,5796,88,173,308,4036,4557,2952,5717,465,4306,4298,5415,139,256,171,"Southern Highlands and Shoalhaven",303,4269,5491,3992,2387,5208,2056,4539,2527,5041,4222,172,439,105,1835,2863,1262,"114",230,5054,33,4391,667,4510,1734,703,238
8,91,675,68967,44,3,1682,69816,779,3955,6915,8,24,103,3752,21526,1656,2771,397,3796,2871,2733,91,43,25,"Sydney - Baulkham Hills and Hawkesbury",40,7834,6810,6190,6018,2261,789,2901,6104,2233,6262,244,393,9,1006,853,677,"115",72,4001,14,21284,787,7927,997,792,32
151,353,1646,97943,285,31,3312,101918,2272,7039,12947,123,243,417,7113,16725,3069,5932,554,7399,5470,5603,233,306,221,"Sydney - Blacktown",330,12768,12531,7315,8512,4729,2425,5753,8751,4513,7632,448,524,180,2183,3980,1775,"116",319,7347,57,16274,1277,13115,2008,1338,286
159,190,2631,122423,117,31,3477,124676,3531,7180,13230,140,97,202,6920,31377,3381,4889,1129,7042,5331,4769,126,120,141,"Sydney - City and Inner South",121,14416,13027,9105,7813,5222,3689,5461,7940,5080,9275,396,1092,75,2085,2252,2768,"117",166,7301,38,30980,5161,14598,2007,5198,128
35,115,1613,97641,57,14,2853,98825,2106,5172,9295,58,54,125,5042,31166,2802,3529,733,5099,4022,3472,77,66,71,"Sydney - Eastern Suburbs",55,10007,9170,8603,6027,3663,2145,4097,6102,3589,8695,237,722,38,1967,1185,1672,"118",97,5240,16,30926,2445,10118,1932,2458,72
61,236,4239,182484,119,18,7559,184401,5379,14453,21168,62,77,227,13042,26673,7481,12740,1517,13159,11819,12629,130,145,110,"Sydney - Inner South West",117,19144,20941,14409,12020,11150,5444,11933,12152,11035,14559,292,1494,48,3892,1923,4298,"119",157,14595,21,26380,4169,19380,3844,4191,110
50,119,1699,103890,64,13,3144,104952,2234,6583,11088,40,47,105,6120,28039,3100,4777,828,6184,4790,4724,75,75,46,"Sydney - Inner West",46,11526,10980,7910,7117,4368,2287,4836,7198,4317,8001,197,819,27,1619,1061,1734,"120",95,6658,24,27842,2528,11649,1585,2550,45
13,75,1654,146056,27,0,3674,146713,2111,7638,14188,12,15,66,7610,51337,3660,4888,954,7641,5643,4859,60,27,16,"Sydney - North Sydney and Hornsby",26,16074,14126,12168,9450,4395,2131,5667,9506,4381,12232,212,952,13,2090,654,1669,"121",58,7666,11,51126,2531,16149,2080,2538,22
16,86,1016,87197,31,8,2582,87940,1451,5229,8666,12,19,81,4772,26771,2566,3473,463,4806,3780,3449,83,27,14,"Sydney - Northern Beaches",22,9161,8577,7755,6423,3419,1466,3807,6501,3399,7824,222,451,19,1662,743,1031,"122",72,5254,3,26553,950,9247,1641,955,31
102,429,1182,78812,282,34,2893,82721,1761,6100,10698,80,200,501,5750,12520,2693,5133,487,6036,4775,4866,283,290,182,"Sydney - Outer South West",273,9799,10200,6072,6504,4292,1867,4970,6789,4106,6414,538,451,134,1857,3907,1259,"123",346,6391,39,11978,846,10232,1719,885,198
133,598,1537,99164,387,24,4103,104168,2335,7939,13361,90,239,632,7355,15356,3867,6637,504,7745,6136,6351,413,403,218,"Sydney - Outer West and Blue Mountains",288,11975,12733,7022,7892,5870,2471,6414,8306,5646,7426,716,484,121,2307,5006,1631,"124",401,8340,56,14638,1068,12572,2190,1122,284
67,132,3050,139293,102,24,5315,140867,3881,11019,17419,76,66,172,10220,20771,5252,8669,1081,10329,8661,8578,85,122,90,"Sydney - Parramatta",87,16051,17247,10615,9903,7673,3949,8775,9996,7587,10755,213,1063,46,2792,1567,3127,"125",140,11140,30,20561,2874,16186,2748,2899,110
8,34,1024,62458,20,0,1901,62777,1232,4020,6906,9,7,36,3805,16031,1893,2892,486,3823,3008,2877,36,25,9,"Sydney - Ryde",17,6833,6878,4718,4520,2655,1246,3021,4554,2646,4749,75,484,6,921,316,1035,"126",27,4047,3,15951,1638,6874,913,1644,11
76,206,2598,114824,153,15,4549,116885,3287,9166,13835,72,108,210,8347,15607,4446,8556,869,8502,7611,8397,133,153,113,"Sydney - South West",156,11945,13625,9400,8199,6865,3362,7736,8332,6760,9583,252,854,79,2695,2068,2674,"127",181,9326,23,15357,2216,12148,2618,2245,129
26,129,929,74922,73,16,2377,76169,1397,5002,8111,24,35,167,4356,18858,2345,3677,417,4431,3785,3641,122,70,38,"Sydney - Sutherland",37,8484,7939,5914,6397,3550,1420,3840,6514,3508,6023,290,405,31,1490,1239,956,"128",113,5070,20,18565,798,8615,1462,816,54
40,79,1506,58650,82,15,3434,59743,2258,5227,6599,38,68,112,4534,4453,3363,5683,475,4618,4869,5571,39,123,95,"Ballarat",110,5080,6483,3984,2809,5631,2301,4960,2852,5531,4050,59,460,46,1844,1091,1544,"201",68,5351,22,4391,785,5162,1799,802,87
