p_55_64_yr_total, p_55_64_yr_married_de_facto, f_20_24_yr_married_de_facto, f_45_54_yr_not_married, f_45_54_yr_marrd_reg_marrge, p_15_19_yr_total, p_15_19_yr_not_married, m_35_44_yr_total, m_25_34_yr_total, p_tot_marrd_reg_marrge, m_85ov_total, f_tot_total, f_25_34_yr_not_married, f_65_74_yr_total, p_20_24_yr_total, p_85ov_marrd_reg_marrge, p_75_84_yr_total, p_25_34_yr_not_married, f_20_24_yr_total, p_20_24_yr_married_de_facto, m_15_19_yr_married_de_facto, m_85ov_marrd_reg_marrge, p_65_74_yr_total, p_45_54_yr_total, f_tot_married_de_facto, p_55_64_yr_marrd_reg_marrge, f_tot_not_married, m_tot_total, f_45_54_yr_married_de_facto, m_55_64_yr_not_married, m_65_74_yr_total, m_85ov_not_married, p_75_84_yr_married_de_facto, f_55_64_yr_marrd_reg_marrge, m_45_54_yr_married_de_facto, m_75_84_yr_married_de_facto, p_55_64_yr_not_married, f_75_84_yr_marrd_reg_marrge, f_65_74_yr_not_married, p_85ov_total, f_25_34_yr_total, p_85ov_married_de_facto, p_45_54_yr_not_married, f_25_34_yr_marrd_reg_marrge, p_85ov_not_married, m_75_84_yr_total, m_75_84_yr_marrd_reg_marrge, m_25_34_yr_marrd_reg_marrge, f_35_44_yr_not_married, f_85ov_marrd_reg_marrge, p_25_34_yr_marrd_reg_marrge, f_15_19_yr_marrd_reg_marrge, m_20_24_yr_married_de_facto, m_25_34_yr_married_de_facto, f_35_44_yr_marrd_reg_marrge, m_85ov_married_de_facto, f_65_74_yr_married_de_facto, f_35_44_yr_married_de_facto, f_tot_marrd_reg_marrge, p_25_34_yr_total, m_65_74_yr_marrd_reg_marrge, p_15_19_yr_marrd_reg_marrge, m_45_54_yr_marrd_reg_marrge, p_75_84_yr_marrd_reg_marrge, p_15_19_yr_married_de_facto, f_75_84_yr_not_married, p_65_74_yr_married_de_facto, m_20_24_yr_marrd_reg_marrge, m_75_84_yr_not_married, m_35_44_yr_marrd_reg_marrge, m_tot_married_de_facto, p_35_44_yr_marrd_reg_marrge, m_55_64_yr_total, p_35_44_yr_married_de_facto, f_15_19_yr_total, p_20_24_yr_not_married, m_20_24_yr_total, m_25_34_yr_not_married, f_75_84_yr_married_de_facto, f_85ov_married_de_facto, m_35_44_yr_married_de_facto, p_45_54_yr_married_de_facto, p_25_34_yr_married_de_facto, m_55_64_yr_married_de_facto, p_tot_married_de_facto, f_35_44_yr_total, m_15_19_yr_total, p_tot_total, p_tot_not_married, f_55_64_yr_total, m_45_54_yr_not_married, f_55_64_yr_married_de_facto, f_55_64_yr_not_married, p_45_54_yr_marrd_reg_marrge, sa4_name16, m_55_64_yr_marrd_reg_marrge, m_20_24_yr_not_married, m_15_19_yr_marrd_reg_marrge, m_tot_not_married, p_65_74_yr_marrd_reg_marrge, f_15_19_yr_married_de_facto, m_65_74_yr_not_married, p_75_84_yr_not_married, m_15_19_yr_not_married, f_45_54_yr_total, m_35_44_yr_not_married, f_20_24_yr_marrd_reg_marrge, m_45_54_yr_total, f_65_74_yr_marrd_reg_marrge, f_25_34_yr_married_de_facto, sa4_code16, p_65_74_yr_not_married, p_35_44_yr_total, f_85ov_not_married, p_35_44_yr_not_married, f_85ov_total, f_75_84_yr_total, f_20_24_yr_not_married, f_15_19_yr_not_married, m_65_74_yr_married_de_facto, p_20_24_yr_marrd_reg_marrge, m_tot_marrd_reg_marrge
28343,2777,1018,3997,8437,11215,10989,10691,9210,76695,1426,78831,3328,11117,8565,1129,11025,7193,4212,1712,62,763,22564,27729,9136,17341,31147,75707,1892,4020,11447,622,339,8764,1810,206,8230,2505,3760,3536,9926,54,7804,4298,2354,5376,3634,3221,2932,360,7517,4,697,2122,7059,39,556,1741,38551,19134,7807,6,7789,6136,219,3019,1333,122,1533,6225,8859,13289,14044,3441,5449,6415,4353,3865,135,20,1704,3697,4430,1449,17998,11733,5765,154539,59844,14301,3802,1329,4207,16227,"Capital Region",8571,3539,0,28698,14611,150,2868,4550,5699,14333,2757,316,13399,6801,2301,"101",6625,22420,1731,5683,2112,5650,2875,5298,776,439,38142
38322,3111,1419,6896,11647,18437,18214,17265,15397,111424,2960,125556,5940,17211,16103,2375,18863,12728,7873,2302,63,1576,32439,40038,12724,22788,56814,114121,2385,5180,15236,1322,482,11462,2450,305,12417,4336,6988,7345,16515,110,12508,6961,4859,8503,5801,5181,5368,800,12139,9,880,3437,10911,64,715,2678,56019,31917,10230,16,11050,10137,210,5846,1609,202,2390,10035,12362,20944,18072,5380,9085,13210,8231,6781,176,51,2697,4840,7046,1564,25087,18957,9351,239681,103170,20252,5608,1546,7240,22695,"Central Coast",11325,7148,3,46355,19735,145,4105,8236,9280,20926,4529,394,19116,9505,3611,"102",11096,36222,3539,9902,4383,10362,6058,8929,894,596,55409
23156,1702,1204,3481,7314,10838,10559,9789,9467,67681,1335,71514,3442,9473,8977,1075,10341,7139,4453,2048,81,723,18978,23623,7731,14530,29701,68052,1364,3329,9507,600,225,7228,1338,150,6922,2291,3534,3378,10219,33,6938,4529,2270,4839,3158,3484,2884,353,8020,6,842,2283,6470,24,400,1446,34080,19687,6282,8,6672,5451,267,3132,921,173,1540,5812,7530,12273,11550,2833,5264,6412,4525,3700,76,14,1385,2703,4525,921,15261,10800,5577,139566,56617,11603,3460,788,3591,13984,"Central West",7298,3509,0,26912,11822,188,2702,4670,5493,12158,2593,343,11469,5540,2245,"103",6233,20588,1673,5479,2037,5501,2901,5069,521,516,33603
18604,1925,553,2919,4584,7151,7022,6077,5268,45551,1136,50738,2247,7674,5122,973,8310,4598,2497,925,36,660,15285,16185,5672,10544,22108,46897,1158,2909,7613,444,255,5427,1045,167,6127,1982,2774,2774,5834,38,5267,2305,1765,3927,2650,1706,2229,315,4017,9,368,1206,3666,26,410,1126,22954,11103,5044,12,4129,4634,120,2303,977,87,1117,3193,5452,6861,9007,2180,3434,3932,2626,2357,90,19,1054,2206,2491,983,11123,7019,3721,97636,40964,9592,2347,945,3220,8708,"Coffs Harbour - Grafton",5120,2171,4,18850,9537,80,1995,3424,3675,8667,1833,175,7517,4490,1280,"104",4771,13099,1315,4063,1645,4379,1761,3340,566,265,22597
12961,1091,715,2139,3547,5481,5350,5073,5358,33719,731,38886,2393,4854,5120,562,5528,4685,2606,1239,41,391,9887,12638,4584,7523,17327,36736,795,2181,5030,332,121,3781,804,77,4347,1183,1909,1753,6154,21,4254,2372,1169,2572,1628,1803,1847,173,4176,0,524,1262,3007,13,204,819,16975,11510,3110,4,3238,2809,127,1722,474,86,870,2751,4396,5756,6488,1663,2675,3625,2511,2293,46,8,835,1601,2651,567,8982,5673,2809,75623,32922,6472,2112,521,2164,6787,"Far West and Orana",3739,1903,0,15595,5853,84,1655,2594,2760,6482,1492,171,6158,2741,1385,"105",3560,10748,843,3335,1022,2951,1724,2590,265,253,16742
29670,2279,1632,4642,9683,14770,14485,14062,13064,90277,1398,94623,4656,11896,12840,1118,11604,9636,6471,2711,89,763,23663,31218,10815,19131,38243,89310,1840,3806,11769,606,234,9582,1826,144,8257,2731,4081,3545,14442,57,8877,6437,2375,5478,3877,4885,3940,357,11319,3,1075,3198,8979,35,470,2129,45559,27503,8343,5,8984,6605,283,3299,1096,198,1459,8115,10397,17089,14560,4340,7213,9486,6364,4983,89,20,2208,3665,6547,1197,21210,15051,7557,183930,72442,15113,4238,1081,4448,18670,"Hunter Valley exc Newcastle",9551,5094,0,34195,15685,196,2805,4762,7467,16165,3743,449,15047,7340,3350,"106",6888,29113,1767,7684,2143,6128,4389,7010,622,648,44718
32794,2307,1251,5456,11100,17236,16988,16449,15931,103961,2087,110490,5893,12836,18243,1780,14783,13381,8763,2099,91,1228,24792,35526,10139,20900,48028,104449,1764,4109,11951,827,325,10506,1785,202,9591,3609,4578,5222,16359,50,10257,7292,3387,6707,4843,5420,4463,549,12715,8,843,3019,11010,34,450,2130,52321,32291,8684,13,10627,8447,234,4342,979,198,1665,10244,9805,21253,15728,4215,8327,15513,9483,7494,122,21,2088,3552,6193,1220,19947,17600,8907,214938,91028,17066,4798,1083,5480,21726,"Illawarra",10400,8435,4,43004,16493,142,2740,6014,8819,18323,4119,437,17202,7810,3177,"107",7314,34053,2565,8586,3132,8074,7072,8170,527,635,51639
29095,2831,807,4317,6857,10515,10342,8677,6972,74538,2278,80264,3204,14381,7129,1940,15735,6411,3545,1391,46,1319,28414,24235,8117,16880,34676,73848,1619,4421,14035,909,487,8794,1575,290,9387,3855,4905,5410,8008,75,8185,3076,3401,7533,5148,2194,3138,623,5276,0,584,1571,5281,49,723,1504,37477,14977,9567,6,6005,9000,170,4153,1647,121,2090,4629,7884,9914,13935,2912,5110,5382,3580,3202,192,25,1410,3192,3291,1435,16005,9926,5403,154114,63575,15164,3868,1401,4964,12862,"Mid North Coast",8077,2872,3,28897,18311,123,3545,6246,5353,12791,2638,227,11438,8750,1720,"108",8451,18604,2489,5774,3138,8201,2512,4986,926,352,37063
14030,1138,639,1988,4047,5951,5784,5427,5108,39505,894,41011,1889,5609,5183,697,6237,3907,2561,1096,50,482,11334,13102,4371,8852,16745,39008,763,1973,5725,405,148,4470,730,91,4039,1456,1894,2060,5574,12,3881,2454,1352,2925,1957,1864,1608,216,4319,7,451,1229,3601,8,243,790,19898,10683,3918,9,3685,3411,157,1803,543,67,873,3250,4209,6854,6956,1546,2911,3850,2624,2022,51,8,749,1491,2462,599,8579,5999,3046,80013,31931,7069,1887,536,2063,7734,"Murray",4381,2101,6,15183,7393,99,1507,2681,2988,6797,1423,169,6299,3473,1232,"109",3398,11431,948,3030,1164,3312,1755,2800,301,237,19609
21016,1624,1120,3227,6200,9113,8816,8440,8231,58511,1057,63246,3346,8476,8094,859,9308,6784,4064,1906,76,593,16897,20537,6865,12870,26967,59616,1171,3172,8420,451,176,6491,1162,118,6522,2099,3175,2825,9041,26,6290,3732,1941,4367,2960,2819,2760,261,6556,10,781,1974,5351,13,312,1262,29416,17268,5636,14,5710,5056,273,2780,742,138,1299,4846,6655,10194,10409,2506,4380,5768,4028,3435,64,12,1247,2334,3931,858,13521,9372,4730,122865,50836,10608,3066,765,3353,11913,"New England and North West",6375,3105,8,23864,10624,196,2351,4080,4647,10603,2348,283,9932,4985,1964,"110",5526,17807,1489,5108,1769,4939,2661,4173,431,425,29095
