non_sc_quals_cert1a2_level_f, mig_lvd_same_add_1_yr_ago_m, p_aged_15_yr_over_f, non_sc_quals_certtot_level_p, non_sc_quals_cert1a2_level_m, non_sc_quals_certtot_level_m, pcent_lab_force_particip_p, p_aged_15_yr_over_p, non_sc_quals_cert1a2_level_p, p_aged_15_yr_over_m, mig_lvd_same_add_1_yr_ago_f, pcent_lab_force_particip_m, pcent_employmnt_to_pop_f, non_sc_quals_adv_dip_dip_p, non_sc_quals_certtot_level_f, non_sc_quals_cert3a4_level_f, pcent_lab_force_particip_f, non_sc_quals_adv_dip_dip_m, pcent_employmnt_to_pop_m, pcent_employmnt_to_pop_p, non_sc_quals_cert3a4_level_m, non_sc_qua_gra_dip_gra_cer_m, non_sc_qua_gra_dip_gra_cer_p, non_sc_qua_gra_dip_gra_cer_f, non_sc_quals_certnfd_level_f, lab_for_st_empl_worked_ft_f, mig_lvd_same_add_1_yr_ago_p, lab_for_st_n_the_lbour_frce_m, lab_for_st_empl_worked_pt_p, lab_for_st_empl_worked_pt_m, sa4_name16, lab_for_st_n_the_lbour_frce_p, lab_for_st_n_the_lbour_frce_f, lab_for_st_empl_awy_frm_wrk_m, lab_for_st_empl_awy_frm_wrk_f, lab_for_st_empl_worked_pt_f, mig_lvd_diff_add_1_yr_ago_m, lab_for_st_empl_worked_ft_p, mig_lvd_same_add_5_yr_ago_f, lab_for_st_empl_worked_ft_m, mig_lvd_same_add_5_yr_ago_p, non_sc_quals_certnfd_level_p, mig_lvd_same_add_5_yr_ago_m, mig_lvd_diff_add_1_yr_ago_f, non_sc_quals_certnfd_level_m, lab_for_st_unemp_lkg_fr_wrk_p, lab_for_st_tot_labour_force_p, non_sc_quals_bachelor_deg_f, percent_unemployment_m, lab_for_st_unemp_lkg_fr_wrk_m, non_sc_quals_cert3a4_level_p, percent_unemployment_f, mig_lvd_diff_add_1_yr_ago_p, lab_for_st_unemp_lkg_fr_wrk_f, non_sc_quals_adv_dip_dip_f, non_sc_quals_bachelor_deg_p, lab_for_st_tot_labour_force_m, non_sc_quals_bachelor_deg_m, non_sc_quals_postgrad_deg_f, sa4_code16, lab_for_st_empl_awy_frm_wrk_p, mig_lvd_diff_add_5_yr_ago_f, lab_for_st_tot_labour_force_f, non_sc_quals_postgrad_deg_p, mig_lvd_diff_add_5_yr_ago_p, mig_lvd_diff_add_5_yr_ago_m, percent_unemployment_p, non_sc_quals_postgrad_deg_m
1678,87485,94681,42336,866,26894,57.3,189309,2544,94621,87146,60.1,52.1,16709,15441,10862,54.5,6826,57.1,54.6,24530,1455,3995,2541,2906,23861,174629,29247,33466,11318,"Capital Region",64488,35243,3078,3300,22144,15066,63520,59238,39656,119373,4399,60134,15601,1498,5088,108458,12913,4.9,2812,35393,4.4,30669,2282,9876,21992,56868,9077,3236,"101",6382,39593,51589,6764,77616,38019,4.7,3525
2467,122106,137816,64305,1187,39284,56.3,263259,3657,125441,129911,60.9,48.6,24261,25024,18181,52.1,9368,56.8,52.5,35700,1238,3554,2312,4375,29065,252012,41941,48933,15076,"Central Coast",99836,57894,3353,4036,33853,20807,81850,85715,52777,166520,6770,80801,22656,2401,10093,148260,16145,6.8,5233,53880,6.8,43464,4859,14899,27044,76440,10902,3215,"102",7385,61632,71818,6348,118019,56390,6.8,3130
1765,76584,82833,38540,883,23897,56,164137,2648,81305,77608,59.7,49.3,11986,14635,10313,52.3,4475,55.8,52.5,21660,756,2291,1535,2554,18638,154191,25706,27626,8158,"Central West",58312,32607,2344,2691,19471,13149,53538,51842,34900,103957,3912,52122,13859,1356,5717,91904,9861,6.5,3171,31973,5.9,27005,2543,7514,15496,48569,5634,1741,"103",5029,35184,43335,3285,68106,32924,6.2,1540
1224,51497,59535,27532,626,16845,49.7,115217,1856,55679,54007,52.5,43.7,9726,10685,7487,47,3600,47.9,45.7,15184,631,1709,1083,1972,10557,105507,22224,21133,7349,"Coffs Harbour - Grafton",49324,27104,1547,1696,13782,9597,28333,36247,17781,71325,3009,35077,10401,1037,4504,57206,6997,8.7,2532,22667,7,19997,1973,6133,11544,29205,4546,1165,"104",3241,25969,28004,2255,49585,23615,7.9,1092
969,42875,47002,20278,484,12497,54.5,93257,1450,46258,43318,57.7,48.1,5986,7785,5633,51.3,2185,53.4,50.7,11330,350,1086,733,1182,11652,86191,14797,13507,4096,"Far West and Orana",33140,18341,1453,1532,9414,6954,30817,30209,19162,60651,1868,30438,7572,686,3516,50832,5195,7.5,1993,16960,6.3,14526,1528,3796,7890,26711,2695,856,"105",2992,18110,24120,1511,34872,16758,6.9,657
2335,98996,106021,56108,1009,34948,57.3,208469,3343,102446,101077,62,48.9,16624,21163,15574,52.7,6554,57.5,53.1,32267,780,2292,1514,3256,22326,200069,32260,37547,11298,"Hunter Valley exc Newcastle",75584,43322,3006,3230,26252,17647,66931,65860,44608,131277,4923,65421,18569,1662,8704,119423,10432,7.3,4608,47840,7.3,36213,4092,10076,16600,63520,6169,1795,"106",6239,48463,55903,3501,93974,45517,7.3,1704
2085,112756,121457,54736,992,34320,57.3,236593,3070,115139,116949,61.4,49.8,21442,20416,14407,53.4,8948,56.9,53.3,31317,1427,4188,2759,3928,26135,229706,38525,44705,13895,"Illawarra",88798,50271,3135,3592,30806,18337,74652,81283,48516,159802,5939,78519,18909,2013,9472,135554,16397,7.3,5145,45718,6.7,37248,4324,12501,28779,70694,12385,4905,"107",6724,49509,64856,9713,96835,47329,7,4814
1888,79218,92052,44211,970,27317,45.6,177732,2864,85681,83675,48.2,40,14319,16892,11664,43,5198,43.9,41.9,24649,777,2313,1540,3334,14779,162894,38185,29629,10151,"Mid North Coast",84120,45931,2546,2542,19478,14011,39708,55892,24929,109389,5037,53500,15144,1698,6537,80962,8780,9,3709,36314,7.1,29157,2828,9119,14601,41330,5824,1496,"108",5089,39315,39623,2898,75348,36034,8.1,1401
888,43412,47862,21642,429,13504,57,94248,1317,46387,43905,60.8,50.2,7272,8142,6044,53.2,2819,57.3,53.7,12364,447,1422,974,1207,10337,87320,14077,17070,4983,"Murray",32572,18491,1428,1625,12084,7620,30486,29857,20151,59934,1922,30077,8292,714,3070,53692,5497,5.9,1664,18405,5.5,15915,1410,4456,8705,28225,3209,931,"109",3057,20165,25460,1681,38672,18507,5.7,754
1510,67190,74563,31904,757,19239,55.7,146394,2265,71833,68623,59.9,48.4,10437,12663,8988,51.7,3775,56,52.1,17344,640,2014,1376,2169,17119,135815,22197,24216,7703,"New England and North West",51637,29442,2148,2425,16509,12236,47528,46343,30406,92471,3305,46131,13202,1138,5267,81585,8587,6.5,2797,26328,6.4,25432,2469,6659,13512,43059,4924,1776,"110",4581,31459,38524,3508,60576,29113,6.5,1728
2458,135473,150445,68013,1269,42984,58.8,291021,3733,140573,141524,62.5,51.8,25639,25031,18061,55.3,10559,57.4,54.5,39206,1740,4913,3177,4510,34252,276994,45864,56697,17666,"Newcastle and Lake Macquarie",105422,59558,3615,4593,39033,24847,93723,96220,59469,188427,7016,92210,26421,2506,12430,171065,22992,8.1,7121,57267,6.4,51272,5311,15085,39190,87875,16198,5510,"111",8208,66049,83184,10939,128021,61976,7.3,5433
1722,88606,105402,45211,892,27991,51.7,202060,2616,96656,94017,54.7,45.8,17640,17216,12217,48.9,6408,50.5,48,25324,1223,3506,2277,3279,18996,182625,35228,40520,14328,"Richmond - Tweed",80040,44804,2664,3064,26187,16393,50772,63021,31777,122943,5057,59922,18210,1778,7424,104448,14156,7.8,4102,37537,6.4,34595,3322,11232,23374,52865,9217,2718,"112",5730,45330,51579,5034,86161,40834,7.1,2312
1242,57996,62560,28387,654,17541,59.4,124640,1894,62085,58569,63.5,52.3,8498,10845,7825,55.3,3199,60.1,56.2,15952,509,1537,1026,1775,15612,116564,17660,21311,6234,"Riverina",40886,23222,1929,2051,15078,10846,44791,39853,29177,79771,2706,39922,11313,928,3904,73990,7439,5.3,2084,23780,5.3,22161,1818,5302,11771,39423,4337,1196,"113",3974,26831,34566,2334,52254,25426,5.3,1139
