f_lvl_educ_ns_55_64, f_b_deg_tot, m_cer_iii_iv_35_44_yr, f_lvl_educ_ns_85, m_lvl_educ_inad_desc_15_24, m_pg_deg_35_44_yr, f_tot_65_74_yr, f_tot_15_24_yr, m_cer_i_ii_65_74_yr, f_cer_nfd_25_34_yr, m_cer_i_ii_15_24_yr, f_grad_dip_cer_15_24, m_lvl_educ_ns_45_54, f_lvl_educ_inad_desc_85, f_b_deg_55_64_yr, m_b_deg_55_64_yr, f_cer_tot_65_74_yr, f_adv_dip_dip_45_54, m_grad_dip_cer_25_34, m_lvl_educ_inad_desc_tot, f_cer_iii_iv_55_64_yr, f_adv_dip_dip_75_84, f_cer_iii_iv_75_84_yr, m_b_deg_tot, m_cer_iii_iv_55_64_yr, f_grad_dip_cer_tot, p_pg_deg_15_24_yr, m_lvl_educ_ns_25_34, m_cer_tot_25_34_yr, m_cer_i_ii_45_54_yr, f_cer_i_ii_55_64_yr, m_grad_dip_cer_55_64, m_tot_35_44_yr, f_b_deg_65_74_yr, m_pg_deg_85_yr_over, m_tot_85_yr_over, m_pg_deg_55_64_yr, f_pg_deg_25_34_yr, m_lvl_educ_ns_15_24, f_cer_i_ii_25_34_yr, f_cer_i_ii_15_24_yr, m_adv_dip_dip_15_24, p_pg_deg_25_34_yr, f_lvl_educ_ns_35_44, m_tot_25_34_yr, m_cer_nfd_tot, m_grad_dip_cer_45_54, f_cer_nfd_35_44_yr, f_pguate_deg_tot, f_tot_25_34_yr, f_b_deg_15_24_yr, f_pg_deg_15_24_yr, f_lvl_educ_inad_desc_65_74, m_tot_55_64_yr, m_cer_tot_55_64_yr, m_cer_i_ii_85_yr_over, m_cer_i_ii_75_84_yr, m_cer_iii_iv_45_54_yr, m_lvl_educ_ns_85, m_grad_dip_cer_tot, f_cer_tot_15_24_yr, m_tot_tot, m_cer_i_ii_35_44_yr, m_pg_deg_45_54_yr, m_cer_i_ii_25_34_yr, m_lvl_educ_inad_desc_55_64, m_lvl_educ_inad_desc_25_34, m_b_deg_75_84_yr, m_adv_dip_dip_25_34, m_cer_iii_iv_85_yr, m_lvl_educ_inad_desc_35_44, f_pg_deg_65_74_yr, m_lvl_educ_ns_tot, f_cer_nfd_45_54_yr, m_lvl_educ_ns_35_44, m_adv_dip_dip_85_over, f_lvl_educ_inad_desc_tot, m_cer_tot_75_84_yr, f_b_deg_25_34_yr, f_adv_dip_dip_25_34, m_cer_nfd_45_54_yr, sa4_name16, f_grad_dip_cer_85_over, f_lvl_educ_inad_desc_75_84, m_adv_dip_dip_65_74, f_lvl_educ_inad_desc_25_34, m_b_deg_45_54_yr, f_cer_tot_85_yr_over, m_b_deg_65_74_yr, f_pg_deg_35_44_yr, f_cer_nfd_85_yr_over, m_lvl_educ_inad_desc_45_54, f_tot_45_54_yr, m_cer_tot_85_yr_over, f_pg_deg_55_64_yr, f_lvl_educ_ns_65_74, f_cer_iii_iv_15_24_yr, f_cer_nfd_65_74_yr, m_cer_nfd_15_24_yr, f_cer_iii_iv_tot, m_pg_deg_tot, m_adv_dip_dip_75_84, m_cer_tot_15_24_yr, f_adv_dip_dip_15_24, m_cer_nfd_35_44_yr, m_cer_nfd_75_84_yr, m_cer_iii_iv_15_24_yr, m_cer_iii_iv_75_84_yr, f_tot_85_yr_over, f_lvl_educ_ns_75_84, f_cer_iii_iv_65_74_yr, f_b_deg_45_54_yr, f_pg_deg_75_84_yr, m_cer_nfd_85_yr_over, f_tot_55_64_yr, f_grad_dip_cer_45_54, f_cer_iii_iv_35_44_yr, m_adv_dip_dip_35_44, f_cer_i_ii_65_74_yr, f_pg_deg_85_yr_over, f_cer_tot_55_64_yr, m_lvl_educ_inad_desc_75_84, f_adv_dip_dip_55_64, f_lvl_educ_ns_15_24, m_pg_deg_65_74_yr, f_lvl_educ_inad_desc_45_54, f_b_deg_75_84_yr, m_lvl_educ_ns_65_74, m_lvl_educ_inad_desc_85, f_cer_i_ii_tot, m_b_deg_25_34_yr, f_b_deg_35_44_yr, f_lvl_educ_ns_tot, f_tot_tot, m_cer_nfd_55_64_yr, m_tot_75_84_yr, m_cer_iii_iv_65_74_yr, m_adv_dip_dip_55_64, f_cer_iii_iv_45_54_yr, m_adv_dip_dip_45_54, m_grad_dip_cer_15_24, m_grad_dip_cer_85_over, f_cer_tot_25_34_yr, f_cer_i_ii_75_84_yr, m_cer_nfd_65_74_yr, m_grad_dip_cer_35_44, m_b_deg_15_24_yr, f_tot_75_84_yr, m_cer_iii_iv_25_34_yr, m_b_deg_35_44_yr, m_pg_deg_15_24_yr, f_cer_nfd_tot, f_grad_dip_cer_35_44, m_b_deg_85_yr_over, m_cer_tot_45_54_yr, m_cer_tot_65_74_yr, f_grad_dip_cer_25_34, f_tot_35_44_yr, m_pg_deg_25_34_yr, m_tot_65_74_yr, m_grad_dip_cer_75_84, f_lvl_educ_inad_desc_15_24, f_adv_dip_dip_85_over, m_cer_iii_iv_tot, m_cer_i_ii_55_64_yr, f_lvl_educ_inad_desc_55_64, f_cer_iii_iv_85_yr, m_adv_dip_dip_total, f_cer_i_ii_85_yr_over, m_lvl_educ_inad_desc_65_74, f_cer_tot_tot, f_cer_iii_iv_25_34_yr, m_cer_tot_35_44_yr, f_cer_nfd_75_84_yr, f_cer_tot_35_44_yr, m_lvl_educ_ns_75_84, f_pg_deg_45_54_yr, m_grad_dip_cer_65_74, f_cer_i_ii_35_44_yr, f_cer_nfd_15_24_yr, f_adv_dip_dip_35_44, f_adv_dip_dip_65_74, m_cer_tot_tot, f_cer_nfd_55_64_yr, f_cer_tot_45_54_yr, f_lvl_educ_ns_25_34, m_cer_nfd_25_34_yr, m_lvl_educ_ns_55_64, f_grad_dip_cer_75_84, f_b_deg_85_yr_over, f_grad_dip_cer_55_64, m_cer_i_ii_tot, f_lvl_educ_inad_desc_35_44, m_tot_45_54_yr, f_cer_tot_75_84_yr, f_adv_dip_dip_total, m_tot_15_24_yr, m_pg_deg_75_84_yr, f_cer_i_ii_45_54_yr, sa4_code16, f_grad_dip_cer_65_74, f_lvl_educ_ns_45_54
1808,12913,4035,1036,37,687,6901,4217,70,237,214,39,1927,37,2305,1792,1423,2190,121,566,1766,472,195,9077,4713,2541,35,1562,4287,145,295,426,10127,1324,37,1150,759,511,1570,267,321,204,904,1277,8872,1498,348,374,3236,8821,619,20,182,11573,5154,5,32,4815,469,1455,1767,60523,108,815,161,115,78,461,896,365,68,366,12178,620,1721,83,769,1656,2609,1405,241,"Capital Region",5,83,1047,60,1656,129,1436,742,57,81,11127,401,701,1940,1280,549,107,10862,3525,368,2148,416,228,125,1834,1497,1471,1525,716,2574,68,29,10567,546,2250,1290,162,10,2767,56,2116,1314,644,120,430,1801,23,1678,1538,2934,11630,56408,307,3976,3302,1403,2344,1541,14,12,2756,33,306,223,294,3054,3981,1767,16,2906,527,137,5205,3676,334,10249,388,8979,52,29,132,24530,139,188,61,6826,12,111,15441,2253,4369,182,2892,1213,807,267,265,170,1811,1337,26894,709,3294,1133,148,1917,66,116,681,866,65,11576,410,9876,4276,173,325,"101",334,1591
1786,16145,6118,1951,46,662,8495,6301,110,398,296,44,1485,84,2448,1871,2179,3227,107,908,2653,669,338,10902,6178,2312,46,1211,6352,179,421,344,13307,1355,60,2388,657,600,1450,364,480,329,983,1251,11672,2401,269,579,3215,13237,838,32,369,13096,6801,5,40,6868,934,1238,3139,75835,198,668,228,158,101,560,1344,868,129,303,11004,871,1249,201,1513,2921,3862,2465,416,"Central Coast",17,170,1170,118,1871,292,1308,822,124,167,14354,949,622,2327,2375,813,151,18181,3130,539,2841,862,296,214,2397,2667,2709,2426,1139,2938,69,74,12496,486,3759,2052,221,24,4064,109,2662,1342,502,240,526,1627,45,2467,2172,4033,13773,76874,486,5865,4741,1691,3789,2049,17,23,4745,46,503,217,530,4633,5866,2389,11,4375,487,182,7459,5349,354,14646,377,10309,66,46,209,35700,140,341,143,9368,25,156,25024,3985,6609,306,4784,1476,738,199,449,291,3122,1680,39284,989,5130,1093,260,1577,82,141,562,1187,139,13966,690,14899,5220,187,466,"102",278,1589
1540,9861,3847,744,25,305,5099,4523,50,272,220,33,1666,37,1455,981,1106,1547,83,448,1324,405,147,5634,3638,1535,22,1635,4518,149,264,200,8229,821,14,864,351,364,1805,307,361,128,570,1074,8326,1356,179,358,1741,8263,534,18,146,8164,4039,0,22,4147,405,756,2052,48027,122,326,203,80,63,204,599,280,68,156,11273,568,1479,63,693,1270,2507,1163,229,"Central West",13,69,631,52,1025,134,655,438,50,63,8532,299,358,1725,1503,407,103,10313,1540,227,2271,361,199,103,1951,1148,1174,1454,552,1767,44,13,7639,313,2160,857,148,6,2166,49,1572,1486,257,109,303,1638,15,1765,1231,2371,10363,46344,290,2931,2483,940,2145,1028,3,8,2981,49,270,133,249,2646,4166,1218,4,2554,334,63,4523,2801,236,8482,205,6207,29,39,133,21660,110,180,72,4475,13,95,14635,2408,4174,141,2831,1075,359,129,309,188,1365,961,23897,581,3041,952,148,1572,44,98,368,883,65,8811,331,7514,4491,77,322,"103",186,1401
1139,6997,2150,749,22,187,4465,2429,55,175,181,12,854,21,1418,1015,1037,1355,42,352,1388,317,134,4546,3171,1083,15,670,2263,79,239,210,4837,786,20,904,248,167,772,202,211,87,258,612,4197,1037,112,247,1165,4801,256,16,144,6972,3503,8,22,2800,379,631,1179,33471,85,225,109,71,34,238,368,320,31,174,6417,363,698,68,553,1330,1333,806,166,"Coffs Harbour - Grafton",3,57,659,45,760,128,698,238,54,57,6287,347,281,1287,852,390,67,7487,1092,269,1188,233,119,100,944,1205,1078,1162,501,1273,36,25,6866,247,1480,585,145,6,2120,46,1448,718,250,74,241,1106,13,1224,730,1601,7089,33691,246,2839,2540,847,1654,718,0,12,1784,18,219,83,136,2149,2060,898,3,1972,197,69,3049,2817,125,5608,88,5730,33,22,87,15184,89,125,70,3600,3,72,10685,1404,2354,142,1920,843,247,137,195,115,989,894,16845,495,2222,551,97,1093,41,83,330,626,53,5771,288,6133,2213,78,211,"104",134,869
1050,5195,1849,478,10,168,2623,2455,35,137,116,12,1059,10,741,459,574,848,64,215,824,173,65,2695,2072,733,20,1153,2338,89,140,88,4271,364,3,475,119,259,985,202,173,54,411,719,4799,686,72,160,856,5167,316,14,57,4569,2269,0,9,2076,271,350,1024,25910,80,124,93,37,38,74,312,148,21,53,7311,236,966,28,338,634,1528,674,134,"Far West and Orana",0,34,283,42,462,45,263,199,21,41,4674,163,143,1122,752,180,48,5633,657,99,1208,209,109,40,1038,591,628,903,326,894,17,9,4259,161,1162,453,69,4,1254,13,803,859,71,53,129,1077,3,969,749,1173,6953,25650,139,1505,1396,460,1155,495,0,0,1660,14,121,70,122,1398,2162,559,4,1182,158,15,2301,1553,150,4443,148,3342,7,16,40,11330,65,88,21,2185,0,47,7785,1325,2034,63,1494,658,171,44,168,102,666,389,12497,289,1593,857,85,1130,6,44,180,484,29,4555,139,3796,2381,20,196,"105",68,961
1625,10432,6046,921,35,334,5738,5476,67,361,276,25,1551,49,1605,1200,1442,2140,73,537,1843,380,184,6169,5317,1514,29,1626,6719,114,317,230,11117,923,14,1061,372,404,1532,489,500,213,623,1159,10788,1662,154,457,1795,11299,546,21,177,10453,5752,0,21,6262,451,780,2968,61429,162,409,257,98,64,288,903,390,79,156,10741,737,1528,79,915,1888,2643,1817,264,"Hunter Valley exc Newcastle",6,73,869,89,1064,138,882,443,54,95,10397,423,348,1829,2218,536,108,15574,1704,332,2935,610,218,175,2551,1692,1320,1509,751,1750,29,37,8943,339,3393,1376,153,10,2877,46,1881,1267,270,165,322,1502,17,2335,1187,2552,10946,56834,323,3733,3769,1302,3076,1486,3,10,4879,30,317,137,248,2716,6238,1238,10,3256,329,64,6646,4149,236,10940,217,7906,40,39,106,32267,106,215,77,6554,4,101,21163,4027,6429,157,4276,1047,380,133,432,241,2077,1064,34948,707,4222,1235,225,1506,25,92,394,1009,110,11398,369,10076,4977,85,408,"106",149,1400
1482,16397,5544,1133,82,1117,6182,6778,72,341,266,89,1203,48,2148,1863,1388,2664,226,833,1878,430,223,12385,5346,2759,138,1171,5976,135,328,373,13261,1069,34,1522,891,1241,1307,306,414,578,2298,1040,13231,2013,272,597,4905,13977,1504,82,244,11898,5858,6,24,5924,580,1427,2771,71725,146,946,232,132,115,375,1546,592,140,370,9008,881,1075,106,1218,2234,4488,2307,350,"Illawarra",14,133,894,118,2068,223,1043,1301,87,130,12657,664,817,1676,2071,589,149,14407,4814,298,3094,975,302,155,2683,2051,1648,1623,649,2656,76,59,10606,526,2941,1964,152,11,3087,75,2182,1287,545,187,366,1298,23,2085,3136,4067,10608,68804,409,4342,3668,1559,3043,2000,24,15,4135,42,356,296,1126,3216,5504,2668,57,3928,608,107,6408,4095,606,13747,1059,8180,51,69,117,31317,109,272,113,8948,18,137,20416,3498,5999,260,3946,1155,1005,164,407,288,2640,1196,34320,886,4335,1076,241,1214,64,106,611,992,144,13027,521,12501,6278,153,404,"107",241,1289
1742,8780,3379,1444,23,218,7520,3435,100,245,239,16,1319,53,1772,1291,1870,1919,50,532,2174,590,270,5824,5076,1540,12,966,3146,123,366,235,6841,1177,22,1816,340,234,1195,285,292,89,374,829,5551,1698,128,370,1496,6376,300,11,279,10372,5608,8,34,4371,766,777,1711,51193,160,248,164,103,26,403,444,651,65,207,10144,621,950,142,937,2620,1516,1017,252,"Mid North Coast",7,132,1111,35,1008,217,1080,327,93,66,9097,721,353,2320,1254,736,86,11664,1401,462,1696,339,201,214,1371,2371,2001,2043,903,1605,50,64,10141,323,2239,761,230,0,3374,80,2193,1049,322,127,428,1870,24,1888,784,1859,11402,50158,398,5209,4587,1209,2596,974,4,16,2657,46,348,110,144,3903,2847,1000,4,3334,234,124,4752,5037,168,7690,141,9752,44,14,157,24649,135,234,106,5198,17,136,16892,2126,3744,272,2899,1496,317,195,289,164,1471,1433,27317,835,3575,754,133,1584,66,118,469,970,70,8497,587,9119,3161,109,357,"108",246,1220
941,5497,2070,522,20,191,2762,2418,23,133,111,17,761,25,803,569,620,964,50,230,957,202,103,3209,2252,974,20,648,2407,67,153,118,4460,445,3,591,163,216,776,173,149,88,331,586,4439,714,113,172,931,4887,324,20,77,4885,2436,3,4,2234,291,447,1107,26684,67,146,97,45,29,103,480,202,29,57,5720,263,638,37,356,757,1434,800,144,"Murray",6,48,397,24,564,54,330,243,14,33,4744,226,166,994,851,188,66,6044,754,154,1285,245,91,55,1109,700,701,964,368,931,15,19,4507,222,1192,524,62,7,1375,30,917,686,106,57,161,960,10,888,706,1367,6012,26366,138,1764,1551,583,1219,565,7,0,1627,19,132,73,127,1582,2234,770,0,1207,200,29,2449,1712,196,4764,115,3612,9,14,59,12364,50,73,33,2819,3,41,8142,1326,2229,68,1543,676,208,73,173,105,789,481,13504,265,1637,589,75,976,11,42,231,429,34,4622,187,4456,2307,31,154,"109",89,734
1527,8587,2890,731,48,368,4750,3971,48,204,214,27,1378,38,1309,874,1019,1476,99,409,1358,336,109,4924,3147,1376,24,1214,3560,115,259,154,6704,802,26,688,339,386,1480,254,304,98,649,999,6780,1138,146,301,1776,7332,473,13,150,7152,3438,3,20,3181,337,640,1770,40333,123,352,151,63,86,189,492,199,53,161,9623,468,1208,44,631,1060,2160,976,220,"New England and North West",9,76,535,68,895,80,567,423,45,46,7623,223,330,1643,1295,357,113,8988,1728,188,1903,303,160,83,1579,953,1051,1310,523,1473,47,21,7195,304,1791,783,142,10,2126,49,1432,1345,268,88,286,1497,7,1510,1074,1993,9860,41556,210,2637,2155,787,1835,849,3,3,2519,34,175,110,252,2337,3242,1029,5,2169,294,49,3518,2373,226,7299,258,5401,32,38,95,17344,78,128,33,3775,8,61,12663,2057,3165,110,2336,1013,402,96,242,170,1197,836,19239,517,2565,995,165,1503,37,87,342,757,50,7179,251,6659,3781,108,270,"110",139,1307
