oidns_300_399_t, oidns_150_299_a_35_44, lab_300_399_a_55_64, oidns_400_499_a_65_74, lab_pins_a_65_74, lab_500_649_a_35_44, lab_800_999_a_65_74, lab_500_649_a_15_19, oidns_500_649_a_20_24, lab_2000_2999_a_25_34, lab_1750_1999_a_65_74, lab_2000_2999_a_75ov, lab_300_399_a_15_19, lab_3000mo_a_35_44, lab_1500_1749_a_75ov, lab_650_799_a_65_74, lab_500_649_a_25_34, lab_150_299_a_65_74, lab_400_499_a_55_64, maopd_tot_a_65_74, oidns_150_299_a_75ov, maopd_tot_a_25_34, lab_2000_2999_a_35_44, lab_1250_1499_a_75ov, maopd_tot_a_75ov, lab_800_999_tot, lab_3000mo_tot, lab_300_399_a_45_54, lab_1_149_a_35_44, lab_1250_1499_a_35_44, lab_1500_1749_a_25_34, lab_tot_a_55_64, oidns_400_499_a_35_44, oidns_nni_a_45_54, lab_nni_a_55_64, lab_3000mo_a_25_34, lab_800_999_a_75ov, oidns_nni_a_35_44, lab_150_299_tot, lab_1000_1249_a_15_19, lab_pins_tot, oidns_150_299_a_65_74, lab_400_499_a_65_74, oidns_300_399_a_55_64, lab_150_299_a_25_34, oidns_1_149_a_45_54, lab_300_399_a_20_24, maopd_tot_a_35_44, oidns_nni_a_65_74, lab_1000_1249_a_65_74, lab_1250_1499_a_65_74, oidns_300_399_a_75ov, oidns_1_149_a_65_74, lab_3000mo_a_20_24, oidns_nni_a_55_64, oidns_1_149_a_35_44, lab_1750_1999_a_20_24, lab_pins_a_35_44, lab_1250_1499_a_55_64, lab_800_999_a_20_24, lab_1_149_a_75ov, oidns_300_399_a_15_19, lab_pins_a_45_54, lab_tot_a_15_19, lab_500_649_tot, lab_400_499_a_35_44, lab_1250_1499_a_25_34, lab_1_149_a_25_34, lab_1500_1749_a_55_64, lab_3000mo_a_55_64, lab_2000_2999_a_65_74, lab_1750_1999_tot, lab_1250_1499_a_45_54, lab_650_799_a_25_34, lab_500_649_a_55_64, lab_300_399_a_25_34, lab_pins_a_75ov, lab_nni_a_20_24, lab_nni_a_65_74, lab_2000_2999_a_15_19, sa4_name16, oidns_150_299_a_45_54, lab_3000mo_a_15_19, lab_1750_1999_a_15_19, oidns_nni_a_20_24, lab_1250_1499_a_20_24, lab_pins_a_15_19, lab_1_149_tot, oidns_500_649_a_15_19, lab_1000_1249_a_25_34, lab_800_999_a_55_64, lab_tot_tot, oidns_300_399_a_25_34, maopd_tot_a_55_64, oidns_400_499_a_20_24, lab_650_799_a_75ov, lab_300_399_a_65_74, oidns_400_499_t, lab_400_499_tot, lab_500_649_a_75ov, lab_400_499_a_45_54, lab_3000mo_a_65_74, lab_1000_1249_tot, oidns_1_149_a_20_24, lab_1250_1499_tot, oidns_400_499_a_15_19, lab_150_299_a_20_24, lab_1500_1749_a_20_24, oidns_400_499_a_75ov, lab_400_499_a_20_24, lab_1750_1999_a_55_64, lab_650_799_a_15_19, lab_pins_a_25_34, lab_1000_1249_a_20_24, lab_1_149_a_15_19, lab_800_999_a_45_54, lab_1000_1249_a_35_44, lab_1500_1749_a_45_54, oidns_1_149_a_75ov, lab_2000_2999_a_20_24, lab_tot_a_65_74, oidns_300_399_a_35_44, lab_1750_1999_a_35_44, oidns_400_499_a_25_34, maopd_tot_tot, lab_1750_1999_a_75ov, lab_1500_1749_tot, lab_tot_a_45_54, lab_650_799_tot, lab_800_999_a_25_34, oidns_1_149_t, maopd_tot_a_45_54, lab_nni_a_45_54, oidns_150_299_a_25_34, oidns_nni_t, oidns_150_299_a_20_24, lab_nni_a_75ov, lab_150_299_a_55_64, oidns_150_299_t, oidns_1_149_a_25_34, lab_150_299_a_15_19, lab_1750_1999_a_45_54, lab_pins_a_55_64, lab_1500_1749_a_65_74, lab_400_499_a_15_19, lab_1750_1999_a_25_34, lab_800_999_a_35_44, lab_nni_tot, lab_1250_1499_a_15_19, lab_3000mo_a_45_54, lab_1000_1249_a_55_64, oidns_1_149_a_15_19, oidns_300_399_a_45_54, lab_tot_a_25_34, oidns_1_149_a_55_64, lab_1_149_a_45_54, lab_1000_1249_a_45_54, lab_650_799_a_35_44, oidns_nni_a_15_19, oidns_400_499_a_45_54, oidns_150_299_a_55_64, lab_300_399_a_35_44, lab_150_299_a_35_44, lab_500_649_a_65_74, lab_650_799_a_20_24, lab_tot_a_20_24, lab_2000_2999_a_55_64, oidns_nni_a_75ov, lab_800_999_a_15_19, lab_nni_a_35_44, oidns_300_399_a_20_24, oidns_500_649_a_25_34, oidns_nni_a_25_34, lab_1500_1749_a_15_19, oidns_400_499_a_55_64, lab_150_299_a_45_54, lab_650_799_a_45_54, lab_nni_a_15_19, lab_nni_a_25_34, lab_2000_2999_a_45_54, maopd_tot_a_20_24, lab_tot_a_75ov, lab_400_499_a_75ov, lab_300_399_tot, oidns_300_399_a_65_74, lab_2000_2999_tot, lab_1_149_a_65_74, lab_500_649_a_45_54, lab_150_299_a_75ov, lab_500_649_a_20_24, lab_1_149_a_20_24, lab_tot_a_35_44, lab_1000_1249_a_75ov, lab_300_399_a_75ov, lab_1_149_a_55_64, lab_pins_a_20_24, lab_650_799_a_55_64, lab_1500_1749_a_35_44, sa4_code16, lab_400_499_a_25_34, oidns_150_299_a_15_19, lab_3000mo_a_75ov
77,7,132,13,8,182,61,86,19,10,3,7,79,11,3,42,217,37,188,302,6,711,10,0,28,1348,54,133,29,68,46,1536,8,11,15,8,9,7,653,12,180,7,74,25,78,3,98,885,5,31,13,7,0,0,6,8,0,13,60,157,4,3,37,1071,1204,123,80,33,31,7,3,75,87,271,230,86,5,4,8,0,"Capital Region",7,0,0,3,25,33,678,3,189,240,8604,4,1075,11,9,58,88,847,17,184,6,810,0,335,4,71,14,12,95,12,71,35,63,462,320,170,43,3,0,431,11,22,4,4673,5,169,1777,1380,271,51,1144,17,3,44,10,0,121,65,6,162,20,23,3,80,19,244,109,6,7,149,27,10,1459,4,37,199,215,9,18,15,89,66,74,204,954,9,5,46,8,5,9,5,0,18,111,312,43,11,17,370,80,5,697,11,57,8,248,4,155,39,1292,5,7,60,21,262,31,"101",116,9,4
94,16,155,10,8,219,42,71,19,14,4,0,119,11,0,56,209,25,178,318,7,1009,21,0,23,1523,53,179,43,95,47,1794,12,12,11,7,0,15,904,5,154,3,48,13,78,7,140,1162,5,29,3,12,0,0,9,8,7,23,73,178,0,14,30,1648,1440,151,74,22,41,16,3,126,108,357,308,101,0,5,0,0,"Central Coast",3,3,0,6,22,25,1137,8,178,298,10621,13,1352,8,9,32,83,950,6,188,3,871,3,371,7,177,4,7,152,14,54,23,64,912,381,182,84,0,0,354,12,34,10,6025,0,246,2248,1784,294,59,1518,17,5,60,10,0,102,67,5,294,40,26,6,91,25,308,103,0,12,196,28,11,1573,0,50,215,316,7,6,13,146,95,76,227,1265,10,0,16,4,11,19,11,0,11,139,438,49,9,31,412,38,10,878,16,82,15,339,3,210,65,1704,0,7,35,18,320,61,"102",132,4,0
93,6,150,17,9,215,39,77,10,23,0,0,79,16,0,66,197,38,164,344,6,1338,50,0,38,1314,69,144,39,92,56,1726,11,7,10,3,3,3,721,11,168,3,69,13,89,3,77,1605,6,43,11,15,0,3,8,4,3,12,67,148,8,9,42,1109,1273,131,84,31,61,20,4,157,109,284,254,100,5,12,8,0,"Central West",9,3,0,3,31,23,750,4,162,274,9369,6,1445,6,13,61,89,874,12,200,6,852,5,393,4,78,8,6,98,27,63,19,69,501,312,171,84,5,0,460,20,36,16,7098,0,282,2001,1526,268,58,1875,21,7,59,7,3,128,62,0,184,54,34,8,83,30,248,115,5,21,162,34,17,1474,3,55,219,235,18,15,10,109,88,82,227,983,15,0,22,16,7,15,3,3,14,120,326,54,7,29,344,78,9,742,15,130,14,273,4,170,45,1529,8,15,51,12,318,71,"103",115,14,8
64,3,128,7,7,137,33,46,3,5,3,0,73,4,0,38,156,24,129,193,3,421,12,0,9,786,21,97,19,36,24,1109,10,9,12,4,3,5,466,0,94,5,41,22,57,3,81,531,0,16,10,7,0,0,3,3,0,12,44,65,3,0,23,746,878,95,30,15,21,4,0,35,47,223,181,88,3,4,0,0,"Coffs Harbour - Grafton",6,0,0,5,12,15,523,4,64,171,5801,9,713,8,3,31,53,615,6,127,3,406,7,178,0,54,4,10,82,4,20,14,23,401,189,88,28,0,0,240,7,10,11,2807,0,94,1213,1005,165,32,741,6,0,26,4,0,87,33,3,119,15,13,6,46,6,150,64,0,7,82,17,7,966,4,33,127,188,5,10,5,80,51,34,118,584,6,0,11,7,3,20,4,0,8,74,218,23,5,11,140,37,0,585,6,42,3,205,5,110,12,912,0,8,29,6,194,17,"104",102,8,0
43,4,88,7,16,111,39,36,8,15,3,4,38,8,0,47,152,18,86,227,0,686,3,0,24,751,34,91,14,43,26,968,4,0,11,6,0,4,340,5,140,6,32,5,34,3,50,687,4,19,12,9,6,0,6,7,0,21,48,85,0,6,33,509,748,77,41,17,17,4,0,57,58,206,131,72,3,3,3,0,"Far West and Orana",7,0,0,0,14,14,304,3,132,162,5224,7,758,6,3,32,58,509,4,102,0,482,3,212,3,38,10,10,56,5,39,14,38,197,150,86,22,0,7,284,5,12,10,3518,0,112,1067,973,158,28,863,9,8,29,3,0,64,40,0,70,23,24,5,45,9,120,67,3,9,87,8,5,999,3,18,117,164,10,10,7,71,47,44,125,563,10,0,16,3,6,18,3,0,3,53,200,27,13,11,216,37,3,446,4,50,6,170,7,105,12,809,3,6,36,11,184,27,"105",101,6,0
65,7,166,9,7,228,41,84,13,39,0,0,125,13,3,52,240,24,175,360,0,2351,35,0,45,1502,53,172,35,106,63,1626,11,12,13,12,12,3,891,12,206,4,58,12,90,4,146,2909,5,23,9,8,0,0,5,3,3,30,91,175,3,8,50,1573,1380,159,131,31,48,10,3,147,108,362,226,131,3,12,6,0,"Hunter Valley exc Newcastle",6,3,0,3,34,34,1068,8,271,238,10893,6,2191,14,9,50,96,1007,4,212,3,969,3,475,3,132,9,18,144,18,80,21,77,835,336,227,74,0,3,358,10,41,16,11618,0,281,2150,1701,377,49,3048,12,4,49,8,0,126,48,3,250,31,40,10,87,48,292,113,0,13,155,33,6,1996,3,56,208,306,15,14,5,147,116,69,277,1299,27,4,26,16,13,15,6,0,11,147,362,38,13,41,529,58,13,952,11,142,9,321,3,207,54,1835,3,13,39,20,251,80,"106",169,10,0
94,8,150,0,8,187,23,43,14,19,5,0,101,11,0,39,167,26,210,270,4,958,50,0,24,1105,45,144,40,93,47,1562,16,9,8,4,0,3,873,3,163,9,52,8,106,10,162,1412,3,25,8,10,3,0,0,4,3,28,70,97,5,6,32,1300,1132,139,102,51,54,3,4,187,101,190,239,120,0,9,5,0,"Illawarra",13,0,0,3,16,10,1040,3,159,242,9199,13,1445,12,0,29,104,983,9,215,0,725,14,395,6,196,12,11,150,44,35,31,47,748,289,168,84,0,0,300,18,49,20,6496,0,279,1926,1185,219,77,1839,16,8,44,20,3,109,75,11,245,68,29,11,64,26,222,85,0,16,122,27,12,1403,8,47,201,233,13,17,8,132,92,49,164,1157,26,0,14,8,15,31,9,3,13,102,311,32,10,53,356,28,4,840,10,155,11,260,4,185,92,1516,0,4,46,18,220,63,"107",155,14,0
96,11,177,15,4,183,49,48,9,13,3,0,84,7,3,65,190,30,203,255,6,544,12,0,19,1055,33,183,23,75,36,1631,9,14,12,0,7,11,648,5,169,9,66,12,66,5,84,711,6,13,10,23,0,0,8,0,4,31,48,98,3,8,27,1000,1231,125,65,22,22,6,0,73,67,251,266,95,4,12,4,0,"Mid North Coast",12,0,0,3,22,26,694,3,132,241,8133,8,980,3,3,54,98,898,9,210,3,656,0,291,4,65,5,11,106,8,37,18,39,527,276,156,29,0,0,381,15,16,19,3942,0,128,1837,1319,186,52,1120,13,3,61,8,0,140,61,5,150,25,47,7,74,22,191,100,3,11,133,31,22,1202,10,45,177,232,13,17,10,106,60,56,138,762,7,4,15,16,3,20,3,3,19,137,309,38,12,11,204,51,12,797,12,41,12,318,3,155,29,1260,3,9,34,6,284,24,"108",103,3,0
32,4,111,4,5,111,20,45,11,6,0,0,53,10,0,44,141,36,118,253,8,515,7,0,27,907,36,108,24,59,30,1206,4,7,6,0,10,10,477,0,129,8,42,3,61,3,56,604,4,29,5,8,0,3,3,0,0,16,52,107,3,0,19,620,826,69,56,22,31,4,0,44,81,232,177,71,7,5,10,0,"Murray",0,0,0,6,20,15,456,3,150,190,6082,0,885,3,6,33,44,544,7,125,0,640,3,275,3,64,3,3,74,9,35,16,50,303,198,136,51,0,0,289,3,13,5,3481,0,156,1227,963,197,24,934,7,3,43,6,0,96,44,0,84,13,34,0,41,5,158,73,0,15,122,16,7,1083,0,41,146,155,9,3,7,75,62,48,121,658,9,0,23,13,10,14,6,0,9,65,164,22,9,12,196,51,3,516,11,40,10,178,6,125,19,955,0,9,34,11,202,37,"109",76,7,0
75,3,160,13,15,227,56,87,14,11,3,0,82,9,0,58,264,38,161,354,13,982,13,0,43,1749,61,144,43,79,31,1632,3,5,17,3,6,11,694,14,222,5,73,18,84,3,99,1056,4,24,12,7,3,0,8,5,0,39,59,199,0,3,40,1013,1334,130,85,27,41,13,5,69,87,415,225,109,4,4,4,0,"New England and North West",7,3,0,4,25,32,596,7,273,276,9818,6,1163,7,12,59,77,845,7,178,9,1012,5,357,4,90,4,9,116,19,91,30,90,401,374,214,40,0,0,445,9,15,8,5492,0,156,1944,1785,483,64,1395,21,3,52,0,0,118,54,9,157,15,37,12,62,17,314,97,6,17,166,28,14,1965,4,43,223,295,6,12,18,117,82,71,261,1118,13,3,35,8,7,13,3,0,15,122,381,34,9,6,358,74,13,784,3,55,5,264,10,186,26,1626,8,16,50,30,275,35,"110",112,11,0
