agnurspsbupano_f, agbroadcrpallaha_f, agothcrop_ahacan_f, mangoes_yield_f, sorghum_yield_f, agfloerupano_f, agfrutmcdmakg_f, mushrooms_yield_f, agewesmateanooth_f, agvegecapsakgund_f, agfrutothorctnb_f, sugarcutcrushing_yield_f, canola_yield_f, agdaircales1_f, agfloers_aha_f, tomatoesmku_yield_f, agbeefcatlano_f, agfrutolivtnb_f, mandarins_yield_f, tomatoesmko_yield_f, aglambslt1ano_f, agfrutothnutttb_f, agfrutothstre_f, agcereal_ahamai_f, agdaircowsano_f, peasfreshmkt_yield_f, agvegeonioaha_f, agfrutapptba_f, apples_yield_f, cotirrigatedlint_yield_f, agfrutmacatba_f, agbewesothge1ano_f, potatotot_yield_f, agfrutothcittr_f, agcereal_atooat_f, capsicumtot_yield_f, agvegepotaatopro_f, agfrutothcittba_f, agvegepotaaha_f, agturfrollupano_f, agfrutchertnb_f, agvegecapsam2und_f, agvegebrocakg_f, agfrutmacnum_f, agnursery_ahaout_f, agnurseryundaha_f, agsheeplmbano_f, agfrutnecttnb_f, aglandtotlaha_f, agothcrop_akgpnt_f, pasture_hay_yield_f, agvegeletahaout_f, agvegecapsakg_f, othpulses_yield_f, agfrutavotba_f, agvegecaulato_f, agcottlintakgnon_f, agdairy_ano_f, agfrutnutotaha_f, ageggprodado_f, agothlstokanohld_f, agvegbeanaha_f, grapeswine_yield_f, agfrutothpomtba_f, agvegecornato_f, caulifloers_yield_f, agvegecabbato_f, agfrutaprtnb_f, agbeefcalle1_f, agpasceothsilato_f, agfrutpeactnb_f, agpigs_ano_f, agpigbsow_ano_f, agfrutothcittnb_f, agothcrop_ahaoil_f, agfrutnecttba_f, lettuceund_yield_f, agcereal_atooth_f, onions_yield_f, agpasthay_aha_f, agothcrop_atoopu_f, agfrutpeactba_f, agsugnfcrushaha_f, agvegecarrato_f, pineapples_yield_f, agvege_aha_f, aggrape_ahanyb_f, agbewes1ano_f, agcatldispano_f, agfrutalmnum_f, agfrutavotree_f, agfrutcherakg_f, agvegeletakgout_f, agfrutstrwahabea_f, oth_hay_yield_f, bananas_yield_f, agvegelettakg_f, cabbages_yield_f, agfloersundaha_f, agvegecaulaha_f, agfrutothorctba_f, agbeefallot_f, capsicumund_yield_f, agcottlintakgirr_f, agothcrop_atocan_f, cherries_yield_f, agvegepeasakgpro_f, agnurshvupano_f, aggrapewinahanyb_f, agcereal_atomai_f, agfrutmangtnb_f, lettucetot_yield_f, aglucrnhay_ato_f, aggrape_aha_f, agdairallot_f, agvegetomaahamko_f, agfrutmangakg_f, agfrutmantree_f, agvegemushakg_f, agfrutothnum_f, agvegepeasakgmkt_f, agvegecapsaha_f, rice_yield_f, agfrutotsttba_f, aggrapeothaha_f, dairy_totcattle_rt_f, agfrutmandakg_f, cereals_hay_yield_f, sweetcorn_yield_f, nectarines_yield_f, sa4_name16, agdairheifanogt2_f, agfrutorngtnb_f, agothsheepano_f, agfrutpineato_f, agfrutaprtre_f, cottontot_yield_f, potatoespro_yield_f, agpigbopigano_f, agfrutapplakg_f, brussels_yield_f, agvegemusham2_f, agothcrhayato_f, agfrutapptree_f, agvegepotaahamkt_f, broccoli_yield_f, peaches_yield_f, aggrapewinahabea_f, agvegemelnaha_f, agfrutalmoakg_f, agfrutnaspearakg_f, agvegecabbaha_f, agcereal_ahawht_f, carrots_yield_f, triticale_yield_f, agcottlintakg_f, aggrapeothahanyb_f, agothcrop_ahaopu_f, apricots_yield_f, agfrutalmotba_f, agcottpltdahairr_f, aggrapewinaha_f, lucerne_yield_f, capsicumout_yield_f, agvegebrusakg_f, agothpltryano_f, agfrutnectree_f, agpasthay_ato_f, agchickensanolay_f, agbeefcowsano_f, agfrutorngakg_f, ageweslmbmark_f, agfrutotsttnb_f, agfrutmandtre_f, oats_yield_f, agdairheifanole2_f, agewesmateanomer_f, agvegetomaato_f, agvegecapsahaout_f, agcroptotaha_f, agfrutothpomtr_f, agsugarcrsaha_f, meat_totcattle_rt_f, peanuts_yield_f, agfrutolivtba_f, agcereal_atosor_f, aglucrnhay_aha_f, tomatotot_yield_f, agothcrhayaha_f, agvegeletam2und_f, agfrutnaspeartnb_f, agpascrhayaha_f, agfrutothrahanyb_f, strawberries_yield_f, agothcrop_aha_f, agchickensanomea_f, agcereal_atotri_f, agvegepeasahamkt_f, agnursbpcupano_f, agfrutbanaato_f, agfrutoorcano_f, agfrutpeatree_f, agvegebrocaha_f, agsugarcrsato_f, agvegepumpaha_f, agorchardsaha_f, agfrutbanaaha_f, agfrutmandtnb_f, agfrutorcba_f, almonds_yield_f, agvegetomaam2mku_f, aggrape_ato_f, agothcrop_ahapnt_f, cotnonirriglint_yield_f, aggrapeothahabea_f, agcereal_atobar_f, agcereal_atowht_f, agcottpltdahanon_f, agfrutothpomtnb_f, agnursfnvupano_f, agvegepeasakg_f, grapestot_yield_f, agfrutpineaha_f, oranges_yield_f, agfrutpineahabea_f, agvegbeankg_f, agfrutavocakg_f, agvegetomaahamkt_f, agfrutstrwakg_f, agfrutapriakg_f, agpasceothsilaha_f, agfloers_ahaout_f, agvegepotaato_f, agothchickenano_f, agfrutalmotnb_f, agfrutothrahabea_f, aglambmarked_f, agvegepeasaha_f, agvegemelnato_f, agvegetomaahapro_f, agfrutorcnyb_f, agsugarcanaha_f, macadamias_yield_f, agfrutnasptree_f, agnursinplupano_f, agpascrhayato_f, agcereal_ahatri_f, agvegeletakgund_f, agfrutorngtba_f, agfrutorngtree_f, agbewesmerge1ano_f, aggrape_ahabea_f, agcottpltdaha_f, agcereal_aharic_f, agcerehay_ato_f, agcerehay_aha_f, agfrutchertree_f, agfrutavotnb_f, agfrutpechakg_f, agvegeonioato_f, silage_yield_f, agnurspropupano_f, agcereal_ahasor_f, peastot_yield_f, agfrutmacatnb_f, agcereal_ahabar_f, pears_yield_f, agfrutpineahanyb_f, agvegepeasahapro_f, agfrutnectakg_f, agfrutolitree_f, agvegepumpato_f, agvegepotaatomkt_f, agcereal_atoric_f, agfrutothnuttnb_f, agvegetomaaha_f, agnursery_aha_f, othroilseeds_yield_f, tomatoespro_yield_f, aggrapewinato_f, wheat_yield_f, olives_yield_f, peasprcs_yield_f, lettuceout_yield_f, agvegeoth_aha_f, agfrutolivakg_f, agvegebrusaha_f, grapesoth_yield_f, agfrutmangtba_f, agfrutapptnb_f, potatoesfresh_yield_f, aglambmarkmerano_f, agfrutothha_f, othcerealgrnseed_yield_f, agfrutorctot_f, agvegepotaahapro_f, agvegetomaatopro_f, aggrapeothato_f, melons_yield_f, agfrutmandtba_f, agvegetomaakgmku_f, agvegetomaatomkt_f, agvegetomaatomko_f, agvegecapsakgout_f, aglambmarkothano_f, avocados_yield_f, agfrutchertba_f, agcereal_ahaoat_f, maize_yield_f, agfrutbanaahabea_f, agvegecornaha_f, agfrutbanaahanyb_f, agfrutaprtba_f, beans_yield_f, sa4_code16, agothcrop_atooil_f, pumpkins_yield_f, agvegelettaha_f, agturf_aha_f, agfrutnaspeartba_f, agvegecarraha_f, barley_yield_f, agnursptsupano_f, agnurflwtuaha_f, agcereal_ahaoth_f
null,null,null,null,null,60061,null,30,1002480,355,null,null,2,6454,21,21,361872,355,8,null,1117846,601,null,null,null,433,null,4727,null,null,null,null,20,3874,null,null,null,37,null,263,32447,118,2954,null,20,5,4324039,null,2064658,null,null,null,548,2,null,2,null,null,null,null,11816,0,null,35,8,7,11,null,110484,null,null,81447,8188,3837,null,9648,1,28,null,null,3398,5063,null,null,null,null,182,2444036,404747,null,null,null,null,null,6,null,1569,13,2,0,24,null,3,null,null,null,null,34,182,null,null,1771,null,409,1000,null,null,null,540000,601,154,null,null,null,null,null,256,8,5,1,"Capital Region",4182,12,null,null,null,null,null,73259,4136,null,18000,707,4727,null,1667,3,228,0,null,1182,null,null,null,3,null,null,1470,null,null,null,409,null,205,null,312505,9648,null,null,193766,29028,1965253,15925,31,2,null,962773,null,null,null,35,null,89,null,null,null,null,null,125,591,null,null,null,5125,12457,659679,null,0,21,null,24,5063,2,null,null,null,null,null,null,null,1338,2260,null,null,null,45619,null,null,null,27,154,null,null,24,null,214,null,null,null,329,null,19,222,172135,null,null,1908646,0,1,null,52576,null,null,295,null,null,null,591,1224,1235,1669427,228,null,null,26440,3123,null,null,17584,null,null,647,null,433,null,13266,4,null,null,9237,null,null,222,null,null,null,25,null,null,2260,3,null,null,1183,52,null,null,null,null,null,20,770077,null,2,null,null,null,null,3,31,28363,null,28,null,null,null,null,null,null,null,2,null,null,603,"101",null,30,null,51,295,null,null,89,97,17
null,22,null,null,null,2049,null,null,66,null,null,null,null,null,93,null,700,1387,6,12,2,null,10241,null,null,null,null,null,null,null,null,75,1,null,null,1000,null,null,11,1114,null,null,94723,null,null,16,107,1091,null,null,null,124,11073,null,null,79,null,null,null,null,1847,null,null,244,11,null,35,null,null,null,741,null,null,7199,null,11344,null,null,null,null,null,7224,null,552,null,871,null,75,700,null,null,null,109837,6,null,null,109837,1,26,90,null,133,null,null,null,null,null,984,null,null,null,888,6,null,null,4,null,null,null,null,null,11,null,9413,null,null,1915,null,2,null,"Central Coast",null,6186,30,null,null,null,null,null,null,null,null,null,null,11,1047,null,null,null,null,null,57,null,10,null,null,null,null,null,null,null,null,1,1000,null,8282,12435,null,null,447,null,66,828,348,null,null,null,1485,11,null,244,null,100,null,1682,null,11,194,null,null,null,11,1,0,22,null,null,null,515,null,null,7965,90,null,11,null,null,37,null,null,37527,null,null,null,null,null,null,null,null,132,null,null,null,16,null,null,284882,8,0,null,null,67,11,null,null,2,38,null,null,null,21790,null,null,null,null,6,null,null,53318,null,null,null,null,null,null,null,null,4320,181144,null,null,1176,null,null,null,null,null,null,null,226957,3069,17,11,null,null,8,null,null,null,null,null,7,null,888,409,11529,null,null,null,null,1,null,4,null,null,null,null,null,null,312,1437110,1485,48,11073,38,null,null,null,null,null,6,null,null,null,"102",null,2,124,143,null,55,null,995,null,null
null,1205645,173996,null,1,85,null,null,1591562,null,null,null,1,null,5,10,647850,1272,null,25,1941571,null,17702,344,12442,null,null,430169,35,2358,null,1314528,null,null,null,10000,1232,null,107,408,null,null,253840,null,null,null,5773996,null,4881915,null,3,66,3766,1,null,8400,629944,28536,null,null,null,1,9,null,10549,31,11137,null,176097,null,null,8573,1551,null,560,9171,2,261,20,null,null,13648,null,8,null,2036,98,3164896,676386,null,null,null,859767,3,null,null,861650,58,null,274,null,null,null,12762121,249833,null,null,null,98,3048,null,13013,null,null,null,0,null,null,null,7532,null,0,6,15993,null,4,null,null,16,7,"Central West",409,null,null,null,245,1399,30,7022,null,2992,null,7560,479990,66,4077,11,null,265,null,35399,192,619871,4,null,13392065,null,null,8,null,5413,null,null,10000,null,39,9171,null,null,360589,5745000,2622323,1709,null,1,11473,1030760,19,0,1297886,null,null,96,null,22327,2451,null,40,1997,941,null,77004,6,4375,30558,null,24758,null,null,null,null,13648,null,null,134,null,null,null,789822,null,941,null,null,151,null,447965,1590490,4160,null,null,null,9,null,29,null,3766,null,0,13181,2071,null,5,null,303362,null,39,2770477,null,15292,null,null,null,null,659,5,null,8212,1883,200000,200000,1850368,null,9573,262,null,null,null,null,146187,null,null,null,2147,null,null,208401,54,null,null,63700,23599,2746,3560,1572,7532,0,null,null,null,null,3,null,null,13003,null,null,null,null,null,49821,54,977579,45,1,854403,41,null,null,58,null,9415,19,9,3766,1792898,null,null,null,9,null,664,null,245,4000,"103",null,21,66,72,659,2,2,null,null,405
null,null,null,6,null,79037,211552,null,227,83534,13,122,null,1345,10,1,null,null,null,null,136,null,1822,855,2926,null,null,null,null,null,10737,227,null,83,77,20473,1501,null,61,2137,null,40802,null,10737,null,4,476,null,null,null,3,null,83534,2,5792,null,null,6758,1703,1652,52861,null,null,null,10,null,2,null,null,3321,null,4,4,83,null,null,null,null,null,3830,17,null,null,null,null,170,null,227,null,null,5952,null,null,1,null,null,null,5,null,null,102,33814,2,null,null,null,null,null,null,1873,1093,null,null,null,1715,null,21858,4481,null,null,null,4,null,1822,null,5,null,4,5,null,"Coffs Harbour - Grafton",null,null,113,null,null,null,36,null,null,null,null,null,null,20,null,null,null,null,null,null,0,null,null,3,null,null,9,null,null,null,null,null,null,null,null,null,12222,1032,null,null,227,null,null,2,772,null,24,null,16590,null,null,95,null,3643,null,69,7,null,null,null,4228,null,4000,278,null,301,null,null,1194,115,null,null,null,12,122,185,null,25484,null,32790,null,null,null,null,680,null,null,null,null,null,null,null,null,null,null,111681,3,2914,null,105,10,2423,206,null,null,272,null,null,null,1349,null,null,null,8707,13861,100,null,null,null,null,null,null,null,null,329,null,160,null,null,32,165,null,null,null,680,null,null,null,null,3643,33,922,null,null,3,null,null,null,null,null,0,null,null,86,911,null,null,3388,null,null,null,null,null,26833,41,null,null,null,null,23699,24,null,null,272,null,null,50,2,158,2,27,null,null,"104",null,3,null,18,null,null,1,60,null,null
null,1454054,73522,null,3,7,null,49,1355061,null,239,null,1,2859,22,null,null,null,null,null,1870520,6495,null,29,5610,null,null,null,null,2323,null,1081159,null,null,null,null,null,null,null,371,null,null,6603,null,11,1,6197847,2,26610050,null,null,null,null,null,null,16,3514401,10594,176,5658,null,null,18,null,9979,4,25,3,152837,95745,2,null,354,null,2471,1033,null,547,null,null,394422,1032,null,1,null,493,0,3741679,null,null,null,341,null,null,2,null,null,6,null,null,342,207623,null,84261668,null,2,null,null,0,87,null,null,25314,142,null,null,null,null,274,6495,null,null,null,null,null,2,null,3,21,5,"Far West and Orana",176,null,null,null,3,1836,null,null,null,null,6,1812,null,null,1829,5,142,2,null,null,4,752209,10,2,87776069,null,null,null,null,36265,142,null,null,null,258,1035,24541,1616,320828,1581055,2949262,null,4,1,1744,1594202,null,null,1515217,null,null,98,null,null,35995,null,null,799,null,null,null,6,null,30126,250974,null,null,null,null,581,1034,4,null,4,169,2,4,90831,null,null,2534,null,null,null,null,2056681,null,null,73,null,18,null,null,null,null,null,null,null,null,15030,22,null,3356,null,null,2892351,null,0,null,250,null,null,null,null,null,null,null,81702,81702,2660520,142,47808,null,null,30943,227,null,5159,null,null,3129,12229,null,null,null,null,null,null,5261,null,10,null,null,null,null,12,null,null,2534,3,null,null,null,null,null,null,null,null,null,null,1356137,6,1,91082,null,null,null,0,null,null,null,null,null,1536214,null,227,null,3,null,476,2,null,null,"105",3632,3,null,58,null,0,3,null,92,733
null,null,1958,null,null,156,5022,31,23373,null,null,null,null,2881,4,9,null,32,5,null,33709,864,null,8,null,null,null,44625,0,null,904,18912,21,41,6283,null,650,41,31,6876,null,null,null,904,28,4,166624,null,null,null,4,null,null,null,null,null,null,null,24,8101366,15537,null,null,null,null,null,null,null,null,14347,null,12217,1916,null,null,null,null,null,null,1637,null,null,null,null,null,44,90,70551,null,null,null,null,null,null,3,null,null,null,null,null,null,99215,null,null,2844,null,null,null,82,58,219,null,37113,2618,381,null,null,219,400000,864,null,null,null,null,8,6,59,3,null,null,"Hunter Valley exc Newcastle",1267,2,62365,null,null,null,21,10301,811,null,13000,610,44625,null,null,null,2528,null,null,null,null,2559,null,null,null,8,null,null,null,null,2610,null,null,null,389077,null,6603,437445,null,59,57191,null,12,1,3554,33817,45,null,null,null,null,94,null,10770,null,null,85,195,null,null,null,null,null,4312,null,null,null,null,null,null,null,null,null,null,24,null,null,57227,null,5245,18456,null,null,null,8926,5507,null,null,4,null,null,null,5,null,null,null,1,null,null,2642,4,650,411999,null,null,56450,null,null,null,253,null,6,null,null,null,null,null,12,14,51639,2528,null,null,1800,652,null,null,null,null,null,6743,null,null,null,2729,null,null,null,null,10803,null,null,null,null,1,32,null,null,18456,null,3,null,null,10,30772,null,null,null,null,null,31004,null,null,57480,31,null,null,null,12,44583,45,null,null,25446,null,null,4952,7,null,null,null,null,null,"106",null,null,null,145,null,null,3,null,181,null
null,null,null,null,null,null,null,208,47,null,null,null,null,1565,null,11,9113,null,null,null,83,null,null,null,5320,484,null,14328,14,null,null,71,null,768,null,1500,null,414,null,null,null,null,886,null,0,2,211,null,14347,null,null,1,886,null,null,null,null,9760,27,null,null,0,null,null,null,null,4,null,4064,1908,945,null,null,355,null,2795,null,null,null,null,null,5800,null,null,null,12,null,124,18873,null,null,null,425,null,null,null,425,4,null,null,null,684,null,null,null,null,null,null,null,null,null,400,null,null,70,null,null,null,196647,null,685,1,null,null,null,52,null,null,null,11,"Illawarra",1161,null,5,null,null,null,null,null,206811,null,945,null,16908,null,2500,17,null,null,null,null,1,null,null,null,null,null,null,null,null,null,null,null,1500,null,null,2795,null,null,4365,null,47,null,null,null,1645,null,21,1,293,null,null,48,null,null,null,null,109,null,null,null,null,null,null,null,null,null,1,null,null,null,6746,0,null,null,27,null,null,23337,null,1891,null,null,null,null,null,null,null,null,null,685,null,null,null,null,1182,null,0,null,null,252,null,null,null,null,null,35,1,null,null,3880,null,null,null,4,null,null,null,null,null,53,null,null,null,null,null,null,null,95724,null,null,1062,null,484,null,null,null,null,null,31908,null,null,null,null,null,0,2,null,null,null,null,null,null,400,7,null,null,null,null,2580,null,35,null,null,27216,null,null,null,null,null,20592,21,null,886,null,null,null,null,null,null,null,null,null,3333,"107",null,null,1,null,null,null,null,null,2,null
98,1169,null,6,null,1244,1103424,null,87,16000,1324,null,null,null,79,12,null,null,3,null,73,5289,null,null,null,3126,null,null,null,null,203466,98,null,52,null,7576,null,52,null,565,null,21120,null,216532,69,19,225,null,null,null,5,null,16000,null,85928,null,null,null,null,10656987,22756,16,null,null,null,null,null,null,null,16886,619,352,60,null,1169,1093,null,null,null,5391,null,6492,null,null,null,95,null,133,null,null,134981,null,null,null,1,14,null,null,10,null,2186,36651,1,null,null,null,null,86,null,null,null,null,222,null,538,null,20889,3688,null,5362,28690,2,null,null,null,22,30,null,null,3,"Mid North Coast",null,null,18,null,null,null,null,292,null,null,null,null,null,null,null,70,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5,null,null,2126,1093,24517,659957,null,137,87,null,10,null,null,null,1001,null,11629,null,null,78,null,291446,null,41,116,null,null,null,5437,null,null,null,null,null,9,31,208,3510,7111,null,null,null,2183,34,null,599671,null,86441,null,null,null,null,null,null,null,null,22,28690,null,null,7,null,52273,3353957,9,null,null,2409,69,null,null,null,6,119,9,null,null,64134,null,5,null,72,24746,null,null,21,21,35,null,null,null,null,null,null,49053,453807,null,null,525,null,3126,13066,null,null,null,null,3643,291446,null,null,null,73,9,89,1,null,null,null,0,null,null,59,72862,null,null,3688,null,null,null,6,null,663805,null,null,null,null,10,1001289,1001,null,null,119,null,null,null,null,15,null,20,null,null,"108",1364,null,null,128,null,null,null,7266,null,null
204,1075893,191957,30,5,null,null,null,837205,37758,null,null,2,null,null,4,410111,null,null,19,1352260,344716,969,null,15207,null,null,31,4,1993,null,553442,34,26052,null,8680,42670,22079,1269,null,null,7642,null,null,53,1,3885426,9000,8955434,null,null,67,596575,1,18758,443,null,null,null,null,null,null,27,null,null,80,1993,544,119916,137747,5185,null,null,3973,374,36670,null,null,30,null,null,64529,null,null,null,null,263,2187442,441016,507488,25436,2057,555534,null,4,null,555534,30,null,6,null,null,5,15862902,332059,1,null,34,218,null,6413,8292,63819,7880,2031,5,147,6418,null,358198,null,69,10,747,null,null,7227164,7,null,18,"Murray",1170,39447,null,null,3090,1993,34,null,123,null,null,null,31,null,6261,15,6208,758,2342793,null,66,552584,null,null,15862902,45,null,9,230816,7959,6425,null,8222,null,310,45670,null,121113,213579,41768200,1738164,221,null,null,null,null,null,68,1175273,null,null,93,0,36127,null,null,47,null,null,null,null,35,null,9583,83,17780,null,288,null,null,69714,42,null,352,4464,null,null,null,10,49828,190226,null,null,null,498119,1560597,null,null,119,null,25,null,null,null,null,null,10,null,23140,null,null,42670,136,276673,90,1717747,null,34749,null,417131,null,null,null,57,null,6346,null,null,null,1634000,7617,7959,null,null,null,2057,6678,963451,null,null,17,null,null,null,182084,null,null,null,675945,36127,10970,null,null,13482,null,54,0,48,null,3,6,null,8292,287,215401,null,18,5,null,null,null,125,2,null,1269,null,25418,46,147324,193776,288,94,558817,877145,20,2057,null,10,null,null,null,2546,null,"109",null,null,67,null,null,null,3,1063,54,null
null,1782706,null,null,3,36,26750,null,null,null,null,167,2,2306,null,38,1526023,null,null,null,null,84298,163,null,5720,null,null,5245,45,2273,3040,null,40,null,null,null,null,null,20,null,874,null,null,3404,3,null,2666164,null,6598271,1249210,null,null,null,2,null,null,39338356,10388,1717,6631384,21853,691,5,null,3085,null,401,61,361350,141805,46,13369,2633,null,null,1157,null,828,null,5324,723112,1242,134,null,null,1109,null,1593243,1536411,null,null,16446,null,2,2,null,null,15,1,null,null,387968,null,261719414,null,7,null,null,null,null,null,null,null,58,329,null,null,null,null,140571,null,null,5,41,38,1,null,3,10,null,"New England and North West",547,12629,null,null,null,1409,null,10737,234472,null,null,6659,5245,20,null,null,20,null,null,61703,26,589081,null,4,301057769,null,462703,4,null,115166,20,null,null,null,78241,1157,22609,353560,776705,3846732,1198094,122,null,null,1486,null,11526,null,1843317,null,534,99,null,46652,336784,null,381,3784,null,null,null,null,10000,null,3867176,null,null,null,null,null,1288,null,89004,0,1715,null,null,248213,null,302400,785,286,399,38,821116,2095300,98489,null,null,null,null,null,48,null,3075237,null,30,18238,1536,null,4,790,56524,null,null,1249981,null,null,null,null,668,9,776,null,null,3441,null,79326,91955,null,58,213654,13,null,29952,null,null,25684,null,21,891,100249,null,365,null,79,null,null,18604,46652,4,790,63,null,30,5,1,null,100,4,24,null,null,34,1110648,null,18,null,null,40,null,null,1,319799,null,null,685,null,null,11525500,11526,null,null,null,39,2376,null,6,null,309,null,350,4452,"110",null,30,null,42,776,null,3,372,52,1179
