oth_crp_nec_vol_app_ml, num_agri_bsns_irrigating_num, wtr_tkn_on_farm_dams_tanks_tot_vol_used_ml, cotton_tot_area_ha_e, nurseries_cut_floers_cultivated_turf_vol_app_ml, wtr_tkn_rivs_crks_lakes_etc_tot_vol_used_ml, vegetables_human_consumption_vol_app_ml, rice_area_wtrd_ha, tot_area_wtrd_ha, vegetables_human_consumption_area_wtrd_ha, tot_vol_wtr_all_srcs_ml, pstrs_incl_lcrn_crl_crp_used_graze_fed_off_vol_app_ml, nurseries_cut_floers_cultivated_turf_tot_area_ha, recyc_re_used_wtr_off_farm_srcs_tot_vol_used_ml, oth_srcs_wtr_excluding_rainfall_tot_vol_used_ml, irrigate_expendure_yr_irrigate_wtr_vol_use_chrgs_tot_cst_aud, rice_tot_area_ha, fruit_trees_nut_trees_plntn_berry_fruits_area_wtrd_ha, tot_vol_app_used_incl_oth_agri_wtr_ml, tot_app_rt_ml_ha, oth_broadacre_crp_app_rt_ml_ha, wtr_tkn_irrigate_channels_irrigate_pipelines_tot_vol_used_ml, town_reticulated_mns_supply_tot_vol_used_ml, irrigate_expendure_pur_xtr_wtr_tmp_basis_tot_vol_pur_ml, cotton_vol_app_ml, irrigate_expendure_pur_xtr_wtr_perm_basis_tot_vol_pur_ml, cotton_area_wtrd_ha, pstrs_incl_lcrn_crl_crp_cut_silg_app_rt_ml_ha_d, grapevines_tot_area_ha, irrigate_expendure_pur_xtr_wtr_tmp_basis_tot_cst_aud, fruit_trees_nut_trees_plntn_berry_fruits_tot_area_ha, grapevines_area_wtrd_ha, sugar_cane_app_rt_ml_ha, oth_crp_nec_area_wtrd_ha, oth_crp_nec_app_rt_ml_ha, oth_broadacre_crp_tot_area_ha, nurseries_cut_floers_cultivated_turf_area_wtrd_ha, sa4_name16, sugar_cane_tot_area_ha_f, cotton_app_rt_ml_ha, pstrs_incl_lcrn_crl_crp_used_graze_fed_off_area_wtrd_ha, grapevines_app_rt_ml_ha, rice_vol_app_ml, oth_broadacre_crp_area_wtrd_ha, sugar_cane_vol_app_ml, pstrs_incl_lcrn_crl_crp_used_graze_fed_off_app_rt_ml_ha, pstrs_incl_lcrn_crl_crp_used_graze_fed_off_tot_area_ha, sugar_cane_area_wtrd_ha, fruit_trees_nut_trees_plntn_berry_fruits_vol_app_ml, pstrs_incl_lcrn_crl_crp_cut_silg_vol_app_ml_d, tot_vol_app_ml, oth_crls_grain_seed_eg_wheat_oats_maize_app_rt_ml_ha, grapevines_vol_app_ml, pstrs_incl_lcrn_crl_oth_crp_cut_silg_tot_area_ha, nurseries_cut_floers_cultivated_turf_app_rt_ml_ha, rice_app_rt_ml_ha, oth_broadacre_crp_vol_app_ml, pstrs_incl_lcrn_crl_crp_cut_hay_vol_app_ml_c, num_agri_bsns_num, vegetables_human_consumption_app_rt_ml_ha, irrigate_expendure_pur_xtr_wtr_perm_basis_tot_cst_aud, groundwtr_eg_bores_springs_wells_tot_vol_used_ml, pstrs_incl_lcrn_crl_crp_cut_silg_area_wtrd_ha_d, wtr_tkn_rivs_crks_lakes_etc_vol_use_chrg_occurs_tot_vol_used_ml, pstrs_incl_lcrn_crl_oth_crp_cut_hay_tot_area_ha, oth_crls_grain_seed_eg_wheat_oats_maize_vol_app_ml, oth_crls_grain_seed_eg_wheat_oats_maize_area_wtrd_ha, sa4_code16, pstrs_incl_lcrn_crl_crp_cut_hay_app_rt_ml_ha_c, fruit_trees_nut_trees_plntn_berry_fruits_app_rt_ml_ha, area_holding_tot_area_ha_a, vegetables_human_consumption_tot_area_ha, oth_agri_wtr_use_vol_used_ml_b, pstrs_incl_lcrn_crl_crp_cut_hay_area_wtrd_ha_c, wtr_tkn_rivs_crks_lakes_etc_no_vol_use_chrg_tot_vol_used_ml, oth_crls_grain_seed_eg_wheat_oats_maize_tot_area_ha
null,148.77,11917.88,null,null,9467.99,92.57,null,5034.49,54.3,29147.99,6927.76,96.98,103.55,null,380457.6,null,696.74,29147.99,2.23,null,410.97,558.19,78.32,null,null,null,null,409.39,11166.68,1754.8,null,null,null,1.43,60534.03,87.46,"Capital Region",null,null,2652.88,0.97,null,null,null,2.61,1682178.06,null,1020.14,null,11235.83,null,267.23,6071.57,3.08,null,null,null,2544.52,1.7,null,6689.43,null,7904.07,18437.83,null,null,"101",2.33,1.46,2064658.21,78.02,17912.16,null,1563.91,102835.07
null,138.85,1928.9,null,2124.45,2588.92,null,null,1615.8,820.87,5758.66,null,366.18,null,null,312583.14,null,372.95,5758.66,3.15,null,null,108.61,null,null,null,null,null,null,null,429.6,null,null,null,null,null,335.46,"Central Coast",null,null,null,null,null,null,null,null,1160.9,null,1481.92,null,5084.32,null,null,null,6.33,null,null,null,228.81,1.71,null,1132.23,null,1612.69,null,null,null,"102",0.47,3.97,4520.47,871.32,674.34,null,null,null
27.15,363.2,21881.18,9572.89,566.12,82369.12,6291.72,null,28587.93,1856.52,154955.89,19499.83,110.12,107.84,0.21,4291125.54,null,995.53,154955.89,4.55,2.53,15352.13,938.78,21023.47,53890.92,null,5412.98,3.91,2186.02,1458252.81,1375.74,2008.03,null,43.44,0.63,210934.3,106.05,"Central West",null,9.96,7352.48,1.75,null,765.8,null,2.65,3002445.28,null,1814.82,5679.39,130075.89,5.9,3517.9,9529.53,5.34,11.67,1938.69,29624.05,3993.72,3.39,null,34306.63,1452.22,79695.5,77003.91,null,706.99,"103",3.88,1.82,4881915.14,2035.98,24880.01,7625.82,2673.63,954317.64
null,165.7,2821.52,null,21.27,1706.04,113.33,null,2138.55,131.64,5870.46,null,55.69,null,null,null,null,1271.89,5870.46,1.41,null,null,153.29,null,null,null,null,null,null,null,1703.3,null,null,null,0.01,271.39,29.39,"Coffs Harbour - Grafton",8092.56,null,null,null,null,null,null,0.5,214792.53,453.25,2720.85,null,3025.52,null,null,105.32,0.72,null,null,null,739.29,0.86,null,416.59,null,null,null,null,null,"104",null,2.14,304219.53,169.63,2844.94,null,1337.99,null
null,159.45,73782.66,47808.48,349.77,186428.99,null,null,42068.36,487.54,390812.49,10118.14,92.45,3148.7,null,4975481.49,null,122.27,390812.49,8.66,4.26,66726.0,null,32405.07,342797.39,null,36265.43,0.91,141.96,3542782.32,176.0,null,null,null,null,380415.43,89.56,"Far West and Orana",null,9.45,3096.63,null,null,582.98,null,3.27,2.336263715E7,null,391.67,null,364340.66,1.0,null,null,3.91,null,null,4601.8,2978.91,6.37,null,60696.49,null,163121.34,45229.39,null,null,"105",5.02,3.2,2.661004979E7,493.25,26471.83,916.77,23307.65,995703.68
null,357.39,2975.5,null,497.48,39940.98,null,null,21907.19,null,60182.45,31791.43,180.85,null,null,1447740.8,null,null,60182.45,2.3,null,null,1017.28,null,null,null,null,null,2618.24,null,null,2283.4,null,null,null,1958.35,171.99,"Hunter Valley exc Newcastle",null,null,15727.29,1.37,null,null,null,2.02,853218.68,null,null,null,50300.31,null,null,2641.63,2.89,null,null,10810.1,1191.26,1.62,null,11112.66,null,36393.27,9048.61,null,null,"106",4.24,null,981538.15,null,9882.14,2548.97,3547.71,10248.54
null,5.67,283.36,null,null,40.18,16.34,null,38.16,11.81,559.88,null,null,null,null,null,null,24.23,559.88,1.73,null,null,117.33,null,null,null,null,null,null,null,26.59,null,null,null,null,null,null,"Illawarra",null,null,null,null,null,null,null,null,null,null,47.27,null,66.14,null,null,null,1.19,null,null,null,78.82,1.38,null,119.01,null,40.18,null,null,null,"107",null,1.95,null,11.74,493.75,null,null,null
null,198.25,3417.48,null,2397.99,9424.2,null,null,4586.46,90.42,18083.86,6324.79,295.76,null,null,781579.62,null,1322.59,18083.86,2.75,null,null,null,37.96,null,null,null,1.15,null,11360.27,2223.3,null,null,null,null,null,276.7,"Mid North Coast",null,null,2112.45,null,null,null,null,2.99,262131.36,null,2935.46,null,12590.83,null,null,2408.8,8.67,null,null,15.88,999.99,null,null,3281.6,null,6622.91,null,null,null,"108",0.3,2.22,327702.43,95.1,5493.03,52.94,2801.29,null
636.99,1179.68,19171.89,7959.09,null,331433.01,13485.33,44606.84,259441.12,2608.22,1094527.03,186717.79,54.09,null,null,2.371040054E7,44606.84,4619.65,1094527.03,4.12,1.42,695551.71,null,305125.79,80983.13,null,7959.09,2.67,7879.64,2.200478156E7,4589.36,7485.27,null,539.31,1.18,232173.48,null,"Murray",null,10.17,89222.09,7.22,500283.76,15502.06,null,2.09,6925844.14,null,33438.4,15504.08,1068341.79,1.82,54009.07,15157.89,3.5,11.22,22028.69,50708.95,2504.88,5.17,null,40641.68,5796.99,330171.21,68646.36,110448.3,60783.4,"109",2.5,7.24,8955433.61,3052.78,26185.24,20290.4,1261.8,781570.28
72.6,543.12,239323.46,213654.23,9.56,505068.36,null,12.57,148262.01,null,956362.14,3537.21,52.32,null,null,1.13234667E7,12.57,1656.45,956362.14,6.15,1.36,63987.52,394.31,38776.98,826609.3,7943.24,115165.58,1.09,57.62,7077162.62,1717.29,null,10.0,31.76,2.29,512929.3,5.36,"New England and North West",null,7.18,2604.69,0.55,23.05,3804.3,null,1.36,3764947.82,null,10028.23,2236.21,911406.09,2.66,null,6608.77,1.78,1.83,5176.79,13762.3,4495.24,4.25,9279784.94,141479.37,2045.46,487174.94,51065.43,39701.06,14929.36,"110",2.13,6.05,6598270.76,null,44956.05,6473.98,17893.42,1012280.38
