omh_p_marg_hsed_cpark, sa4_code16, omh_p_oth_crwd_dwell, omh_p_oth_impor_dwell, hl_p_homeless_tot, hl_p_temp_oth_hholds, hl_p_oth_temp_lodgings, sa4_name_2016, hl_p_supp_accom, hl_p_sever_crwd_dwell, hl_p_improv_dwell_tent_so, hl_p_boading_houses
143,"101",228,222,656,260,21,"Capital Region",136,131,93,16
173,"102",465,47,1031,332,13,"Central Coast",235,137,197,124
78,"103",225,72,457,159,3,"Central West",118,73,38,71
242,"104",414,164,615,182,13,"Coffs Harbour - Grafton",140,169,91,25
34,"105",339,212,500,107,4,"Far West and Orana",74,116,110,84
266,"106",348,121,539,232,6,"Hunter Valley exc Newcastle",91,159,37,16
207,"107",508,8,1013,237,11,"Illawarra",235,220,151,166
371,"108",394,75,683,280,17,"Mid North Coast",269,66,58,3
85,"109",104,26,231,101,6,"Murray",39,40,8,35
110,"110",344,84,775,186,6,"New England and North West",172,237,22,149
137,"111",588,39,1208,252,4,"Newcastle and Lake Macquarie",270,176,175,328
558,"112",408,117,1267,344,26,"Richmond - Tweed",187,137,429,146
66,"113",275,51,389,125,12,"Riverina",48,137,27,47
172,"114",236,40,363,162,9,"Southern Highlands and Shoalhaven",91,56,33,13
77,"115",428,69,383,95,0,"Sydney - Baulkham Hills and Hawkesbury",18,249,9,8
68,"116",2278,83,1554,196,0,"Sydney - Blacktown",217,1028,77,39
0,"117",3588,38,6196,250,20,"Sydney - City and Inner South",624,2268,638,2398
0,"118",763,0,1481,167,8,"Sydney - Eastern Suburbs",127,374,23,794
10,"119",5634,5,3710,274,8,"Sydney - Inner South West",294,2730,18,388
0,"120",1784,0,2572,155,8,"Sydney - Inner West",267,1141,40,960
0,"121",600,0,1036,149,3,"Sydney - North Sydney and Hornsby",52,339,23,472
23,"122",430,22,605,120,0,"Sydney - Northern Beaches",71,232,85,93
50,"123",930,51,1045,198,3,"Sydney - Outer South West",373,421,15,33
26,"124",723,68,1223,211,8,"Sydney - Outer West and Blue Mountains",473,426,63,44
4,"125",5474,44,4347,225,0,"Sydney - Parramatta",441,3299,72,299
0,"126",496,7,485,75,0,"Sydney - Ryde",37,320,0,47
29,"127",4283,94,3071,210,3,"Sydney - South West",696,2085,53,27
76,"128",236,0,266,95,0,"Sydney - Sutherland",58,67,9,43
37,"201",131,28,529,89,0,"Ballarat",239,70,22,105
65,"202",206,30,439,109,3,"Bendigo",171,95,20,38
118,"203",351,34,815,186,7,"Geelong",250,180,72,114
156,"204",188,40,507,139,4,"Hume",182,104,51,20
193,"205",257,60,689,176,5,"Latrobe - Gippsland",284,94,37,89
0,"206",2372,10,4843,411,42,"Melbourne - Inner",1192,833,491,1876
0,"207",746,7,1175,113,3,"Melbourne - Inner East",245,319,3,488
59,"208",446,3,1225,137,6,"Melbourne - Inner South",556,273,13,243
7,"209",1576,38,1770,243,9,"Melbourne - North East",749,618,18,131
85,"210",2220,11,1433,162,8,"Melbourne - North West",342,880,18,29
96,"211",859,38,1267,237,6,"Melbourne - Outer East",527,300,48,142
254,"212",4840,36,4364,292,0,"Melbourne - South East",768,2610,42,654
