sa2_name16,m_dngts_tot,sa2_main16,f_dngts_tot
Gosford - Springfield,30,102011032,20
Avoca Beach - Copacabana,5,102011028,5
Box Head - MacMasters Beach,14,102011029,8
Calga - Kulnura,8,102011030,11
Erina - Green Point,12,102011031,14
Kariong,4,102011033,13
Kincumber - Picketts Valley,3,102011034,6
Narara,20,102011035,12
Wamberal - Forresters Beach,4,102011041,4
Woy Woy - Blackwall,23,102011042,25
Point Clare - Koolewong,14,102011037,11
Saratoga - Davistown,6,102011038,4
Terrigal - North Avoca,13,102011039,6
Umina - Booker Bay - Patonga,26,102011040,22
Gorokan - Kanwal - Charmhaven,23,102021048,29
Jilliby - Yarramalong,0,102021049,10
Lake Munmorah - Mannering Park,4,102021050,5
Niagara Park - Lisarow,4,102011036,4
Wyoming,13,102011043,11
Bateau Bay - Killarney Vale,22,102021044,24
Blue Haven - San Remo,8,102021045,11
Budgewoi - Buff Point - Halekulani,10,102021046,12
Chittaway Bay - Tumbi Umbi,18,102021047,9
Ourimbah - Fountaindale,4,102021051,3
Summerland Point - Gwandalan,10,102021052,9
The Entrance,14,102021053,15
Toukley - Norah Head,16,102021054,7
Tuggerah - Kangy Angy,3,102021055,0
Warnervale - Wadalba,95,102021056,36
Wyong,19,102021057,20
West Pennant Hills,21,115011296,31
Castle Hill - West,9,115011557,10
Galston - Laughtondale,19,115021298,10
Bilpin - Colo - St Albans,3,115031299,0
Kurrajong Heights - Ebenezer,29,115031300,20
Pitt Town - McGraths Hill,18,115041301,16
Rouse Hill - Beaumont Hills,29,115041302,37
Baulkham Hills (East),33,115011290,53
Baulkham Hills (West) - Bella Vista,44,115011291,48
Glenhaven,7,115011294,10
Castle Hill - Central,10,115011553,17
Kellyville,44,115011559,43
Dural - Kenthurst - Wisemans Ferry,52,115021297,55
Castle Hill - East,7,115011554,17
Castle Hill - North,34,115011555,28
Blacktown (South),53,116011560,77
Castle Hill - South,17,115011556,48
Cherrybrook,36,115011558,41
Blacktown (East) - Kings Park,78,116011303,106
Blacktown (North) - Marayong,89,116011304,124
Doonside - Woodcroft,79,116011306,145
Lalor Park - Kings Langley,67,116011307,84
Seven Hills - Toongabbie,95,116011308,135
Blacktown (West),100,116011561,127
Glenwood,33,116021309,68
Parklea - Kellyville Ridge,45,116021310,85
Riverstone - Marsden Park,50,116021312,67
Acacia Gardens,6,116021562,13
Quakers Hill,44,116021563,77
Springwood - Winmalee,23,124011454,9
Bidwill - Hebersham - Emerton,94,116031313,125
Glendenning - Dean Park,26,116031314,45
Hassall Grove - Plumpton,60,116031315,97
Lethbridge Park - Tregear,50,116031316,75
Mount Druitt - Whalan,146,116031317,239
Prospect Reservoir,0,116031318,0
Rooty Hill - Minchinbury,78,116031319,139
Banksmeadow,0,117011320,0
Port Botany Industrial,0,117011324,0
Maroubra - West,31,118021568,52
Botany,23,117011321,26
Mascot - Eastlakes,148,117011322,223
Avalon - Palm Beach,4,122021420,3
Dulwich Hill - Lewisham,85,120031394,139
Randwick - North,22,118021569,22
Pagewood - Hillsdale - Daceyville,58,117011323,82
St Ives,24,121031410,32
Turramurra,21,121031411,26
Wahroonga (East) - Warrawee,16,121031412,27
Petersham - Stanmore,73,117021327,123
Sydney Airport,0,117011325,0
Sydney - Haymarket - The Rocks,121,117031337,150
Normanhurst - Thornleigh - Westleigh,36,121021406,55
Marrickville,243,117021326,380
